gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,sig_PAS_count,UTR_type,pA_type,condition
AAGAB,ENSG00000103591,PAS39673_ATTAAA_0.3,0.087319269,NA,3.6778003420695313,1,0.055141551597078384,0.105837924,0.16014965818094531,0.11467644469801948,-0.045473213,chr15,67201030,67201031,-,0.1374130514394824,0,TUTR,distal pA,DMAi_96hrs
AAGAB,ENSG00000103591,PAS39674_AATAAA_0.3,0.087319269,NA,3.6778003420713503,1,0.055141552,0.105837924,0.8398503418190547,0.8853235553019805,0.045473213,chr15,67201672,67201673,-,0.8625869485605175,0,TUTR,proximal pA,DMAi_96hrs
AARD,ENSG00000205002,PAS23324_AATAAA_0.35,0.025409183430556037,0,6.087772048276065,1,0.013612062552082664,0.032011426830984666,0.607947416,0.8470107076070464,0.2390632919512704,chr8,116943997,116943998,+,0.7274790616314113,2,TUTR,distal pA,DMAi_96hrs
AARD,ENSG00000205002,PAS23323_APA_0.15,0.025409183430556037,0,6.087772048275951,1,0.013612062552083588,0.032011426830984666,0.392052584,0.15298929239295345,-0.239063292,chr8,116943256,116943257,+,0.2725209383685887,2,TUTR,proximal pA,DMAi_96hrs
AARS1,ENSG00000090861,PAS41798_AATAAA_0.25,0.4730432188036105,NA,0.7277748280357628,1,0.3936054055449234,0.512616651,0.9700960264877168,0.9757360113306556,0.005639985,chr16,70252386,70252387,-,0.9729160189091861,0,iAPA,distal pA,DMAi_96hrs
AARS1,ENSG00000090861,PAS41799_None_0.25,0.4730432188036105,NA,0.7277748280357628,1,0.3936054055449234,0.512616651,0.029903973512283244,0.024263989,-0.005639985,chr16,70255194,70255195,-,0.027083981,0,iAPA,proximal pA,DMAi_96hrs
AARS2,ENSG00000124608,PAS19135_APA_0.1,0.5439259883037554,NA,0.033269685,1,0.8552689867242375,0.9030212023392458,0.2026862849558946,0.19508581139735529,-0.007600474,chr6,44298731,44298732,-,0.19888604817662495,0,TUTR,distal pA,DMAi_96hrs
AARS2,ENSG00000124608,PAS19137_AATAAA_0.1,0.5439259883037554,NA,1.095591128061642,1,0.2952357074233235,0.41067165363841646,0.608814727,0.6569180973229429,0.048103371,chr6,44299560,44299561,-,0.632866412,0,TUTR,proximal pA,DMAi_96hrs
AASDHPPT,ENSG00000149313,PAS30468_AATAAA_0.3,0.065030262,NA,4.246042818,1,0.039341901,0.079469439,0.5095257770641182,0.6227210316607865,0.11319525459666836,chr11,106098692,106098693,+,0.5661234043624523,0,TUTR,distal pA,DMAi_96hrs
AASDHPPT,ENSG00000149313,PAS30467_AATAAA_0.4,0.065030262,NA,4.246042817540911,1,0.039341901,0.079469439,0.4904742229358818,0.3772789683392135,-0.113195255,chr11,106096987,106096988,+,0.43387659563754766,0,TUTR,proximal pA,DMAi_96hrs
AASS,ENSG00000008311,PAS22193_ATTAAA_0.25,0.6730440086815664,NA,0.2661745047516888,1,0.6059095684216628,0.7074500601155699,0.8999797250120803,0.9200688616297984,0.020089137,chr7,122073551,122073552,-,0.9100242933209394,0,TUTR,distal pA,DMAi_96hrs
AASS,ENSG00000008311,PAS22194_APA_0.25,0.6730440086815664,NA,0.2661745047516888,1,0.6059095684216628,0.7074500601155699,0.10002027498791966,0.079931138,-0.020089137,chr7,122076245,122076246,-,0.089975707,0,TUTR,proximal pA,DMAi_96hrs
ABCB10,ENSG00000135776,PAS4980_ATTAAA_0.1,0.9902837765633692,NA,4.936940968036652e-4,1,0.9822730795806998,0.9884974828477976,0.6732941589823235,0.6724137896593709,-8.80E-04,chr1,229516582,229516583,-,0.6728539743208473,0,TUTR,distal pA,DMAi_96hrs
ABCB10,ENSG00000135776,PAS4981_AATAAA_0.3,0.9902837765633692,NA,4.936940968036652e-4,1,0.9822730795806998,0.9884974828477976,0.3267058410176765,0.32758621034062907,8.803693229525456e-4,chr1,229516843,229516844,-,0.3271460256791528,0,TUTR,proximal pA,DMAi_96hrs
ABCB7,ENSG00000131269,PAS52848_AATAAA_0.25,0.22895571743860016,NA,0.069164062,1,0.7925578148858851,0.8556499427738097,0.080018,0.087054405,0.007036405,chrX,75051555,75051556,-,0.083536203,0,TUTR,distal pA,DMAi_96hrs
ABCB7,ENSG00000131269,PAS52849_ATTAAA_0.2,0.22895571743860016,NA,2.245625509714955,1,0.1339927155973396,0.21948822242406912,0.8725788537587574,0.8209441093192433,-0.051634744,chrX,75053280,75053281,-,0.8467614815390003,0,TUTR,proximal pA,DMAi_96hrs
ABCB8,ENSG00000197150,PAS21132_AATAAA_0.2,8.320055409732742e-5,0,17.77238051317255,1,2.489713550639722e-5,1.2286867898604544e-4,0.1196326365489857,0.5851493987258563,0.46551676217687055,chr7,151047779,151047780,+,0.352391018,2,TUTR,distal pA,DMAi_96hrs
ABCB8,ENSG00000197150,PAS21131_None_0.25,8.320055409732742e-5,0,17.77238051317255,1,2.489713550639722e-5,1.2286867898604544e-4,0.8803673634510143,0.4148506012741438,-0.465516762,chr7,151045561,151045562,+,0.647608982,2,TUTR,proximal pA,DMAi_96hrs
ABCC1,ENSG00000103222,PAS40309_APA_0.2,0.006844535,0,8.746907310853658,1,0.003101276,0.009083798,0.8680325802206766,0.9706423885954908,0.10260980837481404,chr16,16143051,16143052,+,0.9193374844080837,2,TUTR,distal pA,DMAi_96hrs
ABCC1,ENSG00000103222,PAS40308_None_0.1,0.006844535,0,8.746907310853658,1,0.003101276,0.009083798,0.13196741977932347,0.029357611404509334,-0.102609808,chr16,16142447,16142448,+,0.080662516,2,TUTR,proximal pA,DMAi_96hrs
ABCC5,ENSG00000114770,PAS12213_AATAAA_0.35,0.096067611,NA,5.043000506237149,1,0.024725628,0.053395117136469446,0.6074760605505757,0.7150833603029838,0.10760729975240813,chr3,183919937,183919938,-,0.6612797104267798,0,ALE,distal pA,DMAi_96hrs
ABCC5,ENSG00000114770,PAS12215_AATAAA_0.25,0.096067611,NA,2.152860165573657,1,0.14230457530969629,0.23013635035573185,0.2943925967396813,0.229050284,-0.065342313,chr3,183983753,183983754,-,0.26172144013390064,0,ALE,proximal pA,DMAi_96hrs
ABCD3,ENSG00000117528,PAS1169_AATAAA_0.15,0.5465422885219156,NA,0.5298014861300544,1,0.466690331,0.5843656187944467,0.8812085330200848,0.9042911673533596,0.023082634333274843,chr1,94518661,94518662,+,0.8927498501867221,0,ALE,distal pA,DMAi_96hrs
ABCD3,ENSG00000117528,PAS1167_AATAAA_0.3,0.5465422885219156,NA,0.5298014861300544,1,0.466690331,0.5843656187944467,0.11879146697991516,0.095708833,-0.023082634,chr1,94478720,94478721,+,0.1072501498132778,0,ALE,proximal pA,DMAi_96hrs
ABCE1,ENSG00000164163,PAS13298_AATAAA_0.3,0.003532203,0.505356491,1.0926484984811395,1,0.2958851314184891,0.4112508114875745,0.091570722,0.10883280757806156,0.017262086,chr4,145129520,145129521,+,0.10020176464712205,0,TUTR,distal pA,DMAi_96hrs
ABCE1,ENSG00000164163,PAS13297_AATAAA_0.2,0.003532203,0.37416143108735606,1.510448198299855,1,0.21907070802841952,0.3246604996453276,0.8386615762222042,0.8627760252102951,0.024114448988090897,chr4,145129158,145129159,+,0.8507188007162496,0,TUTR,proximal pA,DMAi_96hrs
ABCF2,ENSG00000033050,PAS22434_AATAAA_0.3,5.622756915319655e-5,6.53452841047721e-5,16.955836159589126,1,3.8259522403335184e-5,1.818071440117792e-4,0.12067698139998112,0.26122812422600894,0.14055114282602782,chr7,151212490,151212491,-,0.19095255281299503,2,TUTR,distal pA,DMAi_96hrs
ABCF2,ENSG00000033050,PAS22435_AATAAA_0.1,5.622756915319655e-5,4.181623891489001e-6,22.206580861912244,1,2.4483317373328456e-6,1.4705732345152392e-5,0.8419287344183778,0.6667073093027942,-0.175221425,chr7,151213510,151213511,-,0.754318022,2,TUTR,proximal pA,DMAi_96hrs
ABHD10,ENSG00000144827,PAS9981_AATAAA_0.2,1.1648151579039846e-7,0,31.271138904352483,1,2.2439079881700132e-8,1.8995470554439226e-7,0.7934870045744865,0.9085386558868797,0.11505165131239314,chr3,111993366,111993367,+,0.8510128302306831,2,TUTR,distal pA,DMAi_96hrs
ABHD10,ENSG00000144827,PAS9979_ATTAAA_0.35,1.1648151579039846e-7,0,31.271138904352483,1,2.2439079881700132e-8,1.8995470554439226e-7,0.2065129954255135,0.091461344,-0.115051651,chr3,111991968,111991969,+,0.1489871697693169,2,TUTR,proximal pA,DMAi_96hrs
ABHD12,ENSG00000100997,PAS49589_AATAAA_0.35,0.3202486580444737,NA,1.337886076176801,1,0.24740710721581544,0.35683155659743576,0.18606609116642484,0.15805506421637683,-0.028011027,chr20,25294743,25294744,-,0.17206057769140082,0,ALE,distal pA,DMAi_96hrs
ABHD12,ENSG00000100997,PAS49590_AATAAA_0.05,0.3202486580444737,NA,1.337886076176801,1,0.24740710721581544,0.35683155659743576,0.8139339088335751,0.8419449357836232,0.028011027,chr20,25300213,25300214,-,0.8279394223085992,0,ALE,proximal pA,DMAi_96hrs
ABHD13,ENSG00000139826,PAS35734_AATAAA_0.25,0.18761011590933224,NA,1.413043662905693,1,0.23455178433410545,0.343152178,0.15853951029581692,0.2291667260456676,0.070627216,chr13,108234253,108234254,+,0.19385311817074224,0,TUTR,distal pA,DMAi_96hrs
ABHD13,ENSG00000139826,PAS35732_AATAAA_0.35,0.18761011590933224,NA,0.19302403926849365,1,0.6604115639046089,0.7539224413762533,0.5121938212787577,0.47916510747235314,-0.033028714,chr13,108230907,108230908,+,0.49567946437555543,0,TUTR,proximal pA,DMAi_96hrs
ABHD15,ENSG00000168792,PAS44057_AATAAA_0.15,0.9019301153685072,NA,0.027309662614840136,1,0.8687422106904451,0.912225274,0.4653014748594392,0.48397902605904514,0.018677551199605905,chr17,29560548,29560549,-,0.4746402504592422,0,TUTR,distal pA,DMAi_96hrs
ABHD15,ENSG00000168792,PAS44058_ATTAAA_0.2,0.9019301153685072,NA,0.027309663,1,0.8687422106907159,0.912225274,0.5346985251405607,0.5160209739409548,-0.018677551,chr17,29561293,29561294,-,0.5253597495407578,0,TUTR,proximal pA,DMAi_96hrs
ABHD17B,ENSG00000107362,PAS26077_APA_0.1,0.8935044597493219,NA,0.031523270095931366,1,0.8590780146478961,0.9052929655554044,0.3749959454960505,0.36586374317179154,-0.009132202,chr9,71865152,71865153,-,0.370429844,0,TUTR,distal pA,DMAi_96hrs
