gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,sig_PAS_count,UTR_type,pA_type,condition
ABCB8,ENSG00000197150,PAS21132_AATAAA_0.2,3.1241707308107995e-8,7.601300255717694e-10,39.85926521662623,1,2.7293640731277926e-10,7.926703121610755e-9,0.1129947486769255,0.3786007721554503,0.2656060234785248,chr7,151047779,151047780,+,0.2457977604161879,2,TUTR,distal pA,HCT116_p53minus
ABCC3,ENSG00000108846,PAS43063_None_0.1,3.255297480863475e-11,1.793251319623012e-10,44.03869911620859,1,3.219472696257763e-11,1.063905397349775e-9,0.18877522471827893,0.02584024543583485,-0.16293497928244408,chr17,50667924,50667925,+,0.10730773507705689,2,ALE,distal pA,HCT116_p53minus
ABI2,ENSG00000138443,PAS6853_AATAAA_0.2,5.871420958386762e-11,0,48.91146643387583,1,2.677806941773882e-12,1.0670248135796614e-10,0.6848353323703292,0.9193371132243464,0.23450178085401707,chr2,203432167,203432168,+,0.8020862227973378,2,TUTR,distal pA,HCT116_p53minus
ACP1,ENSG00000143727,PAS5154_AATAAA_0.15,0.004517318969121353,0,10.787873090072026,1,0.0010216720486880876,0.006420857634866192,0.49365743958194247,0.6124473767152359,0.1187899371332934,chr2,278279,278280,+,0.5530524081485891,2,TUTR,distal pA,HCT116_p53minus
ACSL5,ENSG00000197142,PAS27843_AATAAA_0.1,7.847841000530806e-16,0,72.20840827951542,1,1.93628974217633e-17,1.3924689374527939e-15,0.6455124999219897,0.8139638556807071,0.1684513557587174,chr10,112428374,112428375,+,0.7297381778013483,2,TUTR,distal pA,HCT116_p53minus
ADAM22,ENSG00000008277,PAS20615_AATAAA_0.15,2.3755727028358675e-4,3.660878269504681e-5,18.989359051233578,1,1.3144947954614004e-5,1.443745483713314e-4,0.4353815537389599,0.8233141217654182,0.3879325680264583,chr7,88202887,88202888,+,0.629347837752189,2,TUTR,distal pA,HCT116_p53minus
ADO,ENSG00000181915,PAS27252_AATAAA_0.25,0.009535146943032357,0,9.205143025953475,1,0.002413361403865527,0.013109624238336514,0.526333117999954,0.6938041175066679,0.16747099950671396,chr10,62808470,62808471,+,0.610068617753311,2,TUTR,distal pA,HCT116_p53minus
AEBP2,ENSG00000139154,PAS32287_APA_0.15,3.332622474639409e-9,7.3812903315775e-9,36.77590032981243,1,1.3251830585944282e-9,3.2700840769433094e-8,0.03871002983475058,0.27218952593906465,0.2334794961043141,chr12,19553268,19553269,+,0.15544977788690761,2,ALE,distal pA,HCT116_p53minus
AGO1,ENSG00000092847,PAS621_ATTAAA_0.3,1.9704649440952022e-17,6.428481800831122e-7,28.881570478423782,1,7.694151737941799e-8,1.3783757953309256e-6,0.04404721046308291,0.16655309381442973,0.12250588335134682,chr1,35930528,35930529,+,0.10530015213875632,3,TUTR,distal pA,HCT116_p53minus
AGPS,ENSG00000018510,PAS6625_AATAAA_0.35,2.3925617542029363e-4,9.424422358949792e-4,14.909400899973662,1,1.1279947259528067e-4,9.835436692459175e-4,0.1926780529398736,0.36145600683584417,0.16877795389597056,chr2,177543832,177543833,+,0.2770670298878589,2,TUTR,distal pA,HCT116_p53minus
AIF1L,ENSG00000126878,PAS25648_AATAAA_0.2,1.2638783783150434e-5,0,23.220451206843336,1,1.4445294600801406e-6,1.990445611873201e-5,0.8160185351614917,0.9549899849986048,0.13897144983711318,chr9,131123142,131123143,+,0.8855042600800482,2,TUTR,distal pA,HCT116_p53minus
AIG1,ENSG00000146416,PAS18368_APA_0.35,1.201467283439449e-16,3.9374516518658056e-11,47.008205266190544,1,7.069013666574029e-12,2.62946414760101e-10,0.10951300374067212,0.3411626349901233,0.23164963124945115,chr6,143335799,143335800,+,0.2253378193653977,2,ALE,distal pA,HCT116_p53minus
AIMP1,ENSG00000164022,PAS13116_AATAAA_0.2,2.2603916594652503e-4,8.674446410527886e-5,18.66600229537198,1,1.5573468742639316e-5,1.683539906595125e-4,0.11388891547011898,0.22056539093137928,0.1066764754612603,chr4,106349221,106349222,+,0.16722715320074913,2,MIXED,distal pA,HCT116_p53minus
AKAP13,ENSG00000170776,PAS38954_AATAAA_0.05,0.0020155552007362363,0,12.53526184464124,1,3.993436472486749e-4,0.0029404620969036995,0.7783062834150006,0.9466109894748111,0.16830470605981063,chr15,85749354,85749355,+,0.8624586364449058,2,TUTR,distal pA,HCT116_p53minus
ALDH5A1,ENSG00000112294,PAS17429_AATAAA_0.15,0.004641347530475874,0,10.733156342562324,1,0.0010523279541060251,0.00656954874814711,0.7611917654323079,0.9475449822398728,0.1863532168075649,chr6,24537205,24537206,+,0.8543683738360903,2,TUTR,distal pA,HCT116_p53minus
ALG13,ENSG00000101901,PAS52279_AATAAA_0.3,4.218439160615273e-26,2.7238280625506044e-28,123.70386357924008,1,9.780324688148991e-29,2.0803163864848743e-26,0.3712545970174368,0.8870614155769915,0.5158068185595547,chrX,111760643,111760644,+,0.6291580062972142,3,ALE,distal pA,HCT116_p53minus
ANTXR1,ENSG00000169604,PAS5779_AATAAA_0.1,3.1281862414253138e-12,2.051759973402583e-13,55.96769662232259,1,7.36716057739507e-14,3.520849969614568e-12,0.8401366730646759,0.3957775852335361,-0.44435908783113975,chr2,69249167,69249168,+,0.6179571291491059,3,ALE,distal pA,HCT116_p53minus
ANXA4,ENSG00000196975,PAS5786_APA_0.25,0.018618017806207896,0,7.751711879841423,1,0.00536616513218179,0.02485884227797834,0.4472443518590834,0.5931954132443723,0.1459510613852889,chr2,69826360,69826361,+,0.5202198825517279,2,TUTR,distal pA,HCT116_p53minus
AP2A1,ENSG00000196961,PAS47137_AATAAA_0.2,2.074348821422737e-10,0,46.30515801223669,1,1.0119720418529616e-11,3.69149801354189e-10,0.6976056502017349,0.3179386700730529,-0.37966698012868205,chr19,49807109,49807110,+,0.5077721601373939,2,ALE,distal pA,HCT116_p53minus
AP2A2,ENSG00000183020,PAS29386_AATAAA_0.15,1.1336524870700289e-10,0,47.53488045218819,1,5.403390358931914e-12,2.041560059481307e-10,0.15066676704489446,0.3890705067443268,0.2384037396994323,chr11,1012238,1012239,+,0.2698686368946106,2,MIXED,distal pA,HCT116_p53minus
AP5M1,ENSG00000053770,PAS36692_AATAAA_0.2,5.735116654776472e-5,1.323694688579308e-5,20.934357597461823,1,4.752929900487571e-6,5.760734137814069e-5,0.12570999073328826,0.4670042139713135,0.3412942232380252,chr14,57298740,57298741,+,0.29635710235230084,2,TUTR,distal pA,HCT116_p53minus
AP5Z1,ENSG00000242802,PAS19983_AATAAA_0.15,1.2019458905981873e-7,9.58928133451808e-6,22.88309914198044,1,1.7215896676270314e-6,2.3379582727993945e-5,0.162600615343235,0.3954812984591578,0.2328806831159228,chr7,4794394,4794395,+,0.2790409569011964,2,TUTR,distal pA,HCT116_p53minus
APEX2,ENSG00000169188,PAS52009_AATAAA_0.05,0.024268348923196868,0,7.16983921748033,1,0.007413941948394394,0.032343437832322186,0.26032285040810266,0.4275401716258971,0.16721732121779442,chrX,55009056,55009057,+,0.34393151101699987,2,TUTR,distal pA,HCT116_p53minus
APOBEC3F,ENSG00000128394,PAS51021_ATTAAA_0.3,0.01926634233321888,0,7.664350201610432,1,0.005632254095169033,0.025830349466304137,0.5645038906069586,0.7790238841044322,0.21451999349747364,chr22,39055967,39055968,+,0.6717638873556955,2,TUTR,distal pA,HCT116_p53minus
APPL1,ENSG00000157500,PAS9709_AATAAA_0.35,4.86392623093561e-7,6.234021759329489e-7,28.155984250828624,1,1.1192108223992478e-7,1.9517692655743e-6,0.6160711405515311,0.41943712561177343,-0.19663401493975768,chr3,57273451,57273452,+,0.5177541330816523,2,TUTR,distal pA,HCT116_p53minus
ARHGAP11A,ENSG00000198826,PAS38255_ATTAAA_0.4,3.6500416411192695e-11,1.8288433644354776e-4,18.56545683146669,1,1.6416860294768935e-5,1.7671234794839664e-4,0.5638837483964967,0.4060260912729475,-0.1578576571235492,chr15,32639037,32639038,+,0.48495491983472205,3,ALE,distal pA,HCT116_p53minus
ARHGEF1,ENSG00000076928,PAS46872_ATTAAA_0.4,1.3778934109181154e-19,0,90.2377754571844,1,2.11191139617356e-21,2.3801556645532163e-19,0.07505989635617438,0.4280426590997335,0.3529827627435591,chr19,41930139,41930140,+,0.25155127772795394,2,ALE,distal pA,HCT116_p53minus
ARHGEF10,ENSG00000104728,PAS22505_AATAAA_0.2,2.0669588530249872e-11,0,51.127847391253454,1,8.654182861263497e-13,3.6609375229916336e-11,0.5448909635219386,0.31020161640137345,-0.2346893471205651,chr8,1958639,1958640,+,0.427546289961656,2,ALE,distal pA,HCT116_p53minus
ARID2,ENSG00000189079,PAS32497_AATAAA_0.3,5.40841572043912e-5,4.789688382479238e-5,18.476844629685505,1,1.7198114734098348e-5,1.843335193146581e-4,0.15112886557835958,0.3477172456598061,0.19658838008144647,chr12,45908035,45908036,+,0.24942305561908285,2,TUTR,distal pA,HCT116_p53minus
