"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ANKHD1","ENSG00000131503","PAS15518_AATAAA_0.2",1.46335314940768e-06,0,32.6363416751769,1,1.11117520730327e-08,2.284964255653e-06,0.225679111719196,0.494735286062522,0.269056174343325,"chr5",140539848,140539849,"+",0.360207198890859,2,"ALE","distal pA"
"ATP2C1","ENSG00000017260","PAS10145_AATAAA_0.4",0.00220693172633458,0.000223969413568696,20.8214287932951,1,5.04157099984747e-06,0.000473286610891478,0.108960579059936,0.251878486656957,0.142917907597021,"chr3",131016372,131016373,"+",0.180419532858447,2,"ALE","distal pA"
"BCCIP","ENSG00000107949","PAS27994_ATTAAA_0.4",7.69900679114506e-19,1.12458258866756e-14,66.3387662861787,1,3.79716779779448e-16,3.07451930127672e-13,0.154029335158864,0.0211075104702756,-0.132921824688589,"chr10",125853520,125853521,"+",0.0875684228145699,2,"ALE","distal pA"
"CDYL","ENSG00000153046","PAS17295_AATAAA_0.25",8.8610228291897e-05,0.00331875508852056,14.9218395744899,1,0.000112058198996553,0.00576076971428709,0.547893727787319,0.294397589769726,-0.253496138017593,"chr6",4955542,4955543,"+",0.421145658778523,2,"ALE","distal pA"
"CENPN","ENSG00000166451","PAS40928_AATAAA_0.05",0.0167404125448217,0.0194704678896882,10.3215673706588,1,0.0013148457823149,0.0342732939836811,0.109719309951692,0.234711324129184,0.124992014177492,"chr16",81031482,81031483,"+",0.172215317040438,2,"ALE","distal pA"
"CFAP251","ENSG00000158023","PAS33469_ATTAAA_0.4",9.60916399316405e-07,1.35938065809515e-08,37.4917740286201,1,9.17993309140492e-10,2.2438874188519e-07,0.63581817259102,0.415044218741296,-0.220773953849724,"chr12",122003916,122003917,"+",0.525431195666158,2,"ALE","distal pA"
"CHPF2","ENSG00000033100","PAS21141_AATAAA_0.15",0.00196218533171866,0,16.5122862866092,1,4.83358459289369e-05,0.00295406651546709,0.288067281278089,0.0759992970289036,-0.212067984249185,"chr7",151240970,151240971,"+",0.182033289153496,2,"ALE","distal pA"
"CREM","ENSG00000095794","PAS27132_APA_0.1",0.0197291111083915,0.00481199656546527,14.9858832385701,1,0.000108318461656258,0.00568123753342843,0.338184193352358,0.16776488282874,-0.170419310523618,"chr10",35211873,35211874,"+",0.252974538090549,2,"ALE","distal pA"
"DNHD1","ENSG00000179532","PAS29429_AATAAA_0.4",0.00681617693767447,0,13.4865352964562,1,0.000240281455012637,0.0101066436678205,0.500655811451646,0.819233134850543,0.318577323398897,"chr11",6572018,6572019,"+",0.659944473151095,2,"ALE","distal pA"
"ENDOV","ENSG00000173818","PAS43491_APA_0.2",0.00323554174780382,0.000648614236442417,16.6991296499036,1,4.38010888062622e-05,0.00279528623391688,0.142045433814629,0.344263324550731,0.202217890736102,"chr17",80436633,80436634,"+",0.24315437918268,2,"ALE","distal pA"
"ENSG00000254536","ENSG00000254536","PAS28060_APA_0.35",0.00470693590824417,0,14.3357490923702,1,0.000152932935646959,0.00720453156838675,0.851811110985929,0.666345396139573,-0.185465714846356,"chr10",133402883,133402884,"+",0.759078253562751,2,"ALE","distal pA"
"FARP1","ENSG00000152767","PAS35689_None_0.15",0.0125260148414965,0.0404960673829892,10.249313177387,1,0.00136735500401259,0.0350773942118477,0.347990598811855,0.159145011134381,-0.188845587677474,"chr13",98448436,98448437,"+",0.253567804973118,2,"ALE","distal pA"
