"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type"
"ABCE1","ENSG00000164163","PAS13298_AATAAA_0.3",0.00068237703055337,0.209032995345654,2.91657303477496,1,0.0876738832575592,0.189110170053796,0.109646539773179,0.158928301386259,0.0492817616130807,"chr4",145129520,145129521,"+",0.134287420579719,0,"TUTR"
"ABRAXAS2","ENSG00000165660","PAS27969_AATAAA_0.2",0.784968869710211,NA,0.338684980219114,1,0.560589261485283,0.692969376245663,0.694317438171364,0.730398070184957,0.036080632013593,"chr10",124836666,124836667,"+",0.71235775417816,0,"TUTR"
"AFAP1L1","ENSG00000157510","PAS15640_ATTAAA_0.35",0.691755499307435,NA,0.285386860073231,1,0.593192019379714,0.71926138887168,0.310139665715135,0.355533363252621,0.045393697537486,"chr5",149341801,149341802,"+",0.332836514483878,0,"TUTR"
"AKAP9","ENSG00000127914","PAS20635_ATTAAA_0.3",0.264726443515374,NA,0.570640492718667,1,0.450004513852207,0.598062993798399,0.422925080377772,0.376470500707147,-0.0464545796706254,"chr7",91995799,91995800,"+",0.399697790542459,0,"TUTR"
"ANKS1A","ENSG00000064999","PAS17697_AATAAA_0.2",0.458544530329034,NA,0.904301779780098,1,0.34163085868885,0.49718193051739,0.838889760731924,0.89564444542411,0.056754684692186,"chr6",35091404,35091405,"+",0.867267103078017,0,"TUTR"
"ARHGEF12","ENSG00000196914","PAS30631_ATTAAA_0.3",0.791591937152955,NA,0.739013044907779,1,0.389977218539082,0.544745060339336,0.823650195179783,0.859983545052463,0.0363333498726801,"chr11",120489027,120489028,"+",0.841816870116123,0,"TUTR"
"ARIH1","ENSG00000166233","PAS38774_AATAAA_0.25",0.200369361396342,NA,0.00665459223091602,1,0.934984138138284,0.95810927467369,0.472273785369908,0.475903630772418,0.00362984540251032,"chr15",72586553,72586554,"+",0.474088708071163,0,"TUTR"
"ASB7","ENSG00000183475","PAS39095_ATTAAA_0.35",0.94916031670083,NA,0.0700274590663525,1,0.791296803953049,0.864985800816278,0.614938105902335,0.638150216751945,0.0232121108496104,"chr15",100651696,100651697,"+",0.62654416132714,0,"TUTR"
"ATP6V1A","ENSG00000114573","PAS10002_AATAAA_0.15",0.00334713110720958,1,0.015268352588464,1,0.90165956706875,0.937683300088728,0.395392150268326,0.391405953870459,-0.00398619639786713,"chr3",113812053,113812054,"+",0.393399052069393,0,"TUTR"
"BAG4","ENSG00000156735","PAS22800_AATAAA_0.15",0.862337994688372,NA,0.0658853664656363,1,0.797424693101625,0.869301648792917,0.873906532994364,0.861149668060692,-0.0127568649336717,"chr8",38213298,38213299,"+",0.867528100527528,0,"TUTR"
"BMAL2","ENSG00000029153","PAS32373_AATAAA_0.2",0.952653639361852,NA,0.879121161674448,1,0.348442499132892,0.504501785060289,0.324668023275272,0.373422206385085,0.0487541831098128,"chr12",27425288,27425289,"+",0.349045114830179,0,"TUTR"
"BMPR1A","ENSG00000107779","PAS27501_APA_0.2",0.917002108443241,NA,0.0976838187477256,1,0.754627048180553,0.839941160371399,0.586404210215696,0.611951992458943,0.0255477822432466,"chr10",86927965,86927966,"+",0.59917810133732,0,"TUTR"
"BZW1","ENSG00000082153","PAS6789_AATAAA_0.4",0.435876686404137,NA,0.995144470645755,1,0.318488263134149,0.474552522777156,0.0825043760543883,0.113356747177551,0.0308523711231629,"chr2",200827333,200827334,"+",0.0979305616159697,0,"TUTR"
"C3orf38","ENSG00000179021","PAS9839_AATAAA_0.35",0.46092402681831,NA,0.0372399590050918,1,0.846977312670158,0.90199467585106,0.667832953021886,0.653935606496538,-0.0138973465253484,"chr3",88157962,88157963,"+",0.660884279759212,0,"TUTR"
"CAB39","ENSG00000135932","PAS7067_AATAAA_0.15",0.496924261211605,NA,0.775366621205876,1,0.378561948221026,0.533713210457123,0.878707025020485,0.91299884123721,0.0342918162167245,"chr2",230821070,230821071,"+",0.895852933128847,0,"TUTR"
"CALU","ENSG00000128595","PAS20956_AATAAA_0.25",0.0124696858521505,1,0.159754339953906,1,0.689382790708444,0.794354788881831,0.293371193251897,0.305640678785239,0.0122694855333421,"chr7",128771472,128771473,"+",0.299505936018568,0,"TUTR"
"CAMLG","ENSG00000164615","PAS15404_AATAAA_0.3",0.12792407590888,NA,5.21735689798243,1,0.0223625153239375,0.0664079326262224,0.631081677588525,0.702364780530461,0.071283102941936,"chr5",134751374,134751375,"+",0.666723229059493,0,"TUTR"
"CAMSAP2","ENSG00000118200","PAS2039_AATAAA_0.2",0.910653022435071,NA,0.0668511709520772,1,0.795977886908918,0.868262580280198,0.753647669691112,0.769119920766841,0.0154722510757285,"chr1",200860700,200860701,"+",0.761383795228977,0,"TUTR"
"CAND1","ENSG00000111530","PAS32901_AATAAA_0.4",0.585277493238375,NA,0.155843127053231,1,0.693012848096836,0.79749268022883,0.120975754241577,0.111607047722542,-0.00936870651903483,"chr12",67314617,67314618,"+",0.11629140098206,0,"TUTR"
"CAPN7","ENSG00000131375","PAS9245_AATAAA_0.3",0.558127880854674,NA,0.58361044015146,1,0.444900613193428,0.593393603037318,0.893886182086586,0.935321443999592,0.0414352619130066,"chr3",15252299,15252300,"+",0.914603813043089,0,"TUTR"
"CCDC174","ENSG00000154781","PAS9235_AATAAA_0.25",0.86615830714119,NA,0.0627200374382824,1,0.802247340496692,0.872217806456514,0.25234284547966,0.281154016923081,0.0288111714434212,"chr3",14672652,14672653,"+",0.266748431201371,0,"TUTR"
"CCDC97","ENSG00000142039","PAS46855_ATTAAA_0.35",0.145484001883212,NA,0.561062985649414,1,0.453832266322455,0.60192145283176,0.82747642048526,0.878432589330829,0.0509561688455697,"chr19",41324869,41324870,"+",0.852954504908044,0,"TUTR"
"CENPF","ENSG00000117724","PAS2231_AATAAA_0.35",0.650199587017302,NA,0.366629639671942,1,0.544847159452026,0.681169600647172,0.176638725678308,0.205623086711325,0.0289843610330173,"chr1",214664568,214664569,"+",0.191130906194817,0,"TUTR"
"CHAF1B","ENSG00000159259","PAS50225_AATAAA_0.25",0.938933480616913,NA,0.017421352953022,1,0.894992222804377,0.933588430667414,0.272041806630373,0.260323505236576,-0.0117183013937968,"chr21",36419013,36419014,"+",0.266182655933475,0,"TUTR"
"CHRAC1","ENSG00000104472","PAS23491_ATTAAA_0.15",0.521148846071128,NA,0.439529954264799,1,0.507349413692568,0.649660528484961,0.093923856888641,0.121472139262864,0.0275482823742232,"chr8",140517152,140517153,"+",0.107697998075753,0,"TUTR"
"CMPK1","ENSG00000162368","PAS832_AATAAA_0.15",0.81792469296597,NA,0.107356561517918,1,0.743173959435843,0.832419740591683,0.535832170686006,0.553915393892053,0.0180832232060473,"chr1",47378837,47378838,"+",0.544873782289029,0,"TUTR"
"CNST","ENSG00000162852","PAS2514_AATAAA_0.15",0.857004990215884,NA,0.0699854063584837,1,0.791358029596698,0.864985800816278,0.191282551345475,0.215794050947781,0.024511499602306,"chr1",246668592,246668593,"+",0.203538301146628,0,"TUTR"
"CPNE3","ENSG00000085719","PAS23096_APA_0.25",0.327492894909038,NA,1.57832848370253,1,0.209001626288803,0.35005142468613,0.762910224617309,0.801929416838304,0.0390191922209947,"chr8",86561411,86561412,"+",0.782419820727806,0,"TUTR"
"CTTNBP2NL","ENSG00000143079","PAS1345_AATAAA_0.2",0.823664109205447,NA,0.421420209649114,1,0.516229236663954,0.657611418707357,0.147948193431651,0.114832720112611,-0.0331154733190392,"chr1",112461162,112461163,"+",0.131390456772131,0,"TUTR"
"DNAJB4","ENSG00000162616","PAS1041_APA_0.25",0.754054196822092,NA,0.00293211597318077,1,0.956816440092018,0.972154281002163,0.469017822990014,0.466574845916667,-0.00244297707334651,"chr1",78017961,78017962,"+",0.467796334453341,0,"TUTR"
"DNAJC3","ENSG00000102580","PAS35663_AATAAA_0.1",0.193538531903613,NA,2.52126138236054,1,0.112320706484467,0.22522679775843,0.873889095779065,0.94060168753817,0.0667125917591044,"chr13",95794986,95794987,"+",0.907245391658617,0,"TUTR"
