gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,sig_PAS_count,UTR_type,pA_type,condition
ABI2,ENSG00000138443,PAS6853_AATAAA_0.2,2.6968644155887326e-9,6.613947810146417e-11,45.07432584645608,1,1.8969615685250043e-11,1.0705976852362994e-9,0.4224941369252722,0.7890516557715924,0.3665575188463202,chr2,203432167,203432168,+,0.6057728963484323,2,TUTR,distal pA,SUM149PT
ABRAXAS2,ENSG00000165660,PAS27969_AATAAA_0.2,5.83438471357537e-4,7.971708000748769e-5,17.934503262862563,1,2.2863838885642708e-5,3.3121999754655664e-4,0.4687483764342411,0.7999993924912049,0.3312510160569638,chr10,124836666,124836667,+,0.634373884462723,3,TUTR,distal pA,SUM149PT
ACCS,ENSG00000110455,PAS29779_AATAAA_0.4,0.014469480589538652,0,8.732609263529184,1,0.0031256887681286923,0.019820905601265516,0.3422744094941737,0.6253029363997742,0.2830285269056005,chr11,44084233,44084234,+,0.4837886729469739,2,TUTR,distal pA,SUM149PT
ACP1,ENSG00000143727,PAS5154_AATAAA_0.15,1.860065858447944e-16,0,76.32363100258408,1,2.4078522439455587e-18,3.3623050148703698e-16,0.4047961544865328,0.6579498912924941,0.2531537368059613,chr2,278279,278280,+,0.5313730228895135,2,TUTR,distal pA,SUM149PT
ADO,ENSG00000181915,PAS27252_AATAAA_0.25,0.039224976821326994,0,6.5113786582431885,1,0.010718637476865458,0.0511932103752266,0.4917308616504694,0.6737796290399487,0.18204876738947928,chr10,62808470,62808471,+,0.5827552453452091,2,TUTR,distal pA,SUM149PT
AFTPH,ENSG00000119844,PAS5732_AATAAA_0.2,0.01598074964393628,0.0026830187360444378,11.313338771778945,1,7.695227685499622e-4,0.006518565290812532,0.14824478780585923,0.3450003868663633,0.19675559906050408,chr2,64592372,64592373,+,0.24662258733611125,2,MIXED,distal pA,SUM149PT
AGBL5,ENSG00000084693,PAS5344_AATAAA_0.35,0.0027380046981529526,0,12.362436633524794,1,4.380585995629016e-4,0.004011834841838743,0.1304029230308128,0.31976374657015494,0.1893608235393421,chr2,27070612,27070613,+,0.22508333480048387,2,ALE,distal pA,SUM149PT
AGO1,ENSG00000092847,PAS620_ATTAAA_0.2,5.576490975493258e-11,3.723597921438102e-6,26.4748369598542,1,2.6699341892188657e-7,6.563386314513527e-6,0.12665280124092557,0.33583614138613554,0.20918334014521,chr1,35929608,35929609,+,0.23124447131353054,2,TUTR,distal pA,SUM149PT
AGPAT5,ENSG00000155189,PAS22525_AATAAA_0.2,8.354868776494076e-5,0.042759754622673486,7.511093947282461,1,0.006132011736948929,0.03334327538216509,0.5802322411211615,0.7536847744299754,0.17345253330881394,chr8,6759662,6759663,+,0.6669585077755684,2,TUTR,distal pA,SUM149PT
AKIP1,ENSG00000166452,PAS29451_AATAAA_0.35,0.047525664700283216,0,6.110423925240866,1,0.01343868916889424,0.061171257864938856,0.7981806515399393,0.9021969748306644,0.10401632329072497,chr11,8920076,8920077,+,0.8501888131853019,2,TUTR,distal pA,SUM149PT
ALDH5A1,ENSG00000112294,PAS17429_AATAAA_0.15,0.0018316080806859976,0,13.268990804387386,1,2.698324248180758e-4,0.00270932557017769,0.595769733345747,0.7908779747240132,0.1951082413782662,chr6,24537205,24537206,+,0.6933238540348801,2,TUTR,distal pA,SUM149PT
ALG13,ENSG00000101901,PAS52279_AATAAA_0.3,1.8053739889646016e-5,2.436895007886933e-5,20.196158674056505,1,6.9893145655009534e-6,1.1673275683071569e-4,0.33518338253236823,0.7395576515435301,0.4043742690111619,chrX,111760643,111760644,+,0.5373705170379492,2,ALE,distal pA,SUM149PT
ANKHD1,ENSG00000131503,PAS15518_AATAAA_0.2,4.92349864894106e-7,0,31.03098020802122,1,2.539425880824885e-8,7.853087569812124e-7,0.5943792955842637,0.8575075715051815,0.2631282759209178,chr5,140539848,140539849,+,0.7259434335447226,2,ALE,distal pA,SUM149PT
ANXA4,ENSG00000196975,PAS5786_APA_0.25,0.021676688213572062,0,7.81925192843164,1,0.005169258779086056,0.02916185346219102,0.3435070744734954,0.5103766516472696,0.16686957717377426,chr2,69826360,69826361,+,0.4269418630603825,2,TUTR,distal pA,SUM149PT
AP2A2,ENSG00000183020,PAS29386_AATAAA_0.15,2.4302492491529118e-6,0,27.64176966605919,1,1.4599191484595765e-7,3.892638753126961e-6,0.11477417235391718,0.2723244405073285,0.15755026815341133,chr11,1012238,1012239,+,0.19354930643062285,2,MIXED,distal pA,SUM149PT
AP2B1,ENSG00000006125,PAS42660_AATAAA_0.35,9.60775633191533e-6,0,24.70386195674473,1,6.685008451009048e-7,1.4892835438966703e-5,0.7761402486968797,0.9123248315547378,0.13618458285785806,chr17,35726408,35726409,+,0.8442325401258087,2,TUTR,distal pA,SUM149PT
AP5Z1,ENSG00000242802,PAS19983_AATAAA_0.15,1.4441408055434682e-4,0,18.85047023427751,1,1.413762439083816e-5,2.1785451919670407e-4,0.04103162220225964,0.21321718103197107,0.17218555882971143,chr7,4794394,4794395,+,0.12712440161711536,2,TUTR,distal pA,SUM149PT
APEX2,ENSG00000169188,PAS52009_AATAAA_0.05,3.214003605850709e-5,0,22.124842507436824,1,2.55482082746628e-6,4.943578301147252e-5,0.04453719779669785,0.1494530462809549,0.10491584848425706,chrX,55009056,55009057,+,0.09699512203882638,2,TUTR,distal pA,SUM149PT
ARHGAP11A,ENSG00000198826,PAS38255_ATTAAA_0.4,6.796666848994445e-21,1.5814920686705468e-5,23.68611318594958,1,1.1339784351612233e-6,2.4150531296004357e-5,0.591155764684256,0.4468453442078369,-0.14431042047641912,chr15,32639037,32639038,+,0.5190005544460464,2,ALE,distal pA,SUM149PT
ARHGEF7,ENSG00000102606,PAS35760_ATTAAA_0.2,3.11852928238987e-4,0,17.148610251604623,1,3.456622262844799e-5,4.691377610243768e-4,0.9269184634571848,0.8014219050112649,-0.12549655844592,chr13,111305730,111305731,+,0.8641701842342249,2,ALE,distal pA,SUM149PT
ARRDC1,ENSG00000197070,PAS25765_AATAAA_0.1,0.006967574046076673,0,10.3434154016104,1,0.0012993736388516772,0.009932288904202013,0.816816827043889,0.7128588359205746,-0.1039579911233144,chr9,137615358,137615359,+,0.7648378314822318,2,ALE,distal pA,SUM149PT
ASB1,ENSG00000065802,PAS7198_AATAAA_0.05,3.735751388466549e-4,0,16.75623731248379,1,4.2502316828134096e-5,5.616160981445761e-4,0.7077197401610412,0.8717199527110143,0.1640002125499731,chr2,238452248,238452249,+,0.7897198464360278,2,MIXED,distal pA,SUM149PT
ATF6,ENSG00000118217,PAS1753_AATAAA_0.15,0.004310640426528935,0.04771245210328454,6.078393254182629,1,0.013684518018296416,0.06207528350898358,0.1516487607834881,0.28722886840346584,0.13558010761997774,chr1,161964068,161964069,+,0.21943881459347697,2,TUTR,distal pA,SUM149PT
ATG4B,ENSG00000168397,PAS7248_APA_0.2,4.387918674751349e-18,0,84.06297385861399,1,4.792629620480842e-20,8.114521026176627e-18,0.3471034198721619,0.6705653154611141,0.32346189558895216,chr2,241673853,241673854,+,0.508834367666638,2,MIXED,distal pA,SUM149PT
ATG7,ENSG00000197548,PAS9191_AATAAA_0.45,0.002263225308720561,0,12.790604270740914,1,3.483645752298437e-4,0.0033229564587945308,0.0940894051438088,0.3661343378356392,0.2720449326918304,chr3,11557662,11557663,+,0.230111871489724,2,TUTR,distal pA,SUM149PT
ATP11A,ENSG00000068650,PAS35766_AATAAA_0.2,5.830087746869812e-9,1.7261759250341674e-5,22.185437806134587,1,2.475442416766231e-6,4.831393016584812e-5,0.5249742548233611,0.1766772952443494,-0.34829695957901174,chr13,112887165,112887166,+,0.35082577503385526,2,ALE,distal pA,SUM149PT
ATP6V0A2,ENSG00000185344,PAS33561_AATAAA_0.15,2.638622153450028e-5,1.4394344666108935e-6,25.63332548597828,1,4.128475068070888e-7,9.776257831646884e-6,0.13131314092348578,0.4923076726606497,0.3609945317371639,chr12,123761751,123761752,+,0.31181040679206773,2,TUTR,distal pA,SUM149PT
ATP6V1C1,ENSG00000155097,PAS23260_AATAAA_0.3,0.0040956920911943175,0.004003113573265206,12.61475319089186,1,3.827140673469567e-4,0.003599904195982312,0.3696031335181012,0.5220894670591674,0.15248633354106622,chr8,103073048,103073049,+,0.44584630028863426,2,TUTR,distal pA,SUM149PT
ATP8A2,ENSG00000132932,PAS35370_AATAAA_0.25,3.8744767894766966e-5,0,21.703735998178928,1,3.1817103085103938e-6,5.9607560344084765e-5,0.34132912910154833,0.8408698201419066,0.4995406910403583,chr13,26025848,26025849,+,0.5910994746217275,2,TUTR,distal pA,SUM149PT
AVL9,ENSG00000105778,PAS20272_AATAAA_0.3,5.0274019797856585e-5,2.3973025304687904e-6,24.649640335234157,1,6.875758471287914e-7,1.526756532681882e-5,0.18252043752324112,0.5247208511820044,0.3422004136587633,chr7,32586163,32586164,+,0.35362064435262275,2,MIXED,distal pA,SUM149PT
BAIAP2,ENSG00000175866,PAS43519_AATAAA_0.15,1.6612595831095917e-29,0,138.0640651547469,1,7.056321044761616e-32,2.811113780920474e-29,0.8351715471200566,0.32260449920621215,-0.5125670479138444,chr17,81116223,81116224,+,0.5788880231631344,2,ALE,distal pA,SUM149PT
BTRC,ENSG00000166167,PAS27717_ATTAAA_0.2,5.222179448720522e-5,0,21.04827094678529,1,4.478568135633975e-6,8.034729191677345e-5,0.29743578126131587,0.7993646390109155,0.5019288577495996,chr10,101557310,101557311,+,0.5484002101361156,2,TUTR,distal pA,SUM149PT
C6orf141,ENSG00000197261,PAS17900_AATAAA_0.25,0.01041942298552528,0.002011595524489769,11.848912353161722,1,5.769503344916045e-4,0.005094388709705855,0.5803559880388397,0.8510638351574201,0.2707078471185804,chr6,49561911,49561912,+,0.7157099115981299,2,ALE,distal pA,SUM149PT
C6orf89,ENSG00000198663,PAS17744_ATTAAA_0.1,1.6429238662847686e-13,6.849578593225589e-13,56.19930203100103,1,6.548477916123169e-14,5.759683985317424e-12,0.3483855434657211,0.6374885229680083,0.2891029795022872,chr6,36928961,36928962,+,0.49293703321686466,2,TUTR,distal pA,SUM149PT
C8orf33,ENSG00000182307,PAS23602_None_0.05,0.03286614467663635,0,6.908202925022579,1,0.008580118415654737,0.04328406105774429,0.6352158964282023,0.7363002652182491,0.1010843687900468,chr8,145056028,145056029,+,0.6857580808232258,2,TUTR,distal pA,SUM149PT
CAMTA1,ENSG00000171735,PAS113_AATAAA_0.15,0.0015235537165460098,0,13.670321401357342,1,2.1787064676335536e-4,0.0022458583793071906,0.1578561644844857,0.29392392398303,0.13606775949854433,chr1,6888198,6888199,+,0.22589004423375786,2,ALE,distal pA,SUM149PT
CBFB,ENSG00000067955,PAS40710_AATAAA_0.3,2.278933920877524e-11,3.38087400792699e-14,62.11955687607224,1,3.2322541418827345e-15,3.291795665548995e-13,0.4288772220049257,0.6902696226081145,0.26139240060318886,chr16,67101052,67101053,+,0.5595734223065201,2,TUTR,distal pA,SUM149PT
CCDC134,ENSG00000100147,PAS51095_AATAAA_0.3,7.927615701236365e-4,0,15.102634044452998,1,1.0182111590382466e-4,0.0011992756651454826,0.4200253450717829,0.898432333331672,0.4784069882598892,chr22,41832161,41832162,+,0.6592288392017275,2,TUTR,distal pA,SUM149PT
CCNG2,ENSG00000138764,PAS12969_AATAAA_0.2,0.0027873642394961404,0.003992164946781117,10.57705042799762,1,0.0011450020013219304,0.008969954949627268,0.1690296286159746,0.3567619423457775,0.18773231372980287,chr4,77170058,77170059,+,0.26289578548087605,2,TUTR,distal pA,SUM149PT
CCNY,ENSG00000108100,PAS27137_ATTAAA_0.1,3.193538018844465e-17,5.258357710844259e-6,24.47173287956321,1,7.540808286789199e-7,1.658120913061034e-5,0.28147498681069577,0.4182565658971343,0.1367815790864385,chr10,35570345,35570346,+,0.349865776353915,3,TUTR,distal pA,SUM149PT
CD55,ENSG00000196352,PAS2162_AATAAA_0.35,1.3716020338357503e-9,7.147959927923786e-8,33.581562533243414,1,6.833742703476218e-9,2.3856454875924065e-7,0.475030478806096,0.64684804209015,0.17181756328405406,chr1,207360500,207360501,+,0.560939260448123,2,TUTR,distal pA,SUM149PT
