gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand
Gm50387,ENSMUSG00000118125.2,PAS10009_AATAAA_0.2,9.586185452362119e-21,0,95.93954908061642,1,1.1844545451847757e-22,1.1633975754926019e-20,0.6809139987715535,0.349575721322209,-0.33133827744934446,chr19,5778115,5778116,-
Gm50387,ENSMUSG00000118125.2,PAS10010_None_0,9.586185452362119e-21,0,95.93954908061642,1,1.1844545451847757e-22,1.1633975754926019e-20,0.31908600122844655,0.650424278677791,0.3313382774493444,chr19,5780334,5780335,-
Frmd8,ENSMUSG00000024816.13,PAS10014_AATAAA_0.15,0.3075362858093157,NA,1.6885406261149,1,0.1937934585206973,0.31607641574224427,0.08671404077932673,0.05899124522919159,-0.027722795550135147,chr19,5901003,5901004,-
Frmd8,ENSMUSG00000024816.13,PAS10015_AATAAA_0.3,0.3075362858093157,NA,1.6885406261149,1,0.1937934585206973,0.31607641574224427,0.9132859592206732,0.9410087547708084,0.027722795550135126,chr19,5901269,5901270,-
Mrpl49,ENSMUSG00000007338.11,PAS10019_ATTAAA_0.45,0.99273459512285,NA,0.02106516271601322,1,0.8846015798830047,0.9236076337991057,0.15597230551503102,0.15027566522940117,-0.005696640285629856,chr19,6103670,6103671,-
Mrpl49,ENSMUSG00000007338.11,PAS10020_ATTAAA_0.3,0.99273459512285,NA,0.01939057632728236,1,0.8892525598232435,0.9259119704166635,0.49381554693207136,0.5022822249501562,0.008466678018084817,chr19,6103924,6103925,-
Mrpl49,ENSMUSG00000007338.11,PAS10021_APA_0.1,0.99273459512285,NA,0.00203554620622981,1,0.9640140289436996,0.9760412313793027,0.35021214755289765,0.34744210982044266,-0.0027700377324549885,chr19,6104709,6104710,-
Dlgap4,ENSMUSG00000061689.16,PAS1003_ATTAAA_0.2,0.5613072963558268,NA,0.5994671524008481,1,0.43878140382345937,0.5704158249704973,0.7414136123143796,0.7767618364592576,0.03534822414487793,chr2,156604877,156604878,+
Dlgap4,ENSMUSG00000061689.16,PAS1004_AATAAA_0.2,0.5613072963558268,NA,0.5994671524008481,1,0.43878140382345937,0.5704158249704973,0.25858638768562037,0.22323816354074244,-0.03534822414487793,chr2,156606280,156606281,+
Otub1,ENSMUSG00000024767.12,PAS10040_AATAAA_0,0.3926397532261212,NA,1.184066717962196,1,0.27652964498215293,0.4044989622132761,0.8027061276953481,0.7639953805383197,-0.03871074715702838,chr19,7175575,7175576,-
Otub1,ENSMUSG00000024767.12,PAS10041_ATTAAA_0.1,0.3926397532261212,NA,1.184066717962196,1,0.27652964498215293,0.4044989622132761,0.1972938723046519,0.23600461946168028,0.03871074715702838,chr19,7176211,7176212,-
