"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"AASDHPPT","ENSG00000149313","PAS30468_AATAAA_0.3",0.863490443909737,NA,0.168357915578326,1,0.68157532229954,0.888366336055742,0.444765113847575,0.419358446760498,-0.0254066670870773,"chr11",106098692,106098693,"+",0.432061780304037,0,"TUTR","distal pA"
"ABCE1","ENSG00000164163","PAS13298_AATAAA_0.3",0.775903492463581,NA,0.419044320629439,1,0.517414295255208,0.813343210687517,0.164171189860311,0.220968239224829,0.0567970493645179,"chr4",145129520,145129521,"+",0.19256971454257,0,"TUTR","distal pA"
"ACER3","ENSG00000078124","PAS30308_APA_0.25",0.967033615970709,NA,0.913272049583611,1,0.339247735704605,0.676334065128074,0.715387649934605,0.760086499931075,0.04469884999647,"chr11",77022926,77022927,"+",0.73773707493284,0,"TUTR","distal pA"
"ACSL3","ENSG00000123983","PAS7025_APA_0.25",0.385830428454156,NA,3.18859761075873,1,0.0741536009389858,0.326762101199209,0.490570720754394,0.560213385859604,0.0696426651052099,"chr2",222943144,222943145,"+",0.525392053306999,0,"TUTR","distal pA"
"ADD3","ENSG00000148700","PAS27811_AATAAA_0.25",0.604855190195268,NA,1.02675199956957,1,0.310922752263298,0.649497447151075,0.171331769005352,0.208991703298526,0.0376599342931737,"chr10",110135563,110135564,"+",0.190161736151939,0,"TUTR","distal pA"
"AGAP1","ENSG00000157985","PAS7155_AATAAA_0.15",0.462952818310761,NA,0.777838454345101,1,0.377803033544847,0.71352347379191,0.241095154560399,0.297644324468263,0.0565491699078648,"chr2",236131791,236131792,"+",0.269369739514331,0,"TUTR","distal pA"
"AGFG1","ENSG00000173744","PAS7046_ATTAAA_0.3",0.758411942099885,NA,0.721045134642736,1,0.395801299909314,0.724408984616778,0.195679827633649,0.241418013801969,0.0457381861683205,"chr2",227556666,227556667,"+",0.218548920717809,0,"TUTR","distal pA"
"AGGF1","ENSG00000164252","PAS15004_AATAAA_0.4",0.877537176210311,NA,0.142832983225276,1,0.705480729863402,0.901591611101646,0.753853404344273,0.790929922465112,0.0370765181208387,"chr5",77064090,77064091,"+",0.772391663404692,0,"TUTR","distal pA"
"AGL","ENSG00000162688","PAS1196_AATAAA_0.15",0.97197268465525,NA,0.17038455742113,1,0.679770265275988,0.887956745921285,0.563191230040975,0.595596613578506,0.032405383537531,"chr1",99924019,99924020,"+",0.579393921809741,0,"TUTR","distal pA"
"AGPAT3","ENSG00000160216","PAS50311_None_0.25",0.786870227225974,NA,0.0343055855928469,1,0.853058309555452,0.95840555265374,0.599748086707146,0.592559087522323,-0.0071889991848233,"chr21",43985411,43985412,"+",0.596153587114734,0,"TUTR","distal pA"
"AGPAT5","ENSG00000155189","PAS22525_AATAAA_0.2",0.6685998528587,NA,0.773338412895782,1,0.37918626486565,0.714157293232199,0.902408425032567,0.933789034955714,0.0313806099231468,"chr8",6759662,6759663,"+",0.918098729994141,0,"TUTR","distal pA"
