"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type","condition"
"AIMP1","ENSG00000164022","PAS13116_AATAAA_0.2",0.000134087521084332,0.00736989940034364,9.99657709604526,1,0.00156831459239313,0.0152877066017064,0.223492070832294,0.337889794265787,0.114397723433494,"chr4",106349221,106349222,"+",0.28069093254904,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"AP2A2","ENSG00000183020","PAS29386_AATAAA_0.15",8.31251554027361e-07,0,31.0533091732523,1,2.51037969316263e-08,1.25952763502171e-06,0.211390282028817,0.455352295760814,0.243962013731996,"chr11",1012238,1012239,"+",0.333371288894815,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"ATG4B","ENSG00000168397","PAS7248_APA_0.2",4.91072119477673e-11,0,51.7556017575716,1,6.28572312930839e-13,7.94270958756954e-11,0.412592202328142,0.66395655239643,0.251364350068287,"chr2",241673853,241673854,"+",0.538274377362286,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"CDK16","ENSG00000102225","PAS51923_ATTAAA_0.35",1.0528807895257e-09,0,45.1651909523571,1,1.81095495798421e-11,1.79087697910221e-09,0.66338642773333,0.858650044953803,0.195263617220474,"chrX",47229992,47229993,"+",0.761018236343566,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"CEP43","ENSG00000213066","PAS18532_AATAAA_0.1",0.0164775101835185,0.0122636051788629,9.06204795837402,1,0.00260969518206203,0.0223365105589695,0.283581540461645,0.508196059799934,0.224614519338289,"chr6",167042407,167042408,"+",0.39588880013079,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"CNIH4","ENSG00000143771","PAS2312_AATAAA_0.2",3.04681427764367e-05,2.00196511914018e-05,21.1440667254592,1,4.2601817735303e-06,0.000116744378842104,0.0777297757581867,0.191501959218681,0.113772183460494,"chr1",224379448,224379449,"+",0.134615867488434,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"CTNND1","ENSG00000198561","PAS29864_ATTAAA_0.1",0.000153117363406902,0,19.6418347153012,1,9.340159167821e-06,0.000230081502099735,0.203373665951403,0.337052685707612,0.133679019756209,"chr11",57819178,57819179,"+",0.270213175829508,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"DCAF11","ENSG00000100897","PAS36417_AATAAA_0.05",6.92582826459567e-07,0,31.4465692324534,1,2.05004516632032e-08,1.05973357518081e-06,0.125990824931756,0.362513090996706,0.23652226606495,"chr14",24125240,24125241,"+",0.244251957964231,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"DENND3","ENSG00000105339","PAS23509_AATAAA_0.25",0.00941633476122423,0,10.3675377879242,1,0.00128250479447872,0.0130032265455062,0.633747311797582,0.963001633639664,0.329254321842082,"chr8",141195798,141195799,"+",0.798374472718623,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"ELAPOR1","ENSG00000116299","PAS1278_AATAAA_0.3",0.00393137462261682,0,12.3610245954646,1,0.00043839003668203,0.00556459478939913,0.110623648966083,0.255432290164541,0.144808641198458,"chr1",109206778,109206779,"+",0.183027969565312,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"HADH","ENSG00000138796","PAS13130_APA_0.15",0.0106599407198183,0,10.0985457553156,1,0.00148386374819908,0.0145476211003396,0.610208685347712,0.757240247918875,0.147031562571163,"chr4",108035168,108035169,"+",0.683724466633294,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"KIAA1217","ENSG00000120549","PAS27054_AATAAA_0.05",0.035705078111473,0.0391308635849447,6.96175149405985,1,0.00832704777087624,0.0552451244186427,0.468648260114659,0.647349732372258,0.178701472257599,"chr10",24547672,24547673,"+",0.557998996243459,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"PGPEP1","ENSG00000130517","PAS46473_AATAAA_0.15",0.000518854158907138,0,16.943991405718,1,3.84989785909051e-05,0.000764767919694533,0.751000471070194,0.927894347459652,0.176893876389458,"chr19",18369948,18369949,"+",0.839447409264923,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"PPP6R2","ENSG00000100239","PAS51216_AATAAA_0.3",0.0173415144968471,0,8.9477532266344,1,0.0027781106223956,0.0234319379875357,0.471144987156595,0.661269459658727,0.190124472502132,"chr22",50445086,50445087,"+",0.566207223407661,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"RNFT2","ENSG00000135119","PAS33335_AATAAA_0.1",0.0378156680560877,0,7.1703404041607,1,0.0074118709389932,0.0501735132462501,0.264124473502406,0.519354332883041,0.255229859380636,"chr12",116853628,116853629,"+",0.391739403192724,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"RPL15","ENSG00000174748","PAS9310_AATAAA_0.4",1.44341236001223e-19,0,93.0125858438405,1,5.19628449604403e-22,2.62643313027825e-19,0.202156446245288,0.361713202239909,0.159556755994621,"chr3",23920838,23920839,"+",0.281934824242599,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"SARM1","ENSG00000004139","PAS42486_APA_0.25",0.0124724594198692,0,9.73187033763213,1,0.00181100110776501,0.0170564058783085,0.208621218714658,0.454541688287454,0.245920469572796,"chr17",28401044,28401045,"+",0.331581453501056,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"SEH1L","ENSG00000085415","PAS45220_AATAAA_0.15",0.000851235999741839,0,15.825478430369,1,6.9460857578934e-05,0.00123589611913913,0.629047348390566,0.433855297396978,-0.195192050993588,"chr18",12987533,12987534,"+",0.531451322893772,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"SMOC1","ENSG00000198732","PAS36874_AATAAA_0",0.0333811902020211,0,7.45034584371521,1,0.00634242613838402,0.0444327974900034,0.4474856902692,0.793425445786496,0.345939755517296,"chr14",70032365,70032366,"+",0.620455568027848,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"TBCD","ENSG00000141556","PAS43599_AATAAA_0.35",2.05690283407497e-08,2.29647244107323e-10,43.2219670203758,1,4.88689335460384e-11,4.44609557401858e-09,0.0270716702200298,0.155967210032516,0.128895539812486,"chr17",82945912,82945913,"+",0.0915194401262728,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"UBA52","ENSG00000221983","PAS46480_AATAAA_0.1",8.34366629799638e-33,0,156.472362496177,1,6.67493303839711e-36,1.51821351958342e-32,0.0304956844128195,0.205195883034695,0.174700198621875,"chr19",18577458,18577459,"+",0.117845783723757,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"ACP6","ENSG00000162836","PAS4020_AATAAA_0.25",0.000134087521084332,0.000472038338322646,15.1282329982205,1,0.000100449758395059,0.0016737946920847,0.0337672705769525,0.136000004245728,0.102232733668776,"chr1",147642909,147642910,"-",0.0848836374113405,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"APTX","ENSG00000137074","PAS25945_AATAAA_0.15",0.0136966390593003,0,9.50509884909116,1,0.00204901720327133,0.0187043062027049,0.603089637082303,0.757223779375468,0.154134142293166,"chr9",32972616,32972617,"-",0.680156708228885,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"AUNIP","ENSG00000127423","PAS2961_AATAAA_0.2",0.0270027664003278,0,7.93343573442849,1,0.00485295620564929,0.0359350479319023,0.356307936847439,0.682156882032292,0.325848945184853,"chr1",25834005,25834006,"-",0.519232409439866,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"CAMK2D","ENSG00000145349","PAS14189_AATAAA_0.15",0.00274885066409044,0,13.2304693250039,1,0.000275434836541862,0.00383166076889581,0.218501540132807,0.400138759862617,0.18163721972981,"chr4",113451033,113451034,"-",0.309320149997712,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"EDEM3","ENSG00000116406","PAS4551_AATAAA_0.3",0.0224256609256544,0.0306079574602734,7.40248792227749,1,0.00651337334754618,0.0452586588971297,0.527327600564625,0.652409801559649,0.125082200995024,"chr1",184690503,184690504,"-",0.589868701062137,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"ELOB","ENSG00000103363","PAS41177_AATAAA_0.15",7.60521047644786e-30,0,142.126175232825,1,9.12625257173743e-33,1.24545968846501e-29,0.0594715317467358,0.222935526007858,0.163463994261122,"chr16",2771414,2771415,"-",0.141203528877297,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"ERCC2","ENSG00000104884","PAS48295_AATAAA_0.1",0.000712258734654916,4.64493997535939e-05,19.5336261372304,1,9.88443226756479e-06,0.00024131099670028,0.39863007874123,0.64948781343473,0.2508577346935,"chr19",45349837,45349838,"-",0.52405894608798,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"FANCA","ENSG00000187741","PAS42086_APA_0.25",0.0273870736289352,0.028904272742358,8.76217859057488,1,0.00307541461978689,0.0253903105361353,0.185344040353146,0.317223015176389,0.131878974823243,"chr16",89737550,89737551,"-",0.251283527764767,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"GLG1","ENSG00000090863","PAS41868_AATAAA_0.2",0.00418263194938199,0.000834123240156394,14.0554211573635,1,0.000177501425505281,0.0026766430429509,0.19268129953402,0.310313313088242,0.117632013554222,"chr16",74447429,74447430,"-",0.251497306311131,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"HNRNPDL","ENSG00000152795","PAS13994_AATAAA_0.45",0.00598140108266066,0.000942978466367799,15.8968881161145,1,6.68886058810225e-05,0.00120109053218199,0.218144796964752,0.340105154435835,0.121960357471083,"chr4",82423210,82423211,"-",0.279124975700294,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"KIAA1549","ENSG00000122778","PAS22351_AATAAA_0.25",0.0021812008500158,0,13.7526826956822,1,0.000208522801261511,0.00305006502552609,0.0565750796863337,0.422175548874967,0.365600469188633,"chr7",138831383,138831384,"-",0.23937531428065,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"MMP24OS","ENSG00000126005","PAS49692_AATAAA_0.45",0.00114049521477809,0.000594513963476317,14.6930416726445,1,0.00012651257142776,0.00201931820149081,0.359074130353222,0.484137826311168,0.125063695957946,"chr20",35276351,35276352,"-",0.421605978332195,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"MRPS16","ENSG00000182180","PAS28722_AATAAA_0.25",0.00353870339195299,0.000399751541849859,15.4422039425735,1,8.506712810565e-05,0.00146714162168327,0.563293895555859,0.692754484770498,0.129460589214639,"chr10",73248849,73248850,"-",0.628024190163178,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"NCBP2","ENSG00000114503","PAS12382_AATAAA_0.05",0.000541777239598122,0,16.8518147855666,1,4.04146666523512e-05,0.000798175044579792,0.732659458411576,0.842707241979004,0.110047783567429,"chr3",196935407,196935408,"-",0.78768335019529,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"PAK1","ENSG00000149269","PAS31605_AATAAA_0.2",0.000446467109906553,0.000479307914435364,15.0993810750524,1,0.000101996724191845,0.00168721126672256,0.574204064052655,0.798719001617396,0.224514937564741,"chr11",77322020,77322021,"-",0.686461532835025,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"PSME4","ENSG00000068878","PAS7684_AATAAA_0.15",0.000102915537046976,6.01864505047382e-06,23.4518910372699,1,1.28076766674083e-06,4.25952117251518e-05,0.110541969534903,0.248877286009819,0.138335316474916,"chr2",53864070,53864071,"-",0.179709627772361,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"SBF1","ENSG00000100241","PAS51708_ATTAAA_0.35",1.20829526415028e-13,1.94110832138591e-15,66.1728279261233,1,4.13067850790921e-16,8.80802649959954e-14,0.242623230729535,0.497589889757643,0.254966659028109,"chr22",50444324,50444325,"-",0.370106560243589,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"SREBF1","ENSG00000072310","PAS43907_AATAAA_0.35",9.09958092514682e-06,0,25.8861232778763,1,3.62163320820844e-07,1.37672502485851e-05,0.0754863927241592,0.191157259766275,0.115670867042115,"chr17",17811349,17811350,"-",0.133321826245217,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"STN1","ENSG00000107960","PAS29082_AATAAA_0.15",1.00786088287185e-13,8.70358647691718e-05,19.658177171601,1,9.26061601143988e-06,0.00022936411380784,0.11901253011149,0.220622910913152,0.101610380801662,"chr10",103882073,103882074,"-",0.169817720512321,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"STX18","ENSG00000168818","PAS13579_AATAAA_0.25",0.000555588946322967,0,16.7938024134367,1,4.16691709742225e-05,0.000818214642137,0.123172071894447,0.326058163000553,0.202886091106106,"chr4",4418970,4418971,"-",0.2246151174475,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"TCF3","ENSG00000071564","PAS47470_AATAAA_0.1",2.32644181904182e-08,0,38.7982821327196,1,4.69941247446447e-10,3.52378472741849e-08,0.607363673103092,0.8171291707089,0.209765497605808,"chr19",1609293,1609294,"-",0.712246421905996,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"TRIM27","ENSG00000204713","PAS18816_AATAAA_0.1",2.22618609679771e-08,0,38.9036942859761,1,4.45237219359542e-10,3.37564018477996e-08,0.435065105769727,0.700071348758611,0.265006242988883,"chr6",28903002,28903003,"-",0.567568227264169,2,"MIXED","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
