gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand
Zfp91,ENSMUSG00000024695.17,PAS10070_AATAAA_0.25,0.0048796892955230795,0,10.71051404084119,1,0.0010652842828254609,0.005378281095243783,0.3009754856417241,0.4658878757616438,0.1649123901199197,chr19,12744383,12744384,-
Zfp91,ENSMUSG00000024695.17,PAS10071_APA_0.1,0.0048796892955230795,0,10.71051404083937,1,0.0010652842828265106,0.005378281095243783,0.6990245143582758,0.5341121242383562,-0.16491239011991965,chr19,12747292,12747293,-
Oga,ENSMUSG00000025220.9,PAS10126_AATAAA_0.1,2.2990674798557016e-8,0,37.22530982810167,1,1.0523900435959197e-9,2.7572619142213095e-8,0.5629034458677329,0.8109320064033504,0.2480285605356175,chr19,45738699,45738700,-
Oga,ENSMUSG00000025220.9,PAS10127_AATAAA_0.15,2.2990674798557016e-8,0,37.22530982810167,1,1.0523900435959197e-9,2.7572619142213095e-8,0.4370965541322671,0.1890679935966496,-0.2480285605356175,chr19,45740277,45740278,-
Phf6,ENSMUSG00000025626.17,PAS10200_AATAAA_0.2,0.00477908264339322,0,10.780618233559153,1,0.0010256841796829933,0.005246286105386162,0.34293643575372096,0.1767686867440931,-0.16616774900962786,chrX,52042880,52042881,+
Phf6,ENSMUSG00000025626.17,PAS10201_AATAAA_0.05,0.00477908264339322,0,10.780618233562791,1,0.0010256841796809774,0.005246286105386162,0.657063564246279,0.8232313132559069,0.16616774900962794,chrX,52045818,52045819,+
Srsf6,ENSMUSG00000016921.15,PAS1020_AATAAA_0.3,3.5753798569268886e-6,0,26.215939876013636,1,3.0529211806506003e-7,4.0853337734620125e-6,0.8399095094045095,0.6784797746878066,-0.16142973471670286,chr2,162777127,162777128,+
Srsf6,ENSMUSG00000016921.15,PAS1021_AATAAA_0.2,3.5753798569268886e-6,0,26.215939876013636,1,3.0529211806506003e-7,4.0853337734620125e-6,0.16009049059549052,0.3215202253121934,0.16142973471670286,chr2,162779040,162779041,+
Ywhab,ENSMUSG00000018326.10,PAS1026_APA_0.2,1.5440503037756442e-10,7.164002565383817e-10,39.93658046825476,1,2.623437559154637e-10,8.061402573748015e-9,0.4466848454142958,0.2545602277569893,-0.19212461765730654,chr2,163858730,163858731,+
Ywhab,ENSMUSG00000018326.10,PAS1028_AATAAA_0.15,1.5440503037756442e-10,1.3571509785672962e-12,52.21682514245185,1,4.969848653908409e-13,2.6319049573570277e-11,0.4548562879162018,0.681517132772115,0.2266608448559132,chr2,163860506,163860507,+
Was,ENSMUSG00000031165.7,PAS10295_AATAAA_0.25,0.030350179332249535,0,6.660293999511396,1,0.009858464941549365,0.03280443748598445,0.6959352110101079,0.7999561523431499,0.10402094133304196,chrX,7947404,7947405,-
Was,ENSMUSG00000031165.7,PAS10296_APA_0.1,0.030350179332249535,0,6.660293999511396,1,0.009858464941549365,0.03280443748598445,0.3040647889898921,0.20004384765685013,-0.10402094133304196,chrX,7947995,7947996,-
Lamp2,ENSMUSG00000016534.16,PAS10322_AATAAA_0.1,9.208137874208596e-4,0,14.31266284207345,1,1.5481992376530296e-4,0.0010443002445849297,0.35152623363754565,0.5959299088270295,0.2444036751894838,chrX,37493940,37493941,-
Lamp2,ENSMUSG00000016534.16,PAS10323_AATAAA_0.35,9.208137874208596e-4,0,14.31266284207436,1,1.5481992376522837e-4,0.0010443002445849297,0.6484737663624544,0.40407009117297055,-0.2444036751894838,chrX,37508385,37508386,-
Ubl4a,ENSMUSG00000015290.16,PAS10363_AATAAA_0.35,0.028294279935371838,0,6.809754094914297,1,0.009066124908869145,0.030659762089912095,0.13312307040892324,0.24902318429558823,0.11590011388666499,chrX,73409324,73409325,-
Ubl4a,ENSMUSG00000015290.16,PAS10364_ATTAAA_0.25,0.028294279935371838,0,6.809754094914297,1,0.009066124908869145,0.030659762089912095,0.8668769295910768,0.7509768157044118,-0.11590011388666499,chrX,73411007,73411008,-
Pcif1,ENSMUSG00000039849.7,PAS1038_APA_0.2,0.003860010894658017,0,11.221159640590713,1,8.08699465606169e-4,0.004264519004012192,0.6924289840088761,0.42000961220973365,-0.27241937179914244,chr2,164733292,164733293,+
Pcif1,ENSMUSG00000039849.7,PAS1039_AATAAA_0.4,0.003860010894658017,0,11.221159640590713,1,8.08699465606169e-4,0.004264519004012192,0.3075710159911239,0.5799903877902663,0.27241937179914244,chr2,164736370,164736371,+
Psmd10,ENSMUSG00000031429.15,PAS10415_AATAAA_0.25,0.0011282927328586812,0,13.872277411983305,1,1.9566344046933115e-4,0.0012782317672655255,0.41113692650913797,0.6709892206211211,0.25985229411198313,chrX,139849177,139849178,-
Psmd10,ENSMUSG00000031429.15,PAS10416_ATTAAA_0.15,0.0011282927328586812,0,13.872277411988762,1,1.9566344046876292e-4,0.0012782317672655255,0.588863073490862,0.3290107793788789,-0.2598522941119831,chrX,139849693,139849694,-
Ncoa3,ENSMUSG00000027678.18,PAS1041_AATAAA_0.2,6.336492624823838e-9,1.4899002410575045e-6,25.095510778542575,1,5.455972713731706e-7,7.0362259505068475e-06,0.33103012795727205,0.13966380868698658,-0.19136631927028547,chr2,165912855,165912856,+
Ncoa3,ENSMUSG00000027678.18,PAS1043_AATAAA_0.15,6.336492624823838e-9,1.8987388666859098e-10,42.532111350094056,1,6.953128244201923e-11,2.4723337428312266e-9,0.4062414519135207,0.6949333573377755,0.2886919054242548,chr2,165915154,165915155,+
Rtf2,ENSMUSG00000027502.12,PAS1059_APA_0.15,6.799011627159276e-10,0,44.936855959516834,1,2.0349154517906282e-11,8.039531046838172e-10,0.3489672112549974,0.10718875236479522,-0.2417784588902022,chr2,172310789,172310790,+
Rtf2,ENSMUSG00000027502.12,PAS1060_AATAAA_0.05,6.799011627159276e-10,0,44.93685595951638,1,2.0349154517911003e-11,8.039531046838172e-10,0.6510327887450026,0.8928112476352048,0.24177845889020222,chr2,172311824,172311825,+
Vapb,ENSMUSG00000054455.6,PAS1064_APA_0.15,2.7424314562005185e-4,0,16.93774835684883,1,3.8625795157753786e-5,3.0913055996028676e-4,0.19642318759845404,0.03260449793955059,-0.16381868965890345,chr2,173620115,173620116,+
Vapb,ENSMUSG00000054455.6,PAS1065_AATAAA_0.15,2.7424314562005185e-4,0,16.93774835684883,1,3.8625795157753786e-5,3.0913055996028676e-4,0.803576812401546,0.9673955020604494,0.16381868965890345,chr2,173621152,173621153,+
Tpd52l2,ENSMUSG00000000827.19,PAS1086_APA_0.2,2.442908648586859e-7,0,31.938482226245014,1,1.5913313379879188e-8,3.0704059691875426e-7,0.8700254223528905,0.5852695008539356,-0.2847559214989549,chr2,181157176,181157177,+
Tpd52l2,ENSMUSG00000000827.19,PAS1087_AATAAA_0.15,2.442908648586859e-7,0,31.938482226245014,1,1.5913313379879188e-8,3.0704059691875426e-7,0.1299745776471095,0.4147304991460644,0.2847559214989549,chr2,181158548,181158549,+
Cdc123,ENSMUSG00000039128.14,PAS1098_AATAAA_0.3,2.0700881208493077e-12,0,57.25571895417261,1,3.826747406499601e-14,2.57426332291284e-12,0.9495732032609793,0.7185566832493947,-0.23101652001158457,chr2,5799475,5799476,-
Cdc123,ENSMUSG00000039128.14,PAS1099_APA_0.2,2.0700881208493077e-12,0,57.25571895417261,1,3.826747406499601e-14,2.57426332291284e-12,0.05042679673902073,0.2814433167506053,0.23101652001158457,chr2,5814367,5814368,-
Brd3,ENSMUSG00000026918.17,PAS1151_AATAAA_0.05,8.332096126346794e-8,0,34.37405642998715,1,4.547446829520257e-9,1.0480180702487506e-7,0.47141420079953394,0.8702508647607762,0.39883666396124223,chr2,27335591,27335592,-
Brd3,ENSMUSG00000026918.17,PAS1152_APA_0.1,8.332096126346794e-8,0,34.37405642998533,1,4.54744682952451e-9,1.0480180702487506e-7,0.5285857992004661,0.12974913523922382,-0.3988366639612423,chr2,27338386,27338387,-
Sh3glb2,ENSMUSG00000026860.17,PAS1159_AATAAA_0.3,0.040417839379675455,0,6.022466053053108,1,0.01412489633250982,0.0436189416521302,0.7414746412217434,0.8662999651477523,0.12482532392600887,chr2,30234822,30234823,-
Sh3glb2,ENSMUSG00000026860.17,PAS1160_ATTAAA_0.1,0.040417839379675455,0,6.022466053053108,1,0.01412489633250982,0.0436189416521302,0.25852535877825655,0.13370003485224768,-0.12482532392600887,chr2,30235206,30235207,-
Mff,ENSMUSG00000026150.15,PAS115_APA_0.1,7.431669686855614e-4,0,14.81259101132332,1,1.187400716052459e-4,8.419022849327334e-4,0.32437171650725066,0.14823941331008209,-0.17613230319716858,chr1,82729500,82729501,+
