"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type"
"ADCY7","ENSG00000121281","PAS40571_ATTAAA_0.35",0.0103205008417044,0,7.91405618902309,1,0.00490521639933348,0.0134891327511368,0.885946164819858,0.783783030001527,-0.102163134818331,"chr16",50318131,50318132,"+",0.834864597410693,2,"TUTR"
"AGO1","ENSG00000092847","PAS621_ATTAAA_0.3",0.000236336341542949,0.00379984924608609,11.9171305756031,1,0.000556200877200373,0.00199842220154279,0.0523166955804129,0.15878136714681,0.106464671566397,"chr1",35930528,35930529,"+",0.105549031363611,2,"TUTR"
"AP5M1","ENSG00000053770","PAS36692_AATAAA_0.2",1.19046565933767e-05,8.63291066885081e-05,16.4275400750339,1,5.05455051065832e-05,0.000233008176080594,0.11450411944031,0.312500269404523,0.197996149964213,"chr14",57298740,57298741,"+",0.213502194422417,2,"TUTR"
"APEX2","ENSG00000169188","PAS52009_AATAAA_0.05",0.00017280076044606,0,16.2670184775836,1,5.50132291102627e-05,0.000251849262467594,0.170606820652294,0.5,0.329393179347706,"chrX",55009056,55009057,"+",0.335303410326147,2,"TUTR"
"ARL10","ENSG00000175414","PAS15839_AATAAA_0.2",0.0119220844344239,0.0108768060592536,7.44300517998636,1,0.00636834640482271,0.0168728243668651,0.147435948920429,0.279070143927371,0.131634195006943,"chr5",176381907,176381908,"+",0.2132530464239,2,"TUTR"
"ARL5B","ENSG00000165997","PAS27019_AATAAA_0.3",2.33173113428171e-08,9.54659580924207e-10,38.459733481297,1,5.58951118268394e-10,5.95352294380977e-09,0.775936375703058,0.94199113256782,0.166054756864762,"chr10",18681637,18681638,"+",0.858963754135439,2,"TUTR"
"ASF1A","ENSG00000111875","PAS18247_AATAAA_0.35",0.0396666708478768,0,5.20555015979153,1,0.0225148885811312,0.0493014215734401,0.311609169014251,0.428841886062281,0.11723271704803,"chr6",118909164,118909165,"+",0.370225527538266,2,"TUTR"
"ATP8B2","ENSG00000143515","PAS1605_APA_0.25",0.000249220356493379,0,15.5003710269207,1,8.24890609967949e-05,0.000362782824062614,0.808925824391927,0.922321571514026,0.113395747122099,"chr1",154351302,154351303,"+",0.865623697952976,2,"TUTR"
"BAG3","ENSG00000151929","PAS27916_AATAAA_0.2",1.60467466647665e-07,0,30.6151642195509,1,3.14625065376745e-08,2.60780827937415e-07,0.702781443447671,0.814229343105736,0.111447899658064,"chr10",119677814,119677815,"+",0.758505393276704,2,"TUTR"
"BMPR1A","ENSG00000107779","PAS27501_APA_0.2",0.000447257054942812,0,14.3127404155016,1,0.000154813544090053,0.00063743684047035,0.519472118829517,0.707096921474934,0.187624802645417,"chr10",86927965,86927966,"+",0.613284520152226,2,"TUTR"
"BST1","ENSG00000109743","PAS12608_AATAAA_0.2",0.00469717998027933,0,9.5008696468642,1,0.00205374535934291,0.00633188313953111,0.0713535595882631,0.254473671426186,0.183120111837923,"chr4",15732785,15732786,"+",0.162913615507225,2,"TUTR"
"C3orf38","ENSG00000179021","PAS9839_AATAAA_0.35",0.000314584396454449,4.43335486810233e-05,17.6930595692247,1,2.59571967926771e-05,0.000127782468153907,0.569766460432502,0.742082637158675,0.172316176726173,"chr3",88157962,88157963,"+",0.655924548795589,2,"TUTR"
"CCDC174","ENSG00000154781","PAS9235_AATAAA_0.25",0.0197903673697425,0,6.59439424295078,1,0.010230035710601,0.0251607862970503,0.213695567719872,0.399897537701213,0.186201969981342,"chr3",14672652,14672653,"+",0.306796552710543,2,"TUTR"
"CCNG2","ENSG00000138764","PAS12969_AATAAA_0.2",8.93794826389505e-07,1.06039556237215e-07,29.2971815256456,1,6.20859306540404e-08,4.9078480075501e-07,0.117868365946281,0.475619566646313,0.357751200700032,"chr4",77170058,77170059,"+",0.296743966296297,3,"TUTR"
"CDT1","ENSG00000167513","PAS41015_AATAAA_0.35",3.15056394740494e-06,0,24.4964948789129,1,7.44451437788685e-07,4.9076933513998e-06,0.267990346192682,0.382473178851809,0.114482832659127,"chr16",88809253,88809254,"+",0.325231762522246,2,"TUTR"
"CHMP4B","ENSG00000101421","PAS48968_ATTAAA_0.1",1.14950937415695e-09,0,40.793535469078,1,1.69191855936521e-10,1.91104968999139e-09,0.496759901116617,0.687000655026814,0.190240753910197,"chr20",33854362,33854363,"+",0.591880278071715,2,"TUTR"
"CREB1","ENSG00000118260","PAS6893_APA_0.1",1.19490831317524e-07,0.0449340994525961,7.38494599238038,1,0.00657720449238488,0.0173566940085683,0.447236177415417,0.589283393997869,0.142047216582452,"chr2",207603430,207603431,"+",0.518259785706643,2,"TUTR"
"CREBRF","ENSG00000164463","PAS15818_AATAAA_0.3",2.49007124335357e-07,0,29.7241501977546,1,4.9810407808088e-08,4.02974572796865e-07,0.38371331983957,0.69138142366095,0.30766810382138,"chr5",173139279,173139280,"+",0.53754737175026,2,"TUTR"
