gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand
SLC49A4,ENSG00000138463.9,PAS10066_AATAAA_0.25,0.023393867992588472,0,7.250500994634081,1,0.007088123367474003,0.03115391126181385,0.9243867949613517,0.6941297263080158,-0.23025706865333584,chr3,122879913,122879914,+
SLC49A4,ENSG00000138463.9,PAS10068_AATAAA_0.25,0.023393867992588472,0,7.250500994634081,1,0.007088123367474003,0.03115391126181385,0.07561320503864832,0.30587027369198416,0.23025706865333584,chr3,122881136,122881137,+
PLXNA1,ENSG00000114554.12,PAS10091_None_0.2,0.03979960493068024,0,6.100156987946775,1,0.01351698731944785,0.05174353777972044,0.28583764772392994,0.1845288178238412,-0.10130882990008874,chr3,127035578,127035579,+
PLXNA1,ENSG00000114554.12,PAS10092_AATAAA_0.25,0.03979960493068024,0,6.100156987946775,1,0.01351698731944785,0.05174353777972044,0.7141623522760701,0.8154711821761588,0.10130882990008871,chr3,127037384,127037385,+
ESPN,ENSG00000187017.18,PAS100_ATTAAA_0.1,2.4061582116994697e-19,5.220038603464084e-8,32.96740932058219,1,9.371676782480846e-9,1.9933952502679682e-7,0.6553307136284121,0.43257052825658987,-0.22276018537182224,chr1,6460928,6460929,+
ESPN,ENSG00000187017.18,PAS98_AATAAA_0.25,2.4061582116994697e-19,2.7555056340842833e-22,97.66820111700144,1,4.947033946799914e-23,6.331364971573925e-21,0.0839722866821662,0.40043365155389193,0.3164613648717257,chr1,6456667,6456668,+
HMCES,ENSG00000183624.14,PAS10127_AATAAA_0.3,1.709067882524628e-4,0,17.746608190040206,1,2.523670331204591e-5,2.6068720480062747e-4,0.7036669586113367,0.5792758256778264,-0.12439113293351023,chr3,129305260,129305261,+
HMCES,ENSG00000183624.14,PAS10128_AATAAA_0.2,1.709067882524628e-4,0,17.746608190040206,1,2.523670331204591e-5,2.6068720480062747e-4,0.29633304138866334,0.4207241743221736,0.12439113293351028,chr3,129306182,129306183,+
NUDT16,ENSG00000198585.12,PAS10151_APA_0.25,0.0020384789527617417,0,12.50183399830803,1,4.0655271824238844e-4,0.002981913137880792,0.3377301006795586,0.07714492650147549,-0.26058517417808313,chr3,131383639,131383640,+
NUDT16,ENSG00000198585.12,PAS10154_AATAAA_0.4,0.0020384789527617417,0,12.50183399830803,1,4.0655271824238844e-4,0.002981913137880792,0.6622698993204414,0.9228550734985245,0.260585174178083,chr3,131388805,131388806,+
SRPRB,ENSG00000144867.13,PAS10178_APA_0.15,1.9514931037762745e-4,4.02317098785513e-6,25.336433170955388,1,4.815271942473337e-7,7.390267975125237e-6,0.3655376291738161,0.1820507206681307,-0.18348690850568541,chr3,133819908,133819909,+
SRPRB,ENSG00000144867.13,PAS10180_APA_0.15,1.9514931037762745e-4,0.01667851138863365,9.553003104436357,1,0.001996225568695654,0.01121957519108365,0.47487725675567366,0.5970618755744436,0.12218461881876991,chr3,133820678,133820679,+
TYW3,ENSG00000162623.16,PAS1018_AATAAA_0.25,0.029825964578632777,0.012332688169705838,8.099297480637233,1,0.004428241864299984,0.021308394993795464,0.2754428524581358,0.16394140493247775,-0.11150144752565808,chr1,74764397,74764398,+
TYW3,ENSG00000162623.16,PAS1019_AATAAA_0.25,0.029825964578632777,0.041091876279604145,5.945527885062802,1,0.014754671837966273,0.055539644590470255,0.44147696127959946,0.556923763973035,0.11544680269343555,chr1,74766673,74766674,+
PXYLP1,ENSG00000155893.13,PAS10247_AATAAA_0.35,0.026034127676699128,0,7.010741902153086,1,0.008102209828355897,0.03474150279041191,0.35351916214266726,0.1896760829647721,-0.16384307917789517,chr3,141294321,141294322,+
PXYLP1,ENSG00000155893.13,PAS10248_AATAAA_0.45,0.026034127676699128,0,7.010741902153086,1,0.008102209828355897,0.03474150279041191,0.6464808378573328,0.810323917035228,0.1638430791778952,chr3,141294631,141294632,+
U2SURP,ENSG00000163714.18,PAS10279_AATAAA_0.35,1.4051090545054572e-12,6.544177133658483e-8,33.875806065349025,1,5.874469286802779e-9,1.2956668956829616e-7,0.38400305523435896,0.2466757833929941,-0.13732727184136487,chr3,143056835,143056836,+
TSC22D2,ENSG00000196428.13,PAS10310_ATTAAA_0.3,3.7392600919931117e-10,0,45.04859656540475,1,1.9220495799964594e-11,6.672825921173914e-10,0.8848255355028454,0.4395262802289988,-0.44529925527384656,chr3,150460115,150460116,+
TSC22D2,ENSG00000196428.13,PAS10311_AATAAA_0.3,3.7392600919931117e-10,0,45.04859656540475,1,1.9220495799964594e-11,6.672825921173914e-10,0.11517446449715463,0.5604737197710011,0.4452992552738465,chr3,150466417,150466418,+
RAP2B,ENSG00000181467.5,PAS10335_APA_0.25,0.026757472029925983,0.001966086184567179,14.486191848292947,1,1.4119071254405799e-4,0.0011992475482791695,0.7057348518044956,0.5730337661523537,-0.1327010856521419,chr3,153164728,153164729,+
GMPS,ENSG00000163655.16,PAS10358_AATAAA_0.45,3.5178625196148123e-4,7.440355073276874e-4,13.287669077324608,1,2.671574223507453e-4,0.0020743503302524196,0.5559453865427088,0.2898816536666026,-0.26606373287610613,chr3,155937728,155937729,+
GMPS,ENSG00000163655.16,PAS10362_ATTAAA_0.35,3.5178625196148123e-4,2.7909138174123446e-4,15.13270574171247,1,1.0021206435979651e-4,8.839968434355414e-4,0.1192013665695485,0.3608606753601884,0.2416593087906399,chr3,155944018,155944019,+
MYNN,ENSG00000085274.16,PAS10441_APA_0.2,0.048662148675127095,0.02868295059969541,7.826163788733538,1,0.005149527860001391,0.024106686218766587,0.5814839902909325,0.39760523593187586,-0.1838787543590566,chr3,169786823,169786824,+
TTC14,ENSG00000163728.11,PAS10525_ATTAAA_0.2,3.881038729134444e-4,1.4973420886304548e-4,16.310529356647976,1,5.376437667774026e-5,5.05052713508698e-4,0.6305958781204275,0.38475979015044776,-0.24583608796997974,chr3,180610977,180610978,+
TTC14,ENSG00000163728.11,PAS10527_AATAAA_0.45,3.881038729134444e-4,1.2082054180905164e-4,16.717348094677618,1,4.338247865704452e-5,4.197067217672559e-4,0.21690356132743926,0.45014733669132595,0.23324377536388669,chr3,180618325,180618326,+
DVL3,ENSG00000161202.20,PAS10571_AATAAA_0.15,1.433435585039482e-4,0,18.112928856128747,1,2.0818307468704254e-5,2.1939852016226224e-4,0.5261478793671649,0.32443997634338256,-0.20170790302378233,chr3,184170874,184170875,+
DVL3,ENSG00000161202.20,PAS10572_AATAAA_0.3,1.433435585039482e-4,0,18.112928856127837,1,2.0818307468714195e-5,2.1939852016226224e-4,0.47385212063283505,0.6755600236566175,0.20170790302378244,chr3,184173603,184173604,+
MAP3K13,ENSG00000073803.14,PAS10600_AATAAA_0.1,2.1491282795925918e-11,5.564237082748728e-8,32.843271143734455,1,9.989625641084399e-9,2.1099765934497423e-7,0.6192882410850503,0.34583229870355997,-0.27345594238149035,chr3,185293077,185293078,+
MAP3K13,ENSG00000073803.14,PAS10602_None_0.15,2.1491282795925918e-11,3.57992244635146e-8,33.70088872505585,1,6.427131793870238e-9,1.406703541319251e-7,0.015228745405999078,0.1666673851788514,0.15143863977285232,chr3,185484949,185484950,+
