"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"AASDHPPT","ENSG00000149313","PAS30468_AATAAA_0.3",0.775128166869782,NA,0.170147234984142,1,0.679980988445932,0.804660070073787,0.531983387256851,0.514664616890574,-0.0173187703662767,"chr11",106098692,106098693,"+",0.523324002073713,0,"TUTR","distal pA"
"ABCC1","ENSG00000103222","PAS40309_APA_0.2",0.246702717103406,NA,2.2286439020163,1,0.135472704387097,0.284139822703942,0.85715785653225,0.920252966086998,0.0630951095547478,"chr16",16143051,16143052,"+",0.888705411309624,0,"TUTR","distal pA"
"ABCE1","ENSG00000164163","PAS13298_AATAAA_0.3",0.558380893065724,NA,0.653323848775926,1,0.418926817648905,0.599323375826564,0.105617821820195,0.130504080792304,0.0248862589721082,"chr4",145129520,145129521,"+",0.11806095130625,0,"TUTR","distal pA"
"ABHD10","ENSG00000144827","PAS9981_AATAAA_0.2",0.00150358006339241,0.000157464814042291,16.3121102212153,1,5.37195432334367e-05,0.000586051120400346,0.848797023227376,0.91827246768308,0.0694754444557044,"chr3",111993366,111993367,"+",0.883534745455228,0,"TUTR","distal pA"
"ABHD17C","ENSG00000136379","PAS38908_AATAAA_0.15",0.918042888430757,NA,0.0249141646772841,1,0.874581133231568,0.931121762650122,0.870060582820697,0.876580934758019,0.00652035193732203,"chr15",80755618,80755619,"+",0.873320758789358,0,"TUTR","distal pA"
"ABHD5","ENSG00000011198","PAS9495_AATAAA_0.35",0.92773111314601,NA,0.0199837106121663,1,0.887582587723715,0.938782586513954,0.566831786832373,0.548307442796071,-0.0185243440363021,"chr3",43719869,43719870,"+",0.557569614814222,0,"TUTR","distal pA"
"ABHD6","ENSG00000163686","PAS9737_AATAAA_0.25",0.859656566944139,NA,0.068221774562744,1,0.793943688823503,0.88132516909416,0.492047496082418,0.51180768392802,0.0197601878456026,"chr3",58294731,58294732,"+",0.501927590005219,0,"TUTR","distal pA"
"ACTR10","ENSG00000131966","PAS36703_APA_0.2",0.634411281515445,NA,0.44475800893315,1,0.50483486203504,0.672735176437634,0.10972783312955,0.0885467520535624,-0.0211810810759877,"chr14",58235632,58235633,"+",0.0991372925915563,0,"TUTR","distal pA"
"ACTR2","ENSG00000138071","PAS5751_AATAAA_0.25",0.619358092493985,NA,0.015379605146336,1,0.901303765825331,0.946397005898914,0.759255240362408,0.764097993040502,0.00484275267809398,"chr2",65271250,65271251,"+",0.761676616701455,0,"TUTR","distal pA"
"ACTR3B","ENSG00000133627","PAS21156_AATAAA_0.25",0.712830335565093,NA,0.274839556003599,1,0.600103677847521,0.745431697470462,0.669385049119716,0.706600833971308,0.0372157848515913,"chr7",152855370,152855371,"+",0.687992941545512,0,"TUTR","distal pA"
