"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ACAD8","ENSG00000151498","PAS30738_AATAAA_0.45",0.316595763439627,NA,1.65374199111534,1,0.198450390371223,0.359508034773484,0.835353938779995,0.893867712247354,0.0585137734673591,"chr11",134265849,134265850,"+",0.864610825513674,0,"iAPA","distal pA"
"ADAMTSL4","ENSG00000143382","PAS1526_ATTAAA_0.25",0.658645433152733,NA,0.386655199240977,1,0.534062831809263,0.695394759918379,0.87627586154988,0.906510465171812,0.0302346036219321,"chr1",150560931,150560932,"+",0.891393163360846,0,"iAPA","distal pA"
"C19orf53","ENSG00000104979","PAS46343_AATAAA_0.1",1,NA,1.45806006912608e-06,1,0.999036553365169,1,0.865284108453406,0.865263317468132,-2.07909852737442e-05,"chr19",13778457,13778458,"+",0.865273712960769,0,"iAPA","distal pA"
"CCP110","ENSG00000103540","PAS40342_AATAAA_0.3",0.728694855464357,NA,0.251673719062182,1,0.615899018378763,0.760343989118128,0.867049846046253,0.888665968726746,0.0216161226804934,"chr16",19553403,19553404,"+",0.877857907386499,0,"iAPA","distal pA"
"CDC16","ENSG00000130177","PAS35806_AATAAA_0.05",0.430719345264713,NA,1.0887548816163,1,0.296747251560394,0.476403142920799,0.910840360891167,0.929857869134551,0.0190175082433834,"chr13",114272674,114272675,"+",0.920349115012859,0,"iAPA","distal pA"
"CENATAC","ENSG00000186166","PAS30607_AATAAA_0.2",0.896891879785068,NA,0.0434367550160459,1,0.834905052325751,0.909125077502219,0.887896920129927,0.88184280648958,-0.00605411364034691,"chr11",119015743,119015744,"+",0.884869863309754,0,"iAPA","distal pA"
"DGKZ","ENSG00000149091","PAS29804_APA_0",0.684794262317636,NA,0.331103281034302,1,0.565010157295207,0.719423147245337,0.90996855235145,0.899322561637224,-0.010645990714225,"chr11",46380550,46380551,"+",0.904645556994337,0,"iAPA","distal pA"
"DKC1","ENSG00000130826","PAS52473_ATTAAA_0.25",0.924249546117336,NA,0.0248685620317701,1,0.874695019330497,0.932865812535379,0.657174804558564,0.65243430643514,-0.00474049812342392,"chrX",154777680,154777681,"+",0.654804555496852,0,"iAPA","distal pA"
"DYNC2H1","ENSG00000187240","PAS30466_AATAAA_0.15",0.97924216144073,NA,0.00266429630960374,1,0.95883401521904,0.979970515428202,0.71322917381728,0.710100084628882,-0.00312908918839716,"chr11",103479622,103479623,"+",0.711664629223081,0,"iAPA","distal pA"
"EIF4A1","ENSG00000161960","PAS42251_AATAAA_0.05",0.0258141277357582,0,6.75948072658502,1,0.00932508924975376,0.0342385453029874,0.90945533957903,0.932031776197677,0.0225764366186474,"chr17",7579005,7579006,"+",0.920743557888353,0,"iAPA","distal pA"
"ENSG00000273154","ENSG00000273154","PAS49371_AATAAA_0.1",0.198285797753934,NA,2.58260812026401,1,0.108043508252455,0.234853842965204,0.2726368440068,0.340031737774825,0.0673948937680246,"chr20",63739102,63739103,"+",0.306334290890812,0,"iAPA","distal pA"
"ENY2","ENSG00000120533","PAS23307_AATAAA_0.2",1.09257022111275e-22,0.062170858542361,5.00822576692735,1,0.0252271492268433,0.076671769654311,0.788165569874113,0.759409307797732,-0.028756262076381,"chr8",109343668,109343669,"+",0.773787438835922,0,"iAPA","distal pA"
"GOLGA4","ENSG00000144674","PAS9405_AATAAA_0.3",0.665269087328823,NA,0.371795447001205,1,0.542027218640714,0.701755674894015,0.83617377758465,0.816270038668548,-0.0199037389161014,"chr3",37366744,37366745,"+",0.826221908126599,0,"iAPA","distal pA"
"GPHN","ENSG00000171723","PAS36818_AATAAA_0.35",0.49968114509266,NA,0.828940540349322,1,0.362579061791429,0.543631682663211,0.869626687034458,0.826204483991275,-0.0434222030431834,"chr14",67181797,67181798,"+",0.847915585512866,0,"iAPA","distal pA"
"HAUS1","ENSG00000152240","PAS45358_ATTAAA_0.05",0.432838007651241,NA,1.07868088640726,1,0.298992838202875,0.478356764548973,0.856120520153942,0.884801828205351,0.0286813080514091,"chr18",46128331,46128332,"+",0.870461174179646,0,"iAPA","distal pA"
"PACS1","ENSG00000175115","PAS30087_AATAAA_0.05",0.00512245936415251,0,10.1435779464236,1,0.00144804827411935,0.00724068885152557,0.961469566475137,0.887451414254172,-0.0740181522209651,"chr11",66244743,66244744,"+",0.924460490364654,0,"iAPA","distal pA"
"PCBP2","ENSG00000197111","PAS32648_ATTAAA_0.2",3.8174081575358e-05,1.69661875650437e-05,23.6634716959379,1,1.14739862466362e-06,1.29923422992877e-05,0.819292272847991,0.775141332647529,-0.0441509402004617,"chr12",53479793,53479794,"+",0.79721680274776,0,"iAPA","distal pA"
"PDE8A","ENSG00000073417","PAS38946_ATTAAA_0.3",0.0520390310491457,NA,0.0518200635224275,1,0.819925960343698,0.900205045753927,0.807705247834655,0.812767772590167,0.0050625247555115,"chr15",85139138,85139139,"+",0.810236510212411,0,"iAPA","distal pA"
"POLR3G","ENSG00000113356","PAS15111_ATTAAA_0.2",0.551579585244972,NA,0.459205617395128,1,0.497995463090652,0.665186114270252,0.519301841085809,0.496431668019029,-0.02287017306678,"chr5",90514390,90514391,"+",0.507866754552419,0,"iAPA","distal pA"
"RBM5","ENSG00000003756","PAS9624_APA_0.15",0.878372630762095,NA,0.139594244772525,1,0.708684721484427,0.826516356481544,0.888287797195817,0.896502533012742,0.00821473581692489,"chr3",50118956,50118957,"+",0.89239516510428,0,"iAPA","distal pA"
"RPL19","ENSG00000108298","PAS42727_AATAAA_0",0.22252825167627,NA,2.35082486699684,1,0.12521673442204,0.262471003233823,0.863772606916504,0.849908007931717,-0.0138645989847872,"chr17",39204726,39204727,"+",0.85684030742411,0,"iAPA","distal pA"
"RPL27","ENSG00000131469","PAS42843_ATTAAA_0.35",0.98223027410232,NA,0.00198588042985648,1,0.964455461020773,0.982427057902242,0.752114409188182,0.751669659621929,-0.000444749566253288,"chr17",43002951,43002952,"+",0.751892034405055,0,"iAPA","distal pA"
"RPS3A","ENSG00000145425","PAS13321_AATAAA_0.15",0.160209562029988,NA,3.00653951084678,1,0.0829291601048416,0.193298291509139,0.401727923611166,0.3572998358323,-0.0444280877788651,"chr4",151104638,151104639,"+",0.379513879721733,0,"iAPA","distal pA"
"SLC25A3","ENSG00000075415","PAS33115_AATAAA_0.15",2.11972775558837e-09,0.141971412067862,4.7792919791973,1,0.0288039612300134,0.0854089970062025,0.867829609492528,0.846139711664896,-0.0216898978276319,"chr12",98601706,98601707,"+",0.856984660578712,0,"iAPA","distal pA"
"SLC4A1AP","ENSG00000163798","PAS5369_ATTAAA_0.4",0.91127550140892,NA,0.033267157523369,1,0.85527442410858,0.921899339013664,0.797373451505809,0.802977564090041,0.00560411258423166,"chr2",27694963,27694964,"+",0.800175507797925,0,"iAPA","distal pA"
"SP140L","ENSG00000185404","PAS7056_ATTAAA_0.3",0.464437724135454,NA,0.95311186014078,1,0.32892846298611,0.508681743185356,0.830622212897344,0.785700626736865,-0.0449215861604791,"chr2",230403729,230403730,"+",0.808161419817105,0,"iAPA","distal pA"
"SREK1","ENSG00000153914","PAS14892_ATTAAA_0.35",0.0765893921862303,NA,8.05634770855613,1,0.00453444997406132,0.0190543837778896,0.273660948176528,0.330422286709295,0.0567613385327673,"chr5",66180664,66180665,"+",0.302041617442911,0,"iAPA","distal pA"
"WRN","ENSG00000165392","PAS22753_AATAAA_0.4",0.184693551776242,NA,0.696795854717493,1,0.403862432492503,0.582762632036178,0.562913628160831,0.590128322050336,0.027214693889505,"chr8",31173753,31173754,"+",0.576520975105583,0,"iAPA","distal pA"
"ZNF75A","ENSG00000162086","PAS40166_AATAAA_0.2",0.542812035796603,NA,1.17181896084821,1,0.279027808048643,0.45596333690518,0.388684620522092,0.348124226881885,-0.0405603936402068,"chr16",3318573,3318574,"+",0.368404423701989,0,"iAPA","distal pA"
"BCLAF1","ENSG00000029363","PAS19669_AATAAA_0.2",0.0333564007982641,1,2.40541626260892,1,0.120915956848306,0.25548982733905,0.528983342364459,0.498532550661224,-0.0304507917032354,"chr6",136258590,136258591,"-",0.513757946512842,0,"iAPA","distal pA"
"CSNK2A2","ENSG00000070770","PAS41656_AATAAA_0.3",0.716592344318984,NA,0.274338090488982,1,0.600436478032865,0.7491450883684,0.854392551673849,0.871800113301976,0.0174075616281275,"chr16",58157909,58157910,"-",0.863096332487913,0,"iAPA","distal pA"
"CWF19L1","ENSG00000095485","PAS28990_APA_0.2",0.144487003257981,NA,0.95998737028458,1,0.327190059858352,0.506967572399502,0.887172414436612,0.857703746506096,-0.0294686679305159,"chr10",100232297,100232298,"-",0.872438080471354,0,"iAPA","distal pA"
"DIS3","ENSG00000083520","PAS36149_AATAAA_0.35",0.978177558504978,NA,0.195968334712234,1,0.657994961800959,0.792129787731666,0.806561680320405,0.819756289674286,0.0131946093538815,"chr13",72759043,72759044,"-",0.813158984997346,0,"iAPA","distal pA"
"DYNLT2B","ENSG00000213123","PAS12348_AATAAA_0.15",0.942227611234144,NA,0.0151403849449707,1,0.902070456930476,0.94833959746819,0.585040635712173,0.572108949390251,-0.0129316863219223,"chr3",196291220,196291221,"-",0.578574792551212,0,"iAPA","distal pA"
"ELF1","ENSG00000120690","PAS35990_AATAAA_0.1",0.821731220159024,NA,0.114893753381239,1,0.734640006052395,0.842705936334453,0.742022779331063,0.726285367696038,-0.0157374116350246,"chr13",40932030,40932031,"-",0.73415407351355,0,"iAPA","distal pA"
"ENSG00000261915","ENSG00000261915","PAS43783_AATAAA_0",0.695676487738826,NA,0.2750211084076,1,0.599983285083461,0.748926138697484,0.616252177721316,0.629943943697458,0.0136917659761422,"chr17",7312660,7312661,"-",0.623098060709387,0,"iAPA","distal pA"
"ENSG00000272916","ENSG00000272916","PAS28747_AATAAA_0.3",0.722725948876144,NA,0.262876833603514,1,0.608150584697347,0.755391464726552,0.0922645495721815,0.114148375036848,0.0218838254646664,"chr10",73796519,73796520,"-",0.103206462304515,0,"iAPA","distal pA"
"ENSG00000280537","ENSG00000280537","PAS8875_AATAAA_0.1",0.699085541871221,NA,0.303962241202328,1,0.581409047915342,0.733607283555688,0.575270360043453,0.638967143712164,0.0636967836687111,"chr2",219075972,219075973,"-",0.607118751877809,0,"iAPA","distal pA"
"FBXW11","ENSG00000072803","PAS17082_AATAAA_0.25",0.241057598300719,NA,3.24556660687722,1,0.0716169242285898,0.173011861890536,0.678160540726739,0.734517895068594,0.0563573543418552,"chr5",171861692,171861693,"-",0.706339217897666,0,"iAPA","distal pA"
"HECTD1","ENSG00000092148","PAS37405_ATTAAA_0.3",0.659149989474969,NA,0.0419797744907555,1,0.837658330700336,0.910832185714792,0.867731549685394,0.863304982789545,-0.00442656689584942,"chr14",31100117,31100118,"-",0.865518266237469,0,"iAPA","distal pA"
