gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand
ATP6V1A,ENSG00000114573.12,PAS10001_APA_0.2,6.282377843459644e-4,7.600837670108498e-4,13.343610549392906,1,2.593046137406074e-4,0.0022047002260617257,0.21125805546785328,0.10659157464678932,-0.10466648082106396,chr3,113811808,113811809,+
ATP6V1A,ENSG00000114573.12,PAS9999_APA_0.35,6.282377843459644e-4,3.606170926338802e-4,14.7457352125557,1,1.2302548741624993e-4,0.0011873350261090453,0.5211896876691843,0.6699785386265686,0.14878885095738437,chr3,113810425,113810426,+
ESPN,ENSG00000187017.18,PAS100_ATTAAA_0.1,3.2790800535564463e-16,2.3940916199554043e-10,43.5732880635187,1,4.0837538552727674e-11,1.8188204051784156e-9,0.7021724700042267,0.4471539345205073,-0.2550185354837194,chr1,6460928,6460929,+
ESPN,ENSG00000187017.18,PAS98_AATAAA_0.25,3.2790800535564463e-16,1.0267496882950888e-18,81.50138033623807,1,1.7513920365559301e-19,2.250955765078312e-17,0.08913113504260332,0.3739829957292562,0.28485186068665286,chr1,6456667,6456668,+
RAB7A,ENSG00000075785.14,PAS10116_AATAAA_0.2,6.244536088937755e-6,5.311091010369545e-7,28.565225547403315,1,9.059464645594968e-8,2.0410263003723554e-6,0.4280696514789444,0.5702461419998683,0.14217649052092396,chr3,128814795,128814796,+
HMCES,ENSG00000183624.14,PAS10127_AATAAA_0.3,2.4266603200882413e-9,0,41.85784415148919,1,9.815620193757811e-11,4.038469344962245e-9,0.7527329467877429,0.43715249925670135,-0.3155804475310416,chr3,129305260,129305261,+
HMCES,ENSG00000183624.14,PAS10128_AATAAA_0.2,2.4266603200882413e-9,0,41.85784415148919,1,9.815620193757811e-11,4.038469344962245e-9,0.24726705321225706,0.5628475007432986,0.31558044753104153,chr3,129306182,129306183,+
NUDT16,ENSG00000198585.12,PAS10151_APA_0.25,0.0018310924795203942,0.004386439558618236,10.082986901514232,1,0.0014964456087743102,0.009306236631525031,0.37804874186352605,0.10810810801206616,-0.2699406338514599,chr3,131383639,131383640,+
NUDT16,ENSG00000198585.12,PAS10154_AATAAA_0.4,0.0018310924795203942,2.3051346825589316e-4,15.590703431051224,1,7.864028735039267e-5,8.101150212164497e-4,0.4024381261987131,0.7837837832884297,0.38134565708971657,chr3,131388805,131388806,+
SRPRB,ENSG00000144867.13,PAS10178_APA_0.15,1.3725036191210186e-9,1.3497753892895115e-10,44.695040740308286,1,2.3023974537223517e-11,1.0572747723315791e-9,0.36524756219199433,0.1524881294272682,-0.21275943276472614,chr3,133819908,133819909,+
SRPRB,ENSG00000144867.13,PAS10180_APA_0.15,1.3725036191210186e-9,9.010130293061647e-6,23.101240587126085,1,1.5369150459448937e-6,2.5893468845226393e-5,0.5083798119419826,0.6828470424428313,0.17446723050084878,chr3,133820678,133820679,+
ARMC8,ENSG00000114098.18,PAS10216_AATAAA_0.2,0.010292795646873697,0.04045904427712493,7.298464703080981,1,0.006901355682053564,0.03149604157230735,0.09312210775292416,0.19848981014775582,0.10536770239483166,chr3,138245681,138245682,+
ARMC8,ENSG00000114098.18,PAS10219_APA_0.3,0.010292795646873697,0.04666127973267114,7.0426067902217255,1,0.007959310304248353,0.03520514341390741,0.6785377422774314,0.5319776372716455,-0.14656010500578587,chr3,138296516,138296517,+
RABGGTB,ENSG00000137955.16,PAS1023_AATAAA_0.45,0.046563767010761925,0,5.839668527928325,1,0.015668778221619384,0.05931280844340914,0.7549512097818467,0.5693429103222977,-0.18560829945954904,chr1,75794798,75794799,+
RABGGTB,ENSG00000137955.16,PAS1024_AATAAA_0.35,0.046563767010761925,0,5.839668527928325,1,0.015668778221619384,0.05931280844340914,0.2450487902181533,0.4306570896777024,0.1856082994595491,chr1,75795079,75795080,+
RNF7,ENSG00000114125.14,PAS10255_AATAAA_0.25,4.226890454036857e-6,1.9718434815560172e-7,29.14179663723735,1,6.726996872366029e-8,1.5491607985081838e-6,0.9352522601950642,0.7844272726090074,-0.1508249875860569,chr3,141745699,141745700,+
RNF7,ENSG00000114125.14,PAS10256_AATAAA_0.35,4.226890454036857e-6,1.0397069167660754e-5,21.495289929348928,1,3.5469880052262265e-6,5.495591633814917e-5,0.04140806747392299,0.14918959816345953,0.10778153068953654,chr3,141746399,141746400,+
U2SURP,ENSG00000163714.18,PAS10279_AATAAA_0.35,1.060710752829929e-8,7.91368551730868e-8,33.60570796531738,1,6.749437546865391e-9,1.9338356623131307e-7,0.3233947944176503,0.16970025928036,-0.15369453513729028,chr3,143056835,143056836,+
RAP2B,ENSG00000181467.5,PAS10335_APA_0.25,3.343618000684221e-4,0.015109537058816552,10.358692031353712,1,0.0012886647633075592,0.008253692919238496,0.6757425026370578,0.5573770491803277,-0.11836545345673011,chr3,153164728,153164729,+
RAP2B,ENSG00000181467.5,PAS10340_AATAAA_0.35,3.343618000684221e-4,7.736123042014249e-6,24.72911244549323,1,6.597997761313466e-7,1.2114282964479621e-5,0.039604296114753135,0.14426229508196742,0.10465799896721428,chr3,153170623,153170624,+
GMPS,ENSG00000163655.16,PAS10358_AATAAA_0.45,4.647683888201667e-6,8.677783585608153e-5,17.44304842041788,1,2.9604491221275946e-5,3.4952984167202e-4,0.5779711955980086,0.27152828143195423,-0.30644291416605435,chr3,155937728,155937729,+
GMPS,ENSG00000163655.16,PAS10362_ATTAAA_0.35,4.647683888201667e-6,1.5323785492742779e-6,25.17791252015479,1,5.227750480537324e-7,9.72672110522592e-6,0.09464803113392417,0.40564117422250634,0.31099314308858217,chr3,155944018,155944019,+
NMD3,ENSG00000169251.13,PAS10416_AATAAA_0.2,0.003798467323920932,0,11.346623249358345,1,7.558527495931642e-4,0.005343233554614852,0.5777569714552699,0.43107859347958083,-0.1466783779756891,chr3,161252005,161252006,+
NMD3,ENSG00000169251.13,PAS10417_AATAAA_0.2,0.003798467323920932,0,11.346623249361073,1,7.558527495920547e-4,0.005343233554614852,0.42224302854473006,0.5689214065204191,0.14667837797568906,chr3,161252303,161252304,+
USP13,ENSG00000058056.10,PAS10520_AATAAA_0.45,0.0012638645207738732,0.0072309699586889506,10.439581130165607,1,0.0012334323883021496,0.00801404433323905,0.34883682506380054,0.15000002057665746,-0.19883680448714308,chr3,179786399,179786400,+
USP13,ENSG00000058056.10,PAS10522_ATTAAA_0.2,0.0012638645207738732,0.018393021047551555,8.725782314315438,1,0.0031374142069989356,0.016895213377274794,0.4031005787694657,0.6125000029201291,0.20939942415066337,chr3,179789398,179789399,+
TTC14,ENSG00000163728.11,PAS10525_ATTAAA_0.2,0.028011697551428853,0.02098581668689794,7.2325441817059755,1,0.007159367593689954,0.032377904047200375,0.6559833389107912,0.4580091350822979,-0.1979742038284933,chr3,180610977,180610978,+
TTC14,ENSG00000163728.11,PAS10527_AATAAA_0.45,0.028011697551428853,0.007059763380179993,9.20886689028282,1,0.002408457193602355,0.01366209744752576,0.22808290743028847,0.4452841859595848,0.21720127852929633,chr3,180618325,180618326,+
DVL3,ENSG00000161202.20,PAS10571_AATAAA_0.15,0.04330875889394756,0,5.992936929779944,1,0.014363268874838018,0.05538066099028238,0.5298742736646292,0.38331607019619113,-0.14655820346843812,chr3,184170874,184170875,+
DVL3,ENSG00000161202.20,PAS10572_AATAAA_0.3,0.04330875889394756,0,5.992936929779489,1,0.01436326887484167,0.05538066099028238,0.4701257263353707,0.6166839298038089,0.14655820346843823,chr3,184173603,184173604,+
MAP3K13,ENSG00000073803.14,PAS10602_None_0.15,0.040338177058497245,0.009712513963757012,8.626293813357506,1,0.003313450163166447,0.0176251517350931,0.040908598893380055,0.15601380847140855,0.1151052095780285,chr3,185484949,185484950,+
SENP2,ENSG00000163904.13,PAS10606_AATAAA_0.35,7.845057809626692e-5,0,19.789369645517922,1,8.646221448425779e-6,1.2091270305337398e-4,0.8719396746704399,0.5274204624232262,-0.3445192122472137,chr3,185631100,185631101,+
SENP2,ENSG00000163904.13,PAS10607_AATAAA_0.1,7.845057809626692e-5,0,19.789369645517922,1,8.646221448425779e-6,1.2091270305337398e-4,0.12806032532956013,0.47257953757677384,0.3445192122472137,chr3,185633549,185633550,+
CCDC50,ENSG00000152492.15,PAS10645_AATAAA_0.2,9.856452091045264e-8,1.5093439942751174e-6,26.545088919625414,1,2.574583739476363e-7,5.248339511213523e-6,0.8557327733769932,0.6453480835069232,-0.21038468987006997,chr3,191392162,191392163,+
CCDC50,ENSG00000152492.15,PAS10651_AATAAA_0.15,9.856452091045264e-8,3.368069718764369e-8,33.91912078313271,1,5.745130046062174e-9,1.678149999385477e-7,0.04812251581823415,0.23419692011815188,0.18607440429991773,chr3,191398425,191398426,+
OPA1,ENSG00000198836.11,PAS10666_APA_0.15,0.0074014859214474845,0.024490750740657315,9.469844035764709,1,0.0020887713093775983,0.012325303375623388,0.07878247318840303,0.19102192380949656,0.11223945062109353,chr3,193697809,193697810,+
RAD18,ENSG00000070950.10,PAS10788_AATAAA_0.25,0.0010247984785453862,0.0140820242611109,9.213735870143182,1,0.002402060154549453,0.013631539859396495,0.29395029067266687,0.5114608537330394,0.21751056306037253,chr3,8877197,8877198,-
RAD18,ENSG00000070950.10,PAS10789_ATTAAA_0.4,0.0010247984785453862,0.007545871140863744,10.360867456301548,1,0.0012871470793364142,0.008253692919238496,0.24373777197045973,0.07324309059908117,-0.17049468137137858,chr3,8879871,8879872,-
SH3GLB1,ENSG00000097033.15,PAS1079_AATAAA_0.3,5.281381070703758e-7,0,30.406722572922718,1,3.5031203057448587e-8,8.54875380217484e-7,0.6718995037355023,0.3592424247718853,-0.31265707896361705,chr1,86743585,86743586,+
SH3GLB1,ENSG00000097033.15,PAS1080_AATAAA_0.3,5.281381070703758e-7,0,30.406722572922718,1,3.5031203057448587e-8,8.54875380217484e-7,0.3281004962644978,0.6407575752281147,0.31265707896361694,chr1,86748179,86748180,+
HS2ST1,ENSG00000153936.18,PAS1082_AATAAA_0.25,4.4225327835521465e-6,3.1887206156435307e-7,30.897941101676224,1,2.719601455303658e-8,6.807456237126297e-7,0.040900232763066154,0.19674337454420113,0.15584314178113498,chr1,87098440,87098441,+
IQSEC1,ENSG00000144711.17,PAS10876_AATAAA_0.1,0.006646507867009102,0,10.095045923346788,1,0.0014866845604514366,0.009254062796721465,0.37960074832140706,0.571042321551786,0.19144157323037897,chr3,12897220,12897221,-
IQSEC1,ENSG00000144711.17,PAS10877_AATAAA_0.15,0.006646507867009102,0,10.095045923349062,1,0.0014866845604496028,0.009254062796721465,0.620399251678593,0.4289576784482139,-0.19144157323037908,chr3,12897883,12897884,-
MRPS25,ENSG00000131368.9,PAS10900_AATAAA_0.3,8.279485364983889e-16,3.3603293055493048e-18,79.15858069501292,1,5.73192673251939e-19,6.845340819057449e-17,0.09371150624350473,0.4924472691214971,0.3987357628779924,chr3,15042250,15042251,-
MRPS25,ENSG00000131368.9,PAS10905_AATAAA_0.1,8.279485364983889e-16,7.48454107403324e-11,45.849916616095925,1,1.2766856210206345e-11,6.109529239600519e-10,0.6969722111332534,0.34912561550145527,-0.3478465956317981,chr3,15052208,15052209,-
DPH3,ENSG00000154813.10,PAS10926_AATAAA_0.15,0.03820756881986871,0,6.27036038070537,1,0.012277416957486631,0.04925200411453094,0.319566639050091,0.5921503528437942,0.2725837137937033,chr3,16257978,16257979,-
DPH3,ENSG00000154813.10,PAS10928_AATAAA_0.2,0.03820756881986871,0,6.27036038070537,1,0.012277416957486631,0.04925200411453094,0.680433360949909,0.4078496471562058,-0.2725837137937032,chr3,16260389,16260390,-
SATB1,ENSG00000182568.18,PAS10940_APA_0.25,0.012341059135597682,0.004431206313907848,10.06427805791759,1,0.001511717907292728,0.009375290973766253,0.21274534530109115,0.043319654110361115,-0.16942569119073003,chr3,18348175,18348176,-
SATB1,ENSG00000182568.18,PAS10941_AATAAA_0.15,0.012341059135597682,0.04079198530636918,6.048730977339801,1,0.013916295088340708,0.05418361287280954,0.48451489049756336,0.6889915264849873,0.20447663598742394,chr3,18348575,18348576,-
NKIRAS1,ENSG00000197885.11,PAS10956_AATAAA_0.3,0.003510605445901004,4.918070486724644e-4,14.16135623857167,1,1.677812924389176e-4,0.0015582990650125212,0.12486843837018587,0.43722232756913426,0.3123538891989484,chr3,23889954,23889955,-
LRRFIP2,ENSG00000093167.18,PAS11039_ATTAAA_0.25,0.04919662458501704,0,5.725122723791856,1,0.01672386773051843,0.06222459195570615,0.6438125050024515,0.7771408092853628,0.13332830428291131,chr3,37053005,37053006,-
LRRFIP2,ENSG00000093167.18,PAS11040_ATTAAA_0.45,0.04919662458501704,0,5.725122723791856,1,0.01672386773051843,0.06222459195570615,0.35618749499754854,0.22285919071463733,-0.1333283042829112,chr3,37053720,37053721,-
ZDHHC3,ENSG00000163812.16,PAS11113_ATTAAA_0.35,3.5783498099125927e-11,2.2892630023805717e-10,44.45456376671518,1,2.603294024277738e-11,1.1828772005935378e-9,0.02437882967446135,0.1791709291833424,0.15479209950888106,chr3,44919976,44919977,-
ZDHHC3,ENSG00000163812.16,PAS11117_APA_0.2,3.5783498099125927e-11,0.001687917339596665,13.908330524638586,1,1.9194584104479767e-4,0.001741969821721281,0.3021605537198575,0.1690063340812893,-0.13315421963856822,chr3,44926527,44926528,-
LZTFL1,ENSG00000163818.20,PAS11129_AATAAA_0.25,0.006543474280200881,0,10.134020542016174,1,0.0014555756740588413,0.00910240672911217,0.46466519594851774,0.8194602734096291,0.3547950774611114,chr3,45823992,45823993,-
