"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type","condition"
"ABCC3","ENSG00000108846","PAS43063_None_0.1",1.4522319807659e-10,1.34394798114737e-10,44.1968514957123,1,2.96958535305432e-11,5.9288020421664e-10,0.256429586604464,0.0154670788662343,-0.24096250773823,"chr17",50667924,50667925,"+",0.135948332735349,2,"ALE","distal pA","MCF7"
"ACO2","ENSG00000100412","PAS51084_APA_0.15",1.50073174857561e-08,0,36.5012044542964,1,1.52571944663702e-09,2.47000673723073e-08,0.89303091567502,0.683618583979549,-0.209412331695472,"chr22",41528972,41528973,"+",0.788324749827285,2,"ALE","distal pA","MCF7"
"AGAP3","ENSG00000133612","PAS21139_AATAAA_0.05",5.96797096997186e-05,0,19.2439563950429,1,1.1503395562117e-05,8.96625079391832e-05,0.669915915770936,0.543113076549632,-0.126802839221304,"chr7",151144433,151144434,"+",0.606514496160284,2,"ALE","distal pA","MCF7"
"AKR1E2","ENSG00000165568","PAS26831_AATAAA_0.45",0.0077832542789702,0,9.07350035460405,1,0.00259340167062228,0.010526029778975,0.879784825450279,0.616412777815683,-0.263372047634596,"chr10",4848056,4848057,"+",0.748098801632981,2,"ALE","distal pA","MCF7"
"ALG13","ENSG00000101901","PAS52279_AATAAA_0.3",6.28133355462897e-05,7.34985898259683e-06,21.6641523137575,1,3.24804737800949e-06,2.80210243021398e-05,0.255014205051688,0.623923610011119,0.368909404959431,"chrX",111760643,111760644,"+",0.439468907531404,3,"ALE","distal pA","MCF7"
"ANKHD1","ENSG00000131503","PAS15518_AATAAA_0.2",1.01348159568546e-06,0,27.7288648005551,1,1.39564654606669e-07,1.59990115284871e-06,0.601273451469027,0.854305528546019,0.253032077076992,"chr5",140539848,140539849,"+",0.727789490007523,2,"ALE","distal pA","MCF7"
"ANTXR1","ENSG00000169604","PAS5779_AATAAA_0.1",2.1161856494107e-07,0,31.0170915978536,1,2.55766218547777e-08,3.37285802042479e-07,0.873194990888996,0.106479191600792,-0.766715799288204,"chr2",69249167,69249168,"+",0.489837091244894,2,"ALE","distal pA","MCF7"
"ARHGAP44","ENSG00000006740","PAS42309_ATTAAA_0.1",6.0002952869986e-06,0,23.9964337698903,1,9.65143016724116e-07,9.38901821329567e-06,0.954565940961467,0.562418839993032,-0.392147100968435,"chr17",12991641,12991642,"+",0.75849239047725,2,"ALE","distal pA","MCF7"
"ARHGAP8","ENSG00000241484","PAS51142_APA_0.1",0.000140002874767077,0,17.4687286625635,1,2.92072598681631e-05,0.000207410720226225,0.946286082869096,0.824281059491701,-0.122005023377395,"chr22",44862719,44862720,"+",0.885283571180398,2,"ALE","distal pA","MCF7"
"ARHGEF1","ENSG00000076928","PAS46872_ATTAAA_0.4",0.000598986757355441,0,14.460276587595,1,0.000143146688339596,0.00085978231504812,0.0365068840998897,0.151428845916224,0.114921961816334,"chr19",41930139,41930140,"+",0.0939678650080567,2,"ALE","distal pA","MCF7"
"ARHGEF7","ENSG00000102606","PAS35760_ATTAAA_0.2",1.00954556456866e-05,0,22.9222708752895,1,1.68686065930846e-06,1.55071852892716e-05,0.891252497614749,0.654558502666235,-0.236693994948514,"chr13",111305730,111305731,"+",0.772905500140492,2,"ALE","distal pA","MCF7"
"ASB7","ENSG00000183475","PAS39095_ATTAAA_0.35",5.27519341371323e-15,2.61942203699135e-12,50.5569351267179,1,1.15757416561263e-12,2.76714426378471e-11,0.678977938729422,0.248034823001905,-0.430943115727517,"chr15",100651696,100651697,"+",0.463506380865664,2,"ALE","distal pA","MCF7"
"ASPSCR1","ENSG00000169696","PAS43557_AATAAA_0.15",0.037387181288348,0,5.82043431483805,1,0.0158410329337321,0.0477939142650275,0.961600370383582,0.855843660253286,-0.105756710130295,"chr17",82017403,82017404,"+",0.908722015318434,2,"ALE","distal pA","MCF7"
"BAIAP2","ENSG00000175866","PAS43519_AATAAA_0.15",2.2567061036605e-28,0,129.829737655818,1,4.46478581969466e-30,4.37151461625658e-28,0.84318139516052,0.236559423589037,-0.606621971571483,"chr17",81116223,81116224,"+",0.539870409374778,2,"ALE","distal pA","MCF7"
"BCCIP","ENSG00000107949","PAS27994_ATTAAA_0.4",1.713657221766e-09,8.27981628429963e-08,32.4552799472212,1,1.21967127243748e-08,1.7043207076729e-07,0.217708805974682,0.0629846997014816,-0.154724106273201,"chr10",125853520,125853521,"+",0.140346752838082,2,"ALE","distal pA","MCF7"
"BICD1","ENSG00000151746","PAS32454_AATAAA_0.2",0.000202804041241443,0.0202066581158884,8.08437200845219,1,0.00446486001071931,0.0166946537143804,0.29090926336835,0.0588244536903872,-0.232084809677963,"chr12",32383631,32383632,"+",0.174866858529369,2,"ALE","distal pA","MCF7"
"BPTF","ENSG00000171634","PAS43285_AATAAA_0.3",3.44387415440362e-14,2.63956804763936e-05,21.3191603079031,1,3.88825694774692e-06,3.32034845089858e-05,0.571637454948651,0.419553279879575,-0.152084175069076,"chr17",67983151,67983152,"+",0.495595367414113,3,"ALE","distal pA","MCF7"
"C6orf141","ENSG00000197261","PAS17900_AATAAA_0.25",0.0344856006811238,0.0180152459551791,7.04216094175354,1,0.00796129184620648,0.027155014779652,0.61311475409836,0.799999878953271,0.18688512485491,"chr6",49561911,49561912,"+",0.706557316525816,2,"ALE","distal pA","MCF7"
"CAMTA1","ENSG00000171735","PAS113_AATAAA_0.15",0.0361732451375626,0.00934602079685062,8.22567213359116,1,0.00413019058133105,0.0156441638474105,0.351154210489527,0.489485985239863,0.138331774750336,"chr1",6888198,6888199,"+",0.420320097864695,2,"ALE","distal pA","MCF7"
"CDYL","ENSG00000153046","PAS17294_AATAAA_0.25",1.9827903317621e-07,1.41346733048696e-06,26.1719934559733,1,3.12319519841193e-07,3.39772263023581e-06,0.204660687621948,0.089028256631069,-0.115632430990879,"chr6",4954256,4954257,"+",0.146844472126509,2,"ALE","distal pA","MCF7"
"CENPN","ENSG00000166451","PAS40928_AATAAA_0.05",0.00157093537783133,0.00218019314985908,10.8964828606695,1,0.000963470273473474,0.00454548104267436,0.448382134529428,0.641972662028943,0.193590527499516,"chr16",81031482,81031483,"+",0.545177398279185,2,"ALE","distal pA","MCF7"
"CEP250","ENSG00000126001","PAS49006_AATAAA_0.2",0.000367160338762773,0,15.4675790254464,1,8.39326376760345e-05,0.000537071197662898,0.0327485492457883,0.144967151510794,0.112218602265006,"chr20",35517527,35517528,"+",0.0888578503782914,2,"ALE","distal pA","MCF7"
