"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type"
"ABHD13","ENSG00000139826","PAS35734_AATAAA_0.25",6.02474563931918e-08,0.000234400220909533,16.5031957231695,1,4.8568144775944e-05,0.000326426232706828,0.129708585046446,0.305974088372881,0.176265503326436,"chr13",108234253,108234254,"+",0.217841336709663,2,"TUTR"
"AGFG1","ENSG00000173744","PAS7048_AATAAA_0.2",0.00196874624827291,0.000327673843680069,16.6368478051954,1,4.52630707638734e-05,0.000306389252058636,0.217699763536237,0.366175034231421,0.148475270695185,"chr2",227561215,227561216,"+",0.291937398883829,2,"TUTR"
"AGO1","ENSG00000092847","PAS621_ATTAAA_0.3",1.27564461581235e-06,4.74352723749777e-08,34.2230517453427,1,4.91433661464727e-09,6.4730136801282e-08,0.0472759881174194,0.176433911011012,0.129157922893592,"chr1",35930528,35930529,"+",0.111854949564216,2,"TUTR"
"ASF1A","ENSG00000111875","PAS18247_AATAAA_0.35",5.19306360946078e-05,0,19.4291031925613,1,1.04403906906786e-05,7.95078394270752e-05,0.404083632703338,0.582706538132356,0.178622905429018,"chr6",118909164,118909165,"+",0.493395085417847,2,"TUTR"
"BZW1","ENSG00000082153","PAS6789_AATAAA_0.4",1.67343688133607e-07,0,31.2247513237508,1,2.29817131005073e-08,2.79572539867672e-07,0.0830518439500642,0.199969107970288,0.116917264020224,"chr2",200827333,200827334,"+",0.141510475960176,2,"TUTR"
"C1orf21","ENSG00000116667","PAS1983_ATTAAA_0",0.00151147823531131,0.0151261814404968,8.72766753786686,1,0.00313417183336524,0.0128683897044463,0.0612773471927076,0.176116571404827,0.114839224212119,"chr1",184629018,184629019,"+",0.118696959298767,2,"TUTR"
"CCDC103","ENSG00000167131","PAS42900_None_0.2",0.00425928240075833,0.00246570135890971,10.7876495079099,1,0.00102179545829002,0.0048259008458506,0.285848845706904,0.577107491491816,0.291258645784911,"chr17",44905382,44905383,"+",0.43147816859936,2,"TUTR"
"CCNG2","ENSG00000138764","PAS12969_AATAAA_0.2",5.56082143901134e-05,1.8379314540424e-05,20.0318108642823,1,7.61645365365456e-06,5.9832021298612e-05,0.0679632946673082,0.308512257518969,0.240548962851661,"chr4",77170058,77170059,"+",0.188237776093139,2,"TUTR"
"CDC37L1","ENSG00000106993","PAS24786_AATAAA_0.3",6.92682351019104e-10,4.13287193673676e-11,45.2744645578919,1,1.71267690606262e-11,2.96428865723095e-10,0.108903359022188,0.36057054321606,0.251667184193872,"chr9",4708395,4708396,"+",0.234736951119124,2,"TUTR"
"CDT1","ENSG00000167513","PAS41015_AATAAA_0.35",6.11073807310809e-22,0,98.954442825212,1,2.58377718457778e-23,1.16413516482921e-21,0.414435933129528,0.673815728409606,0.259379795280078,"chr16",88809253,88809254,"+",0.544125830769567,2,"TUTR"
"CHMP4B","ENSG00000101421","PAS48968_ATTAAA_0.1",8.41176754316455e-05,0,18.4301714506619,1,1.76245181078329e-05,0.000128549536571521,0.57392543996268,0.681079531623185,0.107154091660505,"chr20",33854362,33854363,"+",0.627502485792933,2,"TUTR"
