"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ADARB1","ENSG00000197381","PAS50348_AATAAA_0.15",0.728376000899304,NA,0.243777474054923,1,0.621491037653465,0.760293107947311,0.800816823221784,0.839851358106756,0.0390345348849719,"chr21",45226558,45226559,"+",0.82033409066427,0,"MIXED","distal pA"
"AFTPH","ENSG00000119844","PAS5733_AATAAA_0.2",0.409380438593473,NA,1.69908083664541,1,0.192408227508331,0.363968184780618,0.195801717730789,0.153576976304673,-0.0422247414261154,"chr2",64593001,64593002,"+",0.174689347017731,0,"MIXED","distal pA"
"AGK","ENSG00000006530","PAS21062_ATTAAA_0.25",0.866979720570606,NA,0.0622423583847649,1,0.802986273046183,0.887275833518238,0.288563720909251,0.268968377067273,-0.019595343841978,"chr7",141654262,141654263,"+",0.278766048988262,0,"MIXED","distal pA"
"ALDH16A1","ENSG00000161618","PAS47107_AATAAA_0.25",0.735803993977207,NA,0.229835683426927,1,0.631645693515317,0.76765657726848,0.323923220445313,0.296606642813212,-0.0273165776321004,"chr19",49471046,49471047,"+",0.310264931629262,0,"MIXED","distal pA"
"ALDH3A2","ENSG00000072210","PAS42429_APA_0.25",0.0304286748618787,0.756190138308208,1.27958456934857,1,0.257976291875823,0.442815149326839,0.299782941461675,0.354982818140973,0.055199876679298,"chr17",19677594,19677595,"+",0.327382879801324,1,"MIXED","distal pA"
"ARL6IP5","ENSG00000144746","PAS9794_AATAAA_0.15",0.354054939869372,NA,2.30410447401664,1,0.12903262841886,0.274306131145638,0.37108811832861,0.438273586137566,0.0671854678089556,"chr3",69106065,69106066,"+",0.404680852233088,0,"MIXED","distal pA"
"BIVM","ENSG00000134897","PAS35719_AATAAA_0.35",0.427148175790069,NA,1.13467201368553,1,0.286780979499096,0.472079692405501,0.871341531467952,0.916238194573193,0.044896663105241,"chr13",102841530,102841531,"+",0.893789863020572,0,"MIXED","distal pA"
"BRSK2","ENSG00000174672","PAS29392_AATAAA_0.35",0.512769175754011,NA,0.795405691447286,1,0.372470551932944,0.556568789397269,0.325475661508915,0.263612314736614,-0.0618633467723014,"chr11",1462681,1462682,"+",0.294543988122765,0,"MIXED","distal pA"
"C5orf24","ENSG00000181904","PAS15417_AATAAA_0.2",0.0319997991042589,0.680527015486298,1.4275566129163,1,0.232163614787742,0.411323090660441,0.574356524090173,0.626313566369674,0.0519570422795003,"chr5",134859733,134859734,"+",0.600335045229923,0,"MIXED","distal pA"
"CALR","ENSG00000179218","PAS46327_ATTAAA_0",0.723583148077779,NA,0.255070713050372,1,0.61352704846908,0.755456296041442,0.830450402486875,0.843170008211478,0.0127196057246032,"chr19",12944488,12944489,"+",0.836810205349176,0,"MIXED","distal pA"
"CAPN1","ENSG00000014216","PAS30005_AATAAA_0.1",0.0606687061607012,NA,5.26941341519341,1,0.0217033248125946,0.0759560083884763,0.812671006726049,0.879593483428212,0.0669224767021626,"chr11",65212004,65212005,"+",0.84613224507713,0,"MIXED","distal pA"
"CCAR1","ENSG00000060339","PAS27299_APA_0.3",0.318182455149175,NA,5.9667076254882,1,0.0145784752855917,0.0560297347588774,0.435620590349988,0.491850865704983,0.0562302753549951,"chr10",68771444,68771445,"+",0.463735728027486,0,"MIXED","distal pA"
"CCAR2","ENSG00000158941","PAS22652_AATAAA_0.25",0.939904303086028,NA,0.0140362946322057,1,0.90569140631192,0.948942367514151,0.904571517066811,0.901170194881399,-0.00340132218541234,"chr8",22620467,22620468,"+",0.902870855974105,0,"MIXED","distal pA"
"CCDC91","ENSG00000123106","PAS32404_AATAAA_0.1",0.742073170717453,NA,0.27634682883695,1,0.599105693145497,0.744743121683721,0.272049694495469,0.298025367988527,0.0259756734930584,"chr12",28550164,28550165,"+",0.285037531241998,0,"MIXED","distal pA"
"CCNT2","ENSG00000082258","PAS6320_ATTAAA_0.4",0.969573948538352,NA,0.254082581199441,1,0.614214964309682,0.755844233343379,0.277849617034025,0.312661843907184,0.0348122268731589,"chr2",134957403,134957404,"+",0.295255730470604,0,"MIXED","distal pA"
"CDC42SE2","ENSG00000158985","PAS15351_AATAAA_0.1",0.525406788169896,NA,1.87510526375854,1,0.170891510875274,0.334797894420212,0.810656098768702,0.875214678792985,0.0645585800242827,"chr5",131394664,131394665,"+",0.842935388780843,0,"MIXED","distal pA"
"CGRRF1","ENSG00000100532","PAS36636_AATAAA_0.4",0.678050836943956,NA,0.350515429960865,1,0.55382150261206,0.71320454745715,0.290104606686821,0.347065196968634,0.0569605902818132,"chr14",54539282,54539283,"+",0.318584901827727,0,"MIXED","distal pA"
"CIRBP","ENSG00000099622","PAS46026_AATAAA_0.2",0.951264483539125,NA,0.154108395647199,1,0.694639743936156,0.814980523720458,0.311413687124488,0.321176368054573,0.00976268093008492,"chr19",1274806,1274807,"+",0.316295027589531,0,"MIXED","distal pA"
"CRELD1","ENSG00000163703","PAS9157_AATAAA_0.3",0.312168354337349,NA,1.7567660487689,1,0.185028401731602,0.354128248669403,0.151278130697843,0.0997886420066476,-0.0514894886911955,"chr3",9945396,9945397,"+",0.125533386352245,0,"MIXED","distal pA"
"CSPP1","ENSG00000104218","PAS22986_AATAAA_0.4",0.661109144173202,NA,0.0818383396817808,1,0.774821436435563,0.868230879698738,0.205460430020742,0.214724158440177,0.00926372841943451,"chr8",67196258,67196259,"+",0.210092294230459,0,"MIXED","distal pA"
"DAZAP1","ENSG00000071626","PAS46037_AATAAA_0.2",0.774387549181458,NA,0.171941938328018,1,0.678391681102947,0.803413403816084,0.473149832865782,0.484823476658242,0.0116736437924602,"chr19",1435680,1435681,"+",0.478986654762012,0,"MIXED","distal pA"
"DBF4B","ENSG00000161692","PAS42891_AATAAA_0.25",0.705566017443506,NA,0.289242391293783,1,0.590706433208517,0.738246278583898,0.275214936083774,0.218841321738674,-0.0563736143450996,"chr17",44752262,44752263,"+",0.247028128911224,0,"MIXED","distal pA"
"DCAF7","ENSG00000136485","PAS43228_AATAAA_0.3",0.497937530439911,NA,0.844290160549463,1,0.358172658397582,0.542423973187675,0.91626695845568,0.93344323945964,0.0171762810039602,"chr17",63594264,63594265,"+",0.92485509895766,0,"MIXED","distal pA"
"DDX27","ENSG00000124228","PAS49191_ATTAAA_0.45",0.555787316880911,NA,0.661212030790011,1,0.416132376693523,0.596776719742743,0.861948341877139,0.886608676644209,0.0246603347670692,"chr20",49244069,49244070,"+",0.874278509260674,0,"MIXED","distal pA"
"DHDDS","ENSG00000117682","PAS437_APA_0.3",0.942633987913843,NA,0.0129305991497404,1,0.909465471453772,0.950897694062808,0.797868089507461,0.790296988135688,-0.00757110137177253,"chr1",26471292,26471293,"+",0.794082538821574,0,"MIXED","distal pA"
"EDRF1","ENSG00000107938","PAS27987_AATAAA_0.25",0.603660310143649,NA,1.26911554172261,1,0.259932669251914,0.44453065157199,0.708815560821103,0.646544904718449,-0.062270656102654,"chr10",125764134,125764135,"+",0.677680232769776,0,"MIXED","distal pA"
"EPHB2","ENSG00000133216","PAS338_AATAAA_0.2",0.426477644777164,NA,1.14005436055686,1,0.285640841153078,0.471457503370667,0.395704282392613,0.326378392024141,-0.069325890368472,"chr1",22915322,22915323,"+",0.361041337208377,0,"MIXED","distal pA"
"EPN2","ENSG00000072134","PAS42419_APA_0.05",0.720923551566871,NA,0.260418472805895,1,0.609832804085944,0.752731975788902,0.8677520322954,0.889786085463694,0.0220340531682941,"chr17",19336713,19336714,"+",0.878769058879547,0,"MIXED","distal pA"
"EPS8L2","ENSG00000177106","PAS29371_ATTAAA_0.15",0.591878345845912,NA,0.558585618458892,1,0.454830680326485,0.632646880128418,0.865358574671085,0.848796842147398,-0.0165617325236872,"chr11",727722,727723,"+",0.857077708409241,0,"MIXED","distal pA"
"ERI1","ENSG00000104626","PAS22536_AATAAA_0.25",0.587297573639597,NA,0.622931120247358,1,0.429960144391336,0.609230590987094,0.485468686224081,0.525629177888275,0.0401604916641938,"chr8",9033335,9033336,"+",0.505548932056178,0,"MIXED","distal pA"
"ERLEC1","ENSG00000068912","PAS5641_AATAAA_0.25",0.0472936033442669,0.764278869339353,1.2648460748344,1,0.260735784140645,0.445565329489426,0.545996419469538,0.608160821263724,0.0621644017941851,"chr2",53818794,53818795,"+",0.577078620366631,1,"MIXED","distal pA"
"FLYWCH1","ENSG00000059122","PAS40141_AATAAA_0.15",0.243181099354244,NA,2.25513579838321,1,0.133171772912294,0.280454599789545,0.937992492975631,0.887066255381546,-0.050926237594085,"chr16",2949810,2949811,"+",0.912529374178588,0,"MIXED","distal pA"
"GCC2","ENSG00000135968","PAS6123_APA_0.25",0.426782496040584,NA,2.55319399541713,1,0.110071531679919,0.245037169254455,0.207577367393147,0.281759105473698,0.0741817380805508,"chr2",108472896,108472897,"+",0.244668236433422,0,"MIXED","distal pA"
