gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand
ATP6V1A,ENSG00000114573.12,PAS10001_APA_0.2,0.02699450367469038,0.00816863680282523,9.158728910650098,1,0.002475344485704615,0.01575082282283038,0.06279238787494264,0.02793311780547845,-0.03485927006946418,chr3,113811808,113811809,+
ATP6V1A,ENSG00000114573.12,PAS10002_AATAAA_0.15,0.02699450367469038,1,0.10189431240542035,1,0.749568119708143,0.8659014766422881,0.39512908480085196,0.38648251424980745,-0.008646570551044508,chr3,113812053,113812054,+
ATP6V1A,ENSG00000114573.12,PAS9999_APA_0.35,0.02699450367469038,0.40289061084572875,2.390327313087255,1,0.12208806389264508,0.28666935361618834,0.5420785273242055,0.585584367944714,0.04350584062050855,chr3,113810425,113810426,+
QTRT2,ENSG00000151576.10,PAS10005_AATAAA_0.3,0.05198511909754957,NA,5.799950839651501,1,0.01602662263595295,0.06753830629901182,0.06995117266911748,0.01671586277328378,-0.05323530989583369,chr3,114086044,114086045,+
QTRT2,ENSG00000151576.10,PAS10006_AATAAA_0.3,0.05198511909754957,NA,5.799950839651501,1,0.01602662263595295,0.06753830629901182,0.9300488273308826,0.9832841372267161,0.05323530989583358,chr3,114088343,114088344,+
SRSF11,ENSG00000116754.14,PAS1001_AATAAA_0.45,7.821516683163809e-13,1,0.3891790829693491,1,0.5327312264348456,0.7170590651875529,0.046409748916978605,0.051864293703943236,0.005454544786964631,chr1,70228940,70228941,+
SRSF11,ENSG00000116754.14,PAS1002_AATAAA_0.1,7.821516683163809e-13,1,0.12924716854831786,1,0.7192138807428252,0.8455156437903772,0.03339954880037882,0.036054962503535806,0.0026554137031569863,chr1,70229185,70229186,+
SRSF11,ENSG00000116754.14,PAS1003_None_0.25,7.821516683163809e-13,0.12560992419212083,6.723344158555847,1,0.009515903347887942,0.04531176199502804,0.3755415508456584,0.4272472479542156,0.051705697108557214,chr1,70237533,70237534,+
SRSF11,ENSG00000116754.14,PAS1005_APA_0.35,7.821516683163809e-13,0.035178797698039374,9.432230352791521,1,0.0021320483453357198,0.014015581851043908,0.17935862461375543,0.13361528689804464,-0.04574333771571079,chr1,70250046,70250047,+
SRSF11,ENSG00000116754.14,PAS1006_ATTAAA_0.2,7.821516683163809e-13,1,1.6708265173256223,1,0.1961478658554801,0.39713169948924815,0.025133767920152122,0.017524774552244708,-0.007608993367907414,chr1,70251254,70251255,+
SRSF11,ENSG00000116754.14,PAS1007_AATAAA_0.25,7.821516683163809e-13,3.204919709367989e-5,22.651212991007924,1,1.9423755814351446e-6,3.4858307774382434e-5,0.2942471072812031,0.20943700899515713,-0.08481009828604599,chr1,70251999,70252000,+
SRSF11,ENSG00000116754.14,PAS1008_AATAAA_0.3,7.821516683163809e-13,3.086767085299126e-11,49.61501156889062,1,1.8707679304843187e-12,1.1552360232144306e-10,0.04590965162187355,0.12425642539285886,0.07834677377098531,chr1,70253046,70253047,+
POGLUT1,ENSG00000163389.12,PAS10023_None_0.2,0.12379060890669873,NA,5.599201736564282,1,0.017968662925791166,0.07347197027920606,0.07500059709390193,0.02475259916109371,-0.05024799793280822,chr3,119492866,119492867,+
POGLUT1,ENSG00000163389.12,PAS10024_AATAAA_0.35,0.12379060890669873,NA,1.7226666118949652,1,0.18935015504311953,0.3887887396061434,0.5899995342717391,0.6534644090494556,0.06346487477771645,chr3,119493193,119493194,+
POGLUT1,ENSG00000163389.12,PAS10025_APA_0.3,0.12379060890669873,NA,0.07960268296301365,1,0.7778365660808266,0.8814656844865086,0.33499986863435893,0.3217829917894507,-0.013216876844908243,chr3,119494704,119494705,+
NDUFB4,ENSG00000065518.8,PAS10034_AATAAA_0.4,0.3864597041300063,NA,1.4416640966992418,1,0.2298702431751335,0.4381299829568444,0.11797915846457607,0.10026930493308155,-0.017709853531494527,chr3,120601181,120601182,+
NDUFB4,ENSG00000065518.8,PAS10035_AATAAA_0.2,0.3864597041300063,NA,1.4416640967028798,1,0.2298702431745456,0.4381299829568444,0.8820208415354239,0.8997306950669185,0.017709853531494568,chr3,120602325,120602326,+
PARP14,ENSG00000173193.15,PAS10063_ATTAAA_0.2,0.5309334156699693,NA,0.8264513990243358,1,0.36330065514270626,0.5775107004714704,0.052590269009896544,0.03321844642967996,-0.019371822580216587,chr3,122729866,122729867,+
PARP14,ENSG00000173193.15,PAS10064_AATAAA_0.35,0.5309334156699693,NA,0.8264513990243358,1,0.36330065514270626,0.5775107004714704,0.9474097309901035,0.96678155357032,0.019371822580216524,chr3,122730838,122730839,+
SLC49A4,ENSG00000138463.9,PAS10066_AATAAA_0.25,0.788816166744575,NA,0.4148189218535663,1,0.5195336890657445,0.7069390052048411,0.8270226616072969,0.7828349038215953,-0.04418775778570161,chr3,122879913,122879914,+
SLC49A4,ENSG00000138463.9,PAS10067_APA_0.25,0.788816166744575,NA,0.7528426211601982,1,0.38557772978065097,0.5983760454743753,0.05772237131468261,0.1028591225149414,0.0451367512002588,chr3,122880299,122880300,+
SLC49A4,ENSG00000138463.9,PAS10068_AATAAA_0.25,0.788816166744575,NA,-4.4943801708541287e-4,1,1,1,0.11525496707802052,0.11430597366346329,-9.48993414557231e-4,chr3,122881136,122881137,+
SEC22A,ENSG00000121542.12,PAS10074_AATAAA_0.3,0.05502707344079331,NA,5.669336676098965,1,0.017263982939417825,0.07120314814745426,0.9235138024923465,0.8221716707548529,-0.10134213173749362,chr3,123272175,123272176,+
SEC22A,ENSG00000121542.12,PAS10075_APA_0.25,0.05502707344079331,NA,5.669336676098965,1,0.017263982939417825,0.07120314814745426,0.07648619750765362,0.17782832924514713,0.10134213173749351,chr3,123274130,123274131,+
UMPS,ENSG00000114491.14,PAS10079_APA_0.2,0.2806815820279208,NA,1.3215601394213081,1,0.2503122462972757,0.46046443044809504,0.954421361556386,0.9348583641865443,-0.019562997369841684,chr3,124744291,124744292,+
UMPS,ENSG00000114491.14,PAS10080_AATAAA_0.2,0.2806815820279208,NA,3.7393962949918205,1,0.05314364299339959,0.16185593016533448,0.019246715233416083,0.04242007484533425,0.023173359611918166,chr3,124745186,124745187,+
UMPS,ENSG00000114491.14,PAS10081_APA_0.25,0.2806815820279208,NA,0.11029775492988847,1,0.7398054004160615,0.8598514747241274,0.02633192321019795,0.02272156096812139,-0.003610362242076559,chr3,124749269,124749270,+
PLXNA1,ENSG00000114554.12,PAS10091_None_0.2,0.07338800990657306,NA,5.057757782064073,1,0.024515936533841588,0.09328783710184613,0.29239162793950985,0.20868197429030774,-0.0837096536492021,chr3,127035578,127035579,+
PLXNA1,ENSG00000114554.12,PAS10092_AATAAA_0.25,0.07338800990657306,NA,5.057757782061799,1,0.02451593653387375,0.09328783710184613,0.7076083720604901,0.7913180257096922,0.08370965364920213,chr3,127037384,127037385,+
SEC61A1,ENSG00000058262.11,PAS10101_APA_0.2,0.07229318900896717,NA,5.096102387953579,1,0.023979667847648697,0.09187129706652902,0.011633003317808385,0.02690909194591822,0.015276088628109833,chr3,128070800,128070801,+
SEC61A1,ENSG00000058262.11,PAS10102_AATAAA_0.15,0.07229318900896717,NA,5.096102387953579,1,0.023979667847648697,0.09187129706652902,0.9883669966821916,0.9730909080540818,-0.015276088628109807,chr3,128071681,128071682,+
EEFSEC,ENSG00000132394.11,PAS10104_AATAAA_0.05,0.43215850000564193,NA,1.2179577197816798,1,0.26976182298900064,0.48177036098604276,0.9634837660233225,0.9408374036508654,-0.022646362372457096,chr3,128408644,128408645,+
EEFSEC,ENSG00000132394.11,PAS10105_ATTAAA_0.3,0.43215850000564193,NA,1.2179577197816798,1,0.26976182298900064,0.48177036098604276,0.03651623397667747,0.059162596349134566,0.022646362372457096,chr3,128409316,128409317,+
RAB7A,ENSG00000075785.14,PAS10112_AATAAA_0.2,0.171278908304489,NA,0.14705050869088154,1,0.7013700844317828,0.8346308004154889,0.003839368043584253,0.0046826126667437965,8.432446231595434e-4,chr3,128808020,128808021,+
RAB7A,ENSG00000075785.14,PAS10113_None_0.25,0.171278908304489,NA,3.750387692154618,1,0.05279526452167304,0.16117044064274846,0.05311583779511967,0.03923377324181568,-0.013882064553303992,chr3,128813801,128813802,+
