gene_id,feature_id,twostep_gene_padj,twostep_transcript_padj,pvalue,adj_pvalue,ctrl_1,ctrl_2,ctrl_3,ctrl_4,treatment_1,treatment_2,treatment_3,treatment_4,change_in_usage,chr,start,end,strand,ENSG_name,gene_name,mean_usage,pA_type,window_start,window_end
ABHD17C_ENSG00000136379.12,PAS41560_AATAAA_0.15,0.2136637337231495,NA,0.12307031062453412,0.2518600246835468,0.9650607587580012,0.9650607587580012,0.9650607587580012,0.9650607587580012,0.9830528106841347,0.9830528106841347,0.9830528106841347,0.9830528106841347,0.017992051926133734,chr15,80755618,80755619,+,ENSG00000136379.12,ABHD17C,0.974056784721068,distal pA,80755419,80755819
ACTR2_ENSG00000138071.15,PAS6166_AATAAA_0.25,0.13783891862163242,NA,0.021615743,0.067927244,0.7866868158124067,0.7866868158124067,0.7866868158124067,0.7866868158124067,0.8432686390222202,0.8432686390222202,0.8432686390222202,0.8432686390222202,0.056581823,chr2,65271250,65271251,+,ENSG00000138071.15,ACTR2,0.8149777274173134,distal pA,65271051,65271451
AHCYL1_ENSG00000168710.18,PAS1395_ATTAAA_0.15,0.45342502081010577,NA,0.3251638713337702,0.5008918403353444,0.16181872708656742,0.16181872708656742,0.16181872708656742,0.16181872708656742,0.18053689941719384,0.18053689941719384,0.18053689941719384,0.18053689941719384,0.018718172330626448,chr1,110023740,110023741,+,ENSG00000168710.18,AHCYL1,0.17117781325188064,distal pA,110023541,110023941
ANKRD33B_ENSG00000164236.12,PAS15531_AATAAA_0.3,0.6576910703035646,NA,0.5474687924701261,0.7009583748013598,0.3236371973230132,0.3236371973230132,0.3236371973230132,0.3236371973230132,0.26829697689892995,0.26829697689892995,0.26829697689892995,0.26829697689892995,-0.05534022,chr5,10657814,10657815,+,ENSG00000164236.12,ANKRD33B,0.2959670871109716,distal pA,10657615,10658015
APOBEC3C_ENSG00000244509.4,PAS54692_AATAAA_0.2,0.10511178017721626,NA,0.050173356,0.12884863286248469,0.7655358464119053,0.7655358464119053,0.7655358464119053,0.7655358464119053,0.6977517031818756,0.6977517031818756,0.6977517031818756,0.6977517031818756,-0.067784143,chr22,39020350,39020351,+,ENSG00000244509.4,APOBEC3C,0.7316437747968905,distal pA,39020151,39020551
ARID1A_ENSG00000117713.21,PAS488_AATAAA_0.25,0.699522481,NA,0.5976433091256175,0.7404249870737172,0.8791706683203592,0.8791706683203592,0.8791706683203592,0.8791706683203592,0.8611957348908166,0.8611957348908166,0.8611957348908166,0.8611957348908166,-0.017974933,chr1,26782101,26782102,+,ENSG00000117713.21,ARID1A,0.8701832016055879,distal pA,26781902,26782302
ARPC4_ENSG00000241553.13,PAS9735_ATTAAA_0.15,0.61452313268876535,NA,0.4982724887054114,0.6603512833445818,0.962710671,0.962710671,0.962710671,0.962710671,0.9668325652223164,0.9668325652223164,0.9668325652223164,0.9668325652223164,0.004121894,chr3,9807096,9807097,+,ENSG00000241553.13,ARPC4,0.9647716181914848,distal pA,9806897,9807297
ATF5_ENSG00000169136.13,PAS50492_AATAAA_0.05,0.9413622692041814,NA,0.909500777,0.9533680586980642,0.7465882253004177,0.7465882253004177,0.7465882253004177,0.7465882253004177,0.742000071,0.742000071,0.742000071,0.742000071,-0.004588154,chr19,49933933,49933934,+,ENSG00000169136.13,ATF5,0.7442941481469383,distal pA,49933734,49934134
AXL_ENSG00000167601.12,PAS50171_APA_0.05,0.4220231800545202,NA,0.1932200402983726,0.3483102405196655,0.9211276252207112,0.9211276252207112,0.9211276252207112,0.9211276252207112,0.9489300622425436,0.9489300622425436,0.9489300622425436,0.9489300622425436,0.027802437021832493,chr19,41261764,41261765,+,ENSG00000167601.12,AXL,0.9350288437316274,distal pA,41261565,41261965
BACE2_ENSG00000182240.16,PAS53900_AATAAA_0.45,7.589008866758871e-11,0.004014214,0.001624625,0.008366692,0.10854301516717944,0.10854301516717944,0.10854301516717944,0.10854301516717944,0.081881916,0.081881916,0.081881916,0.081881916,-0.026661099,chr21,41276582,41276583,+,ENSG00000182240.16,BACE2,0.095212465,distal pA,41276383,41276783
BAG3_ENSG00000151929.10,PAS29812_AATAAA_0.2,0.6403617839352502,NA,0.5274268691932964,0.6839667756477421,0.9747091962877849,0.9747091962877849,0.9747091962877849,0.9747091962877849,0.980972093,0.980972093,0.980972093,0.980972093,0.006262897,chr10,119677814,119677815,+,ENSG00000151929.10,BAG3,0.9778406446087404,distal pA,119677615,119678015
BCL2L2-PABPN1_ENSG00000258643.6,PAS38886_AATAAA_0.25,0.6331845767423645,NA,0.5174579187162216,0.6769898018972893,0.5657724947077958,0.5657724947077958,0.5657724947077958,0.5657724947077958,0.5444509442585025,0.5444509442585025,0.5444509442585025,0.5444509442585025,-0.02132155,chr14,23326157,23326158,+,ENSG00000258643.6,BCL2L2-PABPN1,0.5551117194831492,distal pA,23325958,23326358
BMI1_ENSG00000168283.14,PAS28861_APA_0.3,0.17808732782229306,NA,0.097792775,0.21225836405448825,0.1881929091650588,0.1881929091650588,0.1881929091650588,0.1881929091650588,0.2525357441540703,0.2525357441540703,0.2525357441540703,0.2525357441540703,0.064342835,chr10,22331481,22331482,+,ENSG00000168283.14,BMI1,0.22036432665956457,distal pA,22331282,22331682
