"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"AASDHPPT","ENSG00000149313","PAS30468_AATAAA_0.3",0.0245627187044692,0,6.81727555261045,1,0.00902801912649085,0.0320973062331375,0.551702357687755,0.705431684688767,0.153729327001012,"chr11",106098692,106098693,"+",0.628567021188261,2,"TUTR","distal pA"
"ABHD10","ENSG00000144827","PAS9981_AATAAA_0.2",0.0100061491103983,0,8.74303384572659,1,0.00310787015415683,0.0134259990659575,0.778422539628602,0.908295615760776,0.129873076132174,"chr3",111993366,111993367,"+",0.843359077694689,2,"TUTR","distal pA"
"ABI2","ENSG00000138443","PAS6853_AATAAA_0.2",3.68799688599343e-08,0,35.3291627389317,1,2.78431552982285e-09,5.90025693686385e-08,0.449549843538529,0.926274669528375,0.476724825989846,"chr2",203432167,203432168,"+",0.687912256533452,2,"TUTR","distal pA"
"ACP1","ENSG00000143727","PAS5154_AATAAA_0.15",9.72391947209502e-10,0,43.0388342135111,1,5.36640147466613e-11,1.5656667051206e-09,0.463549480703957,0.733459807472194,0.269910326768237,"chr2",278279,278280,"+",0.598504644088075,2,"TUTR","distal pA"
"ACSL3","ENSG00000123983","PAS7027_AATAAA_0.35",6.34024358444869e-05,0.0197453239588482,8.2209938490214,1,0.00414085160284895,0.0169461513847521,0.216320179641735,0.351747090880246,0.135426911238511,"chr2",222944621,222944622,"+",0.284033635260991,2,"TUTR","distal pA"
"ADCY7","ENSG00000121281","PAS40571_ATTAAA_0.35",0.002256086157984,0,11.9335449039418,1,0.000551321716752248,0.00315715022170016,0.92638401994878,0.707175612637261,-0.219208407311519,"chr16",50318131,50318132,"+",0.81677981629302,2,"TUTR","distal pA"
"ADO","ENSG00000181915","PAS27252_AATAAA_0.25",0.000249009366744212,0,16.6263493985837,1,4.55142948486068e-05,0.000364351104145708,0.405017257188036,0.75362112582822,0.348603868640184,"chr10",62808470,62808471,"+",0.579319191508128,2,"TUTR","distal pA"
"AIF1L","ENSG00000126878","PAS25648_AATAAA_0.2",0.00199848289575035,0,12.1987161411349,1,0.000478224163133196,0.00279842960860072,0.686610857610041,0.943964812249119,0.257353954639078,"chr9",131123142,131123143,"+",0.81528783492958,2,"TUTR","distal pA"
"AKAP12","ENSG00000131016","PAS18440_AATAAA_0.25",0.000138240711262018,1.53179967506774e-05,20.3572955603527,1,6.42476684907001e-06,6.36377549845132e-05,0.402838012331478,0.591701846998351,0.188863834666873,"chr6",151358532,151358533,"+",0.497269929664915,2,"TUTR","distal pA"
"ALDH5A1","ENSG00000112294","PAS17429_AATAAA_0.15",5.73860996202007e-06,0,24.631143299447,1,6.94207121233252e-07,8.7037454955446e-06,0.55604837690071,0.895307401830777,0.339259024930067,"chr6",24537205,24537206,"+",0.725677889365744,2,"TUTR","distal pA"
"AP2B1","ENSG00000006125","PAS42660_AATAAA_0.35",3.37998839765813e-23,2.99178373307581e-26,115.449337657237,1,6.27416014662696e-27,1.10353513893245e-24,0.723137288286614,0.941839424968284,0.21870213668167,"chr17",35726408,35726409,"+",0.832488356627449,2,"TUTR","distal pA"
"AP5Z1","ENSG00000242802","PAS19983_AATAAA_0.15",1.62489792385753e-23,6.7045771736347e-19,80.565636254646,1,2.81207431123751e-19,2.16389118249726e-17,0.047655751759533,0.300952351227667,0.253296599468134,"chr7",4794394,4794395,"+",0.1743040514936,2,"TUTR","distal pA"
"APBA2","ENSG00000034053","PAS38226_AATAAA_0.25",3.13044350048588e-09,0,40.5452896313145,1,1.92111102237323e-10,5.09756873005587e-09,0.171283355602442,0.608639422675487,0.437356067073045,"chr15",29118310,29118311,"+",0.389961389138965,2,"TUTR","distal pA"
"APLP2","ENSG00000084234","PAS30723_AATAAA_0.2",4.59858018897272e-06,2.15450898501616e-07,28.5701246546014,1,9.0365719018338e-08,1.42092303008145e-06,0.694844524736216,0.821542982770917,0.126698458034701,"chr11",130144803,130144804,"+",0.758193753753566,2,"TUTR","distal pA"
"ARHGAP35","ENSG00000160007","PAS47015_AATAAA_0.45",8.99309905155551e-11,1.83064369638274e-07,28.8855912373219,1,7.67819651904462e-08,1.22612134296339e-06,0.352967525567789,0.559253044485734,0.206285518917946,"chr19",47005073,47005074,"+",0.456110285026762,2,"TUTR","distal pA"
"ARHGEF28","ENSG00000214944","PAS14969_AATAAA_0.25",1.50137319642333e-05,4.49770584945544e-07,28.4871432969012,1,9.43227496022665e-08,1.47560570915261e-06,0.337287846814068,0.567397520568057,0.230109673753989,"chr5",73941988,73941989,"+",0.452342683691063,2,"TUTR","distal pA"
"ARL6IP6","ENSG00000177917","PAS6409_APA_0.25",0.0253105912963037,0,6.74560618202872,1,0.00939788400891453,0.0330213321683093,0.13454734770279,0.333503386354568,0.198956038651779,"chr2",152761168,152761169,"+",0.234025367028679,2,"TUTR","distal pA"
"ARL8B","ENSG00000134108","PAS9112_AATAAA_0.35",7.42863289990291e-07,0,29.0109214213171,1,7.19713926591196e-08,1.15529567981817e-06,0.717434535463879,0.893909404542854,0.176474869078974,"chr3",5180908,5180909,"+",0.805671970003366,2,"TUTR","distal pA"
"ARMCX3","ENSG00000102401","PAS52204_AATAAA_0.3",0.0482873943070225,0,5.40564066913203,1,0.0200717800176873,0.061154109274379,0.507427994199952,0.729532413503827,0.222104419303875,"chrX",101627841,101627842,"+",0.618480203851889,2,"TUTR","distal pA"
"ATF6","ENSG00000118217","PAS1752_None_0.15",1.06083073854399e-10,1.02717534525818e-05,21.1225691444706,1,4.30824096245151e-06,4.46866577335325e-05,0.221950761851047,0.463157947839543,0.241207185988496,"chr1",161960122,161960123,"+",0.342554354845295,3,"TUTR","distal pA"
"ATF7IP","ENSG00000171681","PAS32241_AATAAA_0.3",0.00390026203695966,0.0020381404584197,11.1181954041786,1,0.000854849198895679,0.00453659626586362,0.602795974716978,0.770794014119263,0.167998039402285,"chr12",14502927,14502928,"+",0.68679499441812,2,"TUTR","distal pA"
"ATG7","ENSG00000197548","PAS9191_AATAAA_0.45",6.54165104800016e-11,0,48.7147279308115,1,2.9603498120089e-12,1.056458750303e-10,0.0748801467456408,0.493886277586125,0.419006130840484,"chr3",11557662,11557663,"+",0.284383212165883,2,"TUTR","distal pA"
"ATMIN","ENSG00000166454","PAS40931_ATTAAA_0.15",0.000766647070796865,0,14.257526764859,1,0.000159421973662394,0.00109409327744225,0.170911095092622,0.415403656493634,0.244492561401012,"chr16",81047235,81047236,"+",0.293157375793128,2,"TUTR","distal pA"
"ATP6V0A2","ENSG00000185344","PAS33561_AATAAA_0.15",2.25642886543626e-08,2.95802100531194e-10,42.7553009926341,1,6.20335530915307e-11,1.75980899922333e-09,0.30448616161719,0.669901998701533,0.365415837084342,"chr12",123761751,123761752,"+",0.487194080159361,3,"TUTR","distal pA"
"ATP6V1C1","ENSG00000155097","PAS23260_AATAAA_0.3",4.79346313799205e-19,1.78119785564434e-19,85.9262792492591,1,1.86770194576393e-20,1.63086144370536e-18,0.324346541751772,0.601705878588109,0.277359336836336,"chr8",103073048,103073049,"+",0.463026210169941,2,"TUTR","distal pA"
"B3GALT6","ENSG00000176022","PAS29_ATTAAA_0.25",0.0134193573278103,0.00749403175267088,8.72242774255574,1,0.0031431921258443,0.013540581334288,0.389312925986216,0.68965517244258,0.300342246456364,"chr1",1235037,1235038,"+",0.539484049214398,2,"TUTR","distal pA"
"BACE2","ENSG00000182240","PAS50269_AATAAA_0.2",6.04042873866882e-08,2.15553195994117e-09,37.5215484363401,1,9.04086252513956e-10,2.11618059713913e-08,0.0443132112666915,0.345376096055357,0.301062884788666,"chr21",41282527,41282528,"+",0.194844653661024,2,"TUTR","distal pA"
"BIRC5","ENSG00000089685","PAS43454_AATAAA_0.2",0.00058422584821163,0.000180832183027472,17.74320347875,1,2.52819093268725e-05,0.000218589092438521,0.0616516522377804,0.193827246158923,0.132175593921142,"chr17",78225348,78225349,"+",0.127739449198352,2,"TUTR","distal pA"
"BMPR2","ENSG00000204217","PAS6832_ATTAAA_0.25",0.00229822854412765,0.000349049432412021,15.7262763264152,1,7.32002120952361e-05,0.000551217743924494,0.543763738789155,0.836711602875499,0.292947864086344,"chr2",202567746,202567747,"+",0.690237670832327,2,"TUTR","distal pA"
"BRK1","ENSG00000254999","PAS9174_AATAAA_0.25",8.92395175591773e-05,1.20836077933835e-05,20.8113469550044,1,5.06817986918956e-06,5.15254001640546e-05,0.120376650881898,0.245300449678662,0.124923798796764,"chr3",10127188,10127189,"+",0.18283855028028,2,"TUTR","distal pA"
"BRMS1L","ENSG00000100916","PAS36513_AATAAA_0.15",0.00740018615087015,0,9.36753720507104,1,0.00220862067902336,0.0101087501115752,0.614525583316045,0.920542564875721,0.306016981559676,"chr14",35871961,35871962,"+",0.767534074095883,2,"TUTR","distal pA"
"BTF3L4","ENSG00000134717","PAS854_None_0.25",0.0149675798072958,0.00407561055091852,11.118500450626,1,0.000854708614431036,0.00453659626586362,0.337423748428726,0.525252372161246,0.18782862373252,"chr1",52088417,52088418,"+",0.431338060294986,2,"TUTR","distal pA"
"C6orf89","ENSG00000198663","PAS17744_ATTAAA_0.1",1.58632524913254e-09,2.13059178854508e-11,47.9074838245288,1,4.46812847487379e-12,1.52386697458853e-10,0.374999999999998,0.745453723647238,0.37045372364724,"chr6",36928961,36928962,"+",0.560226861823618,3,"TUTR","distal pA"
"CACYBP","ENSG00000116161","PAS1880_AATAAA_0.35",0.000300630787275001,0,16.2395867800406,1,5.58155276064763e-05,0.000434330945350144,0.209422803838349,0.314317650809808,0.104894846971459,"chr1",175010799,175010800,"+",0.261870227324078,2,"TUTR","distal pA"
"CALM1","ENSG00000198668","PAS37046_AATAAA_0.25",7.27103829711925e-22,2.59077639079063e-23,102.042912278601,1,5.4331955215256e-24,6.43206762125222e-22,0.127696444136178,0.336410532879819,0.208714088743641,"chr14",90408265,90408266,"+",0.232053488507999,2,"TUTR","distal pA"
"CALM3","ENSG00000160014","PAS47004_AATAAA_0.05",2.22475233178486e-23,0,107.817725433699,1,2.94669183017862e-25,4.12268975149536e-23,0.762966256295782,0.931009768969388,0.168043512673605,"chr19",46610780,46610781,"+",0.846988012632585,2,"TUTR","distal pA"
"CAST","ENSG00000153113","PAS15149_ATTAAA_0.25",7.49885100320735e-08,1.24016723790915e-09,40.7456819327199,1,1.73386148052051e-10,4.66098308911978e-09,0.431217929546404,0.660079039137411,0.228861109591007,"chr5",96774678,96774679,"+",0.545648484341907,2,"TUTR","distal pA"
