"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ABCD3","ENSG00000117528","PAS1169_AATAAA_0.15",0.546542288521916,NA,0.529801486130054,1,0.466690330783324,0.584365618794447,0.881208533020085,0.90429116735336,0.0230826343332748,"chr1",94518661,94518662,"+",0.892749850186722,0,"ALE","distal pA"
"ACO2","ENSG00000100412","PAS51084_APA_0.15",0.225807369801843,NA,3.64814657286843,1,0.0561316435771301,0.107504417709648,0.892225645621918,0.853982095868234,-0.038243549753684,"chr22",41528972,41528973,"+",0.873103870745076,0,"ALE","distal pA"
"ACTN4","ENSG00000130402","PAS46782_AATAAA_0.2",0.0589562536842215,NA,5.07692008951562,1,0.0242464036643167,0.0525388370300196,0.500408112532125,0.524964518336387,0.0245564058042617,"chr19",38730529,38730530,"+",0.512686315434256,0,"ALE","distal pA"
"AGBL5","ENSG00000084693","PAS5344_AATAAA_0.35",0.28053679469542,NA,1.56297934591157,1,0.211229519422909,0.315800543092105,0.233786553333509,0.301763988252499,0.0679774349189898,"chr2",27070612,27070613,"+",0.267775270793004,0,"ALE","distal pA"
"AKR1E2","ENSG00000165568","PAS26831_AATAAA_0.45",0.0868635829499205,NA,3.68805851430807,1,0.0548033729129308,0.105323597505304,0.935702223194257,0.879440678844461,-0.0562615443497966,"chr10",4848056,4848057,"+",0.907571451019359,0,"ALE","distal pA"
"ANKDD1A","ENSG00000166839","PAS38680_AATAAA_0.3",0.323585615775327,NA,1.31915458760898,1,0.250743832137591,0.36056345510477,0.821365838223528,0.893905059495082,0.0725392212715541,"chr15",64958689,64958690,"+",0.857635448859305,0,"ALE","distal pA"
"ANKRD12","ENSG00000101745","PAS45162_AATAAA_0.4",0.983604143052102,NA,0.00196687783318339,1,0.964625818018494,0.977570096286879,0.446160995620703,0.445180464730423,-0.000980530890279885,"chr18",9256249,9256250,"+",0.445670730175563,0,"ALE","distal pA"
"AP2A1","ENSG00000196961","PAS47137_AATAAA_0.2",0.879614358895069,NA,0.0397287877040071,1,0.842011797015897,0.893431505873552,0.905840655456904,0.911406930569153,0.00556627511224839,"chr19",49807109,49807110,"+",0.908623793013029,0,"ALE","distal pA"
"ARL2BP","ENSG00000102931","PAS40637_ATTAAA_0.25",0.800626318653057,NA,0.384067095706996,1,0.535434592767234,0.64717533813353,0.767281637658472,0.790925626962237,0.0236439893037645,"chr16",57253597,57253598,"+",0.779103632310354,0,"ALE","distal pA"
"ARMC7","ENSG00000125449","PAS43368_AATAAA_0.35",0.605034287379579,NA,0.391980374896775,1,0.531260265325359,0.643599380092457,0.840976426648449,0.874492904610234,0.0335164779617855,"chr17",75130227,75130228,"+",0.857734665629342,0,"ALE","distal pA"
