gene_symbol,feature_id,chr,start,end,window_start,window_end,strand,padj_24hrs,change_in_usage_24hrs,padj_48hrs,change_in_usage_48hrs,padj_72hrs,change_in_usage_72hrs,padj_96hrs,change_in_usage_96hrs,padj_GP2D,change_in_usage_GP2D,padj_H838,change_in_usage_H838,padj_HCT116 p53 -/-,change_in_usage_HCT116 p53 -/-,padj_HCT116 p53 +/+,change_in_usage_HCT116 p53 +/+,padj_LU99,change_in_usage_LU99,padj_MCF7,change_in_usage_MCF7,padj_PANC0403,change_in_usage_PANC0403,padj_SKMEL2,change_in_usage_SKMEL2,padj_SUM149PT,change_in_usage_SUM149PT,padj_U2OS,change_in_usage_U2OS,padj_siCFIM25_DMSO,change_in_usage_siCFIM25_DMSO,padj_siCFIM25_DMAi,change_in_usage_siCFIM25_DMAi,pA_type
LZIC,PAS2708_AATAAA_0.3,chr1,9926393,9926394,9926193,9926593,-,NA,0.07590398033404167,1,0.05090697133996813,1.9001862481929703e-5,0.20453180073741356,0.020875607551285983,0.123771457237694,NA,0.09132772864332832,NA,NA,0.827091913100705,0.06293581853273733,NA,0.05316115547131578,NA,NA,0.012466041941637324,0.17017540636797218,NA,0.04341535468477764,NA,0.06520393977077071,NA,NA,NA,NA,7.09090872386783e-7,-0.154828266,0.059018478770582194,-0.085603028,distal pA
SZRD1,PAS272_APA_0.15,chr1,16398143,16398144,16397944,16398344,+,1.1455019706528701e-7,0.11584237912361296,5.920004115924771e-7,0.12612369774100174,3.2852480452045553e-18,0.18722685279121457,2.320794057645716e-31,0.2029425054442534,0.03398592265929852,0.08119832383657144,NA,-0.021136077856114044,0.10433719375842952,0.042679384388519925,0.09444149823512904,0.057161229145853976,0.0156764920417817,0.08665787740442299,3.1517608364305e-4,0.09990415554992528,NA,0.07655438407810022,NA,-0.037152126349104475,3.1598884397576147e-4,0.0995357263469906,NA,0.02839257959069663,8.66404595285388e-7,-0.168308403,NA,-0.05054654,distal pA
CAMK2N1,PAS2851_AATAAA_0.05,chr1,20482395,20482396,20482195,20482595,-,NA,-0.14894766414136834,NA,0.07993168156989894,NA,0.06291409524129188,NA,0.09233826223107594,NA,0.03595649159505385,NA,NA,NA,-0.02323116793592084,NA,-0.018850406148611495,NA,0.030734188806879448,NA,0.01086710104785188,NA,0.0527942139063913,NA,-0.10761261033009456,NA,0.001355482097902344,NA,-0.02132006956581939,0,-0.175992036,NA,-0.067867913,distal pA
ELOA,PAS354_AATAAA_0.2,chr1,23762057,23762058,23761858,23762258,+,0.011662081953064589,0.08149989534194424,1.1063327936552076e-7,0.17323298737425907,5.514215320556595e-11,0.21915175930026676,7.464308432291613e-18,0.26684943596967126,NA,0.2017759330388159,0.0037247417204325857,0.1522001096822469,0.009963305106843285,0.097912944079997,NA,0.13883550432634834,3.523136573321075e-6,0.2766365654292289,0.015049868205575316,0.11732921281349828,0.016836994384816017,0.16678902769025833,NA,0.04795314775530496,0.004051410889629978,0.1609155703218643,0.00802354991258348,0.13271912625356824,3.689822791145297e-9,-0.293170895,0.026806676,-0.171886692,distal pA
SYF2,PAS2948_AATAAA_0.3,chr1,25222687,25222688,25222487,25222887,-,NA,0.07957145076394806,0,0.0981100668873328,0,0.0788909061939404,0,0.0962806484724184,NA,0.1134798887691224,NA,-0.0015276834370231418,NA,0.013649845950985062,NA,0.036780387583920326,NA,0.07001289933218668,NA,0.049747078992984806,NA,0.018609307426552313,NA,0.027599385495612916,NA,0.02123799695015227,0,0.18103537662154232,0,-0.31057797,0,-0.16829348,distal pA
MTFR1L,PAS418_ATTAAA_0.2,chr1,25832935,25832936,25832736,25833136,+,NA,0.03044896357379634,NA,0.021257014100911076,NA,0.018770375519284063,NA,0.03845464784209052,NA,0.04383772839845679,NA,0.024537667094963966,NA,-0.01373922874726774,NA,NA,NA,0.03136412754499063,NA,NA,NA,NA,NA,0.007664440447403775,NA,0.040873280860493355,NA,0.04241172136450311,0,-0.135263472,NA,-0.062756984,distal pA
PSMB2,PAS3146_ATTAAA_0.25,chr1,35601820,35601821,35601620,35602020,-,0.06494840478938473,0.0337097769041524,2.2897455668749757e-4,0.052092092498111545,4.3572135352169232e-16,0.1010836712814703,3.1426465692988255e-11,0.09322360139453816,0.00853244392197132,0.07561518588200677,NA,0.07124424478724004,1.5780681606855555e-9,0.0825459126793485,4.291549625713e-9,0.09561083785765748,1.2381372384855832e-9,0.1758421000683673,5.671771378790813e-4,0.06715867201191483,0.027029388304179544,0.08417196398107826,2.7198573224815987e-4,0.0928022170237752,6.492974820274077e-7,0.10848423345717192,6.917881087499783e-6,0.1198531728692023,4.254867372824349e-9,-0.129781616,0.005256664,-0.084326855,distal pA
RLF,PAS690_AATAAA_0.25,chr1,40240919,40240920,40240720,40241120,+,NA,0.09259483218000442,NA,-0.02171249834610012,NA,0.027752280460991985,NA,0.03948873555377219,NA,0.1351508307964414,NA,0.15926462759945692,NA,-0.06416873880039276,NA,0.06455099618196314,NA,-0.013073271800166151,NA,-0.10770175579123786,NA,0.05490547611114438,NA,NA,NA,0.05723419389411189,NA,0.08552006490936948,0,-0.260065113,NA,-0.091647604,distal pA
SMAP2,PAS698_AATAAA_0.15,chr1,40423321,40423322,40423122,40423522,+,NA,0.05047095518359867,NA,0.016029096510240093,0,0.0793203495930499,0,0.09056076500048282,NA,0.042645837456346314,NA,NA,NA,NA,NA,NA,NA,NA,0,0.14856280938111466,NA,NA,NA,0.014596662486252463,NA,NA,NA,0.05485110400225579,0,-0.229910895,NA,-0.080114858,distal pA
EFCAB14,PAS3345_AATAAA_0.3,chr1,46675160,46675161,46674960,46675360,-,8.229028094427454e-8,0.2366521749850219,1.463861306192785e-5,0.1909131129963811,4.9903727207184494e-8,0.2257071261255964,2.884191743933109e-12,0.3053218030364604,NA,NA,NA,0.01926982127908161,NA,0.09057475465366405,1.5829417274956296e-4,0.1653812103511717,0,0.1239775514398762,2.3454263252556181e-7,0.306751778957989,NA,0.058494511502551805,NA,0.11153908215939824,4.3499424033752167e-10,0.23887305303692408,NA,0.09406896814702104,4.7417316047765274e-14,-0.518288627,0,-0.199554079,distal pA
