"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type","condition"
"ABCC3","ENSG00000108846","PAS43063_None_0.1",4.86422929986855e-07,3.85906195673364e-06,24.7336019671056,1,6.58264663398347e-07,1.2102563532099e-05,0.220183235155678,0.0639999917195171,-0.156183243436161,"chr17",50667924,50667925,"+",0.142091613437598,2,"ALE","distal pA","HCT116_p53plus"
"AEBP2","ENSG00000139154","PAS32287_APA_0.15",0.00191773419287311,0,12.8483058101983,1,0.000337784930635486,0.00273613903897112,0.0766926862462243,0.293385111975284,0.21669242572906,"chr12",19553268,19553269,"+",0.185038899110754,2,"ALE","distal pA","HCT116_p53plus"
"AIG1","ENSG00000146416","PAS18368_APA_0.35",4.59548484927177e-06,5.32356857913089e-05,19.6956574339706,1,9.08074842567625e-06,0.000125686871799488,0.134800348466615,0.353728818614874,0.218928470148259,"chr6",143335799,143335800,"+",0.244264583540744,2,"ALE","distal pA","HCT116_p53plus"
"ALG13","ENSG00000101901","PAS52279_AATAAA_0.3",1.09379631721652e-14,9.49240461502848e-17,71.1936056526993,1,3.23835926907038e-17,3.16678683594962e-15,0.318981577309411,0.823128073976652,0.504146496667241,"chrX",111760643,111760644,"+",0.571054825643032,2,"ALE","distal pA","HCT116_p53plus"
"ANTXR1","ENSG00000169604","PAS5779_AATAAA_0.1",2.18341209823383e-08,6.10336599579123e-10,40.3879818863913,1,2.082179663276e-10,7.93757473330779e-09,0.804827358351655,0.340535022990618,-0.464292335361037,"chr2",69249167,69249168,"+",0.572681190671137,3,"ALE","distal pA","HCT116_p53plus"
"AP2A1","ENSG00000196961","PAS47137_AATAAA_0.2",0.0020316514977995,0,12.7168822343351,1,0.000362369387474047,0.00290908678403466,0.529379614695175,0.238259748382493,-0.291119866312682,"chr19",49807109,49807110,"+",0.383819681538834,2,"ALE","distal pA","HCT116_p53plus"
"ARHGEF1","ENSG00000076928","PAS46872_ATTAAA_0.4",1.17209413413752e-21,0,100.53807359334,1,1.16142795900394e-23,2.14705072695318e-21,0.110410256083001,0.633228765117553,0.522818509034551,"chr19",41930139,41930140,"+",0.371819510600277,2,"ALE","distal pA","HCT116_p53plus"
"ARHGEF10","ENSG00000104728","PAS22505_AATAAA_0.2",2.48002630768839e-06,0,27.1468492754457,1,1.88572273345228e-07,3.96383618192188e-06,0.516391215324932,0.310190549089345,-0.206200666235587,"chr8",1958639,1958640,"+",0.413290882207138,2,"ALE","distal pA","HCT116_p53plus"
"ARHGEF40","ENSG00000165801","PAS36369_ATTAAA_0.2",0.0273306976085544,0,6.99949590432152,1,0.00815326724461376,0.0358479108684427,0.912718568754518,0.595645434041809,-0.317073134712709,"chr14",21089543,21089544,"+",0.754182001398163,2,"ALE","distal pA","HCT116_p53plus"
"ARMC8","ENSG00000114098","PAS10219_APA_0.3",0.0102927956468737,0.0466612797326711,7.04260679022173,1,0.00795931030424835,0.0352051434139074,0.678537742277431,0.531977637271645,-0.146560105005786,"chr3",138296516,138296517,"+",0.605257689774538,2,"ALE","distal pA","HCT116_p53plus"
"ATP11A","ENSG00000068650","PAS35766_AATAAA_0.2",2.4628529706279e-09,1.19767195736046e-06,25.6533338268453,1,4.08588997384649e-07,7.79520935856153e-06,0.77796829729743,0.364262093191624,-0.413706204105806,"chr13",112887165,112887166,"+",0.571115195244527,2,"ALE","distal pA","HCT116_p53plus"
"BAIAP2","ENSG00000175866","PAS43519_AATAAA_0.15",1.32386444957046e-37,2.82478279945495e-40,178.632835980511,1,9.63682220966734e-41,6.50244578597304e-38,0.767775748699858,0.170613112083075,-0.597162636616782,"chr17",81116223,81116224,"+",0.469194430391466,2,"ALE","distal pA","HCT116_p53plus"
"BICD1","ENSG00000151746","PAS32454_AATAAA_0.2",0.00190544690466893,0.000211533650389221,15.7532129105231,1,7.21652716292449e-05,0.000750863793860185,0.499136670186705,0.153933976268286,-0.345202693918418,"chr12",32383631,32383632,"+",0.326535323227496,2,"ALE","distal pA","HCT116_p53plus"
"BLZF1","ENSG00000117475","PAS1824_AATAAA_0.35",0.0274905142826418,0,6.98323029159576,1,0.00822769689349037,0.0360847479940372,0.0497478454137249,0.219821041384888,0.170073195971163,"chr1",169396042,169396043,"+",0.134784443399307,2,"ALE","distal pA","HCT116_p53plus"
"CAMTA1","ENSG00000171735","PAS113_AATAAA_0.15",0.000412585447586002,0.000388150500178359,14.6070449908893,1,0.000132418583175104,0.00126288959713642,0.281339669268521,0.45987835281265,0.178538683544129,"chr1",6888198,6888199,"+",0.370609011040586,2,"ALE","distal pA","HCT116_p53plus"
"CAPRIN1","ENSG00000135387","PAS29697_ATTAAA_0.25",4.3643975000035e-16,1.23358322505369e-06,28.7077082836204,1,8.41680445163024e-08,1.90898783318908e-06,0.314539490727817,0.177057382420745,-0.137482108307072,"chr11",34100937,34100938,"+",0.245798436574281,2,"ALE","distal pA","HCT116_p53plus"
"CDYL","ENSG00000153046","PAS17295_AATAAA_0.25",4.05095797634754e-06,4.66940138055975e-05,19.9462759744392,1,7.96489396259282e-06,0.00011243330964978,0.394354449255571,0.212857155710516,-0.181497293545055,"chr6",4955542,4955543,"+",0.303605802483043,2,"ALE","distal pA","HCT116_p53plus"
"CFLAR","ENSG00000003402","PAS6803_AATAAA_0.45",3.20493211626368e-06,0.0264269188464572,8.80430576416802,1,0.00300520472490552,0.0163925779153597,0.538111341932583,0.35992213563168,-0.178189206300903,"chr2",201167545,201167546,"+",0.449016738782131,2,"ALE","distal pA","HCT116_p53plus"
"CLIP4","ENSG00000115295","PAS5408_AATAAA_0.25",0.0110145281716808,0,8.97466789615953,1,0.00273748334135386,0.0151713912491058,0.709556075372926,0.911497013063511,0.201940937690585,"chr2",29183805,29183806,"+",0.810526544218218,2,"ALE","distal pA","HCT116_p53plus"
"COQ4","ENSG00000167113","PAS25550_AATAAA_0.1",0.0160756667873458,0,8.15492825426463,1,0.00429442989405133,0.0216728988108537,0.767558514733253,0.629757502850607,-0.137801011882645,"chr9",128334069,128334070,"+",0.69865800879193,2,"ALE","distal pA","HCT116_p53plus"
"CTDSPL","ENSG00000144677","PAS9413_AATAAA_0.15",0.00768350757046025,0,9.79042140015008,1,0.00175423256765412,0.0106974100770413,0.697586143847158,0.861099228953338,0.16351308510618,"chr3",37984467,37984468,"+",0.779342686400248,2,"ALE","distal pA","HCT116_p53plus"
"DCTN5","ENSG00000166847","PAS40390_AATAAA_0.45",3.34462122923602e-05,7.4308711310501e-06,23.4718775993956,1,1.26753079859267e-06,2.19580592131041e-05,0.319269569865713,0.555980678146321,0.236711108280608,"chr16",23677454,23677455,"+",0.437625124006017,2,"ALE","distal pA","HCT116_p53plus"
"DEF8","ENSG00000140995","PAS41081_ATTAAA_0.05",2.83826996388546e-08,0,36.6761681384141,1,1.39474135737951e-09,4.62457853018095e-08,0.453291043961324,0.700502802979023,0.247211759017699,"chr16",89968058,89968059,"+",0.576896923470173,2,"ALE","distal pA","HCT116_p53plus"
"DENND10","ENSG00000119979","PAS27907_AATAAA_0.1",0.00178594749833783,0,13.0075450317847,1,0.000310238402643462,0.00254199589779859,0.507642029511804,0.75238176186038,0.244739732348575,"chr10",119137771,119137772,"+",0.630011895686092,2,"ALE","distal pA","HCT116_p53plus"
"DIAPH2","ENSG00000147202","PAS52178_AATAAA_0.2",4.98355191182198e-08,0,35.4325110710403,1,2.64042588654673e-09,8.26741237562601e-08,0.430754053369603,0.979644065043545,0.548890011673942,"chrX",97604993,97604994,"+",0.705199059206574,2,"ALE","distal pA","HCT116_p53plus"
"DIS3L2","ENSG00000144535","PAS7100_AATAAA_0.1",0.00177602313151362,0.020749665062051,8.50619089369388,1,0.00353940191705561,0.0186142746962843,0.500240292538456,0.334312462265491,-0.165927830272965,"chr2",232336975,232336976,"+",0.417276377401973,2,"ALE","distal pA","HCT116_p53plus"
"DNAJB6","ENSG00000105993","PAS21189_AATAAA_0.05",2.76563735129235e-26,0,122.443883217095,1,1.84562249934491e-28,5.41449470188499e-26,0.810194694729882,0.322789023490025,-0.487405671239857,"chr7",157417437,157417438,"+",0.566491859109953,2,"ALE","distal pA","HCT116_p53plus"
"EEF2K","ENSG00000103319","PAS40371_AATAAA_0.2",0.000499688359733583,3.65088792049599e-05,19.0922286771954,1,1.24551019653726e-05,0.000165597636475569,0.463373013533204,0.708956330797469,0.245583317264265,"chr16",22288730,22288731,"+",0.586164672165336,2,"ALE","distal pA","HCT116_p53plus"
"ELP5","ENSG00000170291","PAS42229_AATAAA_0.45",0.049650435895659,0,5.70378813399566,1,0.0169283387098243,0.0627259557630638,0.436527994939957,0.327246671755258,-0.109281323184699,"chr17",7259930,7259931,"+",0.381887333347608,2,"ALE","distal pA","HCT116_p53plus"
"EPB41L5","ENSG00000115109","PAS6245_AATAAA_0.1",0.0263479720029498,0,7.07749173929665,1,0.00780581981482739,0.0346625661076327,0.418811593659602,0.675067145778334,0.256255552118732,"chr2",120179117,120179118,"+",0.546939369718968,2,"ALE","distal pA","HCT116_p53plus"
"ESPN","ENSG00000187017","PAS100_ATTAAA_0.1",3.27908005355645e-16,2.3940916199554e-10,43.5732880635187,1,4.08375385527277e-11,1.81882040517842e-09,0.702172470004227,0.447153934520507,-0.255018535483719,"chr1",6460928,6460929,"+",0.574663202262367,2,"ALE","distal pA","HCT116_p53plus"
"EXOC3","ENSG00000180104","PAS14542_APA_0.1",7.63379438724394e-15,0,68.2143406044001,1,1.46655301676105e-16,1.38399531197136e-14,0.260461285227376,0.61691125618992,0.356449970962544,"chr5",471935,471936,"+",0.438686270708648,2,"ALE","distal pA","HCT116_p53plus"
"FAM149B1","ENSG00000138286","PAS27380_AATAAA_0.35",4.12187899890921e-05,0,21.1734248190237,1,4.19541772594206e-06,6.34702449414877e-05,0.44675573257977,0.0320126575451263,-0.414743075034643,"chr10",73242179,73242180,"+",0.239384195062448,2,"ALE","distal pA","HCT116_p53plus"
"FAM177A1","ENSG00000151327","PAS36496_None_0.15",0.0278716899364667,0.0342349070238337,8.33300993967441,1,0.00389311008757718,0.0200831500886292,0.311659336114823,0.439487997253084,0.127828661138261,"chr14",35079023,35079024,"+",0.375573666683954,2,"ALE","distal pA","HCT116_p53plus"
"FARP1","ENSG00000152767","PAS35690_None_0.25",7.67309328913024e-07,0.00125245812230631,14.4697770999196,1,0.000142426481451348,0.00134502824855559,0.291058046848907,0.127208157502458,-0.163849889346449,"chr13",98449766,98449767,"+",0.209133102175682,3,"ALE","distal pA","HCT116_p53plus"
