"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type","condition"
"ABCC3","ENSG00000108846","PAS43063_None_0.1",4.03010132466553e-06,5.33209339364887e-07,29.4413529577929,1,5.76346176937754e-08,3.04876926782781e-06,0.566919392148389,0.0837381152097391,-0.48318127693865,"chr17",50667924,50667925,"+",0.325328753679064,2,"ALE","distal pA","H838"
"ANKHD1","ENSG00000131503","PAS15518_AATAAA_0.2",0.0437236511313408,0,6.83572687503533,1,0.00893523265395132,0.0564591471342432,0.64034346598408,0.819399892081405,0.179056426097324,"chr5",140539848,140539849,"+",0.729871679032743,2,"ALE","distal pA","H838"
"ANTXR1","ENSG00000169604","PAS5779_AATAAA_0.1",6.84862936802539e-30,1.67379529070697e-30,136.194408990956,1,1.80920596387983e-31,2.16290572981834e-28,0.625688131143766,0.0734209934405519,-0.552267137703214,"chr2",69249167,69249168,"+",0.349554562292159,2,"ALE","distal pA","H838"
"ATP11A","ENSG00000068650","PAS35766_AATAAA_0.2",9.56356541709198e-10,1.40638617698041e-06,26.2239229714712,1,3.04032670307777e-07,1.26205228247551e-05,0.810498246817044,0.499871103905064,-0.31062714291198,"chr13",112887165,112887166,"+",0.655184675361054,2,"ALE","distal pA","H838"
"BAIAP2","ENSG00000175866","PAS43519_AATAAA_0.15",0.00073507918810264,0,16.1617202238386,1,5.8157591213819e-05,0.00105504401056341,0.886640237644388,0.527925992761798,-0.35871424488259,"chr17",81116223,81116224,"+",0.707283115203093,2,"ALE","distal pA","H838"
"BCCIP","ENSG00000107949","PAS27994_ATTAAA_0.4",0.00432992669283939,0.00141585403231409,14.3344350565749,1,0.000153039715995618,0.00231300860268977,0.162303198954795,0.0370362924475469,-0.125266906507248,"chr10",125853520,125853521,"+",0.0996697457011708,2,"ALE","distal pA","H838"
"BICD1","ENSG00000151746","PAS32454_AATAAA_0.2",1.0963063535873e-11,4.23206267528117e-06,26.7737614728785,1,2.28721907456136e-07,9.97945402787631e-06,0.307378854846475,0.0866453825825413,-0.220733472263934,"chr12",32383631,32383632,"+",0.197012118714508,2,"ALE","distal pA","H838"
"BMP1","ENSG00000168487","PAS22638_AATAAA_0.25",7.4390340260415e-06,2.59634595235525e-06,25.0408722515822,1,5.61278264716869e-07,2.16454246925489e-05,0.558808511586937,0.402552390211467,-0.15625612137547,"chr8",22212323,22212324,"+",0.480680450899202,2,"ALE","distal pA","H838"
"CAMTA1","ENSG00000171735","PAS113_AATAAA_0.15",0.00499609296982843,0,11.8174135297822,1,0.000586793179206504,0.00677134407086269,0.272947935231406,0.464454543830148,0.191506608598742,"chr1",6888198,6888199,"+",0.368701239530777,2,"ALE","distal pA","H838"
"CFLAR","ENSG00000003402","PAS6803_AATAAA_0.45",9.13766561201284e-07,0.011562311605646,11.7003442801069,1,0.000624885349759118,0.00716251616142882,0.313470773970398,0.180328627721157,-0.133142146249241,"chr2",201167545,201167546,"+",0.246899700845778,2,"ALE","distal pA","H838"
"CLIP4","ENSG00000115295","PAS5408_AATAAA_0.25",0.0208677341318879,0.0133592523978756,10.1487361132286,1,0.00144400209783144,0.0138882100398832,0.650012513218098,0.827670726844148,0.17765821362605,"chr2",29183805,29183806,"+",0.738841620031123,2,"ALE","distal pA","H838"
"DIAPH2","ENSG00000147202","PAS52178_AATAAA_0.2",0.0342579021812402,0,7.37965727444933,1,0.00659657398809707,0.0448589545094997,0.485032331807373,0.852375029906656,0.367342698099283,"chrX",97604993,97604994,"+",0.668703680857014,2,"ALE","distal pA","H838"
"DNAJB6","ENSG00000105993","PAS21189_AATAAA_0.05",0.000101445659727782,0,20.5422098552162,1,5.8330689123619e-06,0.000159686587352071,0.67800447420098,0.451389648973017,-0.226614825227962,"chr7",157417437,157417438,"+",0.564697061586998,2,"ALE","distal pA","H838"
"DNHD1","ENSG00000179532","PAS29428_APA_0.15",2.84439724173126e-05,1.40392775328302e-05,21.7942952003317,1,3.03501208086589e-06,9.26254241971183e-05,0.651062178082084,0.213084154349402,-0.437978023732682,"chr11",6549034,6549035,"+",0.432073166215743,2,"ALE","distal pA","H838"
"ELP5","ENSG00000170291","PAS42229_AATAAA_0.45",0.000976370811708097,0,15.5158217970547,1,8.18175674620558e-05,0.00140133097279209,0.178551727059303,0.07109545370032,-0.107456273358983,"chr17",7259930,7259931,"+",0.124823590379811,2,"ALE","distal pA","H838"
"EXOC3","ENSG00000180104","PAS14542_APA_0.1",1.93731291549126e-05,0,24.2594394495759,1,8.41934518655664e-07,3.10658246003965e-05,0.286675855599177,0.532671127855877,0.2459952722567,"chr5",471935,471936,"+",0.409673491727527,2,"ALE","distal pA","H838"
"FAM177A1","ENSG00000151327","PAS36496_None_0.15",2.23082636048441e-15,3.58361350759143e-08,35.4758287019758,1,2.58235279872497e-09,1.91751724899112e-07,0.285945872758222,0.453505704442438,0.167559831684216,"chr14",35079023,35079024,"+",0.36972578860033,2,"ALE","distal pA","H838"
"FAN1","ENSG00000198690","PAS38244_AATAAA_0.35",0.00686471504427121,0,11.100874200813,1,0.00086287035546455,0.00925997764773671,0.884346446385658,0.649626540345933,-0.234719906039724,"chr15",30943104,30943105,"+",0.766986493365795,2,"ALE","distal pA","H838"
"FBLN1","ENSG00000077942","PAS51154_AATAAA_0.2",0.00395638441427936,0,12.3504851053824,1,0.000440871898181341,0.00546745180784018,0.378815650836988,0.194822230928852,-0.183993419908137,"chr22",45601133,45601134,"+",0.28681894088292,2,"ALE","distal pA","H838"
"FLAD1","ENSG00000160688","PAS1614_AATAAA_0.05",0.0319276070045226,0,7.54650294209387,1,0.00601266501422366,0.0419622943637151,0.65239787005569,0.488163831831829,-0.16423403822386,"chr1",154993110,154993111,"+",0.570280850943759,2,"ALE","distal pA","H838"
"GNPAT","ENSG00000116906","PAS2414_AATAAA_0.45",0.00196940710731457,0,13.8840761624888,1,0.000194438900945031,0.00283955251726318,0.828263148436442,0.646211695305538,-0.182051453130904,"chr1",231277792,231277793,"+",0.73723742187099,2,"ALE","distal pA","H838"
"GOSR2","ENSG00000108433","PAS42960_ATTAAA_0.15",1.30889386740012e-12,3.40204073461945e-08,35.5771117976146,1,2.45151141265943e-09,1.83173868364647e-07,0.290530920273339,0.0360543446028494,-0.25447657567049,"chr17",46966994,46966995,"+",0.163292632438094,3,"ALE","distal pA","H838"
"GPATCH2L","ENSG00000089916","PAS36983_AATAAA_0.25",0.026810834651866,0.0475201525609503,6.58694864957488,1,0.0102729101814401,0.0621521463659497,0.759186500067957,0.636276858529871,-0.122909641538086,"chr14",76207600,76207601,"+",0.697731679298914,2,"ALE","distal pA","H838"
"ITPRIPL2","ENSG00000205730","PAS40332_AATAAA_0.3",0.0368194535870048,0.0155475274574465,8.60030577679936,1,0.00336106566385627,0.0271258904522466,0.73743724677912,0.61206963586522,-0.125367610913899,"chr16",19121625,19121626,"+",0.67475344132217,2,"ALE","distal pA","H838"
"KIF1B","ENSG00000054523","PAS168_AATAAA_0.25",7.92834276525518e-09,8.90367349138737e-11,45.0457995581842,1,1.92479681003917e-11,2.19151865371602e-09,0.761818968785527,0.370083518127181,-0.391735450658346,"chr1",10381598,10381599,"+",0.565951243456354,2,"ALE","distal pA","H838"
"KLC1","ENSG00000126214","PAS37219_ATTAAA_0.25",1.48492330229211e-05,2.71874195560259e-05,20.5277239972638,1,5.8773784197337e-06,0.000160054804118261,0.636522128659122,0.47941991967185,-0.157102208987273,"chr14",103701542,103701543,"+",0.557971024165486,2,"ALE","distal pA","H838"
"LIMK2","ENSG00000182541","PAS50901_AATAAA_0.35",1.97962616728569e-05,0.00059124206467882,15.9831913882097,1,6.39073771716576e-05,0.00113692365191543,0.37944978519836,0.143432078673943,-0.236017706524418,"chr22",31280070,31280071,"+",0.261440931936152,4,"ALE","distal pA","H838"
"LRRFIP1","ENSG00000124831","PAS7177_ATTAAA_0.25",2.93144430515694e-07,6.61936737472283e-09,36.6261717747684,1,1.43097534064657e-09,1.1108642985344e-07,0.204794270469939,0.018863331471394,-0.185930938998546,"chr2",237780313,237780314,"+",0.111828800970667,2,"ALE","distal pA","H838"
"LY6K","ENSG00000160886","PAS23517_AATAAA_0.2",0.00110654016339106,0,15.2297578840371,1,9.51915540603855e-05,0.00158718971937505,0.0633798420926754,0.178530788387772,0.115150946295097,"chr8",142705191,142705192,"+",0.120955315240224,2,"ALE","distal pA","H838"
"MAST1","ENSG00000105613","PAS46322_AATAAA_0.1",0.0384955838173853,0,7.11901729660565,1,0.00762705014790629,0.0500064850606049,0.210265750497786,0.382570399323286,0.1723046488255,"chr19",12874950,12874951,"+",0.296418074910536,2,"ALE","distal pA","H838"
"METRN","ENSG00000103260","PAS40052_AATAAA_0.25",2.29151404299812e-07,0,33.9805282342764,1,5.56663763509683e-09,3.802808738719e-07,0.0948066090231312,0.366521951160786,0.271715342137655,"chr16",719647,719648,"+",0.230664280091959,2,"ALE","distal pA","H838"
"MPND","ENSG00000008382","PAS46122_AATAAA_0.15",2.35962887045976e-05,0,23.8439247246776,1,1.04471076930861e-06,3.73937642128275e-05,0.732879048484819,0.23361192680197,-0.499267121682849,"chr19",4360076,4360077,"+",0.483245487643394,2,"ALE","distal pA","H838"
"MTHFD1L","ENSG00000120254","PAS18434_AATAAA_0.3",6.32881154250078e-07,0,31.840052842254,1,1.6740479630076e-08,9.95683751132134e-07,0.543733714533755,0.873722807494828,0.329989092961073,"chr6",151101884,151101885,"+",0.708728261014291,2,"ALE","distal pA","H838"
"NECTIN2","ENSG00000130202","PAS46954_None_0.1",0.000955349865837448,0,15.5873815078376,1,7.8778571508771e-05,0.00136294909173279,0.310275609216539,0.191590082255921,-0.118685526960618,"chr19",44889221,44889222,"+",0.25093284573623,2,"ALE","distal pA","H838"
"NFATC1","ENSG00000131196","PAS45517_AATAAA_0.2",0.000965540391323528,0,15.5571282649165,1,8.00492590979167e-05,0.00138093635283636,0.607414039748946,0.0816781551313909,-0.525735884617555,"chr18",79529321,79529322,"+",0.344546097440168,2,"ALE","distal pA","H838"
"NOL7","ENSG00000225921","PAS17365_ATTAAA_0.45",4.88872796809958e-07,0.00187775445785851,13.8034188865686,1,0.000202966550492841,0.00291642441243019,0.124841645721891,0.24085162039164,0.11600997466975,"chr6",13621196,13621197,"+",0.182846633056766,2,"ALE","distal pA","H838"
"NPM1","ENSG00000181163","PAS15794_AATAAA_0.25",9.14435816586987e-12,4.87002570331985e-14,59.7948169012998,1,1.05280252556725e-14,2.51725083863129e-12,0.669612508541123,0.428716382626249,-0.240896125914875,"chr5",171410898,171410899,"+",0.549164445583686,2,"ALE","distal pA","H838"
"NUB1","ENSG00000013374","PAS21144_AATAAA_0.4",0.0101197710614749,0.00443123259876214,10.9071378593799,1,0.000957944198974655,0.0099498026922172,0.577234215296306,0.730768165906062,0.153533950609755,"chr7",151378443,151378444,"+",0.654001190601184,2,"ALE","distal pA","H838"
"OBSCN","ENSG00000154358","PAS2379_AATAAA_0.1",2.63931912958657e-08,0.000479200978663778,15.0700547033489,1,0.000103593703878731,0.00170118506850306,0.771163088731505,0.435721966686525,-0.33544112204498,"chr1",228361248,228361249,"+",0.603442527709015,3,"ALE","distal pA","H838"
