"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type"
"ABCE1","ENSG00000164163","PAS13298_AATAAA_0.3",0.000276887536410011,0.00560418888869416,8.95050917216577,1,0.00277392257919745,0.00998574439345605,0.0930601206743828,0.150579444219054,0.0575193235446712,"chr4",145129520,145129521,"+",0.121819782446718,0,"TUTR"
"ABHD13","ENSG00000139826","PAS35734_AATAAA_0.25",0.986294813919512,NA,0.194622569717467,1,0.659096820985814,0.76956754779372,0.222223034697905,0.194444561459275,-0.0277784732386304,"chr13",108234253,108234254,"+",0.20833379807859,0,"TUTR"
"ABHD2","ENSG00000140526","PAS38967_AATAAA_0.05",0.187109793500804,NA,0.376057194258465,1,0.539720949681034,0.671529449097794,0.687627569659886,0.709868965639562,0.022241395979676,"chr15",89202353,89202354,"+",0.698748267649724,0,"TUTR"
"ACADSB","ENSG00000196177","PAS27953_AATAAA_0.2",0.0399772876263106,1,0.0124290338289939,1,0.91123130236406,0.947264037909145,0.203427897962938,0.208935905488007,0.00550800752506897,"chr10",123058288,123058289,"+",0.206181901725472,0,"TUTR"
"ADIPOR2","ENSG00000006831","PAS32053_AATAAA_0.25",0.127488970497302,NA,3.18747531787085,1,0.0742045318359957,0.152801741278541,0.929657475995377,0.901661685043492,-0.0279957909518854,"chr12",1788670,1788671,"+",0.915659580519434,0,"TUTR"
"AFAP1L1","ENSG00000157510","PAS15640_ATTAAA_0.35",0.901274402491188,NA,0.0317235524578336,1,0.858635750197764,0.91351442383174,0.292961175849456,0.305649232740734,0.0126880568912784,"chr5",149341801,149341802,"+",0.299305204295095,0,"TUTR"
"AGO3","ENSG00000126070","PAS630_AATAAA_0.15",0.222700125033082,NA,1.95743188084111,1,0.161788240679286,0.278530177829609,0.290509949721275,0.221574661527418,-0.0689352881938572,"chr1",36072496,36072497,"+",0.256042305624347,0,"TUTR"
"AKAP9","ENSG00000127914","PAS20635_ATTAAA_0.3",0.437138384195637,NA,0.0132390023286462,1,0.908396880157044,0.945758412722282,0.448427219785889,0.440823657762923,-0.00760356202296641,"chr7",91995799,91995800,"+",0.444625438774406,0,"TUTR"
"ANKRD33B","ENSG00000164236","PAS14609_AATAAA_0.3",0.493745044594208,NA,0.74801080868383,1,0.387106752197431,0.532853345644748,0.529484911980203,0.495385200898309,-0.0340997110818944,"chr5",10657814,10657815,"+",0.512435056439256,0,"TUTR"
"APOOL","ENSG00000155008","PAS52157_AATAAA_0.15",0.189907220476899,NA,0.0115992557257414,1,0.914233795738994,0.948978625056091,0.582088838401684,0.58783724714294,0.00574840874125626,"chrX",85093314,85093315,"+",0.584963042772312,0,"TUTR"
"ARHGEF12","ENSG00000196914","PAS30631_ATTAAA_0.3",0.465385552555234,NA,1.68848315929063,1,0.193801042890545,0.320188648808043,0.790320229945186,0.831997752599382,0.041677522654196,"chr11",120489027,120489028,"+",0.811158991272284,0,"TUTR"
