"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ADARB1","ENSG00000197381","PAS50348_AATAAA_0.15",0.945700555830138,NA,0.0177087149621684,1,0.894134781506336,0.950143278877068,0.860077249269827,0.854462536902838,-0.00561471236698885,"chr21",45226558,45226559,"+",0.857269893086333,0,"MIXED","distal pA"
"AFTPH","ENSG00000119844","PAS5733_AATAAA_0.2",0.907165168864305,NA,0.333437040128956,1,0.563642208905887,0.740328125530513,0.136377771685231,0.158990445431753,0.0226126737465219,"chr2",64593001,64593002,"+",0.147684108558492,0,"MIXED","distal pA"
"ALDH16A1","ENSG00000161618","PAS47107_AATAAA_0.25",0.285854087065048,NA,1.99833037083545,1,0.157472584487239,0.325484770525005,0.277029652763286,0.334039594386425,0.0570099416231392,"chr19",49471046,49471047,"+",0.305534623574856,0,"MIXED","distal pA"
"ARL6IP4","ENSG00000182196","PAS33521_ATTAAA_0",0.961661631169246,NA,0.00904389412607998,1,0.924235881974106,0.965067355547762,0.923932975543246,0.924813721215491,0.000880745672244276,"chr12",122982908,122982909,"+",0.924373348379369,0,"MIXED","distal pA"
"ARL6IP5","ENSG00000144746","PAS9794_AATAAA_0.15",0.23654891976464,NA,2.31558806521207,1,0.128082852934757,0.281872019749912,0.34627233283302,0.30209282704665,-0.0441795057863705,"chr3",69106065,69106066,"+",0.324182579939835,0,"MIXED","distal pA"
"BIVM","ENSG00000134897","PAS35719_AATAAA_0.35",0.900104581008975,NA,0.0519957137437359,1,0.819626271489593,0.910329445317764,0.854189472089653,0.842790864082584,-0.0113986080070696,"chr13",102841530,102841531,"+",0.848490168086119,0,"MIXED","distal pA"
"BTN2A2","ENSG00000124508","PAS17467_AATAAA_0.35",0.719034651704209,NA,0.312050121253378,1,0.576424865424477,0.750791523711141,0.223033814222285,0.266438672582987,0.0434048583607014,"chr6",26394869,26394870,"+",0.244736243402636,0,"MIXED","distal pA"
"C5orf24","ENSG00000181904","PAS15417_AATAAA_0.2",0.296443121662735,NA,1.93312990098821,1,0.164416424397651,0.336123132094323,0.555998458733492,0.492743574311927,-0.0632548844215658,"chr5",134859733,134859734,"+",0.524371016522709,0,"MIXED","distal pA"
"CALR","ENSG00000179218","PAS46327_ATTAAA_0",0.384756756889722,NA,1.40955895591105,1,0.235129622855711,0.427194017160078,0.880487858167563,0.860259836658517,-0.0202280215090461,"chr19",12944488,12944489,"+",0.87037384741304,0,"MIXED","distal pA"
"CCAR1","ENSG00000060339","PAS27299_APA_0.3",0.714720144216048,NA,2.17748199010384,1,0.140043420515085,0.299286526558598,0.531066006481569,0.503793424551075,-0.0272725819304941,"chr10",68771444,68771445,"+",0.517429715516322,0,"MIXED","distal pA"
"CCAR2","ENSG00000158941","PAS22652_AATAAA_0.25",1,NA,6.71226018766902e-07,1,0.999346306142245,1,0.604423692380875,0.604521442698523,9.77503176482486e-05,"chr8",22620467,22620468,"+",0.604472567539699,0,"MIXED","distal pA"
"CCDC91","ENSG00000123106","PAS32404_AATAAA_0.1",0.375358403212285,NA,0.489694694679201,1,0.484063525760444,0.6800051288818,0.351000602098959,0.326214004189784,-0.0247865979091748,"chr12",28550164,28550165,"+",0.338607303144372,0,"MIXED","distal pA"
"CEP97","ENSG00000182504","PAS9913_AATAAA_0.15",0.89347501987897,NA,0.0578140771509084,1,0.809984846324877,0.904249431135027,0.813114143578075,0.832602436299428,0.0194882927213532,"chr3",101770560,101770561,"+",0.822858289938752,0,"MIXED","distal pA"
"CIRBP","ENSG00000099622","PAS46026_AATAAA_0.2",0.504043514940867,NA,2.09744137736197,1,0.147545860495474,0.310455647971675,0.417993342775109,0.380108847661033,-0.037884495114076,"chr19",1274806,1274807,"+",0.399051095218071,0,"MIXED","distal pA"
"CRELD1","ENSG00000163703","PAS9157_AATAAA_0.3",0.560257001747712,NA,0.715567398313169,1,0.397601743175796,0.60291803417995,0.0952070495851113,0.125257327621985,0.0300502780368735,"chr3",9945396,9945397,"+",0.110232188603548,0,"MIXED","distal pA"
"CSPP1","ENSG00000104218","PAS22986_AATAAA_0.4",0.625927895780438,NA,0.610438029888655,1,0.434622931812929,0.636287194673355,0.171397981428086,0.137908997575542,-0.0334889838525443,"chr8",67196258,67196259,"+",0.154653489501814,0,"MIXED","distal pA"
"DARS2","ENSG00000117593","PAS1863_AATAAA_0.45",0.794329317435488,NA,0.171507529550468,1,0.678775479164673,0.819968648478671,0.665745430538408,0.707993160798381,0.0422477302599729,"chr1",173858419,173858420,"+",0.686869295668394,0,"MIXED","distal pA"
"DAZAP1","ENSG00000071626","PAS46037_AATAAA_0.2",0.0774214346948531,NA,4.68900097400183,1,0.0303562919802504,0.0958488756183745,0.612665604545143,0.675777612099843,0.0631120075547003,"chr19",1435680,1435681,"+",0.644221608322493,0,"MIXED","distal pA"
"DCAF7","ENSG00000136485","PAS43228_AATAAA_0.3",0.477186656014627,NA,0.998416004869796,1,0.317694092110026,0.521419709462829,0.886197049903692,0.853487315889603,-0.0327097340140894,"chr17",63594264,63594265,"+",0.869842182896648,0,"MIXED","distal pA"
"DDX27","ENSG00000124228","PAS49191_ATTAAA_0.45",0.807396983630948,NA,0.153922091719323,1,0.694815094134021,0.831755809743173,0.836153210970574,0.824918458090179,-0.0112347528803955,"chr20",49244069,49244070,"+",0.830535834530376,0,"MIXED","distal pA"
"DNM1","ENSG00000106976","PAS25543_AATAAA_0.15",0.840969716274261,NA,0.111985157183199,1,0.737895283450195,0.860502992705659,0.895191187059255,0.878231594517943,-0.0169595925413121,"chr9",128255235,128255236,"+",0.886711390788599,0,"MIXED","distal pA"
"EPHB2","ENSG00000133216","PAS338_AATAAA_0.2",0.769167715088358,NA,0.211507195579202,1,0.64558863578592,0.797203068344918,0.421020432170961,0.37873781499441,-0.0422826171765511,"chr1",22915322,22915323,"+",0.399879123582685,0,"MIXED","distal pA"
"EPN2","ENSG00000072134","PAS42419_APA_0.05",0.744578612376275,NA,0.261196557283483,1,0.609299293207963,0.773677748765037,0.901128144803338,0.876752514127161,-0.0243756306761765,"chr17",19336713,19336714,"+",0.888940329465249,0,"MIXED","distal pA"
