"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type"
"ABCE1","ENSG00000164163","PAS13298_AATAAA_0.3",0.0483253680880911,0.994752192655906,0.856073601636581,1,0.354839803998381,0.560331933617319,0.0926326344504232,0.118523336667692,0.0258907022172691,"chr4",145129520,145129521,"+",0.105577985559058,0,"TUTR"
"ABHD2","ENSG00000140526","PAS38967_AATAAA_0.05",0.922195399266956,NA,0.0082433115112508,1,0.927657323174584,0.965767052649706,0.574483635768807,0.570808640629966,-0.00367499513884084,"chr15",89202353,89202354,"+",0.572646138199387,0,"TUTR"
"ACADSB","ENSG00000196177","PAS27953_AATAAA_0.2",0.914547224923466,NA,0.038468739644486,1,0.844504898436091,0.923419385396424,0.277353399200476,0.295567921144982,0.0182145219445062,"chr10",123058288,123058289,"+",0.286460660172729,0,"TUTR"
"ACER3","ENSG00000078124","PAS30308_APA_0.25",0.35671625021687,NA,0.683578609824508,1,0.408357159781595,0.612068297868613,0.532647554753816,0.600091267609415,0.0674437128555994,"chr11",77022926,77022927,"+",0.566369411181616,0,"TUTR"
"ADIPOR2","ENSG00000006831","PAS32053_AATAAA_0.25",0.747658540450265,NA,0.255137346112861,1,0.613480720203079,0.776566273787217,0.79017666391549,0.773925774503552,-0.0162508894119375,"chr12",1788670,1788671,"+",0.782051219209521,0,"TUTR"
"AFAP1L1","ENSG00000157510","PAS15640_ATTAAA_0.35",0.78311341165167,NA,0.188145262617354,1,0.664464803184987,0.809649559955054,0.303652588400641,0.335459998932402,0.0318074105317607,"chr5",149341801,149341802,"+",0.319556293666522,0,"TUTR"
"AGO4","ENSG00000134698","PAS615_AATAAA_0.35",0.779929187792732,NA,0.193859260676646,1,0.659723812228282,0.807707496910611,0.62603622274958,0.688149792175444,0.0621135694258641,"chr1",35857886,35857887,"+",0.657093007462512,0,"TUTR"
"AKAP9","ENSG00000127914","PAS20635_ATTAAA_0.3",0.572058707765189,NA,0.340530014344949,1,0.559523447265672,0.737136534711411,0.487667603068427,0.457650197058521,-0.0300174060099061,"chr7",91995799,91995800,"+",0.472658900063474,0,"TUTR"
"ANKRD33B","ENSG00000164236","PAS14609_AATAAA_0.3",0.0906583324968282,NA,2.02534172683954,1,0.154694121977889,0.321263256650036,0.483544611444075,0.427511139969687,-0.0560334714743888,"chr5",10657814,10657815,"+",0.455527875706881,0,"TUTR"
"ANKS1A","ENSG00000064999","PAS17697_AATAAA_0.2",0.752287273599226,NA,0.244528242669844,1,0.620954539414671,0.780904604215877,0.835806804221574,0.800651148474387,-0.035155655747187,"chr6",35091404,35091405,"+",0.81822897634798,0,"TUTR"
"APOBEC3F","ENSG00000128394","PAS51021_ATTAAA_0.3",1,NA,1.73420380633615e-06,1,0.998949272730807,1,0.446300192144516,0.446427617954323,0.000127425809806903,"chr22",39055967,39055968,"+",0.44636390504942,0,"TUTR"
"APPL1","ENSG00000157500","PAS9709_AATAAA_0.35",0.140480662909764,NA,0.995591222254006,1,0.318379659836986,0.522028395234693,0.47756768338464,0.443324146220658,-0.0342435371639827,"chr3",57273451,57273452,"+",0.460445914802649,0,"TUTR"
"ARHGEF12","ENSG00000196914","PAS30631_ATTAAA_0.3",0.161047665732035,NA,3.16764040666794,1,0.0751108884299042,0.191566414706109,0.802127137540202,0.871740182077911,0.0696130445377089,"chr11",120489027,120489028,"+",0.836933659809056,0,"TUTR"
"ARPC5L","ENSG00000136950","PAS25477_AATAAA_0.1",0.405256111151372,NA,1.94760576209774,1,0.162845086446439,0.33379673793514,0.775414285405332,0.714501578705075,-0.0609127067002564,"chr9",124877413,124877414,"+",0.744957932055203,0,"TUTR"
"ATG10","ENSG00000152348","PAS15065_ATTAAA_0.4",0.890246462053525,NA,0.0609377034415957,1,0.805019953719576,0.901011306436801,0.41819631345252,0.444452614920215,0.0262563014676955,"chr5",82254788,82254789,"+",0.431324464186367,0,"TUTR"
"ATM","ENSG00000149311","PAS30484_AATAAA_0.4",0.0499001228837523,0.746779288829311,1.23526812903583,1,0.266384953393015,0.465880136199832,0.719100843442648,0.786323842134869,0.067222998692221,"chr11",108369098,108369099,"+",0.752712342788758,1,"TUTR"
"ATP6V1A","ENSG00000114573","PAS10002_AATAAA_0.15",0.968743146641183,NA,0.207910715294929,1,0.648409915515043,0.799394371339934,0.23578041562677,0.255230654953787,0.0194502393270172,"chr3",113812053,113812054,"+",0.245505535290278,0,"TUTR"
