"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type"
"ABHD2","ENSG00000140526","PAS38967_AATAAA_0.05",0.131767629034273,NA,0.328381874947809,1,0.566613455746976,0.826676701247261,0.690092581904135,0.699715787953598,0.00962320604946321,"chr15",89202353,89202354,"+",0.694904184928867,0,"TUTR"
"ABRAXAS2","ENSG00000165660","PAS27969_AATAAA_0.2",0.817533360396384,NA,0.126560686894663,1,0.722025034175807,0.90914138311865,0.760277922741155,0.770729575257505,0.0104516525163499,"chr10",124836666,124836667,"+",0.76550374899933,0,"TUTR"
"ACADSB","ENSG00000196177","PAS27953_AATAAA_0.2",0.876058067115664,NA,0.631515413834222,1,0.426799994484055,0.738914033437308,0.536283400828895,0.591098233638079,0.0548148328091844,"chr10",123058288,123058289,"+",0.563690817233487,0,"TUTR"
"ADIPOR2","ENSG00000006831","PAS32053_AATAAA_0.25",0.257850659791386,NA,2.97869772092963,1,0.0843671296255037,0.320290189018927,0.880055348567002,0.897488066084743,0.0174327175177408,"chr12",1788670,1788671,"+",0.888771707325873,0,"TUTR"
"AFAP1L1","ENSG00000157510","PAS15640_ATTAAA_0.35",0.797452878860958,NA,0.685232867032937,1,0.407790608024874,0.725366859609047,0.27846906587569,0.320798718488646,0.0423296526129555,"chr5",149341801,149341802,"+",0.299633892182168,0,"TUTR"
"AGGF1","ENSG00000164252","PAS15005_APA_0.25",0.236970577002064,NA,0.5123557017032,1,0.474120865174504,0.772208909964779,0.478518007335022,0.45942011953537,-0.0190978877996523,"chr5",77065209,77065210,"+",0.468969063435196,0,"TUTR"
"AGPS","ENSG00000018510","PAS6625_AATAAA_0.35",0.394822656848639,NA,0.654124076452717,1,0.418642062157078,0.732695515690407,0.284705406266258,0.258900234428108,-0.0258051718381499,"chr2",177543832,177543833,"+",0.271802820347183,0,"TUTR"
"AKAP11","ENSG00000023516","PAS35475_AATAAA_0.1",0.89293205373345,NA,0.0882482207907742,1,0.76641610535752,0.927655894287165,0.822518491432096,0.839517599618024,0.0169991081859282,"chr13",42323259,42323260,"+",0.83101804552506,0,"TUTR"
"AKAP5","ENSG00000179841","PAS36786_AATAAA_0.2",0.89293205373345,NA,0.0879594082471726,1,0.766787552837102,0.927655894287165,0.72447404927546,0.753407735147165,0.0289336858717053,"chr14",64474501,64474502,"+",0.738940892211313,0,"TUTR"
"ALDH1B1","ENSG00000137124","PAS25005_AATAAA_0.25",0.650423058328228,NA,0.20360363457803,1,0.651827685459819,0.874622057235212,0.416028914750779,0.393037768672692,-0.0229911460780876,"chr9",38398657,38398658,"+",0.404533341711735,0,"TUTR"
"ALG10B","ENSG00000175548","PAS32470_AATAAA_0.2",0.842528058243545,NA,-0.0112396950871698,1,1,1,0.649788260709874,0.651637332802541,0.00184907209266727,"chr12",38329719,38329720,"+",0.650712796756208,0,"TUTR"
"ANKIB1","ENSG00000001629","PAS20642_ATTAAA_0.25",0.967221888179857,NA,0.16723198146974,1,0.682583641588965,0.888728087908351,0.752869947147743,0.770333218380062,0.0174632712323192,"chr7",92401376,92401377,"+",0.761601582763902,0,"TUTR"
"ANKRD33B","ENSG00000164236","PAS14609_AATAAA_0.3",0.752711562648373,NA,0.038442996034064,1,0.844556272939006,0.958895330448716,0.474307458863746,0.466229547652047,-0.00807791121169898,"chr5",10657814,10657815,"+",0.470268503257897,0,"TUTR"
"AP4S1","ENSG00000100478","PAS36473_AATAAA_0.2",0.975206639602241,NA,0.131049533918485,1,0.7173463186381,0.907326113824082,0.260494528636033,0.281580822632457,0.0210862939964248,"chr14",31096448,31096449,"+",0.271037675634245,0,"TUTR"
