"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type","condition"
"CENATAC","ENSG00000186166","PAS30607_AATAAA_0.2",0.0149649641740895,0,8.83140279608278,1,0.00296090696090841,0.02080508129512,0.708575075065105,0.585647744121111,-0.122927330943993,"chr11",119015743,119015744,"+",0.647111409593108,2,"iAPA","distal pA","U2OS"
"DDX20","ENSG00000064703","PAS1338_AATAAA_0.25",0.00167097787407071,0.00173507126617943,13.4545124740948,1,0.000244417599843595,0.00296466528072583,0.6238150141721,0.428150989762116,-0.195664024409984,"chr1",111767260,111767261,"+",0.525983001967108,2,"iAPA","distal pA","U2OS"
"KIAA0586","ENSG00000100578","PAS36719_AATAAA_0.3",0.000358503264731371,1.66603081297019e-05,23.6202522175981,1,1.17345973191149e-06,3.18037676059088e-05,0.367806195142122,0.140699612609418,-0.227106582532704,"chr14",58548117,58548118,"+",0.25425290387577,2,"iAPA","distal pA","U2OS"
"PACS1","ENSG00000175115","PAS30087_AATAAA_0.05",0.000109929859737744,0,19.883975965542,1,8.22871622637239e-06,0.000176353076146516,0.902143047039543,0.722587704644516,-0.179555342395028,"chr11",66244743,66244744,"+",0.812365375842029,2,"iAPA","distal pA","U2OS"
"PALD1","ENSG00000107719","PAS27354_ATTAAA_0.2",0.00558826356370683,0,11.1190014677358,1,0.000854477765148327,0.00793353435239998,0.952083196523507,0.680649370389174,-0.271433826134334,"chr10",70568448,70568449,"+",0.81636628345634,2,"iAPA","distal pA","U2OS"
"PXMP2","ENSG00000176894","PAS33655_AATAAA_0.25",0.00151301430646453,0,14.0851166513862,1,0.000174720854649113,0.00226799930447155,0.91206727280684,0.778178359650286,-0.133888913156554,"chr12",132704982,132704983,"+",0.845122816228563,2,"iAPA","distal pA","U2OS"
"RPS3A","ENSG00000145425","PAS13321_AATAAA_0.15",0.0251981990889046,0,7.62894744192454,1,0.00574388137967884,0.034012787777706,0.617527049796184,0.745969096728593,0.128442046932409,"chr4",151104638,151104639,"+",0.681748073262389,2,"iAPA","distal pA","U2OS"
"RSAD1","ENSG00000136444","PAS43052_AATAAA_0.05",1.79268668163351e-07,0,33.7591540674393,1,6.23748422233842e-09,3.11832065953694e-07,0.806948217085641,0.574732915671525,-0.232215301414116,"chr17",50485973,50485974,"+",0.690840566378583,2,"iAPA","distal pA","U2OS"
"SLC30A9","ENSG00000014824","PAS12781_AATAAA_0.15",2.98040996330907e-09,1.06854681441318e-10,44.1700649449231,1,3.0105005228342e-11,2.43439271786342e-09,0.878973743478949,0.659113721129142,-0.219860022349807,"chr4",42087520,42087521,"+",0.769043732304046,2,"iAPA","distal pA","U2OS"
"USP10","ENSG00000103194","PAS40971_AATAAA_0.15",5.8043606178127e-05,0,21.2565692817188,1,4.01731184381434e-06,9.33252443716871e-05,0.961265199923769,0.847653298033881,-0.113611901889888,"chr16",84779918,84779919,"+",0.904459248978825,2,"iAPA","distal pA","U2OS"
"ENSG00000266086","ENSG00000266086","PAS44602_APA_0.15",3.68034378295251e-07,6.32665379622862e-09,36.1980834487144,1,1.78245766160438e-09,9.69735605750794e-08,0.663722738895812,0.86737035349509,0.203647614599278,"chr17",57989038,57989039,"-",0.765546546195451,3,"iAPA","distal pA","U2OS"
"PHYKPL","ENSG00000175309","PAS17177_AATAAA_0.4",0.000817559462342205,0,15.4949800828954,1,8.2724655019768e-05,0.00122784297390453,0.518926785015025,0.326569986155888,-0.192356798859136,"chr5",178208639,178208640,"-",0.422748385585457,2,"iAPA","distal pA","U2OS"
"PLAT","ENSG00000104368","PAS23842_AATAAA_0.4",0.000466992497453281,0,16.7171042019897,1,4.33880559981043e-05,0.000718183951521194,0.993699343216624,0.890199151621132,-0.103500191595492,"chr8",42175236,42175237,"-",0.941949247418878,2,"iAPA","distal pA","U2OS"
"PTP4A2","ENSG00000184007","PAS3062_AATAAA_0.05",1.40037333065468e-07,0.00431330788834637,12.5086417215243,1,0.000405073990141237,0.00434998904652396,0.378512300052687,0.48437921292778,0.105866912875093,"chr1",31906422,31906423,"-",0.431445756490234,2,"iAPA","distal pA","U2OS"
"SBDS","ENSG00000126524","PAS21790_AATAAA_0.4",0.011355652002581,0,9.492521640836,1,0.00206311074562596,0.015753308985436,0.697427437446352,0.465634365857545,-0.231793071588806,"chr7",66987777,66987778,"-",0.581530901651949,2,"iAPA","distal pA","U2OS"
"TPGS2","ENSG00000134779","PAS45745_AATAAA_0.3",4.02865144228156e-07,0.000168273277503837,19.9615568933023,1,7.90149111970244e-06,0.000170695278232638,0.27570331617196,0.151564359639903,-0.124138956532058,"chr18",36786796,36786797,"-",0.213633837905932,2,"iAPA","distal pA","U2OS"
"CENATAC","ENSG00000186166","PAS30605_APA_0.35",0.0149649641740895,0,8.83140279608369,1,0.00296090696090693,0.02080508129512,0.291424924934895,0.414352255878889,0.122927330943993,"chr11",119002333,119002334,"+",0.352888590406892,2,"iAPA","proximal pA","U2OS"
"DDX20","ENSG00000064703","PAS1337_None_0.2",0.00167097787407071,0.0451183836273425,7.44656087917474,1,0.00635577756947142,0.0368112706352399,0.183500504296079,0.309237972863935,0.125737468567856,"chr1",111762799,111762800,"+",0.246369238580007,2,"iAPA","proximal pA","U2OS"
"KIAA0586","ENSG00000100578","PAS36718_AATAAA_0.35",0.000358503264731371,0.0365307379449863,9.08792763016231,1,0.00257302263690001,0.0186645044023757,0.200723997179821,0.346874851153394,0.146150853973573,"chr14",58522658,58522659,"+",0.273799424166608,2,"iAPA","proximal pA","U2OS"
"PACS1","ENSG00000175115","PAS30086_APA_0.1",0.000109929859737744,0,19.883975965542,1,8.22871622637239e-06,0.000176353076146516,0.0978569529604568,0.277412295355484,0.179555342395027,"chr11",66221832,66221833,"+",0.18763462415797,2,"iAPA","proximal pA","U2OS"
