"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type"
"ABCE1","ENSG00000164163","PAS13298_AATAAA_0.3",0.128081976513945,NA,3.38601993513294,1,0.0657514862814287,0.173131027592777,0.0808513542444643,0.129230041214432,0.0483786869699675,"chr4",145129520,145129521,"+",0.105040697729448,0,"TUTR"
"ABHD2","ENSG00000140526","PAS38967_AATAAA_0.05",0.760164653633776,NA,0.31074498757971,1,0.577223390645966,0.745890959659055,0.625955136401396,0.598193627214329,-0.0277615091870672,"chr15",89202353,89202354,"+",0.612074381807863,0,"TUTR"
"ABRAXAS2","ENSG00000165660","PAS27969_AATAAA_0.2",0.782876881787269,NA,0.849378301579236,1,0.356728272729389,0.557808073592797,0.742112501247294,0.784725766005991,0.0426132647586963,"chr10",124836666,124836667,"+",0.763419133626642,0,"TUTR"
"ACADSB","ENSG00000196177","PAS27953_AATAAA_0.2",0.45909619430523,NA,0.192241158224533,1,0.661057830293923,0.803032122997009,0.238180898619441,0.257464586092579,0.0192836874731376,"chr10",123058288,123058289,"+",0.24782274235601,0,"TUTR"
"ACER3","ENSG00000078124","PAS30308_APA_0.25",0.0120414476457966,1,0.0272785141723944,1,0.868816407509368,0.933935894811479,0.32942252606572,0.32221379859483,-0.00720872747088991,"chr11",77022926,77022927,"+",0.325818162330275,0,"TUTR"
"ADIPOR2","ENSG00000006831","PAS32053_AATAAA_0.25",0.607800765456711,NA,0.552846207659968,1,0.457157061719216,0.649279331252756,0.79385744870185,0.815182856613678,0.0213254079118272,"chr12",1788670,1788671,"+",0.804520152657764,0,"TUTR"
"AGFG1","ENSG00000173744","PAS7048_AATAAA_0.2",0.322415648557956,NA,0.622234839014709,1,0.430218016269527,0.625332858010412,0.245955649882878,0.273584912290533,0.0276292624076548,"chr2",227561215,227561216,"+",0.259770281086705,0,"TUTR"
"AKAP9","ENSG00000127914","PAS20635_ATTAAA_0.3",0.34641908108494,NA,0.284104441925592,1,0.594023552924263,0.757164119546438,0.480513147419553,0.468737597392414,-0.0117755500271382,"chr7",91995799,91995800,"+",0.474625372405983,0,"TUTR"
"ALDH1B1","ENSG00000137124","PAS25005_AATAAA_0.25",0.0767066256411547,NA,1.41021705418825,1,0.235020364356874,0.42455796611467,0.526689804698145,0.57990785719497,0.0532180524968255,"chr9",38398657,38398658,"+",0.553298830946557,0,"TUTR"
"ANKRD33B","ENSG00000164236","PAS14609_AATAAA_0.3",0.733914445291812,NA,0.267230733239103,1,0.605195498368191,0.765136840137943,0.479182361403411,0.445537738833693,-0.0336446225697178,"chr5",10657814,10657815,"+",0.462360050118552,0,"TUTR"
"ANKS1A","ENSG00000064999","PAS17697_AATAAA_0.2",0.924370959289091,NA,0.0259661843640515,1,0.871982929294229,0.935276008394989,0.904970999729519,0.911629960040217,0.00665896031069835,"chr6",35091404,35091405,"+",0.908300479884868,0,"TUTR"
"APOOL","ENSG00000155008","PAS52157_AATAAA_0.15",0.962112927184909,NA,0.123746998298884,1,0.725005572143518,0.845093713376923,0.813043342448727,0.831884307610581,0.0188409651618539,"chrX",85093314,85093315,"+",0.822463825029654,0,"TUTR"
"ARHGAP35","ENSG00000160007","PAS47015_AATAAA_0.45",0.592568812316757,NA,0.0746443518582964,1,0.78469088221383,0.882270970041692,0.442428588403153,0.434235587835276,-0.00819300056787725,"chr19",47005073,47005074,"+",0.438332088119215,0,"TUTR"
"ARHGEF12","ENSG00000196914","PAS30631_ATTAAA_0.3",0.602412987946924,NA,1.15731784616946,1,0.282022490827181,0.479105191667813,0.712403645149967,0.747337819806189,0.0349341746562216,"chr11",120489027,120489028,"+",0.729870732478078,0,"TUTR"
"ASF1A","ENSG00000111875","PAS18247_AATAAA_0.35",0.927951905922028,NA,0.0237610045300016,1,0.877494580017974,0.937833587853977,0.469509597769193,0.481540464918107,0.0120308671489135,"chr6",118909164,118909165,"+",0.47552503134365,0,"TUTR"
"ATG10","ENSG00000152348","PAS15065_ATTAAA_0.4",0.767231918960215,NA,0.206719739074401,1,0.649350678327449,0.794369699805681,0.593684572231081,0.63101502591983,0.0373304536887484,"chr5",82254788,82254789,"+",0.612349799075456,0,"TUTR"
"ATP6V1A","ENSG00000114573","PAS10002_AATAAA_0.15",0.593010411431058,NA,0.00891934905848757,1,0.924757811075518,0.962752823856506,0.246668324992843,0.24420834252847,-0.00245998246437262,"chr3",113812053,113812054,"+",0.245438333760657,0,"TUTR"
"B3GALT6","ENSG00000176022","PAS29_ATTAAA_0.25",0.704077602853756,NA,0.751766705010141,1,0.385917457341068,0.584918249775674,0.471756025159185,0.544866212422243,0.0731101872630575,"chr1",1235037,1235038,"+",0.508311118790714,0,"TUTR"
"B3GLCT","ENSG00000187676","PAS35410_AATAAA_0.35",0.938286630327779,NA,0.0687882739471206,1,0.793109290177321,0.887553649518925,0.615445434914932,0.589867455437631,-0.025577979477301,"chr13",31332271,31332272,"+",0.602656445176281,0,"TUTR"
"BACE2","ENSG00000182240","PAS50268_AATAAA_0.45",0.0163787199079657,1,0.00189550331697319,1,0.96527316911598,0.983050636240124,0.199555713184217,0.200985463491845,0.00142975030762782,"chr21",41276582,41276583,"+",0.200270588338031,0,"TUTR"
"BAG3","ENSG00000151929","PAS27916_AATAAA_0.2",0.528393304907719,NA,0.799125523141811,1,0.371354952385132,0.571274573792428,0.775738623743806,0.747152587068996,-0.02858603667481,"chr10",119677814,119677815,"+",0.761445605406401,0,"TUTR"
"BFAR","ENSG00000103429","PAS40285_AATAAA_0.45",0.626741239340489,NA,1.38186988623329,1,0.239782894344725,0.429765163825544,0.320272183912059,0.380391615123428,0.0601194312113686,"chr16",14669225,14669226,"+",0.350331899517743,0,"TUTR"
"C3orf38","ENSG00000179021","PAS9839_AATAAA_0.35",0.28467701404415,NA,1.4642798301843,1,0.226250380791613,0.414111410824742,0.631155337188818,0.702840192479956,0.0716848552911385,"chr3",88157962,88157963,"+",0.666997764834387,0,"TUTR"
"CALU","ENSG00000128595","PAS20956_AATAAA_0.25",0.000209958508147496,1,2.9695038172722,1,0.084847875058914,0.208387153868876,0.350684737205232,0.311229801065308,-0.0394549361399235,"chr7",128771472,128771473,"+",0.33095726913527,0,"TUTR"
"CAMLG","ENSG00000164615","PAS15404_AATAAA_0.3",0.66992657012467,NA,0.399085110473607,1,0.527562122475918,0.707051319187734,0.697326422164221,0.723666426659001,0.0263400044947797,"chr5",134751374,134751375,"+",0.710496424411611,0,"TUTR"
"CAND1","ENSG00000111530","PAS32901_AATAAA_0.4",0.577536790782742,NA,2.18860094372576,1,0.139035554074996,0.295526381089457,0.211178412567628,0.246346717339871,0.0351683047722425,"chr12",67314617,67314618,"+",0.228762564953749,0,"TUTR"
"CANX","ENSG00000127022","PAS15906_ATTAAA_0.15",3.14426498622696e-07,1,0.0654412770745694,1,0.798093746959662,0.890815702336113,0.402156041924122,0.405856435517677,0.00370039359355478,"chr5",179730924,179730925,"+",0.404006238720899,0,"TUTR"
"CAPN7","ENSG00000131375","PAS9245_AATAAA_0.3",0.968115450052859,NA,0.0656361972178274,1,0.797799788256446,0.890558977178569,0.784622546027657,0.796364538310295,0.0117419922826385,"chr3",15252299,15252300,"+",0.790493542168976,0,"TUTR"
"CAPRIN1","ENSG00000135387","PAS29698_AATAAA_0.1",4.09636171580973e-14,1,3.06577872437992,1,0.0799568438907938,0.199988026799583,0.441340651642624,0.401328089336147,-0.0400125623064773,"chr11",34101156,34101157,"+",0.421334370489386,1,"TUTR"
"CAV2","ENSG00000105971","PAS20897_AATAAA_0.25",0.576244113939424,NA,0.326288129442219,1,0.56785299001578,0.739222123542653,0.420011350369835,0.442323884052732,0.0223125336828973,"chr7",116508539,116508540,"+",0.431167617211284,0,"TUTR"
