gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,sig_PAS_count,UTR_type,pA_type,condition
AASDHPPT,ENSG00000149313,PAS30468_AATAAA_0.3,8.67983345449399e-4,0,14.081240159672689,1,1.750813297975738e-4,0.0012348690214936736,0.44827233256999954,0.2703065990254011,-0.17796573354459844,chr11,106098692,106098693,+,0.3592894657977003,2,TUTR,distal pA,siCFIM25_DMAi
ABCE1,ENSG00000164163,PAS13297_AATAAA_0.2,7.53837073427409e-8,3.9902021445566914e-4,14.335136346825948,1,1.529827188505465e-4,0.0010974443883143118,0.8777396212177809,0.7676068620229849,-0.11013275919479604,chr4,145129158,145129159,+,0.8226732416203829,2,TUTR,distal pA,siCFIM25_DMAi
ABI2,ENSG00000138443,PAS6853_AATAAA_0.2,4.210698675734055e-11,1.6587096446003542e-11,47.215539967011864,1,6.3594249619846705e-12,1.9989178026644086e-10,0.533377983111041,0.2801379644516093,-0.2532400186594317,chr2,203432167,203432168,+,0.40675797378132517,2,TUTR,distal pA,siCFIM25_DMAi
ACAD8,ENSG00000151498,PAS30738_AATAAA_0.45,0.040612307369060345,0,5.934761609126895,1,0.014845076694468254,0.050395825458959057,0.8948127460029488,0.671322169441232,-0.2234905765617168,chr11,134265849,134265850,+,0.7830674577220904,2,iAPA,distal pA,siCFIM25_DMAi
ACP1,ENSG00000143727,PAS5154_AATAAA_0.15,2.783702086752147e-4,0,16.483856085830666,1,4.906608809565215e-5,3.995600778402512e-4,0.5514894102494317,0.4248324408682349,-0.12665696938119675,chr2,278279,278280,+,0.4881609255588333,2,TUTR,distal pA,siCFIM25_DMAi
ACSL3,ENSG00000123983,PAS7025_APA_0.25,1.2391511668939369e-11,3.6838418747595016e-4,15.79420432463121,1,7.061849568009976e-5,5.492877969427006e-4,0.36878073439516346,0.20267538594241064,-0.16610534845275282,chr2,222943144,222943145,+,0.28572806016878705,4,TUTR,distal pA,siCFIM25_DMAi
ACVR2B,ENSG00000114739,PAS9431_AATAAA_0.2,0.013480151891750104,0.00678974521811898,9.066632279419537,1,0.0026031605571344776,0.01225576278219644,0.24525229053655903,0.13459838820657233,-0.11065390232998672,chr3,38493139,38493140,+,0.1899253393715657,2,TUTR,distal pA,siCFIM25_DMAi
ADAMTSL1,ENSG00000178031,PAS24853_APA_0.2,2.941747874737796e-5,2.3652515872338008e-4,15.321412676727904,1,9.068277883470434e-5,6.868771833387704e-4,0.5967127104493161,0.2111697706810005,-0.3855429397683155,chr9,18910946,18910947,+,0.4039412405651583,2,ALE,distal pA,siCFIM25_DMAi
ADCY7,ENSG00000121281,PAS40571_ATTAAA_0.35,1.5558444515257187e-4,0,17.706940329414238,1,2.5768470890941065e-5,2.2489947129699265e-4,0.9206942278156928,0.6996083636937239,-0.22108586412196884,chr16,50318131,50318132,+,0.8101512957547083,2,TUTR,distal pA,siCFIM25_DMAi
AEBP2,ENSG00000139154,PAS32287_APA_0.15,1.737179798568683e-23,1.0822289269806536e-25,113.88187132502662,1,1.3830738199071348e-26,2.142611859339469e-24,0.03242565707838052,0.4058395438457024,0.37341388676732185,chr12,19553268,19553269,+,0.21913260046204147,2,ALE,distal pA,siCFIM25_DMAi
