"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ACSS2","ENSG00000131069","PAS48995_AATAAA_0.25",0.87593789757488,NA,0.0582729362645296,1,0.809246756019481,0.890924537739954,0.910013735104845,0.900381483087304,-0.00963225201754092,"chr20",34927956,34927957,"+",0.905197609096075,0,"iAPA","distal pA"
"ADAMTSL4","ENSG00000143382","PAS1526_ATTAAA_0.25",0.306144284357952,NA,1.72420259203682,1,0.189152976693303,0.341298902622222,0.830050087414734,0.767460477945268,-0.0625896094694665,"chr1",150560931,150560932,"+",0.798755282680001,0,"iAPA","distal pA"
"C19orf53","ENSG00000104979","PAS46343_AATAAA_0.1",0.506143605565368,NA,0.810248295952988,1,0.368046852106982,0.540624640079936,0.921151017716035,0.904482480446603,-0.0166685372694322,"chr19",13778457,13778458,"+",0.912816749081319,0,"iAPA","distal pA"
"CCDC66","ENSG00000180376","PAS9701_ATTAAA_0.25",0.673497202925169,NA,0.349614670588153,1,0.554331336775059,0.706168740622257,0.810545700291679,0.775981819668424,-0.0345638806232546,"chr3",56621757,56621758,"+",0.793263759980051,0,"iAPA","distal pA"
"CENATAC","ENSG00000186166","PAS30607_AATAAA_0.2",0.86999158227569,NA,0.0624819168768909,1,0.802615319452576,0.88613075966962,0.675151306327845,0.694371300979004,0.0192199946511585,"chr11",119015743,119015744,"+",0.684761303653425,0,"iAPA","distal pA"
"CEP57","ENSG00000166037","PAS30437_ATTAAA_0.2",0.044424978161016,1,0.05961300009767,1,0.807108658314906,0.8892782795108,0.266137279378041,0.260600577747216,-0.00553670163082531,"chr11",95832690,95832691,"+",0.263368928562628,0,"iAPA","distal pA"
"DKC1","ENSG00000130826","PAS52473_ATTAAA_0.25",0.790789389833682,NA,0.148061683236847,1,0.700394607683315,0.815591501546576,0.346013544866312,0.331640187870829,-0.0143733569954835,"chrX",154777680,154777681,"+",0.338826866368571,0,"iAPA","distal pA"
"DYNC2H1","ENSG00000187240","PAS30466_AATAAA_0.15",0.789744921378515,NA,0.149704052170478,1,0.69881833718116,0.814609126646337,0.432775568236538,0.468679885919684,0.035904317683146,"chr11",103479622,103479623,"+",0.450727727078111,0,"iAPA","distal pA"
"ENSG00000273154","ENSG00000273154","PAS49371_AATAAA_0.1",0.268197655312485,NA,1.99553520210748,1,0.157763326654403,0.301243458511188,0.198792514209906,0.13812264890303,-0.0606698653068755,"chr20",63739102,63739103,"+",0.168457581556468,0,"iAPA","distal pA"
"ENY2","ENSG00000120533","PAS23307_AATAAA_0.2",0.715635444013632,NA,0.11812980869945,1,0.731071781301512,0.837966800852336,0.821383471606995,0.814097994865402,-0.00728547674159252,"chr8",109343668,109343669,"+",0.817740733236199,0,"iAPA","distal pA"
"FZD6","ENSG00000164930","PAS23270_None_0.25",0.00121228512242372,0.152922000537807,3.57573012445528,1,0.0586296697931767,0.145420328499696,0.88421814860222,0.835365435640431,-0.0488527129617898,"chr8",103332811,103332812,"+",0.859791792121326,0,"iAPA","distal pA"
"GNL3","ENSG00000163938","PAS9687_AATAAA_0.35",0.958887638225542,NA,0.00739195088954148,1,0.931485133747625,0.963523342069567,0.922558738834976,0.924727041118358,0.0021683022833825,"chr3",52694496,52694497,"+",0.923642889976667,0,"iAPA","distal pA"
"GOLGA4","ENSG00000144674","PAS9405_AATAAA_0.3",0.303918040986702,NA,1.74046334080595,1,0.18708012910967,0.33901597550538,0.630954189693065,0.564904463594851,-0.0660497260982131,"chr3",37366744,37366745,"+",0.597929326643958,0,"iAPA","distal pA"
"LRRC49","ENSG00000137821","PAS38761_AATAAA_0.15",0.947743093427008,NA,0.0796789174206651,1,0.777733004229284,0.868649865593998,0.341160088493009,0.363645979125187,0.0224858906321774,"chr15",71049628,71049629,"+",0.352403033809098,0,"iAPA","distal pA"
"MED15","ENSG00000099917","PAS50728_AATAAA_0.15",0.650249026614707,NA,0.40342379795311,1,0.525326341276337,0.682583292963452,0.89132955515688,0.906779761213803,0.0154502060569236,"chr22",20587616,20587617,"+",0.899054658185341,0,"iAPA","distal pA"
