"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type"
"ABHD2","ENSG00000140526","PAS38967_AATAAA_0.05",0.00064397437045605,1,0.177810670615145,1,0.67326150588462,0.794509293646746,0.493317256821431,0.50887230125127,0.0155550444298391,"chr15",89202353,89202354,"+",0.50109477903635,0,"TUTR"
"ABRAXAS2","ENSG00000165660","PAS27969_AATAAA_0.2",0.784100090359365,NA,0.0638577351639924,1,0.800499367180252,0.88321996617717,0.589459396689588,0.570623956451057,-0.0188354402385313,"chr10",124836666,124836667,"+",0.580041676570322,0,"TUTR"
"ADIPOR2","ENSG00000006831","PAS32053_AATAAA_0.25",0.0166699753425416,0,7.49473221200606,1,0.00618797321725766,0.0219097398193831,0.716164348205166,0.789439562946933,0.0732752147417673,"chr12",1788670,1788671,"+",0.752801955576049,0,"TUTR"
"AGO4","ENSG00000134698","PAS615_AATAAA_0.35",1,NA,8.39502816347704e-05,1,0.992689533964508,0.996383716333566,0.474818569564419,0.473687942676488,-0.0011306268879312,"chr1",35857886,35857887,"+",0.474253256120454,0,"TUTR"
"AKAP11","ENSG00000023516","PAS35475_AATAAA_0.1",0.110534263511782,NA,3.62799391853309,1,0.056815261009778,0.13323066865728,0.888582224656692,0.945559315931365,0.0569770912746734,"chr13",42323259,42323260,"+",0.917070770294029,0,"TUTR"
"AKAP9","ENSG00000127914","PAS20635_ATTAAA_0.3",0.52535899266798,NA,2.4302371453814,1,0.119014892448058,0.236031893388595,0.535302762297236,0.493847307519955,-0.0414554547772804,"chr7",91995799,91995800,"+",0.514575034908595,0,"TUTR"
"ANKS1A","ENSG00000064999","PAS17697_AATAAA_0.2",0.702821465308625,NA,0.282356147039991,1,0.595161056714826,0.733054222448598,0.785362629832524,0.818398603925492,0.0330359740929684,"chr6",35091404,35091405,"+",0.801880616879008,0,"TUTR"
"AP4S1","ENSG00000100478","PAS36473_AATAAA_0.2",0.676775249145872,NA,0.335168246811293,1,0.562631568535765,0.708805699499318,0.402847280497522,0.468813981915198,0.0659667014176754,"chr14",31096448,31096449,"+",0.43583063120636,0,"TUTR"
"APPL1","ENSG00000157500","PAS9709_AATAAA_0.35",0.061297898397855,NA,0.27316590026021,1,0.601215922764443,0.738602751453912,0.505347657524912,0.528497109399818,0.0231494518749066,"chr3",57273451,57273452,"+",0.516922383462365,0,"TUTR"
"AR","ENSG00000169083","PAS52044_APA_0.35",0.959000100138517,NA,0.00786798742728934,1,0.929319000075464,0.959593694458159,0.162791191558304,0.159165395227446,-0.00362579633085836,"chrX",67730617,67730618,"+",0.160978293392875,0,"TUTR"
"ARHGAP35","ENSG00000160007","PAS47015_AATAAA_0.45",0.0014330403606643,0.000315139551533107,14.512043158742,1,0.000139266371843034,0.0008393944214471,0.300425264938436,0.375328181373713,0.0749029164352764,"chr19",47005073,47005074,"+",0.337876723156074,0,"TUTR"
"ARHGEF12","ENSG00000196914","PAS30631_ATTAAA_0.3",0.263571504038768,NA,0.57687284307417,1,0.447540683706541,0.612444387668486,0.695267458068893,0.730012113319784,0.0347446552508911,"chr11",120489027,120489028,"+",0.712639785694339,0,"TUTR"
"ARHGEF5","ENSG00000050327","PAS21086_AATAAA_0.2",0.539462967581475,NA,0.670532045590335,1,0.412866173230011,0.580783501901942,0.799067531933895,0.829326544681474,0.0302590127475789,"chr7",144380630,144380631,"+",0.814197038307684,0,"TUTR"
"ARIH1","ENSG00000166233","PAS38774_AATAAA_0.25",2.39175855939216e-07,1,0.551769211524515,1,0.457595695058964,0.621563137672738,0.536842686350065,0.515149970758057,-0.0216927155920082,"chr15",72586553,72586554,"+",0.525996328554061,0,"TUTR"
"ARPC5L","ENSG00000136950","PAS25477_AATAAA_0.1",0.000336523546420059,0.325779309112176,2.13502313301706,1,0.143968290177683,0.272081796415914,0.78311264900149,0.748242342950907,-0.0348703060505833,"chr9",124877413,124877414,"+",0.765677495976198,0,"TUTR"
"ATAD3C","ENSG00000215915","PAS45_AATAAA_0.2",0.959549075905616,NA,0.00762401842541749,1,0.930420634244812,0.960037748414146,0.332440441851087,0.324867909209324,-0.00757253264176261,"chr1",1470157,1470158,"+",0.328654175530205,0,"TUTR"
"ATG10","ENSG00000152348","PAS15065_ATTAAA_0.4",0.738445445750341,NA,0.225005516135411,1,0.635252150350093,0.766129206888937,0.41303394301735,0.464728815215973,0.0516948721986233,"chr5",82254788,82254789,"+",0.438881379116662,0,"TUTR"
"ATP6V1A","ENSG00000114573","PAS10002_AATAAA_0.15",0.0270314318454017,1,0.00251960553214303,1,0.959966460097788,0.976984233738992,0.247515659956849,0.246525611646278,-0.000990048310571312,"chr3",113812053,113812054,"+",0.247020635801564,0,"TUTR"
"B3GALT6","ENSG00000176022","PAS29_ATTAAA_0.25",0.492101574268368,NA,0.0714471746937875,1,0.789241233066085,0.876431792518698,0.57872963604689,0.607871724405185,0.0291420883582947,"chr1",1235037,1235038,"+",0.593300680226037,0,"TUTR"
"BAG3","ENSG00000151929","PAS27916_AATAAA_0.2",0.401506576367347,NA,1.15535493786592,1,0.282430972720668,0.44346998627438,0.735206346459788,0.76562507662298,0.0304187301631915,"chr10",119677814,119677815,"+",0.750415711541384,0,"TUTR"
"BLTP3A","ENSG00000065060","PAS17694_ATTAAA_0.25",0.762163313922487,NA,0.189147591309847,1,0.663627018684901,0.787396101601981,0.855464046047118,0.878445612186835,0.0229815661397175,"chr6",34877511,34877512,"+",0.866954829116976,0,"TUTR"
"BMI1","ENSG00000168283","PAS27042_APA_0.3",0.463831940415217,NA,0.913206286340937,1,0.339265125467271,0.504976568987364,0.269334706878595,0.235020970966598,-0.0343137359119976,"chr10",22331481,22331482,"+",0.252177838922596,0,"TUTR"
"C3orf38","ENSG00000179021","PAS9839_AATAAA_0.35",0.902228863159387,NA,0.12896231079776,1,0.719510385965337,0.828424868275332,0.598800120548941,0.617287527587573,0.0184874070386318,"chr3",88157962,88157963,"+",0.608043824068257,0,"TUTR"
"CAB39","ENSG00000135932","PAS7067_AATAAA_0.15",0.452347110929317,NA,0.9535131449652,1,0.328826665750969,0.49396565646386,0.890824581398173,0.916064324783756,0.0252397433855835,"chr2",230821070,230821071,"+",0.903444453090964,0,"TUTR"
"CAMLG","ENSG00000164615","PAS15404_AATAAA_0.3",0.846607663270134,NA,0.0856769742258621,1,0.769746659008814,0.863379694677964,0.428873804585298,0.438980958058848,0.0101071534735501,"chr5",134751374,134751375,"+",0.433927381322073,0,"TUTR"
"CAMSAP2","ENSG00000118200","PAS2039_AATAAA_0.2",0.779030812986768,NA,0.0191514763264422,1,0.889933101438047,0.938368719980598,0.641137026422795,0.646841078840745,0.00570405241795047,"chr1",200860700,200860701,"+",0.64398905263177,0,"TUTR"
"CANX","ENSG00000127022","PAS15906_ATTAAA_0.15",4.88835200248054e-15,0.00063731865865473,15.2559363049477,1,9.38812206284734e-05,0.000592508630853875,0.355726096498236,0.426973942608255,0.0712478461100187,"chr5",179730924,179730925,"+",0.391350019553246,1,"TUTR"
