gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,pA_type,condition,prox_to_dist_shift
AASDHPPT,ENSG00000149313.11,PAS30468_AATAAA_0.3,0.029403480453106923,0,7.303992453848423,1,0.006880156500738998,0.03813992991477227,0.4923572252585613,0.6158750699149106,0.1235178446563493,chr11,106098692,106098693,+,0.554116147586736,distal pA,GP2D,0.24703568931269854
ABCB8,ENSG00000197150.13,PAS21132_AATAAA_0.2,0.03697850243858087,0.02846819592984066,7.102500195806215,1,0.007697650346818758,0.04170359589586551,0.176310692604846,0.33381542914762874,0.15750473654278274,chr7,151047779,151047780,+,0.25506306087623737,distal pA,GP2D,0.3534326378026092
ABCC1,ENSG00000103222.20,PAS40309_APA_0.2,0.3093036464085586,NA,1.9694774702743416,1,0.16050333646866438,0.35278291551202995,0.8357029239455391,0.9326555954002856,0.09695267145474651,chr16,16143051,16143052,+,0.8841792596729123,distal pA,GP2D,0.19390534290949307
ABCC2,ENSG00000023839.12,PAS27677_APA_0.35,0.741986049672694,NA,0.26827565806894427,1,0.6044908277487737,0.7738982225535914,0.8424021620195457,0.7987632562612051,-0.04363890575834051,chr10,99852571,99852572,+,0.8205827091403755,distal pA,GP2D,-0.08727781151668104
ABCC3,ENSG00000108846.16,PAS43065_AATAAA_0.3,8.660375667021922e-24,7.043577249830098e-4,13.922990374528581,1,1.904546216894849e-4,0.0022541757410653417,0.3707185064823022,0.5534589779900231,0.18274047150772088,chr17,50691700,50691701,+,0.46208874223616264,distal pA,GP2D,0.6220404956738572
ABCE1,ENSG00000164163.11,PAS13298_AATAAA_0.3,0.6576222276965578,NA,0.4713835067936998,1,0.4923513783675545,0.6953093039353485,0.14452455107574813,0.1737946715489298,0.02927012047318167,chr4,145129520,145129521,+,0.15915961131233897,distal pA,GP2D,0.05854024094636334
ABCF3,ENSG00000161204.12,PAS10577_None_0.1,0.22238496296252766,NA,2.6950796794189955,1,0.10065845691988094,0.2593618967500756,0.055457118688079565,0.10365796489796453,0.04820084620988496,chr3,184194450,184194451,+,0.07955754179302205,distal pA,GP2D,0.09640169241977004
ABHD10,ENSG00000144827.9,PAS9981_AATAAA_0.2,0.5697670923225211,NA,0.73167862740479,1,0.39233962058999305,0.6152851196461236,0.8185358115758024,0.8571096114581014,0.03857379988229903,chr3,111993366,111993367,+,0.8378227115169519,distal pA,GP2D,0.07714759976459812
ABHD13,ENSG00000139826.6,PAS35732_AATAAA_0.35,0.003972635103371189,0,11.877973463438195,1,5.680171244293893e-4,0.005400375143189331,0.4844437118051543,0.8348285317131281,0.3503848199079738,chr13,108230907,108230908,+,0.6596361217591412,distal pA,GP2D,0.7007696398159478
ABHD17C,ENSG00000136379.12,PAS38908_AATAAA_0.15,0.3989375761552392,NA,1.425799868107788,1,0.23245112715887514,0.44388933292114247,0.7710925597639187,0.8116472857433874,0.04055472597946874,chr15,80755618,80755619,+,0.791369922753653,distal pA,GP2D,0.08110945195893746
ABHD18,ENSG00000164074.17,PAS13219_APA_0.15,0.7521263900031161,NA,0.2511309239748982,1,0.6162798825214553,0.7832743551588126,0.4329379052027134,0.5087912593875549,0.07585335418484146,chr4,128039708,128039709,+,0.47086458229513417,distal pA,GP2D,0.1517067083696828
