"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"AASDHPPT","ENSG00000149313","PAS30468_AATAAA_0.3",0.4962985785016,NA,1.06379072272648,1,0.302352198585302,0.548465245015268,0.565386153135156,0.61244946389501,0.0470633107598544,"chr11",106098692,106098693,"+",0.588917808515083,0,"TUTR","distal pA"
"ABCC1","ENSG00000103222","PAS40309_APA_0.2",0.330771862434965,NA,1.92737635450067,1,0.165045770931045,0.379983805432266,0.897823004983163,0.933186908092893,0.0353639031097304,"chr16",16143051,16143052,"+",0.915504956538028,0,"TUTR","distal pA"
"ABCE1","ENSG00000164163","PAS13298_AATAAA_0.3",0.605595098202469,NA,0.661531834566176,1,0.416019668448426,0.654599716376539,0.11732955706633,0.144066316586407,0.0267367595200766,"chr4",145129520,145129521,"+",0.130697936826369,0,"TUTR","distal pA"
"ABHD10","ENSG00000144827","PAS9981_AATAAA_0.2",0.276555223937645,NA,2.34121409053455,1,0.125991324767973,0.320847199727514,0.854604572101496,0.925416838693465,0.0708122665919693,"chr3",111993366,111993367,"+",0.89001070539748,0,"TUTR","distal pA"
"ABHD17C","ENSG00000136379","PAS38908_AATAAA_0.15",0.356561741693191,NA,1.76147108596706,1,0.184441131295429,0.406550032016719,0.884909804539979,0.846331038490538,-0.0385787660494405,"chr15",80755618,80755619,"+",0.865620421515258,0,"TUTR","distal pA"
"ABHD18","ENSG00000164074","PAS13219_APA_0.15",0.950533697755979,NA,0.0155754673877482,1,0.900680531789936,0.958853821858499,0.606166935073051,0.621562502497279,0.0153955674242271,"chr4",128039708,128039709,"+",0.613864718785165,0,"TUTR","distal pA"
"ABHD2","ENSG00000140526","PAS38967_AATAAA_0.05",0.446144333677269,NA,0.850857861269105,1,0.356309766228852,0.600946398297298,0.643044329666443,0.609847970197295,-0.0331963594691481,"chr15",89202353,89202354,"+",0.626446149931869,0,"TUTR","distal pA"
"ABHD5","ENSG00000011198","PAS9495_AATAAA_0.35",0.608729418136432,NA,0.777160656670503,1,0.378010920960353,0.622664222318852,0.546399022565131,0.471527117941328,-0.074871904623803,"chr3",43719869,43719870,"+",0.508963070253229,0,"TUTR","distal pA"
"ABRAXAS2","ENSG00000165660","PAS27969_AATAAA_0.2",0.915814208638923,NA,0.781223932113335,1,0.376767079057623,0.621167852864698,0.612954717333372,0.664483275755084,0.0515285584217122,"chr10",124836666,124836667,"+",0.638718996544228,0,"TUTR","distal pA"
"ACER3","ENSG00000078124","PAS30308_APA_0.25",0.339622918397164,NA,0.586068274091303,1,0.443943532809752,0.678311982895743,0.532748889237582,0.50219616682366,-0.0305527224139229,"chr11",77022926,77022927,"+",0.517472528030621,0,"TUTR","distal pA"
"ACSL3","ENSG00000123983","PAS7025_APA_0.25",0.0764490758188585,NA,0.154364830155828,1,0.694398586431705,0.852233307551404,0.299960567276984,0.28692347833519,-0.0130370889417938,"chr2",222943144,222943145,"+",0.293442022806087,0,"TUTR","distal pA"
"ACTR10","ENSG00000131966","PAS36703_APA_0.2",0.64301331186468,NA,0.543705357216368,1,0.460901150112795,0.691869940988973,0.080930536440903,0.100656393234268,0.0197258567933649,"chr14",58235632,58235633,"+",0.0907934648375854,0,"TUTR","distal pA"
"ACTR2","ENSG00000138071","PAS5751_AATAAA_0.25",0.64599905169325,NA,0.268449216056979,1,0.604373953279103,0.800098825010343,0.853011626730363,0.865860227786933,0.01284860105657,"chr2",65271250,65271251,"+",0.859435927258648,0,"TUTR","distal pA"
"ACTR3","ENSG00000115091","PAS6208_AATAAA_0.2",0.443034975344584,NA,0.201578127274843,1,0.653450031303109,0.828824944701483,0.588618373171805,0.603071850751943,0.0144534775801384,"chr2",113958254,113958255,"+",0.595845111961874,0,"TUTR","distal pA"
"ACTR3B","ENSG00000133627","PAS21156_AATAAA_0.25",0.747491486114629,NA,0.294349717839992,1,0.587446517573838,0.78776353554771,0.684019818375934,0.61641933335763,-0.0676004850183038,"chr7",152855370,152855371,"+",0.650219575866782,0,"TUTR","distal pA"
"ACTR6","ENSG00000075089","PAS33123_AATAAA_0.25",0.649699882874961,NA,0.517418345820488,1,0.471945024587425,0.700337670698944,0.811402113848085,0.775123338195762,-0.0362787756523225,"chr12",100224422,100224423,"+",0.793262726021924,0,"TUTR","distal pA"
"ACVR2A","ENSG00000121989","PAS6369_AATAAA_0.25",0.731949174438665,NA,0.324764153757883,1,0.56875853168023,0.775004608742881,0.541855422488027,0.472031530052391,-0.0698238924356352,"chr2",147930821,147930822,"+",0.506943476270209,0,"TUTR","distal pA"
"ADD3","ENSG00000148700","PAS27811_AATAAA_0.25",0.677740111013901,NA,0.449224632673577,1,0.502703394080341,0.727524549291157,0.295591715830103,0.314507982453285,0.0189162666231821,"chr10",110135563,110135564,"+",0.305049849141694,0,"TUTR","distal pA"
"ADIPOR2","ENSG00000006831","PAS32053_AATAAA_0.25",0.450427327990172,NA,1.26899893842437,1,0.25995456239005,0.503723274669021,0.803359689236448,0.839344564672676,0.035984875436228,"chr12",1788670,1788671,"+",0.821352126954562,0,"TUTR","distal pA"
"AGAP1","ENSG00000157985","PAS7152_ATTAAA_0.4",0.963003361350157,NA,0.0936462458548704,1,0.75959189927456,0.890689049287862,0.44986396690847,0.432650321892217,-0.0172136450162532,"chr2",236125482,236125483,"+",0.441257144400344,0,"TUTR","distal pA"
"AGFG2","ENSG00000106351","PAS20748_AATAAA_0.25",0.878104391986847,NA,0.079712292330214,1,0.777687682413691,0.901256673569592,0.28921577847272,0.269014548455252,-0.0202012300174681,"chr7",100568218,100568219,"+",0.279115163463986,0,"TUTR","distal pA"
"AGL","ENSG00000162688","PAS1196_AATAAA_0.15",0.91058396754121,NA,0.20878435483155,1,0.647721887146761,0.825994621588467,0.579848211094676,0.611373029155649,0.0315248180609735,"chr1",99924019,99924020,"+",0.595610620125163,0,"TUTR","distal pA"
"AGPS","ENSG00000018510","PAS6625_AATAAA_0.35",0.42682621106468,NA,1.45042259145339,1,0.228460156245521,0.466529756199747,0.369709471143224,0.430250228272739,0.0605407571295142,"chr2",177543832,177543833,"+",0.399979849707982,0,"TUTR","distal pA"
"AHCYL1","ENSG00000168710","PAS1309_ATTAAA_0.15",0.479289979805595,NA,1.14829258083591,1,0.283906857638855,0.531916987978719,0.476155894571861,0.506162528845982,0.0300066342741214,"chr1",110023740,110023741,"+",0.491159211708921,0,"TUTR","distal pA"
"AKAP9","ENSG00000127914","PAS20636_ATTAAA_0.45",0.642593951147507,NA,0.170639447966096,1,0.679544134258357,0.842707945056968,0.35716886383319,0.343820991016627,-0.0133478728165627,"chr7",92000940,92000941,"+",0.350494927424909,0,"TUTR","distal pA"
"AKIP1","ENSG00000166452","PAS29451_AATAAA_0.35",0.438762846265246,NA,1.32932150782176,1,0.24892595810627,0.491549364715502,0.798784041862447,0.865308196832968,0.0665241549705213,"chr11",8920076,8920077,"+",0.832046119347708,0,"TUTR","distal pA"
"AKIRIN1","ENSG00000174574","PAS666_AATAAA_0.1",0.926939279305478,NA,0.0313556571109075,1,0.85944925362178,0.939147731634014,0.431443208692197,0.439239270979619,0.00779606228742247,"chr1",39005884,39005885,"+",0.435341239835908,0,"TUTR","distal pA"
"ALCAM","ENSG00000170017","PAS9932_AATAAA_0.2",0.156843299202608,NA,2.56746866245157,1,0.109082156190071,0.292684299733427,0.63309403437411,0.591976172697855,-0.0411178616762558,"chr3",105576898,105576899,"+",0.612535103535982,0,"TUTR","distal pA"
"AMD1","ENSG00000123505","PAS18194_AATAAA_0.2",0.926019897187604,NA,0.0320010150526286,1,0.85802542921229,0.938056688404579,0.857553403116239,0.850298222616225,-0.00725518050001395,"chr6",110895707,110895708,"+",0.853925812866232,0,"TUTR","distal pA"
"ANO1","ENSG00000131620","PAS30202_AATAAA_0.2",0.517719222877095,NA,0.975623502449707,1,0.323281686682533,0.569786640120204,0.834449353278287,0.809759348615862,-0.0246900046624257,"chr11",70189528,70189529,"+",0.822104350947074,0,"TUTR","distal pA"
"AP2B1","ENSG00000006125","PAS42660_AATAAA_0.35",0.000165269348571012,1.31595288348209e-05,21.6028751688373,1,3.35348750027623e-06,7.3638834895046e-05,0.863694810856344,0.937162843454349,0.0734680325980052,"chr17",35726408,35726409,"+",0.900428827155347,0,"TUTR","distal pA"
"AP4S1","ENSG00000100478","PAS36473_AATAAA_0.2",0.846594176153673,NA,0.119410568994482,1,0.729674656218989,0.874076459754087,0.400210907570303,0.35174357000402,-0.0484673375662839,"chr14",31096448,31096449,"+",0.375977238787162,0,"TUTR","distal pA"
"APLP2","ENSG00000084234","PAS30723_AATAAA_0.2",0.483371849370526,NA,1.04907372059824,1,0.305720513788967,0.551432117239664,0.741615657548827,0.755748861166756,0.0141332036179288,"chr11",130144803,130144804,"+",0.748682259357792,0,"TUTR","distal pA"
"APOBEC3C","ENSG00000244509","PAS51015_AATAAA_0.2",0.0588462961054041,NA,5.82287949468082,1,0.0158190269456526,0.0760258562820044,0.295450394448688,0.362096376832391,0.0666459823837038,"chr22",39020350,39020351,"+",0.32877338564054,0,"TUTR","distal pA"
"APOBEC3F","ENSG00000128394","PAS51021_ATTAAA_0.3",0.569510290835294,NA,0.706201404776039,1,0.400707745024698,0.641391811991936,0.402773335160279,0.442609050963796,0.0398357158035167,"chr22",39055967,39055968,"+",0.422691193062038,0,"TUTR","distal pA"
"APOL1","ENSG00000100342","PAS50948_AATAAA_0.2",0.989202702360438,NA,0.000704383525771846,1,0.978826450237776,0.991792746792007,0.857798787544042,0.858516036033415,0.000717248489373046,"chr22",36267522,36267523,"+",0.858157411788728,0,"TUTR","distal pA"
"APPL1","ENSG00000157500","PAS9709_AATAAA_0.35",0.841234853386644,NA,0.127221614847485,1,0.721330338083973,0.870173574724821,0.605172639021945,0.581927279541787,-0.0232453594801574,"chr3",57273451,57273452,"+",0.593549959281866,0,"TUTR","distal pA"
