gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,sig_PAS_count,UTR_type,pA_type,condition
ABCB8,ENSG00000197150,PAS21132_AATAAA_0.2,0.02102640572532024,0.01829751700309531,8.332729264078353,1,0.003893711618258682,0.03045127934348208,0.0841875047654781,0.20562934271254615,0.12144183794706807,chr7,151047779,151047780,+,0.14490842373901214,2,TUTR,distal pA,Tempus_KRAS_T_DMSO_vs_DMAi
ABI2,ENSG00000138443,PAS6853_AATAAA_0.2,5.924758329438009e-6,0,26.82470720275478,1,2.2277091318686918e-7,9.04807932220596e-6,0.5499586980551454,0.8325907933074216,0.28263209525227617,chr2,203432167,203432168,+,0.6912747456812836,2,TUTR,distal pA,Tempus_KRAS_T_DMSO_vs_DMAi
ACP1,ENSG00000143727,PAS5154_AATAAA_0.15,1.9876402917274144e-5,1.7787092228065643e-5,21.3707122654414,1,3.785093226132369e-6,1.056342888691788e-4,0.6231856161410485,0.7333868581187617,0.1102012419777132,chr2,278279,278280,+,0.6782862371299051,2,TUTR,distal pA,Tempus_KRAS_T_DMSO_vs_DMAi
ACSL5,ENSG00000197142,PAS27843_AATAAA_0.1,2.159520367233237e-11,0,53.463356766471406,1,2.6346148480245494e-13,3.5249596893128453e-11,0.7091599426589594,0.8863498277993234,0.1771898851403639,chr10,112428374,112428375,+,0.7977548852291414,2,TUTR,distal pA,Tempus_KRAS_T_DMSO_vs_DMAi
ACTR5,ENSG00000101442,PAS49071_AATAAA_0.3,0.012909981543767908,0,9.650885497316947,1,0.0018926032943163756,0.017618251812780063,0.017498266806227902,0.13938940140044875,0.12189113459422084,chr20,38772510,38772511,+,0.07844383410333833,2,TUTR,distal pA,Tempus_KRAS_T_DMSO_vs_DMAi
AGO1,ENSG00000092847,PAS621_ATTAAA_0.3,5.718386815698475e-5,5.427138700087638e-4,16.175214153495517,1,5.7744755768932464e-5,0.001066363575072559,0.0172168534157896,0.16201920133955428,0.14480234792376467,chr1,35930528,35930529,+,0.08961802737767194,2,TUTR,distal pA,Tempus_KRAS_T_DMSO_vs_DMAi
AIG1,ENSG00000146416,PAS18369_AATAAA_0.2,0.003823585243058192,0.0023248351781811408,13.43204388798631,1,2.4736246295847336e-4,0.0035091013846094447,0.709583880680805,0.861156204785365,0.15157232410456,chr6,143340301,143340302,+,0.785370042733085,2,ALE,distal pA,Tempus_KRAS_T_DMSO_vs_DMAi
AIMP1,ENSG00000164022,PAS13116_AATAAA_0.2,1.3408752108433198e-4,0.007369899400343642,9.996577096045256,1,0.001568314592393127,0.015287706601706433,0.2234920708322936,0.33788979426578725,0.11439772343349364,chr4,106349221,106349222,+,0.28069093254904043,2,MIXED,distal pA,Tempus_KRAS_T_DMSO_vs_DMAi
AKAP13,ENSG00000170776,PAS38954_AATAAA_0.05,6.982724809020012e-7,0,31.417608413401013,1,2.0808519930879637e-8,1.0675709454763698e-6,0.6784239145265575,0.92087257919264,0.2424486646660824,chr15,85749354,85749355,+,0.7996482468595987,2,TUTR,distal pA,Tempus_KRAS_T_DMSO_vs_DMAi
ALG13,ENSG00000101901,PAS52279_AATAAA_0.3,5.134662483143975e-4,3.20262958840646e-5,20.244419822254716,1,6.815195764128947e-6,1.7482514397193185e-4,0.09217332983582016,0.327323329235694,0.2351499993998738,chrX,111760643,111760644,+,0.2097483295357571,2,ALE,distal pA,Tempus_KRAS_T_DMSO_vs_DMAi
ANKHD1,ENSG00000131503,PAS15518_AATAAA_0.2,7.536676242291225e-4,0,16.095483604582114,1,6.022749897830168e-5,0.0011017757085212908,0.7420400804032642,0.9226494420994784,0.1806093616962141,chr5,140539848,140539849,+,0.8323447612513712,2,ALE,distal pA,Tempus_KRAS_T_DMSO_vs_DMAi
ANTXR1,ENSG00000169604,PAS5779_AATAAA_0.1,3.94704659250428e-5,4.0445897450007526e-4,15.420079515915404,1,8.606886977361602e-5,0.001477886284146029,0.5418795819197968,0.2152292408040629,-0.3266503411157339,chr2,69249167,69249168,+,0.37855441136192985,2,ALE,distal pA,Tempus_KRAS_T_DMSO_vs_DMAi
ANXA4,ENSG00000196975,PAS5786_APA_0.25,6.360199901961452e-4,0,16.502267510404636,1,4.859192725098549e-5,9.353089297520436e-4,0.4494810302510556,0.5657862040944371,0.11630517384338152,chr2,69826360,69826361,+,0.5076336171727464,2,TUTR,distal pA,Tempus_KRAS_T_DMSO_vs_DMAi
AP2A2,ENSG00000183020,PAS29386_AATAAA_0.15,8.312515540273614e-7,0,31.053309173252277,1,2.5103796931626315e-8,1.259527635021707e-6,0.21139028202881735,0.4553522957608136,0.24396201373199625,chr11,1012238,1012239,+,0.3333712888948155,2,MIXED,distal pA,Tempus_KRAS_T_DMSO_vs_DMAi
AP5Z1,ENSG00000242802,PAS19983_AATAAA_0.15,0.002003864437160501,0.01658417884503969,8.511488195737002,1,0.0035291132582244457,0.0281648003713386,0.0996734001545624,0.2310158399585376,0.1313424398039752,chr7,4794394,4794395,+,0.16534462005655,2,TUTR,distal pA,Tempus_KRAS_T_DMSO_vs_DMAi
APEX2,ENSG00000169188,PAS52009_AATAAA_0.05,0.009404457579287604,0,10.372580915755975,1,0.0012790062307831145,0.01298705210676872,0.0726195961205206,0.2840064617338284,0.21138686561330777,chrX,55009056,55009057,+,0.1783130289271745,2,TUTR,distal pA,Tempus_KRAS_T_DMSO_vs_DMAi
ARHGAP11A,ENSG00000198826,PAS38255_ATTAAA_0.4,9.405276619275188e-4,0.0331937955651015,9.25031705675974,1,0.002354546565417866,0.020703928465372175,0.5747236304616217,0.4409949852362432,-0.13372864522537853,chr15,32639037,32639038,+,0.5078593078489324,2,ALE,distal pA,Tempus_KRAS_T_DMSO_vs_DMAi
ASF1A,ENSG00000111875,PAS18247_AATAAA_0.35,0.004473120606540882,0,12.059455190931658,1,5.15303493873698e-4,0.006324052860516507,0.33099367947182134,0.5485887606223339,0.2175950811505125,chr6,118909164,118909165,+,0.4397912200470776,2,TUTR,distal pA,Tempus_KRAS_T_DMSO_vs_DMAi
ASXL1,ENSG00000171456,PAS48945_AATAAA_0.15,2.2642191568487698e-7,3.178725692933929e-8,35.74007611286652,1,2.254776091521133e-9,1.4652823486185198e-7,0.37786913986769854,0.670519907608523,0.29265076774082444,chr20,32439317,32439318,+,0.5241945237381107,2,TUTR,distal pA,Tempus_KRAS_T_DMSO_vs_DMAi
ATF6,ENSG00000118217,PAS1753_AATAAA_0.15,1.4813645312720304e-7,3.7453758892867497e-6,24.365050671702875,1,7.970159892402203e-7,2.78181002689547e-5,0.217931421856898,0.4795559168870822,0.26162449503018426,chr1,161964068,161964069,+,0.3487436693719901,2,TUTR,distal pA,Tempus_KRAS_T_DMSO_vs_DMAi
ATG4B,ENSG00000168397,PAS7248_APA_0.2,4.910721194776728e-11,0,51.75560175757164,1,6.285723129308389e-13,7.942709587569542e-11,0.4125922023281425,0.6639565523964299,0.2513643500682874,chr2,241673853,241673854,+,0.5382743773622862,2,MIXED,distal pA,Tempus_KRAS_T_DMSO_vs_DMAi
ATG7,ENSG00000197548,PAS9191_AATAAA_0.45,2.798861531651162e-4,0,18.300645201156957,1,1.8864326723328836e-5,4.179244590799815e-4,0.10891701467203552,0.4663269689682985,0.357409954296263,chr3,11557662,11557663,+,0.287621991820167,2,TUTR,distal pA,Tempus_KRAS_T_DMSO_vs_DMAi
ATMIN,ENSG00000166454,PAS40931_ATTAAA_0.15,0.035504172375386264,0,7.305703572440507,1,0.00687360777187478,0.04718517367342813,0.2702151463145709,0.40690518771667145,0.13669004140210056,chr16,81047235,81047236,+,0.3385601670156212,2,TUTR,distal pA,Tempus_KRAS_T_DMSO_vs_DMAi
ATP11A,ENSG00000068650,PAS35766_AATAAA_0.2,7.981820182174906e-26,5.682154419024755e-15,64.05626374078611,1,1.209162460368468e-15,2.459340206906344e-13,0.6731710716947298,0.15727538641257943,-0.5158956852821504,chr13,112887165,112887166,+,0.4152232290536546,2,ALE,distal pA,Tempus_KRAS_T_DMSO_vs_DMAi
