"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type","condition"
"ABCB8","ENSG00000197150","PAS21132_AATAAA_0.2",0.0210264057253202,0.0182975170030953,8.33272926407835,1,0.00389371161825868,0.0304512793434821,0.0841875047654781,0.205629342712546,0.121441837947068,"chr7",151047779,151047780,"+",0.144908423739012,2,"TUTR","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"ABI2","ENSG00000138443","PAS6853_AATAAA_0.2",5.92475832943801e-06,0,26.8247072027548,1,2.22770913186869e-07,9.04807932220596e-06,0.549958698055145,0.832590793307422,0.282632095252276,"chr2",203432167,203432168,"+",0.691274745681284,2,"TUTR","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"ACP1","ENSG00000143727","PAS5154_AATAAA_0.15",1.98764029172741e-05,1.77870922280656e-05,21.3707122654414,1,3.78509322613237e-06,0.000105634288869179,0.623185616141049,0.733386858118762,0.110201241977713,"chr2",278279,278280,"+",0.678286237129905,2,"TUTR","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"ACSL5","ENSG00000197142","PAS27843_AATAAA_0.1",2.15952036723324e-11,0,53.4633567664714,1,2.63461484802455e-13,3.52495968931285e-11,0.709159942658959,0.886349827799323,0.177189885140364,"chr10",112428374,112428375,"+",0.797754885229141,2,"TUTR","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"ACTR5","ENSG00000101442","PAS49071_AATAAA_0.3",0.0129099815437679,0,9.65088549731695,1,0.00189260329431638,0.0176182518127801,0.0174982668062279,0.139389401400449,0.121891134594221,"chr20",38772510,38772511,"+",0.0784438341033383,2,"TUTR","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"AGO1","ENSG00000092847","PAS621_ATTAAA_0.3",5.71838681569847e-05,0.000542713870008764,16.1752141534955,1,5.77447557689325e-05,0.00106636357507256,0.0172168534157896,0.162019201339554,0.144802347923765,"chr1",35930528,35930529,"+",0.0896180273776719,2,"TUTR","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"AKAP13","ENSG00000170776","PAS38954_AATAAA_0.05",6.98272480902001e-07,0,31.417608413401,1,2.08085199308796e-08,1.06757094547637e-06,0.678423914526557,0.92087257919264,0.242448664666082,"chr15",85749354,85749355,"+",0.799648246859599,2,"TUTR","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"ANXA4","ENSG00000196975","PAS5786_APA_0.25",0.000636019990196145,0,16.5022675104046,1,4.85919272509855e-05,0.000935308929752044,0.449481030251056,0.565786204094437,0.116305173843382,"chr2",69826360,69826361,"+",0.507633617172746,2,"TUTR","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"AP5Z1","ENSG00000242802","PAS19983_AATAAA_0.15",0.0020038644371605,0.0165841788450397,8.511488195737,1,0.00352911325822445,0.0281648003713386,0.0996734001545624,0.231015839958538,0.131342439803975,"chr7",4794394,4794395,"+",0.16534462005655,2,"TUTR","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"APEX2","ENSG00000169188","PAS52009_AATAAA_0.05",0.0094044575792876,0,10.372580915756,1,0.00127900623078311,0.0129870521067687,0.0726195961205206,0.284006461733828,0.211386865613308,"chrX",55009056,55009057,"+",0.178313028927174,2,"TUTR","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"ASF1A","ENSG00000111875","PAS18247_AATAAA_0.35",0.00447312060654088,0,12.0594551909317,1,0.000515303493873698,0.00632405286051651,0.330993679471821,0.548588760622334,0.217595081150512,"chr6",118909164,118909165,"+",0.439791220047078,2,"TUTR","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"ASXL1","ENSG00000171456","PAS48945_AATAAA_0.15",2.26421915684877e-07,3.17872569293393e-08,35.7400761128665,1,2.25477609152113e-09,1.46528234861852e-07,0.377869139867699,0.670519907608523,0.292650767740824,"chr20",32439317,32439318,"+",0.524194523738111,2,"TUTR","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"ATF6","ENSG00000118217","PAS1753_AATAAA_0.15",1.48136453127203e-07,3.74537588928675e-06,24.3650506717029,1,7.9701598924022e-07,2.78181002689547e-05,0.217931421856898,0.479555916887082,0.261624495030184,"chr1",161964068,161964069,"+",0.34874366937199,2,"TUTR","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"ATG7","ENSG00000197548","PAS9191_AATAAA_0.45",0.000279886153165116,0,18.300645201157,1,1.88643267233288e-05,0.000417924459079982,0.108917014672036,0.466326968968299,0.357409954296263,"chr3",11557662,11557663,"+",0.287621991820167,2,"TUTR","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"ATMIN","ENSG00000166454","PAS40931_ATTAAA_0.15",0.0355041723753863,0,7.30570357244051,1,0.00687360777187478,0.0471851736734281,0.270215146314571,0.406905187716671,0.136690041402101,"chr16",81047235,81047236,"+",0.338560167015621,2,"TUTR","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"ATP6V1C1","ENSG00000155097","PAS23260_AATAAA_0.3",9.29795192683424e-06,2.02754201624045e-05,23.2288921140134,1,1.43820313685322e-06,4.61815487262023e-05,0.395138136166815,0.571427078719747,0.176288942552932,"chr8",103073048,103073049,"+",0.483282607443281,2,"TUTR","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"BIRC5","ENSG00000089685","PAS43454_AATAAA_0.2",6.51333266022928e-11,4.46122114408124e-11,48.5839448635943,1,3.1644928648683e-12,3.45486673014861e-10,0.101855198962861,0.214304142044142,0.112448943081281,"chr17",78225348,78225349,"+",0.158079670503502,2,"TUTR","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"BLM","ENSG00000197299","PAS39015_AATAAA_0.2",0.00728566964270265,0,10.9424631959366,1,0.000939851383908642,0.0101714130342595,0.102796413588497,0.328292616949075,0.225496203360578,"chr15",90816164,90816165,"+",0.215544515268786,2,"TUTR","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
