gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,pA_type,condition,prox_to_dist_shift
AASDHPPT,ENSG00000149313.11,PAS30468_AATAAA_0.3,0.08971079532873877,NA,4.9962774345244725,1,0.025401896514645892,0.1123313075271896,0.5443441602647641,0.4008940476586413,-0.14345011260612278,chr11,106098692,106098693,+,0.4726191039617027,distal pA,SKMEL2,-0.28690022521224556
ABCB8,ENSG00000197150.13,PAS21132_AATAAA_0.2,1.701173126272134e-6,8.116668070335157e-8,31.59849215061513,1,1.895767307567052e-8,8.371733211488096e-7,0.21779698865729746,0.4708731075311068,0.2530761188738093,chr7,151047779,151047780,+,0.3443350480942021,distal pA,SKMEL2,0.46787835322385385
ABCC1,ENSG00000103222.20,PAS40309_APA_0.2,0.519169885708908,NA,0.9578048490502624,1,0.3277405648452314,0.5729312099293159,0.871349910982396,0.7973896587488017,-0.07396025223359426,chr16,16143051,16143052,+,0.8343697848655989,distal pA,SKMEL2,-0.14792050446718838
ABCC2,ENSG00000023839.12,PAS27677_APA_0.35,0.13073163542922658,NA,4.1070293451068665,1,0.04270531169594412,0.16030858434535195,0.8237528111346067,0.9206570292436775,0.0969042181090708,chr10,99852571,99852572,+,0.8722049201891422,distal pA,SKMEL2,0.19380843621814162
ABCD1,ENSG00000101986.12,PAS52448_APA_0.1,0.6810498028657229,NA,0.43117478513340757,1,0.511413061441431,0.7238692218456745,0.9139689495547371,0.9285494923502569,0.01458054279551979,chrX,153744753,153744754,+,0.921259220952497,distal pA,SKMEL2,0.029161085591039734
ABCD3,ENSG00000117528.14,PAS1169_AATAAA_0.15,0.037251319977406536,0,7.058996863053835,1,0.007886814784928623,0.048797860892280435,0.8511112711151391,0.7539348653550827,-0.09717640576005637,chr1,94518661,94518662,+,0.8025230682351109,distal pA,SKMEL2,-0.1943528115201127
ABCE1,ENSG00000164163.11,PAS13298_AATAAA_0.3,0.7938210719858885,NA,0.1991437122997013,1,0.6554129063109296,0.8230175025996397,0.13548962348784088,0.15064899769826456,0.015159374210423682,chr4,145129520,145129521,+,0.14306931059305272,distal pA,SKMEL2,0.03031874842084714
ABCF1,ENSG00000204574.14,PAS17571_ATTAAA_0.3,0.7469671972173314,NA,0.28342872422308574,1,0.5944626653232253,0.7834754702538519,0.02742838430046768,0.021034029459828463,-0.006394354840639216,chr6,30592257,30592258,+,0.02423120688014807,distal pA,SKMEL2,-0.012788709681278543
ABCF3,ENSG00000161204.12,PAS10577_None_0.1,0.7075530344070878,NA,0.3691842311154687,1,0.5434492681583227,0.7461729174143074,0.04816966472347828,0.05871125165657809,0.010541586933099811,chr3,184194450,184194451,+,0.053440458190028184,distal pA,SKMEL2,0.021083173866199623
ABHD10,ENSG00000144827.9,PAS9981_AATAAA_0.2,0.4035300585845791,NA,1.5083189225140359,1,0.21939578317899838,0.45829266008622743,0.8468001617809211,0.9066151914187376,0.059815029637816486,chr3,111993366,111993367,+,0.8767076765998294,distal pA,SKMEL2,0.11963005927563282
ABHD13,ENSG00000139826.6,PAS35733_ATTAAA_0.25,0.9352673904287376,NA,0.022408153012037246,1,0.881006412742178,0.9443947053296089,0.3157619627088575,0.34143657203603417,0.02567460932717669,chr13,108231987,108231988,+,0.3285992673724458,distal pA,SKMEL2,0.05134921865435349
ABHD17C,ENSG00000136379.12,PAS38908_AATAAA_0.15,0.8936723613734824,NA,0.05819156575194029,1,0.8093774183449698,0.909522739585223,0.8310419165009387,0.8143228314640106,-0.016719085036928094,chr15,80755618,80755619,+,0.8226823739824747,distal pA,SKMEL2,-0.033438170073856244
ABHD2,ENSG00000140526.18,PAS38967_AATAAA_0.05,0.9048776716972182,NA,0.5016280937861666,1,0.478785624135699,0.7002738541991234,0.5862892505141095,0.5474457934968853,-0.03884345701722425,chr15,89202353,89202354,+,0.5668675220054974,distal pA,SKMEL2,-0.061456222812976136
ABHD5,ENSG00000011198.10,PAS9495_AATAAA_0.35,0.691789106861981,NA,0.03372232331832947,1,0.8542987143506342,0.9315047629323101,0.45786284557336737,0.444392367607567,-0.013470477965800365,chr3,43719869,43719870,+,0.4511276065904672,distal pA,SKMEL2,-0.083982597631153455
ABHD6,ENSG00000163686.15,PAS9737_AATAAA_0.25,0.9136627653342019,NA,0.03896172722261326,1,0.8435245048675502,0.9263345497176112,0.6233713871837077,0.6361285725866078,0.012757185402900162,chr3,58294731,58294732,+,0.6297499798851578,distal pA,SKMEL2,0.02551437080580038
ABI2,ENSG00000138443.17,PAS6853_AATAAA_0.2,3.185791745247089e-5,5.601364578248507e-4,14.629817695356905,1,1.3082811509833181e-4,0.0018542556335841786,0.5941176469884801,0.7702697857973151,0.17615213880883496,chr2,203432167,203432168,+,0.6821937163928976,distal pA,SKMEL2,0.39308315566928054
