gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,pA_type,condition,prox_to_dist_shift
2310022A10Rik,ENSMUSG00000049643.16,PAS3849_AATAAA_0.15,0.1326932680118596,NA,3.4545992083909027,1,0.06307602528732763,0.14169334561386143,0.7775039149692519,0.8958392084489474,0.11833529347969551,chr7,27281520,27281521,+,0.8366715617090996,distal pA,Polarised_DMSO_vs_DMAi,0.23667058695939103
2410004B18Rik,ENSMUSG00000036873.14,PAS1729_ATTAAA_0.3,0.0010539351219228624,0,14.023412599122139,1,1.805485231371143e-4,0.0011983607309020733,0.20246120881368712,0.45452356506310465,0.25206235624941753,chr3,145650581,145650582,+,0.3284923869383959,distal pA,Polarised_DMSO_vs_DMAi,0.5041247124988351
4930523C07Rik,ENSMUSG00000090394.9,PAS233_AATAAA_0.2,0.05847963659060588,NA,5.171571662271617,1,0.02295943478820114,0.06300554926996992,0.5593964610799974,0.6974547271930873,0.1380582661130899,chr1,159906153,159906154,+,0.6284255941365424,distal pA,Polarised_DMSO_vs_DMAi,0.2761165322261798
Aars,ENSMUSG00000031960.15,PAS4720_APA_0.25,0.7522132260699881,NA,0.22532654401857144,1,0.635010989261548,0.7598761308999966,0.4013675055026257,0.38622904538210867,-0.015138460120517006,chr8,111784233,111784234,+,0.3937982754423672,distal pA,Polarised_DMSO_vs_DMAi,-0.03027692024103401
Abhd17b,ENSMUSG00000047368.5,PAS9877_APA_0.1,0.20145064381540723,NA,2.6121885477609794,1,0.10604532130423724,0.21286032639213429,0.2974666239801038,0.23044989341759703,-0.06701673056250679,chr19,21662997,21662998,+,0.2639582586988504,distal pA,Polarised_DMSO_vs_DMAi,-0.13403346112501358
Acbd6,ENSMUSG00000033701.14,PAS226_AATAAA_0.25,0.28533626989999605,NA,1.9579482627846119,1,0.1617329181343744,0.2964979644519852,0.3266893394292605,0.25512345443870654,-0.07156588499055394,chr1,155562977,155562978,+,0.2909063969339835,distal pA,Polarised_DMSO_vs_DMAi,-0.14313176998110788
Adar,ENSMUSG00000027951.17,PAS1591_AATAAA_0.3,0.47367613716251483,NA,0.9356521861221836,1,0.3333985021585667,0.486997875475498,0.7779774036887921,0.7218049243881188,-0.05617247930067326,chr3,89660751,89660752,+,0.7498911640384555,distal pA,Polarised_DMSO_vs_DMAi,-0.1123449586013465
Adipor1,ENSMUSG00000026457.15,PAS187_AATAAA_0.35,0.5001045544308921,NA,0.8301901323777656,1,0.3622175560122895,0.5120918383292432,0.8443855527586743,0.8767364964295908,0.03235094367091651,chr1,134360072,134360073,+,0.8605610245941326,distal pA,Polarised_DMSO_vs_DMAi,0.06470188734183302
Aebp2,ENSMUSG00000030232.20,PAS3505_AATAAA_0.25,3.640012965359945e-10,2.3451845082665458e-7,30.011913708643988,1,4.293999803868323e-8,7.370872766778107e-7,0.12539642876575285,0.2564104497531448,0.13101402098739195,chr6,140599518,140599519,+,0.19090343925944883,distal pA,Polarised_DMSO_vs_DMAi,0.347886220475297
Afg3l1,ENSMUSG00000031967.16,PAS4765_None_0.15,0.05251073814356036,NA,5.41865968230627,1,0.019922648010452917,0.056866365708735454,0.1279195351526905,0.23115367170261836,0.10323413654992786,chr8,124230653,124230654,+,0.17953660342765443,distal pA,Polarised_DMSO_vs_DMAi,0.20646827309985571
Agfg1,ENSMUSG00000026159.14,PAS118_ATTAAA_0.3,2.1884328335499014e-4,0.049620570431827694,5.579596077388487,1,0.018170913115880562,0.05388492360060944,0.33666232425723264,0.2520407286592097,-0.08462159559802296,chr1,82874100,82874101,+,0.29435152645822116,distal pA,Polarised_DMSO_vs_DMAi,-0.03904976696889295
Ak2,ENSMUSG00000028792.15,PAS2159_AATAAA_0.1,0.014919541711767589,0,8.187328853540748,1,0.004218398983579257,0.01621898163247011,0.8954935894472414,0.9399057180918433,0.04441212864460187,chr4,128905320,128905321,+,0.9176996537695423,distal pA,Polarised_DMSO_vs_DMAi,0.08882425728920379
Akap9,ENSMUSG00000040407.19,PAS2621_AATAAA_0.2,0.47367613716251483,NA,0.9363555699157473,1,0.33321686154740765,0.486997875475498,0.7017932439673205,0.7746764493084705,0.07288320534115,chr5,4130202,4130203,+,0.7382348466378954,distal pA,Polarised_DMSO_vs_DMAi,0.1457664106823
