gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand
ATP6V1A,ENSG00000114573.12,PAS10001_APA_0.2,0.3300164512513467,NA,1.7798955094767734,1,0.18216215779488634,0.306307575890132,0.22853044788452193,0.1949701108952692,-0.03356033698925273,chr3,113811808,113811809,+
ATP6V1A,ENSG00000114573.12,PAS10002_AATAAA_0.15,0.3300164512513467,NA,0.22702255247713765,1,0.6337404036702329,0.7494287880045891,0.3633571102662008,0.34940611176257536,-0.013950998503625467,chr3,113812053,113812054,+
ATP6V1A,ENSG00000114573.12,PAS9999_APA_0.35,0.3300164512513467,NA,2.3650958371108572,1,0.12407629314299386,0.2284768715503502,0.4081124418492772,0.4556237773421554,0.047511335492878226,chr3,113810425,113810426,+
SRSF11,ENSG00000116754.14,PAS1001_AATAAA_0.45,3.151203641600219e-10,1,0.8227949082356645,1,0.36436426564886015,0.5102415426751644,0.08488708896795423,0.09474381354195609,0.009856724574001857,chr1,70228940,70228941,+
SRSF11,ENSG00000116754.14,PAS1002_AATAAA_0.1,3.151203641600219e-10,1,0.47745551952175447,1,0.489577127872929,0.6298298617622362,0.04233641322697564,0.04778864060452429,0.005452227377548649,chr1,70229185,70229186,+
SRSF11,ENSG00000116754.14,PAS1003_None_0.25,3.151203641600219e-10,1,0.4105298954891623,1,0.5217006738213752,0.6564687321288453,0.34375397644042877,0.3322765812543293,-0.01147739518609947,chr1,70237533,70237534,+
SRSF11,ENSG00000116754.14,PAS1005_APA_0.35,3.151203641600219e-10,1,2.169338930169033,1,0.14078674339756772,0.2515724573092113,0.14929416664257644,0.16976761697484097,0.020473450332264526,chr1,70250046,70250047,+
SRSF11,ENSG00000116754.14,PAS1006_ATTAAA_0.2,3.151203641600219e-10,1,1.1282508694821445,1,0.2881487392918018,0.4318970873582664,0.0414633522930161,0.03379277981240722,-0.00767057248060888,chr1,70251254,70251255,+
SRSF11,ENSG00000116754.14,PAS1007_AATAAA_0.25,3.151203641600219e-10,1.9683513592577753e-6,27.083478441261832,1,1.948561830331665e-7,1.8526487689463206e-6,0.2812482163309478,0.19708232598034195,-0.08416589035060587,chr1,70251999,70252000,+
SRSF11,ENSG00000116754.14,PAS1008_AATAAA_0.3,3.151203641600219e-10,4.0561347284831546e-9,39.10538234419437,1,4.0153549179274897e-10,5.560287206471542e-9,0.05701678609810101,0.12454824183160018,0.06753145573349917,chr1,70253046,70253047,+
POGLUT1,ENSG00000163389.12,PAS10023_None_0.2,0.21626902585153526,NA,3.7264843261732494,1,0.05355600689796388,0.1175614252495073,0.19081833149634334,0.12243096171715935,-0.06838736977918398,chr3,119492866,119492867,+
POGLUT1,ENSG00000163389.12,PAS10024_AATAAA_0.35,0.21626902585153526,NA,0.3654287381964423,1,0.5455066028797562,0.6765004593328604,0.586515936022404,0.6162090658114876,0.02969312978908356,chr3,119493193,119493194,+
POGLUT1,ENSG00000163389.12,PAS10025_APA_0.3,0.21626902585153526,NA,0.8369677846471859,1,0.3602654283744127,0.5060204554575048,0.22266573248125265,0.261359972471353,0.038694239990100354,chr3,119494704,119494705,+
NDUFB4,ENSG00000065518.8,PAS10034_AATAAA_0.4,0.3407961707090954,NA,1.3682375570606382,1,0.24211492670622664,0.37897804153691267,0.2943864832723734,0.27453644653860887,-0.01985003673376451,chr3,120601181,120601182,+
NDUFB4,ENSG00000065518.8,PAS10035_AATAAA_0.2,0.3407961707090954,NA,1.3682375570679142,1,0.24211492670497456,0.37897804153691267,0.7056135167276266,0.7254635534613912,0.01985003673376462,chr3,120602325,120602326,+
FAM162A,ENSG00000114023.16,PAS10048_AATAAA_0.2,0.11057203562433571,NA,3.4715573770035917,1,0.06243250485431523,0.13320219160771027,0.9737851249538719,0.9505680081810887,-0.023217116772783264,chr3,122409996,122409997,+
FAM162A,ENSG00000114023.16,PAS10049_AATAAA_0.15,0.11057203562433571,NA,3.4715573770035917,1,0.06243250485431523,0.13320219160771027,0.026214875046128072,0.04943199181891145,0.023217116772783375,chr3,122412332,122412333,+
DTX3L,ENSG00000163840.10,PAS10057_AATAAA_0.2,0.6370590357893808,NA,0.3798777376491671,1,0.5376686763457592,0.6695744132834518,0.060510659785497356,0.048055116607660035,-0.01245554317783732,chr3,122572598,122572599,+
DTX3L,ENSG00000163840.10,PAS10058_AATAAA_0.15,0.6370590357893808,NA,0.3798777376491671,1,0.5376686763457592,0.6695744132834518,0.9394893402145025,0.95194488339234,0.01245554317783748,chr3,122575199,122575200,+
SEC22A,ENSG00000121542.12,PAS10074_AATAAA_0.3,3.977897618849186e-5,0,19.80152687500231,1,8.59140185902257e-6,6.024592649002285e-5,0.9358973322034682,0.7692305955959715,-0.16666673660749665,chr3,123272175,123272176,+
SEC22A,ENSG00000121542.12,PAS10075_APA_0.25,3.977897618849186e-5,0,19.80152687500231,1,8.59140185902257e-6,6.024592649002285e-5,0.06410266779653184,0.2307694044040285,0.16666673660749665,chr3,123274130,123274131,+
PLXNA1,ENSG00000114554.12,PAS10091_None_0.2,7.780984523054174e-9,0,37.38815496438929,1,9.680829936223597e-10,1.2899929044102809e-8,0.29846239143436226,0.12254540360362394,-0.17591698783073834,chr3,127035578,127035579,+
PLXNA1,ENSG00000114554.12,PAS10092_AATAAA_0.25,7.780984523054174e-9,0,37.388154964392015,1,9.680829936210056e-10,1.2899929044102809e-8,0.7015376085656376,0.877454596396376,0.1759169878307384,chr3,127037384,127037385,+
SEC61A1,ENSG00000058262.11,PAS10101_APA_0.2,0.4412704461098401,NA,0.927824303995294,1,0.33542891720449963,0.48090850440114813,0.008196616192501059,0.011675643626534227,0.003479027434033168,chr3,128070800,128070801,+
SEC61A1,ENSG00000058262.11,PAS10102_AATAAA_0.15,0.4412704461098401,NA,0.927824303995294,1,0.33542891720449963,0.48090850440114813,0.991803383807499,0.9883243563734658,-0.003479027434033166,chr3,128071681,128071682,+
RAB7A,ENSG00000075785.14,PAS10113_None_0.25,1.1763865077315951e-4,0.009346426141522517,9.282832527023857,1,0.002313114620482727,0.008541598866855729,0.1628152216702002,0.126506988313104,-0.03630823335709621,chr3,128813801,128813802,+
RAB7A,ENSG00000075785.14,PAS10114_ATTAAA_0.25,1.1763865077315951e-4,0.023241525725845084,7.626411123317666,1,0.005751964670211392,0.01859271703179148,0.30842093776165447,0.26600385862451525,-0.04241707913713921,chr3,128814095,128814096,+
RAB7A,ENSG00000075785.14,PAS10115_APA_0.25,1.1763865077315951e-4,0.023241525725845084,6.477674953828682,1,0.0109237784710744,0.032110818482742186,0.13329302788671332,0.1638746189880201,0.030581591101306788,chr3,128814391,128814392,+
RAB7A,ENSG00000075785.14,PAS10116_AATAAA_0.2,1.1763865077315951e-4,0.015410062806326237,8.370416026191378,1,0.003813783048208387,0.013154200285825283,0.3954708126814319,0.44361453407436063,0.04814372139292872,chr3,128814795,128814796,+
