"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type","condition"
"AEBP2","ENSG00000139154","PAS32284_ATTAAA_0.2",0.0320993867740349,0,7.39142077217889,1,0.0065535701866168,0.0421907546125549,0.296901027971013,0.522973183384629,0.226072155413616,"chr12",19520959,19520960,"+",0.409937105677821,2,"ALE","distal pA","SKMEL2"
"ANKHD1","ENSG00000131503","PAS15518_AATAAA_0.2",0.0115308168654124,0,9.66909665941057,1,0.0018739343047914,0.0159662511101174,0.599208322036885,0.740398387152603,0.141190065115718,"chr5",140539848,140539849,"+",0.669803354594744,2,"ALE","distal pA","SKMEL2"
"ANTXR1","ENSG00000169604","PAS5779_AATAAA_0.1",0.000783431576622062,0.000354567193082453,16.8057707034504,1,4.14071936388655e-05,0.000712783958779604,0.332109369133366,0.140377837401601,-0.191731531731765,"chr2",69249167,69249168,"+",0.236243603267484,2,"ALE","distal pA","SKMEL2"
"AP4M1","ENSG00000221838","PAS20730_AATAAA_0.25",0.0281723532123538,0,7.66843553840522,1,0.0056195159429297,0.0373335884645079,0.138144786331427,0.322675041581848,0.184530255250421,"chr7",100109894,100109895,"+",0.230409913956637,2,"ALE","distal pA","SKMEL2"
"ARHGEF1","ENSG00000076928","PAS46872_ATTAAA_0.4",3.59085106631751e-08,0,37.3163646584219,1,1.00438259715292e-09,5.70261430055772e-08,0.00530648863045935,0.231072773584262,0.225766284953803,"chr19",41930139,41930140,"+",0.118189631107361,2,"ALE","distal pA","SKMEL2"
"ARHGEF10","ENSG00000104728","PAS22505_AATAAA_0.2",0.000961640195414339,0,15.2330594890464,1,9.50252867661372e-05,0.0014188692818462,0.464862582448965,0.165688035115695,-0.29917454733327,"chr8",1958639,1958640,"+",0.31527530878233,2,"ALE","distal pA","SKMEL2"
"ARHGEF7","ENSG00000102606","PAS35760_ATTAAA_0.2",0.0321325099911741,0,7.38776793737634,1,0.00656689311988024,0.0422362811656077,0.856367562366156,0.740163652538038,-0.116203909828117,"chr13",111305730,111305731,"+",0.798265607452097,2,"ALE","distal pA","SKMEL2"
"ARRDC1","ENSG00000197070","PAS25765_AATAAA_0.1",0.00216177408394988,0,13.4460165742371,1,0.000245526944732306,0.00313372050980977,0.693591898998978,0.496794657810865,-0.196797241188113,"chr9",137615358,137615359,"+",0.595193278404921,2,"ALE","distal pA","SKMEL2"
"ASB7","ENSG00000183475","PAS39095_ATTAAA_0.35",0.000865701380099208,0.00264115291653883,11.7243372359716,1,0.000616880142205067,0.00658101854684364,0.65650233321484,0.353954566484371,-0.302547766730469,"chr15",100651696,100651697,"+",0.505228449849606,2,"ALE","distal pA","SKMEL2"
"ASXL1","ENSG00000171456","PAS48945_AATAAA_0.15",5.37770973490413e-08,9.78997838399468e-05,20.030424210579,1,7.62197854314e-06,0.00016801924315408,0.33023413303321,0.527295540687441,0.197061407654231,"chr20",32439317,32439318,"+",0.428764836860325,3,"ALE","distal pA","SKMEL2"
"BAIAP2","ENSG00000175866","PAS43519_AATAAA_0.15",7.60924286360572e-12,5.44659477889112e-12,50.371736289741,1,1.27213238608645e-12,1.0611311687152e-10,0.707626152209571,0.284780853296576,-0.422845298912995,"chr17",81116223,81116224,"+",0.496203502753073,2,"ALE","distal pA","SKMEL2"
"BICD1","ENSG00000151746","PAS32452_AATAAA_0.15",5.07986847934267e-06,0.000903681433215056,15.8012494079885,1,7.03560337279178e-05,0.00110935949097474,0.153845868513944,0.019417475717508,-0.134428392796436,"chr12",32368057,32368058,"+",0.0866316721157261,2,"ALE","distal pA","SKMEL2"
"BPTF","ENSG00000171634","PAS43285_AATAAA_0.3",5.80554626327189e-06,1.14739563798542e-05,23.3649848792702,1,1.33995570626309e-06,3.67278325734951e-05,0.59595814431455,0.343373677005611,-0.25258446730894,"chr17",67983151,67983152,"+",0.46966591066008,2,"ALE","distal pA","SKMEL2"
"CAMTA1","ENSG00000171735","PAS113_AATAAA_0.15",0.0455930760770317,0,6.57505972984018,1,0.0103417532710458,0.0593410241832873,0.377694748378252,0.516986800565779,0.139292052187526,"chr1",6888198,6888199,"+",0.447340774472015,2,"ALE","distal pA","SKMEL2"
