gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,pA_type,condition,prox_to_dist_shift
AACS,ENSG00000081760.17,PAS33601_AATAAA_0.15,0.29990381310556513,NA,3.095768548337219,1,0.07849607810326686,0.34664304928397277,0.9949132503595176,0.9834916850399346,-0.011421565319583049,chr12,125143314,125143315,+,0.9892024676997261,distal pA,siELAVL1_DMSO,-0.02284313063916594
AASDHPPT,ENSG00000149313.11,PAS30468_AATAAA_0.3,0.8597527529996828,NA,0.16452312832757343,1,0.6850258679441883,0.8876741431488485,0.4486313648161617,0.42621095706732004,-0.022420407748841686,chr11,106098692,106098693,+,0.4374211609417409,distal pA,siELAVL1_DMSO,-0.04484081549768337
ABCD3,ENSG00000117528.14,PAS1169_AATAAA_0.15,0.7230721065497937,NA,0.5589183921038057,1,0.4546963673440255,0.7631608430339532,0.8992820554241993,0.8720328007554435,-0.027249254668755718,chr1,94518661,94518662,+,0.8856574280898214,distal pA,siELAVL1_DMSO,-0.054498509337511644
ABCE1,ENSG00000164163.11,PAS13298_AATAAA_0.3,0.8954792479094311,NA,0.45509574785319273,1,0.49992494590257314,0.7913766815149023,0.08289725123651248,0.06829409434939737,-0.01460315688711511,chr4,145129520,145129521,+,0.07559567279295493,distal pA,siELAVL1_DMSO,-0.02384013557378928
ABHD10,ENSG00000144827.9,PAS9981_AATAAA_0.2,0.6646229046730161,NA,0.7796346822633495,1,0.37725289021648806,0.7089607249674363,0.8451976975395344,0.8068685120952107,-0.03832918544432373,chr3,111993366,111993367,+,0.8260331048173726,distal pA,siELAVL1_DMSO,-0.0766583708886476
ABHD13,ENSG00000139826.6,PAS35732_AATAAA_0.35,0.9146417982248306,NA,0.05776330070850122,1,0.8100667120797624,0.9326564346400394,0.5926927695256089,0.5513301392123042,-0.04136263031330467,chr13,108230907,108230908,+,0.5720114543689565,distal pA,siELAVL1_DMSO,-0.08272526062660929
ABHD2,ENSG00000140526.18,PAS38967_AATAAA_0.05,0.5870214151910508,NA,1.544899770756274,1,0.21388995506140351,0.5585942489950072,0.5903439067132356,0.5389625558357847,-0.05138135087745088,chr15,89202353,89202354,+,0.5646532312745101,distal pA,siELAVL1_DMSO,-0.11586949007725095
ABHD5,ENSG00000011198.10,PAS9495_AATAAA_0.35,0.39824368916777747,NA,1.0274553764611483,1,0.31075707676001774,0.6541521541155376,0.29166575280778057,0.34497816593886466,0.05331241313108409,chr3,43719869,43719870,+,0.31832195937332264,distal pA,siELAVL1_DMSO,-0.0016344365091018886
ABI2,ENSG00000138443.17,PAS6853_AATAAA_0.2,0.08371205263699788,NA,7.69844751790788,1,0.005526834235641846,0.07451535169775568,0.5325434006629293,0.42723240300599086,-0.10531099765693841,chr2,203432167,203432168,+,0.47988790183446006,distal pA,siELAVL1_DMSO,-0.22069963771745643
ABLIM3,ENSG00000173210.21,PAS15637_APA_0.15,0.09138897226010408,NA,6.517327660668002,1,0.010682840614027867,0.11228931140859284,0.7198613170751237,0.5341555773321036,-0.18570573974302007,chr5,149260435,149260436,+,0.6270084472036137,distal pA,siELAVL1_DMSO,-0.3714114794860401
ABRAXAS2,ENSG00000165660.8,PAS27969_AATAAA_0.2,0.8827095772114614,NA,0.23210710569401272,1,0.6299658238669126,0.8654607501879152,0.7049262629766258,0.7283673811436796,0.023441118167053854,chr10,124836666,124836667,+,0.7166468220601527,distal pA,siELAVL1_DMSO,0.054921573967746995
ABT1,ENSG00000146109.5,PAS17486_AATAAA_0.35,0.05731261189893363,NA,7.747340449865078,1,0.005379170058773634,0.07298987223065358,0.0076571012393862325,0.06182699450908824,0.05416989326970201,chr6,26600046,26600047,+,0.034742047874237236,distal pA,siELAVL1_DMSO,0.10833978653940401
ACACB,ENSG00000076555.16,PAS33226_AATAAA_0.25,0.815450636234486,NA,0.2766732139513124,1,0.5988900470466363,0.8472477728459613,0.8352686152765125,0.7951746275855153,-0.04009398769099726,chr12,109268222,109268223,+,0.815221621431014,distal pA,siELAVL1_DMSO,-0.08018797538199449
ACAD8,ENSG00000151498.12,PAS30738_AATAAA_0.45,0.17887218338696453,NA,4.653952692561802,1,0.030982127327264335,0.20977167989687792,0.8952152750534023,0.7025120585100195,-0.19270321654338274,chr11,134265849,134265850,+,0.7988636667817108,distal pA,siELAVL1_DMSO,-0.38540643308676553
ACADSB,ENSG00000196177.13,PAS27953_AATAAA_0.2,0.8647615836032454,NA,0.1518931661271381,1,0.6967327063651155,0.8900863805915035,0.12300914648225802,0.10502113903025612,-0.01798800745200191,chr10,123058288,123058289,+,0.11401514275625707,distal pA,siELAVL1_DMSO,-0.06815977668217965
ACCS,ENSG00000110455.14,PAS29779_AATAAA_0.4,0.5024033857787105,NA,1.5833834162087328,1,0.2082740120810618,0.5514504388542321,0.48794259519088845,0.3413804992426715,-0.14656209594821695,chr11,44084233,44084234,+,0.41466154721677995,distal pA,siELAVL1_DMSO,-0.29312419189643385
ACER3,ENSG00000078124.13,PAS30308_APA_0.25,0.020578795443525685,0.01804269459706553,11.253439567963596,1,7.947560653357577e-4,0.0189175801142866,0.43318353850240693,0.6606111519670678,0.22742761346466084,chr11,77022926,77022927,+,0.5468973452347373,distal pA,siELAVL1_DMSO,0.24911310793201377
ACO2,ENSG00000100412.17,PAS51084_APA_0.15,0.49600453993787297,NA,1.6279245840023577,1,0.20199034820988185,0.5434810335455956,0.8762228177534471,0.8366245545006755,-0.039598263252771604,chr22,41528972,41528973,+,0.8564236861270613,distal pA,siELAVL1_DMSO,-0.0791965265055433
ACP1,ENSG00000143727.16,PAS5154_AATAAA_0.15,0.036614781605957034,0,8.880701284030692,1,0.0028820081938135977,0.048173963049951404,0.5516937881176878,0.6456311703491875,0.09393738223149972,chr2,278279,278280,+,0.5986624792334376,distal pA,siELAVL1_DMSO,0.18787476446299944
ACP7,ENSG00000183760.11,PAS46791_AATAAA_0.45,0.8959650246305059,NA,0.08782563843419666,1,0.7669598216391382,0.9166669107052046,0.6646716880324893,0.6910873950144886,0.026415706981999243,chr19,39111481,39111482,+,0.677879541523489,distal pA,siELAVL1_DMSO,0.052831413963998375
ACSF3,ENSG00000176715.17,PAS41025_None_0.25,0.9908414823678044,NA,0.001071046275427534,1,0.973892417458008,0.9954699565170599,0.6422329261200572,0.6463569095617492,0.0041239834416919585,chr16,89155760,89155761,+,0.6442949178409032,distal pA,siELAVL1_DMSO,0.008247966883383973
ACSL3,ENSG00000123983.15,PAS7025_APA_0.25,1.4197219424603314e-6,0.06840585464673125,8.799467669989554,1,0.00301318451035623,0.04939143630829931,0.36886700845799864,0.2567052466025073,-0.11216176185549132,chr2,222943144,222943145,+,0.312786127530253,distal pA,siELAVL1_DMSO,-0.34507809217047364
ACSS2,ENSG00000131069.20,PAS48995_AATAAA_0.25,0.7217358112884815,NA,0.5632816213276328,1,0.45294104106905464,0.7619264449080739,0.9100734920687646,0.8783834231931419,-0.03169006887562276,chr20,34927956,34927957,+,0.8942284576309533,distal pA,siELAVL1_DMSO,-0.06338013775124544
ACSS3,ENSG00000111058.8,PAS33027_AATAAA_0.4,0.3693370764288021,NA,2.5043539609069967,1,0.11353203378037378,0.4172808228121373,0.482165479854115,0.6490616562040215,0.16689617634990644,chr12,81256755,81256756,+,0.5656135680290683,distal pA,siELAVL1_DMSO,0.333792352699813
ACTN4,ENSG00000130402.14,PAS46782_AATAAA_0.2,0.3974493514920898,NA,2.3040712096262723,1,0.12903539099209912,0.44341061904571005,0.3593953262693017,0.3321153763294151,-0.027279949939886583,chr19,38730529,38730530,+,0.3457553512993584,distal pA,siELAVL1_DMSO,-0.054559899879773166
ACTR10,ENSG00000131966.14,PAS36703_APA_0.2,0.753765073468442,NA,0.45737020515389304,1,0.4988555826680535,0.7909332496440392,0.03289594224780579,0.044627872614037334,0.011731930366231547,chr14,58235632,58235633,+,0.03876190743092156,distal pA,siELAVL1_DMSO,0.023463860732463093
ACTR2,ENSG00000138071.15,PAS5751_AATAAA_0.25,0.9003413588242948,NA,-0.0036547322961268947,1,1,1,0.9090588596944498,0.9115007594980981,0.002441899803648284,chr2,65271250,65271251,+,0.9102798095962739,distal pA,siELAVL1_DMSO,-0.002371083583604744
ACTR3,ENSG00000115091.12,PAS6208_AATAAA_0.2,0.10089168649533944,NA,0.600550891963394,1,0.43836791300849964,0.7512095253840353,0.6283651483194919,0.6517261252807205,0.02336097696122863,chr2,113958254,113958255,+,0.6400456368001062,distal pA,siELAVL1_DMSO,0.09578748350507416
ACTR6,ENSG00000075089.10,PAS33123_AATAAA_0.25,0.6501243554101951,NA,0.8402833563023933,1,0.3593157433590781,0.6964006776654234,0.8019268762075322,0.8521692454942184,0.05024236928668613,chr12,100224422,100224423,+,0.8270480608508752,distal pA,siELAVL1_DMSO,0.10048473857337231
ACVR2B,ENSG00000114739.14,PAS9431_AATAAA_0.2,0.04384605425387166,0.0775889316716019,7.315727295977695,1,0.006835373033355713,0.08468786882244524,0.24524477778700038,0.13628970068498403,-0.10895507710201635,chr3,38493139,38493140,+,0.1907672392359922,distal pA,siELAVL1_DMSO,-0.26560475852842924
ADAM9,ENSG00000168615.13,PAS22818_ATTAAA_0.3,0.8511888968560882,NA,0.25011362983786967,1,0.6169950785619615,0.8568869607547777,0.02985858570326383,0.03589424773060479,0.00603566202734096,chr8,39105257,39105258,+,0.03287641671693431,distal pA,siELAVL1_DMSO,0.0049936237305479025
ADAMTSL1,ENSG00000178031.18,PAS24853_APA_0.2,0.910353145441674,NA,0.0649229109022258,1,0.7988777709452328,0.9285247966376161,0.6296570741407377,0.6023343919928545,-0.027322682147883137,chr9,18910946,18910947,+,0.6159957330667961,distal pA,siELAVL1_DMSO,-0.054645364295766385
ADAMTSL4,ENSG00000143382.16,PAS1526_ATTAAA_0.25,0.5396465802790341,NA,1.3794603689318592,1,0.24019308750978494,0.5920490796471847,0.8301851579166833,0.8848935302307143,0.05470837231403092,chr1,150560931,150560932,+,0.8575393440736988,distal pA,siELAVL1_DMSO,0.10941674462806177
ADARB1,ENSG00000197381.18,PAS50348_AATAAA_0.15,0.7816379786922016,NA,0.006093833452723629,1,0.9377779315092996,0.9820543637687563,0.8194614911471053,0.8167914687992167,-0.002670022347888601,chr21,45226558,45226559,+,0.818126479973161,distal pA,siELAVL1_DMSO,-0.02669898326901564
ADD3,ENSG00000148700.15,PAS27811_AATAAA_0.25,0.47252370150837936,NA,1.7866983466210513,1,0.18132895456774198,0.519070497879274,0.31063104347504933,0.27703666998827947,-0.03359437348676986,chr10,110135563,110135564,+,0.2938338567316644,distal pA,siELAVL1_DMSO,-0.06718874697353971
ADGRG6,ENSG00000112414.15,PAS18361_AATAAA_0.3,0.8358506632946083,NA,0.2295195828062333,1,0.6318802795899475,0.8664791512275902,0.8788209122428586,0.8971977946136708,0.018376882370812142,chr6,142446254,142446255,+,0.8880093534282647,distal pA,siELAVL1_DMSO,0.03675376474162438
ADGRL2,ENSG00000117114.21,PAS1054_AATAAA_0.3,0.6058978620608264,NA,1.0301666626658061,1,0.3101195266217126,0.6536697418201755,0.5039837631874093,0.4300846595181018,-0.07389910366930752,chr1,81992421,81992422,+,0.4670342113527556,distal pA,siELAVL1_DMSO,-0.14779820733861504
ADIPOR2,ENSG00000006831.10,PAS32053_AATAAA_0.25,0.24286404250211835,NA,3.6980429839477438,1,0.05447632796682737,0.2858317505852518,0.7857307307756427,0.7264699474199924,-0.059260783355650326,chr12,1788670,1788671,+,0.7561003390978176,distal pA,siELAVL1_DMSO,-0.11852156671130074
ADK,ENSG00000156110.15,PAS27418_AATAAA_0.45,0.8630625108865002,NA,0.10031928431544657,1,0.7514468163313839,0.9089570340732259,0.12565563349564474,0.1348996836513672,0.009244050155722466,chr10,74709022,74709023,+,0.13027765857350598,distal pA,siELAVL1_DMSO,-0.014143504649619693
ADM2,ENSG00000128165.9,PAS51218_AATAAA_0.4,0.6542832393422638,NA,0.8245700978887953,1,0.36384735600788654,0.7001564395074921,0.8585230591781684,0.9059892818179685,0.04746622263980005,chr22,50486434,50486435,+,0.8822561704980685,distal pA,siELAVL1_DMSO,0.09493244527960021
