"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"AFTPH","ENSG00000119844","PAS5733_AATAAA_0.2",0.268882551200701,NA,4.0280284310993,1,0.0447502086109061,0.152099685576737,0.232802280070058,0.171181606186013,-0.0616206738840449,"chr2",64593001,64593002,"+",0.201991943128036,0,"MIXED","distal pA"
"ALDH16A1","ENSG00000161618","PAS47107_AATAAA_0.25",0.639787861729099,NA,0.516018421054468,1,0.472545069803422,0.679953497771252,0.352629504443241,0.301443168889465,-0.0511863355537754,"chr19",49471046,49471047,"+",0.327036336666353,0,"MIXED","distal pA"
"ALDH3A2","ENSG00000072210","PAS42429_APA_0.25",0.185707960040419,NA,1.013828602991,1,0.313987368149312,0.53595685447659,0.394097072001615,0.44869082771479,0.0545937557131752,"chr17",19677594,19677595,"+",0.421393949858202,0,"MIXED","distal pA"
"API5","ENSG00000166181","PAS29757_AATAAA_0.05",0.805631727255879,NA,0.162841580179702,1,0.686553704409407,0.831084143328437,0.917222795590456,0.907414062735661,-0.00980873285479489,"chr11",43344528,43344529,"+",0.912318429163058,0,"MIXED","distal pA"
"ARL6IP5","ENSG00000144746","PAS9794_AATAAA_0.15",0.327505564519768,NA,0.89410185401357,1,0.344368159708605,0.567807022081168,0.30018647514562,0.333891459689375,0.0337049845437555,"chr3",69106065,69106066,"+",0.317038967417497,0,"MIXED","distal pA"
"ATRIP","ENSG00000164053","PAS9579_AATAAA_0.25",0.575450479173961,NA,0.711521283681122,1,0.398939244739998,0.620838367197602,0.733171187183114,0.672266053165585,-0.0609051340175294,"chr3",48467643,48467644,"+",0.70271862017435,0,"MIXED","distal pA"
"BIVM","ENSG00000134897","PAS35719_AATAAA_0.35",0.892026587603756,NA,0.0558274279194393,1,0.813216736081206,0.90838170318345,0.788309797449815,0.805279425110365,0.0169696276605504,"chr13",102841530,102841531,"+",0.79679461128009,0,"MIXED","distal pA"
"BRSK2","ENSG00000174672","PAS29392_AATAAA_0.35",0.908517157428728,NA,0.0412088911383535,1,0.839135241787474,0.921920366981088,0.212000579751929,0.230305548142115,0.0183049683901862,"chr11",1462681,1462682,"+",0.221153063947022,0,"MIXED","distal pA"
"C5orf24","ENSG00000181904","PAS15417_AATAAA_0.2",0.00751962803789013,0.925197592553837,1.32236214270688,1,0.250168559565544,0.464451659595848,0.630407363043195,0.685489173432161,0.0550818103889662,"chr5",134859733,134859734,"+",0.657948268237678,0,"MIXED","distal pA"
"CALR","ENSG00000179218","PAS46327_ATTAAA_0",0.021940514517282,0,7.98360030838376,1,0.00472029753349059,0.0285836961615328,0.858417067787231,0.896699289200422,0.0382822214131917,"chr19",12944488,12944489,"+",0.877558178493826,0,"MIXED","distal pA"
