gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,sig_PAS_count,UTR_type,pA_type,condition
AASDHPPT,ENSG00000149313,PAS30468_AATAAA_0.3,0.029403480453106923,0,7.303992453848423,1,0.006880156500738998,0.03813992991477227,0.4923572252585613,0.6158750699149106,0.1235178446563493,chr11,106098692,106098693,+,0.554116147586736,2,TUTR,distal pA,GP2D
ABCB8,ENSG00000197150,PAS21132_AATAAA_0.2,0.03697850243858087,0.02846819592984066,7.102500195806215,1,0.007697650346818758,0.04170359589586551,0.176310692604846,0.33381542914762874,0.15750473654278274,chr7,151047779,151047780,+,0.25506306087623737,2,TUTR,distal pA,GP2D
ABCC3,ENSG00000108846,PAS43063_None_0.1,8.660375667021921e-24,3.0121697505074547e-25,110.36656002309974,1,8.144748470122131e-26,4.959744580880872e-23,0.5022343111465639,0.06293428698042756,-0.43930002416613634,chr17,50667924,50667925,+,0.28258429906349575,3,ALE,distal pA,GP2D
ABHD13,ENSG00000139826,PAS35732_AATAAA_0.35,0.003972635103371189,0,11.877973463438195,1,5.680171244293893e-4,0.005400375143189331,0.4844437118051543,0.8348285317131281,0.3503848199079738,chr13,108230907,108230908,+,0.6596361217591412,2,TUTR,distal pA,GP2D
ABI2,ENSG00000138443,PAS6853_AATAAA_0.2,5.720405644570247e-5,0,21.193218195033975,1,4.152311992002631e-6,8.719139267344835e-5,0.47180143538079,0.7865791509912544,0.3147777156104644,chr2,203432167,203432168,+,0.6291902931860223,2,TUTR,distal pA,GP2D
ACP1,ENSG00000143727,PAS5154_AATAAA_0.15,2.0022202235854068e-6,0,28.48549821643792,1,9.440292720861117e-8,3.2205413178534325e-6,0.3830131948315604,0.5746423334912556,0.1916291386596952,chr2,278279,278280,+,0.478827764161408,2,TUTR,distal pA,GP2D
ACSL5,ENSG00000197142,PAS27843_AATAAA_0.1,4.596824471590486e-9,0,41.67344577076392,1,1.0786408299565393e-10,7.549865901172811e-9,0.592255020892476,0.8542841771505417,0.2620291562580658,chr10,112428374,112428375,+,0.7232695990215088,2,TUTR,distal pA,GP2D
ADO,ENSG00000181915,PAS27252_AATAAA_0.25,1.0444298505852988e-4,0,19.869489900204822,1,8.29130714719031e-6,1.5952579738646254e-4,0.3765565284155432,0.7059156073887528,0.3293590789732096,chr10,62808470,62808471,+,0.541236067902148,2,TUTR,distal pA,GP2D
AGO1,ENSG00000092847,PAS620_ATTAAA_0.2,1.2814678787271556e-6,0.0011380000919909282,15.632347703146252,1,7.692730885004465e-5,0.0010695179160784176,0.15986369857762742,0.3458062611538723,0.1859425625762449,chr1,35929608,35929609,+,0.2528349798657499,3,TUTR,distal pA,GP2D
AGPAT5,ENSG00000155189,PAS22525_AATAAA_0.2,2.0609971071926538e-10,0.005304787023472864,12.19908806175863,1,4.7812883040512e-4,0.004692289303387556,0.4355895902653802,0.6015798648024632,0.16599027453708298,chr8,6759662,6759663,+,0.5185847275339217,4,TUTR,distal pA,GP2D
AIF1L,ENSG00000126878,PAS25648_AATAAA_0.2,7.698050922926174e-4,0,15.534057432345437,1,8.103211497817025e-5,0.0011214660549081084,0.6148405810915332,0.8720838610869331,0.2572432799954,chr9,131123142,131123143,+,0.7434622210892332,2,TUTR,distal pA,GP2D
AIMP1,ENSG00000164022,PAS13116_AATAAA_0.2,0.0011883409431921433,0.0012467060947305888,14.15274071180238,1,1.6855138320206317e-4,0.0020284459446817463,0.10865251928933868,0.24038333316020064,0.13173081387086194,chr4,106349221,106349222,+,0.17451792622476966,2,MIXED,distal pA,GP2D
ALG13,ENSG00000101901,PAS52279_AATAAA_0.3,0.03848443085340028,0.013807646114938598,8.409080311038224,1,0.00373351483765774,0.023781630338825112,0.39083314605050434,0.6898706625814025,0.29903751653089816,chrX,111760643,111760644,+,0.5403519043159535,2,ALE,distal pA,GP2D
ANXA4,ENSG00000196975,PAS5786_APA_0.25,2.71252480052505e-4,0,17.836201234220425,1,2.4075881574352705e-5,3.994825091199477e-4,0.3816458712179924,0.5630835862973892,0.1814377150793968,chr2,69826360,69826361,+,0.4723647287576908,2,TUTR,distal pA,GP2D
AP2A2,ENSG00000183020,PAS29386_AATAAA_0.15,6.51567150763707e-4,0,15.90142441752596,1,6.672847794005507e-5,9.493996878877696e-4,0.15910966674241225,0.3636198866523916,0.20451021990997936,chr11,1012238,1012239,+,0.26136477669740193,2,MIXED,distal pA,GP2D
AP5Z1,ENSG00000242802,PAS19983_AATAAA_0.15,9.431658503990695e-6,0,25.150005629995466,1,5.303949881829919e-7,1.4780661405745008e-5,0.10869978093599952,0.46072013853832106,0.3520203576023216,chr7,4794394,4794395,+,0.2847099597371603,2,TUTR,distal pA,GP2D
ARHGAP11A,ENSG00000198826,PAS38254_AATAAA_0.3,5.692826200338028e-4,0.04811646017986043,8.660058018480413,1,0.003252609397026749,0.02144749856328575,0.23390944484343965,0.11772862805538452,-0.11618081678805511,chr15,32637896,32637897,+,0.17581903644941207,2,ALE,distal pA,GP2D
ARHGEF10,ENSG00000104728,PAS22505_AATAAA_0.2,0.009612462002890409,0,9.81311087681479,1,0.0017327216578120438,0.013139985722598307,0.3788847938573474,0.19452273901590236,-0.18436205484144516,chr8,1958639,1958640,+,0.2867037664366249,2,ALE,distal pA,GP2D
ASB1,ENSG00000065802,PAS7198_AATAAA_0.05,3.359815294283525e-4,0,17.3815945696399,1,3.0577266384378574e-5,4.889760431329694e-4,0.5535751868646202,0.8237185561595587,0.27014336929493854,chr2,238452248,238452249,+,0.6886468715120895,2,MIXED,distal pA,GP2D
ASXL1,ENSG00000171456,PAS48945_AATAAA_0.15,1.9258182273806845e-5,1.3284723979965535e-5,21.471044724268268,1,3.592119444582786e-6,7.826193687938058e-5,0.2875218258979132,0.5889138572879262,0.301392031390013,chr20,32439317,32439318,+,0.4382178415929197,2,ALE,distal pA,GP2D
ATG4B,ENSG00000168397,PAS7248_APA_0.2,2.2472619621400534e-13,0,62.95100535600432,1,2.119128604649612e-15,4.032635511879316e-13,0.4082943634345806,0.7094296400287853,0.3011352765942047,chr2,241673853,241673854,+,0.558862001731683,2,MIXED,distal pA,GP2D
ATM,ENSG00000149311,PAS30484_AATAAA_0.4,0.03361119783689803,0,6.99649843004957,1,0.008166931404228733,0.0433771357798124,0.5570291554547975,0.9181835263423772,0.3611543708875799,chr11,108369098,108369099,+,0.7376063408985873,2,ALE,distal pA,GP2D
ATMIN,ENSG00000166454,PAS40931_ATTAAA_0.15,0.03220945880058927,0,7.098855763891152,1,0.007713317765404273,0.04175133202882606,0.240663520450748,0.36859196953618784,0.12792844908543982,chr16,81047235,81047236,+,0.3046277449934679,2,TUTR,distal pA,GP2D
ATP11A,ENSG00000068650,PAS35766_AATAAA_0.2,1.9594209251266e-9,1.7587724090452908e-4,17.85988084273413,1,2.3778140135447844e-5,3.972482424000265e-4,0.47422587467209737,0.1807223177954037,-0.29350355687669366,chr13,112887165,112887166,+,0.32747409623375057,2,ALE,distal pA,GP2D
ATP2A2,ENSG00000174437,PAS33247_AATAAA_0.2,1.0187156511888843e-5,5.684302145778054e-7,27.54224327661177,1,1.5370053828386713e-7,4.939099883269704e-6,0.13154082340419104,0.26104529230891604,0.129504468904725,chr12,110351089,110351090,+,0.19629305785655354,2,MIXED,distal pA,GP2D
ATP6V0A2,ENSG00000185344,PAS33561_AATAAA_0.15,0.0015428985798325327,3.2990508443725674e-4,15.352462229394632,1,8.920459848928455e-5,0.0012152380369138665,0.3056340244548643,0.6886904030315296,0.3830563785766653,chr12,123761751,123761752,+,0.49716221374319697,2,TUTR,distal pA,GP2D
ATP6V1C1,ENSG00000155097,PAS23259_AATAAA_0.4,3.8257301721478335e-4,0.01880577982893464,9.109760249985356,1,0.0025424919439776764,0.017684185828500357,0.03356847799102817,0.1417540735249283,0.10818559553390014,chr8,103072488,103072489,+,0.08766127575797823,2,TUTR,distal pA,GP2D
AUTS2,ENSG00000158321,PAS20519_ATTAAA_0.15,0.004897887763471684,0,11.399387717454374,1,7.346831645207525e-4,0.006608350266394568,0.5734065228616614,0.7388768467604822,0.16547032389882077,chr7,70792867,70792868,+,0.6561416848110717,2,TUTR,distal pA,GP2D
AVL9,ENSG00000105778,PAS20272_AATAAA_0.3,0.01359059140610694,0.026615737774720025,7.223193646922027,1,0.007196755411453901,0.03944612248249193,0.1452176316786085,0.3037749290826602,0.1585572974040517,chr7,32586163,32586164,+,0.22449628038063435,2,MIXED,distal pA,GP2D
B3GALT6,ENSG00000176022,PAS29_ATTAAA_0.25,1.8221187586305523e-4,1.7737344317425411e-4,16.527054300997406,1,4.796084548988056e-5,7.184688034701787e-4,0.2764976565105818,0.5714277358790383,0.2949300793684565,chr1,1235037,1235038,+,0.42396269619481003,2,TUTR,distal pA,GP2D
BAIAP2,ENSG00000175866,PAS43519_AATAAA_0.15,2.3232725722704613e-8,0,38.20508626217975,1,6.368619989777226e-10,3.6586520214857e-8,0.8374843618982387,0.535550204856988,-0.3019341570412507,chr17,81116223,81116224,+,0.6865172833776134,2,ALE,distal pA,GP2D
BCL7A,ENSG00000110987,PAS33474_AATAAA_0.15,0.002302601048549398,0,13.083399630699772,1,2.979242584745932e-4,0.003191222114302612,0.8439122603486665,0.988744920453184,0.14483266010451756,chr12,122062041,122062042,+,0.9163285904009253,2,TUTR,distal pA,GP2D
