"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ANKHD1","ENSG00000131503","PAS15518_AATAAA_0.2",8.54484130932578e-32,0,144.72537689321,1,2.46604366791622e-33,1.54185982244793e-31,0.217089809374257,0.629792791362421,0.412702981988164,"chr5",140539848,140539849,"+",0.423441300368339,2,"ALE","distal pA"
"ANTXR1","ENSG00000169604","PAS5779_AATAAA_0.1",5.0281846744889e-09,8.98380450109776e-06,20.7402034247434,1,5.25999808992845e-06,2.96430197537806e-05,0.832544140570528,0.640668753951037,-0.191875386619491,"chr2",69249167,69249168,"+",0.736606447260782,2,"ALE","distal pA"
"ARHGEF10","ENSG00000104728","PAS22505_AATAAA_0.2",0.0199525718589689,0,6.57663890298682,1,0.0103325818555428,0.0253423525016023,0.843640168277034,0.675668214533091,-0.167971953743943,"chr8",1958639,1958640,"+",0.759654191405063,2,"ALE","distal pA"
"ARHGEF7","ENSG00000102606","PAS35758_APA_0.25",1.58560241227166e-08,1.15693521224084e-08,33.5986907459974,1,6.77383062578241e-09,6.18959747802362e-08,0.157128408147572,0.0103619546651363,-0.146766453482436,"chr13",111303444,111303445,"+",0.0837451814063541,2,"ALE","distal pA"
"ARL6","ENSG00000113966","PAS9859_ATTAAA_0.25",0.000160813483553222,0.00198543465378116,10.5490667195722,1,0.00116246769231126,0.00381349915752843,0.295994400391749,0.564634282416802,0.268639882025053,"chr3",97801106,97801107,"+",0.430314341404276,2,"ALE","distal pA"
"ASPHD1","ENSG00000174939","PAS40452_AATAAA_0.35",0.0013647576158907,0,12.0230749252869,1,0.000525459419094301,0.00189953796265967,0.166763818778216,0.350460245185441,0.183696426407225,"chr16",29919861,29919862,"+",0.258612031981829,2,"ALE","distal pA"
"ASRGL1","ENSG00000162174","PAS29915_AATAAA_0.25",0.00413983372026976,0,9.77114415966753,1,0.00177272100503615,0.00556045472664015,0.723195620485866,0.871338388692433,0.148142768206567,"chr11",62393409,62393410,"+",0.79726700458915,2,"ALE","distal pA"
"ASXL1","ENSG00000171456","PAS48945_AATAAA_0.15",4.95652885550858e-29,3.40705511599166e-07,29.7218095809221,1,4.98705848958735e-08,4.03255987134098e-07,0.407907425265188,0.531011215321455,0.123103790056267,"chr20",32439317,32439318,"+",0.469459320293321,2,"ALE","distal pA"
"ATAT1","ENSG00000137343","PAS17578_AATAAA_0.4",0.0219147631524411,0,6.38653523521361,1,0.0114989260480597,0.0277192538811869,0.738502613124679,0.882375711075569,0.143873097950891,"chr6",30646818,30646819,"+",0.810439162100124,2,"ALE","distal pA"
"BAIAP2","ENSG00000175866","PAS43519_AATAAA_0.15",3.66829735374958e-76,2.82581624143196e-70,315.143994990857,1,1.65450929287304e-70,3.64934195557177e-68,0.816930069829038,0.292437316239524,-0.524492753589514,"chr17",81116223,81116224,"+",0.554683693034281,2,"ALE","distal pA"
"BCCIP","ENSG00000107949","PAS27994_ATTAAA_0.4",1.46190590016193e-31,2.24357904298339e-26,116.162654600419,1,4.3787022447836e-27,2.02145844038978e-25,0.201855250348594,0.0826511643623067,-0.119204085986287,"chr10",125853520,125853521,"+",0.14225320735545,2,"ALE","distal pA"
"BICD1","ENSG00000151746","PAS32454_AATAAA_0.2",1.78755187454258e-07,2.24644047767835e-07,29.971564829656,1,4.38428679085133e-08,3.57794750901901e-07,0.635861170366607,0.243896517984977,-0.39196465238163,"chr12",32383631,32383632,"+",0.439878844175792,2,"ALE","distal pA"
"BTD","ENSG00000169814","PAS9256_AATAAA_0.25",0.0477565063578315,0,4.84378209960386,1,0.0277459788922453,0.0590595122283657,0.578448907958674,0.806712454840704,0.22826354688203,"chr3",15645816,15645817,"+",0.692580681399689,2,"ALE","distal pA"
