gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,sig_PAS_count,UTR_type,pA_type,condition
ABCB8,ENSG00000197150,PAS21132_AATAAA_0.2,1.0065529337203576e-5,1.184677399579648e-6,25.674385926011382,1,4.041558691791438e-7,7.734655087093787e-6,0.13152023898223753,0.39587955925270624,0.2643593202704687,chr7,151047779,151047780,+,0.2636998991174719,2,TUTR,distal pA,HCT116_p53plus
ABCC3,ENSG00000108846,PAS43063_None_0.1,4.864229299868554e-7,3.859061956733638e-6,24.73360196710564,1,6.582646633983465e-7,1.2102563532099029e-5,0.2201832351556784,0.06399999171951715,-0.15618324343616127,chr17,50667924,50667925,+,0.14209161343759777,2,ALE,distal pA,HCT116_p53plus
ABI2,ENSG00000138443,PAS6853_AATAAA_0.2,5.153993748538488e-6,0,25.546344742138444,1,4.318834502306905e-7,8.152401398387474e-6,0.6832304508582915,0.897311549953971,0.21408109909567952,chr2,203432167,203432168,+,0.7902710004061313,2,TUTR,distal pA,HCT116_p53plus
ACP1,ENSG00000143727,PAS5154_AATAAA_0.15,1.4723971695715862e-4,0,18.41386770170402,1,1.777595773981851e-5,2.223230303048272e-4,0.4749030958872703,0.6717645140515556,0.1968614181642853,chr2,278279,278280,+,0.573333804969413,2,TUTR,distal pA,HCT116_p53plus
ACSL5,ENSG00000197142,PAS27843_AATAAA_0.1,3.6707677534028e-35,0,163.8477882546449,1,1.633101932751588e-37,8.162485400949386e-35,0.46511763467299366,0.824160400470921,0.3590427657979273,chr10,112428374,112428375,+,0.6446390175719573,2,TUTR,distal pA,HCT116_p53plus
ACTR6,ENSG00000075089,PAS33123_AATAAA_0.25,0.02437912108805612,0,7.247595633107721,1,0.007099601175586608,0.03216078510845468,0.6611669653339112,0.7930107732252644,0.1318438078913532,chr12,100224422,100224423,+,0.7270888692795878,2,TUTR,distal pA,HCT116_p53plus
ADO,ENSG00000181915,PAS27252_AATAAA_0.25,1.7637967216562627e-4,0,18.0418050299063,1,2.1610686295252963e-5,2.658488710615392e-4,0.47415152848298026,0.7228076322191465,0.2486561037361662,chr10,62808470,62808471,+,0.5984795803510634,2,TUTR,distal pA,HCT116_p53plus
AEBP2,ENSG00000139154,PAS32287_APA_0.15,0.001917734192873109,0,12.848305810198326,1,3.37784930635486e-4,0.0027361390389711183,0.07669268624622427,0.29338511197528416,0.2166924257290599,chr12,19553268,19553269,+,0.18503889911075422,2,ALE,distal pA,HCT116_p53plus
AGGF1,ENSG00000164252,PAS15004_AATAAA_0.4,8.355472284322719e-4,3.331947255470652e-4,16.205291560851038,1,5.683513670352871e-5,6.126119567205431e-4,0.30813961448248467,0.5514018099892098,0.2432621955067252,chr5,77064090,77064091,+,0.4297707122358473,2,TUTR,distal pA,HCT116_p53plus
AGPAT3,ENSG00000160216,PAS50313_APA_0,0.0026830754624655845,0.0016881667037230142,13.147121423382488,1,2.8796129718713096e-4,0.0023953930517229545,0.12676787274021284,0.2437721240926972,0.11700425135248438,chr21,43987140,43987141,+,0.18526999841645503,2,TUTR,distal pA,HCT116_p53plus
AIF1L,ENSG00000126878,PAS25648_AATAAA_0.2,2.868004194480725e-6,0,26.84544987366644,1,2.2039263779619055e-7,4.568661516222723e-6,0.7403546139159515,0.9138861664804544,0.17353155256450303,chr9,131123142,131123143,+,0.8271203901982029,2,TUTR,distal pA,HCT116_p53plus
AIG1,ENSG00000146416,PAS18368_APA_0.35,4.59548484927177e-6,5.3235685791308914e-5,19.69565743397061,1,9.080748425676252e-6,1.2568687179948825e-4,0.13480034846661498,0.3537288186148739,0.2189284701482589,chr6,143335799,143335800,+,0.24426458354074443,2,ALE,distal pA,HCT116_p53plus
AIMP1,ENSG00000164022,PAS13116_AATAAA_0.2,0.016262801020058285,0.013389548185054225,9.30608496144714,1,0.00228394012014019,0.013155597414309113,0.07351813550392426,0.17406892564186935,0.10055079013794509,chr4,106349221,106349222,+,0.1237935305728968,2,MIXED,distal pA,HCT116_p53plus
AKAP12,ENSG00000131016,PAS18440_AATAAA_0.25,3.3533129907615416e-19,1.5198771534753465e-21,93.01684975354874,1,5.185101633797592e-22,8.638635376308458e-20,0.30294521556558107,0.45994908674619306,0.157003871180612,chr6,151358532,151358533,+,0.38144715115588707,2,TUTR,distal pA,HCT116_p53plus
AKAP13,ENSG00000170776,PAS38954_AATAAA_0.05,8.16322340733696e-4,0,14.733933251074632,1,1.2379799783925397e-4,0.0011924725059534137,0.716714756271298,0.9436224830392672,0.2269077267679691,chr15,85749354,85749355,+,0.8301686196552827,2,TUTR,distal pA,HCT116_p53plus
ALDH5A1,ENSG00000112294,PAS17429_AATAAA_0.15,0.02124842039781307,0,7.5468719574298575,1,0.0060114337990981774,0.028355225137654635,0.7151833990307579,0.900749017089884,0.1855656180591262,chr6,24537205,24537206,+,0.8079662080603209,2,TUTR,distal pA,HCT116_p53plus
ALG13,ENSG00000101901,PAS52279_AATAAA_0.3,1.0937963172165236e-14,9.49240461502848e-17,71.19360565269926,1,3.238359269070383e-17,3.1667868359496238e-15,0.3189815773094109,0.8231280739766523,0.5041464966672414,chrX,111760643,111760644,+,0.5710548256430317,2,ALE,distal pA,HCT116_p53plus
ANTXR1,ENSG00000169604,PAS5779_AATAAA_0.1,2.1834120982338345e-8,6.103365995791231e-10,40.387981886391344,1,2.0821796632759972e-10,7.937574733307794e-9,0.8048273583516551,0.34053502299061805,-0.464292335361037,chr2,69249167,69249168,+,0.5726811906711365,3,ALE,distal pA,HCT116_p53plus
AP2A1,ENSG00000196961,PAS47137_AATAAA_0.2,0.002031651497799502,0,12.716882234335117,1,3.623693874740466e-4,0.002909086784034658,0.5293796146951752,0.2382597483824933,-0.29111986631268194,chr19,49807109,49807110,+,0.3838196815388343,2,ALE,distal pA,HCT116_p53plus
AP2A2,ENSG00000183020,PAS29386_AATAAA_0.15,2.9214004238306292e-9,0,41.45656989844247,1,1.2051884458269936e-10,4.884089512443026e-9,0.1078030466693598,0.32980406692055,0.22200102025119017,chr11,1012238,1012239,+,0.2188035567949549,2,MIXED,distal pA,HCT116_p53plus
AP2B1,ENSG00000006125,PAS42660_AATAAA_0.35,1.3074774075223324e-10,1.3600554234403677e-12,52.35174308709793,1,4.639865519401214e-13,2.6089577160133076e-11,0.8266744521105828,0.9475852967175912,0.1209108446070083,chr17,35726408,35726409,+,0.887129874414087,2,TUTR,distal pA,HCT116_p53plus
AP5M1,ENSG00000053770,PAS36692_AATAAA_0.2,3.0135043014371e-4,0.0027314835216606945,10.95829953343184,1,9.318529223542146e-4,0.006406192148329153,0.1529029464190218,0.40299891677067134,0.25009597035164954,chr14,57298740,57298741,+,0.2779509315948466,2,TUTR,distal pA,HCT116_p53plus
AP5Z1,ENSG00000242802,PAS19983_AATAAA_0.15,8.510387251749543e-8,1.662276060793184e-5,20.59618552033703,1,5.6708993216544005e-6,8.309258530597175e-5,0.0923134256649284,0.3014408858443879,0.2091274601794595,chr7,4794394,4794395,+,0.19687715575465814,3,TUTR,distal pA,HCT116_p53plus
ARHGEF1,ENSG00000076928,PAS46872_ATTAAA_0.4,1.172094134137519e-21,0,100.53807359333996,1,1.1614279590039436e-23,2.147050726953181e-21,0.11041025608300148,0.6332287651175528,0.5228185090345513,chr19,41930139,41930140,+,0.3718195106002771,2,ALE,distal pA,HCT116_p53plus
ARHGEF10,ENSG00000104728,PAS22505_AATAAA_0.2,2.480026307688392e-6,0,27.146849275445675,1,1.8857227334522777e-7,3.963836181921883e-6,0.5163912153249319,0.3101905490893446,-0.2062006662355873,chr8,1958639,1958640,+,0.4132908822071383,2,ALE,distal pA,HCT116_p53plus
ARHGEF40,ENSG00000165801,PAS36369_ATTAAA_0.2,0.02733069760855439,0,6.99949590432152,1,0.008153267244613755,0.03584791086844272,0.912718568754518,0.5956454340418087,-0.31707313471270926,chr14,21089543,21089544,+,0.7541820013981633,2,ALE,distal pA,HCT116_p53plus
ARID2,ENSG00000189079,PAS32497_AATAAA_0.3,0.006233540368537387,0.0023479379074331915,11.238901942131406,1,8.010053083599179e-4,0.005618277877503687,0.14679736196834337,0.32287939708667535,0.17608203511833198,chr12,45908035,45908036,+,0.23483837952750936,2,TUTR,distal pA,HCT116_p53plus
ARIH2,ENSG00000177479,PAS9591_AATAAA_0.35,2.131110141662605e-4,1.6322845304125803e-5,20.631043148354365,1,5.568582412145648e-6,8.177151213482646e-5,0.5690536666801425,0.7353303798585182,0.16627671317837578,chr3,48985535,48985536,+,0.6521920232693303,2,TUTR,distal pA,HCT116_p53plus
ARMC8,ENSG00000114098,PAS10219_APA_0.3,0.010292795646873696,0.04666127973267114,7.0426067902217255,1,0.007959310304248353,0.03520514341390741,0.6785377422774314,0.5319776372716455,-0.14656010500578587,chr3,138296516,138296517,+,0.6052576897745384,2,ALE,distal pA,HCT116_p53plus
ASB1,ENSG00000065802,PAS7198_AATAAA_0.05,0.0067041786551847145,0,10.075952031976158,1,0.001502169858431681,0.009328937984139684,0.79417753905782,0.9200461566854856,0.12586861762766566,chr2,238452248,238452249,+,0.8571118478716528,2,MIXED,distal pA,HCT116_p53plus
ASIC1,ENSG00000110881,PAS32550_AATAAA_0.1,9.097578637280038e-6,0,24.3483109594531,1,8.039720656200963e-7,1.454370378759142e-5,0.8864859825077819,0.9920456444240352,0.1055596619162532,chr12,50083609,50083610,+,0.9392658134659085,2,TUTR,distal pA,HCT116_p53plus
ATF6,ENSG00000118217,PAS1753_AATAAA_0.15,2.1312667098159948e-5,3.414048038462656e-5,19.22025256293682,1,1.1647116361752274e-5,1.5546769070410183e-4,0.24685066654984775,0.5047290164469889,0.2578783498971411,chr1,161964068,161964069,+,0.3757898414984183,2,TUTR,distal pA,HCT116_p53plus
ATF7IP,ENSG00000171681,PAS32241_AATAAA_0.3,8.008489181047132e-5,1.8052036652950205e-5,20.43829646621225,1,6.158500674120727e-6,8.926849258567047e-5,0.5996294789060578,0.807949036229901,0.2083195573238432,chr12,14502927,14502928,+,0.7037892575679794,2,TUTR,distal pA,HCT116_p53plus
ATG10,ENSG00000152348,PAS15065_ATTAAA_0.4,0.04249071223818628,0,6.036299387023746,1,0.01401463127613339,0.05442516520041041,0.6421215752710039,0.8696353855067013,0.2275138102356974,chr5,82254788,82254789,+,0.7558784803888525,2,TUTR,distal pA,HCT116_p53plus
ATG4B,ENSG00000168397,PAS7248_APA_0.2,9.059486220894566e-19,0,86.84697571997822,1,1.172511866809408e-20,1.683302940701379e-18,0.4139366422367505,0.7295521733528988,0.31561553111614826,chr2,241673853,241673854,+,0.5717444077948246,2,MIXED,distal pA,HCT116_p53plus
ATG7,ENSG00000197548,PAS9191_AATAAA_0.45,4.028064108615427e-5,0,21.23024482205108,1,4.0728656305514935e-6,6.22461174227547e-5,0.08200381622742903,0.4422327063293448,0.3602288901019158,chr3,11557662,11557663,+,0.2621182612783869,2,TUTR,distal pA,HCT116_p53plus
ATP11A,ENSG00000068650,PAS35766_AATAAA_0.2,2.4628529706279048e-9,1.197671957360456e-6,25.65333382684525,1,4.0858899738464893e-7,7.795209358561533e-6,0.7779682972974301,0.3642620931916243,-0.4137062041058058,chr13,112887165,112887166,+,0.5711151952445273,2,ALE,distal pA,HCT116_p53plus
ATP6V0A2,ENSG00000185344,PAS33561_AATAAA_0.15,3.348523499979139e-5,2.392983312817291e-6,24.318826127797365,1,8.163726691047058e-7,1.4689265559424004e-5,0.42391266439076514,0.8478254504832646,0.4239127860924995,chr12,123761751,123761752,+,0.6358690574370149,3,TUTR,distal pA,HCT116_p53plus
ATP6V1A,ENSG00000114573,PAS10001_APA_0.2,6.282377843459644e-4,7.600837670108498e-4,13.343610549392906,1,2.593046137406074e-4,0.0022047002260617257,0.21125805546785328,0.10659157464678932,-0.10466648082106396,chr3,113811808,113811809,+,0.1589248150573213,2,TUTR,distal pA,HCT116_p53plus
ATP6V1C1,ENSG00000155097,PAS23260_AATAAA_0.3,6.642108075134098e-5,4.327791295745062e-4,16.47812673781391,1,4.921458655828729e-5,5.439400864898338e-4,0.4174048560208864,0.5806509088268501,0.16324605280596377,chr8,103073048,103073049,+,0.49902788242386825,2,TUTR,distal pA,HCT116_p53plus
BAIAP2,ENSG00000175866,PAS43519_AATAAA_0.15,1.323864449570458e-37,2.824782799454949e-40,178.63283598051066,1,9.63682220966734e-41,6.502445785973037e-38,0.7677757486998575,0.1706131120830754,-0.5971626366167821,chr17,81116223,81116224,+,0.46919443039146647,2,ALE,distal pA,HCT116_p53plus
BICD1,ENSG00000151746,PAS32454_AATAAA_0.2,0.0019054469046689297,2.1153365038922105e-4,15.753212910523075,1,7.216527162924488e-5,7.508637938601848e-4,0.4991366701867047,0.1539339762682863,-0.34520269391841835,chr12,32383631,32383632,+,0.3265353232274955,2,ALE,distal pA,HCT116_p53plus
BLZF1,ENSG00000117475,PAS1824_AATAAA_0.35,0.027490514282641817,0,6.98323029159576,1,0.008227696893490372,0.03608474799403723,0.0497478454137249,0.21982104138488837,0.17007319597116344,chr1,169396042,169396043,+,0.13478444339930662,2,ALE,distal pA,HCT116_p53plus
BMI1,ENSG00000168283,PAS27042_APA_0.3,0.0033513251968406584,0,11.617555683870703,1,6.533220403952264e-4,0.004714749163173037,0.2474132220254207,0.4057904507452095,0.15837722871978877,chr10,22331481,22331482,+,0.3266018363853151,2,TUTR,distal pA,HCT116_p53plus
C2orf49,ENSG00000135974,PAS6111_AATAAA_0.2,0.009462536840550055,0,9.30540619343492,1,0.0022847864484560917,0.013155597414309113,0.6161943915122963,0.8438705883088004,0.22767619679650408,chr2,105348761,105348762,+,0.7300324899105484,2,TUTR,distal pA,HCT116_p53plus
C3orf38,ENSG00000179021,PAS9839_AATAAA_0.35,0.00454932581969583,5.510647897795936e-4,13.947402594973935,1,1.879972295972041e-4,0.0017165240956794788,0.622259519648081,0.8393403986961928,0.2170808790481118,chr3,88157962,88157963,+,0.7307999591721369,2,TUTR,distal pA,HCT116_p53plus
C6orf89,ENSG00000198663,PAS17744_ATTAAA_0.1,2.368582582005858e-9,5.2304539647864354e-11,45.19413866801915,1,1.7843833849534308e-11,8.419669153827467e-10,0.6747507068792356,0.8885012580072873,0.21375055112805172,chr6,36928961,36928962,+,0.7816259824432614,2,TUTR,distal pA,HCT116_p53plus
CALM1,ENSG00000198668,PAS37046_AATAAA_0.25,3.897547057504311e-10,5.27179185955238e-12,49.69231951603251,1,1.7984859185166561e-12,9.42437665565732e-11,0.12889990167481724,0.2855625245529815,0.15666262287816424,chr14,90408265,90408266,+,0.20723121311389936,2,TUTR,distal pA,HCT116_p53plus
CAMTA1,ENSG00000171735,PAS113_AATAAA_0.15,4.125854475860021e-4,3.881505001783585e-4,14.607044990889335,1,1.324185831751043e-4,0.0012628895971364188,0.28133966926852083,0.4598783528126503,0.17853868354412944,chr1,6888198,6888199,+,0.3706090110405856,2,ALE,distal pA,HCT116_p53plus
CAPRIN1,ENSG00000135387,PAS29697_ATTAAA_0.25,4.3643975000035054e-16,1.2335832250536904e-6,28.707708283620377,1,8.416804451630237e-8,1.9089878331890765e-6,0.3145394907278168,0.17705738242074498,-0.13748210830707175,chr11,34100937,34100938,+,0.24579843657428088,2,ALE,distal pA,HCT116_p53plus
