"gene_name","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","internal_to_UTR_shift","is_significant","pA_type","condition"
"AASDHPPT","PAS30468_AATAAA_0.3",0.0341017070603917,0,6.09680335599364,1,0.0135426644556626,0.0477500895537909,0.551641446768053,0.704299790516161,0.152658343748108,"chr11",106098692,106098693,"+",0.627970618642107,2,"TUTR",NA,TRUE,"distal pA","SDMAi_ADMAi"
"ABHD10","PAS9981_AATAAA_0.2",0.0123292647668541,0,8.31918767401976,1,0.00392284593000323,0.0177666680400475,0.778188208887607,0.90806235183987,0.129874142952263,"chr3",111993366,111993367,"+",0.843125280363739,2,"TUTR",NA,TRUE,"distal pA","SDMAi_ADMAi"
"ABI2","PAS6853_AATAAA_0.2",6.39899189275159e-08,0.000118556011293737,16.4450980622065,1,5.00795084999193e-05,0.000445330683112185,0.377745254501078,0.687675163342736,0.309929908841658,"chr2",203432167,203432168,"+",0.532710208921907,2,"TUTR",NA,TRUE,"distal pA","SDMAi_ADMAi"
"ACP1","PAS5154_AATAAA_0.15",2.6708604193836e-09,0,40.8402209055484,1,1.65197842930267e-10,5.14571058771163e-09,0.463494738115288,0.733397499641497,0.269902761526209,"chr2",278279,278280,"+",0.598446118878393,2,"TUTR",NA,TRUE,"distal pA","SDMAi_ADMAi"
"ACSL3","PAS7027_AATAAA_0.35",5.98216256899108e-05,0.0190991647349896,8.2685097565427,1,0.00403386033424103,0.0181650013417769,0.21630099080578,0.351754324536506,0.135453333730726,"chr2",222944621,222944622,"+",0.284027657671143,2,"TUTR",NA,TRUE,"distal pA","SDMAi_ADMAi"
"ADCY7","PAS40571_ATTAAA_0.35",0.00233756138707844,0,11.8582059986354,1,0.000574078201301991,0.00361586193813211,0.926314409979235,0.707141495109397,-0.219172914869837,"chr16",50318131,50318132,"+",0.816727952544316,2,"TUTR",NA,TRUE,"distal pA","SDMAi_ADMAi"
"ADO","PAS27252_AATAAA_0.25",0.000206135544359346,0,17.022620082614,1,3.69371495713946e-05,0.000340926592584189,0.404785564565805,0.753757478937086,0.348971914371282,"chr10",62808470,62808471,"+",0.579271521751445,2,"TUTR",NA,TRUE,"distal pA","SDMAi_ADMAi"
"AFAP1-AS1","PAS12574_AATAAA_0.15",5.39782017208097e-13,9.458815988222e-12,48.126683730889,1,3.99551950603083e-12,1.60014267868644e-10,0.629362046800824,0.945921735868795,0.316559689067971,"chr4",7778924,7778925,"+",0.78764189133481,2,"TUTR",NA,TRUE,"distal pA","SDMAi_ADMAi"
"AIF1L","PAS25648_AATAAA_0.2",0.0018888222346626,0,12.3116965961634,1,0.000450128638786359,0.00292999908914852,0.68681673600835,0.944158373460784,0.257341637452434,"chr9",131123142,131123143,"+",0.815487554734567,2,"TUTR",NA,TRUE,"distal pA","SDMAi_ADMAi"
"AKAP12","PAS18440_AATAAA_0.25",2.03296997094746e-05,1.48667200929784e-05,23.0603252646606,1,1.56997107767399e-06,2.09752194060807e-05,0.271969710219499,0.423997323362684,0.152027613143185,"chr6",151358532,151358533,"+",0.347983516791091,2,"TUTR",NA,TRUE,"distal pA","SDMAi_ADMAi"
