"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type"
"ADIPOR2","ENSG00000006831","PAS32053_AATAAA_0.25",0.872057431927976,NA,0.296719457597646,1,0.585946373010199,0.901941152904232,0.91810082105324,0.92695050884596,0.00884968779272022,"chr12",1788670,1788671,"+",0.9225256649496,0,"TUTR"
"AFAP1L1","ENSG00000157510","PAS15640_ATTAAA_0.35",1,NA,0.0264087771510049,1,0.870906005573046,0.998585490295954,0.197491433031991,0.175304674656667,-0.0221867583753248,"chr5",149341801,149341802,"+",0.186398053844329,0,"TUTR"
"AGGF1","ENSG00000164252","PAS15005_APA_0.25",0.864672307633716,NA,0.124281020720673,1,0.724436974367003,0.951770752934054,0.311350908995905,0.275343863032159,-0.0360070459637462,"chr5",77065209,77065210,"+",0.293347386014032,0,"TUTR"
"AGO4","ENSG00000134698","PAS615_AATAAA_0.35",0.983541808882678,NA,0.0559809498288359,1,0.812964841445105,0.980903141787746,0.33379004637953,0.364107133701402,0.0303170873218712,"chr1",35857886,35857887,"+",0.348948590040466,0,"TUTR"
"AKAP5","ENSG00000179841","PAS36786_AATAAA_0.2",0.967650607701642,NA,0.0524236925230639,1,0.818898289824736,0.983295588572687,0.727791365166622,0.675477781794388,-0.052313583372234,"chr14",64474501,64474502,"+",0.701634573480505,0,"TUTR"
"ALG10","ENSG00000139133","PAS32465_AATAAA_0.35",0.943144037933523,NA,0.0972071862815369,1,0.755207215300446,0.963987585347329,0.491936409936741,0.55852519501573,0.0665887850789892,"chr12",34028298,34028299,"+",0.525230802476235,0,"TUTR"
"ANO5","ENSG00000171714","PAS29597_AATAAA_0.35",1,NA,0.0014470758848546,1,0.969655430407699,1,0.639845968160731,0.64825796213921,0.00841199397847936,"chr11",22283355,22283356,"+",0.64405196514997,0,"TUTR"
"APOOL","ENSG00000155008","PAS52157_AATAAA_0.15",0.967650607701642,NA,0.189336144378103,1,0.663469713976275,0.931830231624486,0.35108340871992,0.375820388812487,0.0247369800925668,"chrX",85093314,85093315,"+",0.363451898766203,0,"TUTR"
"ARG2","ENSG00000081181","PAS36836_AATAAA_0.45",0.786735698343921,NA,0.637628817802806,1,0.424570743096919,0.833459913421499,0.098169985026584,0.148618250304962,0.0504482652783783,"chr14",67651702,67651703,"+",0.123394117665773,0,"TUTR"
"ARHGEF12","ENSG00000196914","PAS30631_ATTAAA_0.3",1,NA,0.000717972310667392,1,0.978623236958006,1,0.663336491012579,0.669150129922789,0.00581363891020981,"chr11",120489027,120489028,"+",0.666243310467684,0,"TUTR"
"ARK2N","ENSG00000152242","PAS45360_AATAAA_0.25",0.8389752234398,NA,0.421141964571461,1,0.516367775507137,0.873645209851395,0.863532243658643,0.81108354043872,-0.0524487032199233,"chr18",46266986,46266987,"+",0.837307892048682,0,"TUTR"
"ARRDC4","ENSG00000140450","PAS39064_AATAAA_0.25",0.933903436835182,NA,0.110570227546475,1,0.73949587152166,0.957652448291544,0.792876401458517,0.741040015302489,-0.0518363861560284,"chr15",97973830,97973831,"+",0.766958208380503,0,"TUTR"
"ATP6V1A","ENSG00000114573","PAS10002_AATAAA_0.15",0.448944642881384,NA,1.07610043124441,1,0.299571556928575,0.765545820755498,0.415643649446719,0.443634490170732,0.0279908407240129,"chr3",113812053,113812054,"+",0.429639069808726,0,"TUTR"
"B3GLCT","ENSG00000187676","PAS35410_AATAAA_0.35",0.934880232869686,NA,0.108475234967045,1,0.74188678142852,0.957989697812781,0.0809579491639398,0.107550853250985,0.0265929040870451,"chr13",31332271,31332272,"+",0.0942544012074624,0,"TUTR"
"BACE2","ENSG00000182240","PAS50268_AATAAA_0.45",0.876553819135457,NA,0.696682213194435,1,0.403900769400458,0.824419496499387,0.232461721172339,0.200917520132553,-0.0315442010397858,"chr21",41276582,41276583,"+",0.216689620652446,0,"TUTR"
"BAG3","ENSG00000151929","PAS27916_AATAAA_0.2",0.551998554316536,NA,1.91939765996722,1,0.165923077142462,0.637067965387001,0.8940613429259,0.941029287685461,0.0469679447595616,"chr10",119677814,119677815,"+",0.91754531530568,0,"TUTR"
"BAG4","ENSG00000156735","PAS22800_AATAAA_0.15",0.967539542556228,NA,0.0537337180147688,1,0.816689205339274,0.982739490861737,0.913824256293057,0.928812703148016,0.0149884468549597,"chr8",38213298,38213299,"+",0.921318479720536,0,"TUTR"
