"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ABLIM3","ENSG00000173210","PAS15637_APA_0.15",8.99115383823052e-08,0,31.7241910040532,1,1.77694993015917e-08,1.38762270320767e-07,0.719982474156375,0.280454052080213,-0.439528422076162,"chr5",149260435,149260436,"+",0.500218263118294,2,"MIXED","distal pA"
"ADARB1","ENSG00000197381","PAS50348_AATAAA_0.15",7.69162643726763e-08,5.363849646382e-08,30.6400424297171,1,3.10616618575494e-08,2.33865124936172e-07,0.821403962523012,0.594816580370181,-0.22658738215283,"chr21",45226558,45226559,"+",0.708110271446596,2,"MIXED","distal pA"
"ADGRL2","ENSG00000117114","PAS1054_AATAAA_0.3",0.0166725150110515,0,6.92414389537134,1,0.00850396919498604,0.0208404379440774,0.505073664419138,0.325887423122593,-0.179186241296545,"chr1",81992421,81992422,"+",0.415480543770865,2,"MIXED","distal pA"
"ALDH3A2","ENSG00000072210","PAS42429_APA_0.25",2.36769478937804e-05,1.23556092096644e-05,20.1513312738389,1,7.15504312417648e-06,3.68000195711355e-05,0.317829473733419,0.150793817532262,-0.167035656201158,"chr17",19677594,19677595,"+",0.23431164563284,2,"MIXED","distal pA"
"APH1B","ENSG00000138613","PAS38652_AATAAA_0.1",1.63913716115086e-09,0,39.9765926923453,1,2.57024466097634e-10,2.65272980236732e-09,0.535811135800251,0.0972648974826897,-0.438546238317561,"chr15",63309117,63309118,"+",0.31653801664147,2,"MIXED","distal pA"
"ARFGEF2","ENSG00000124198","PAS49180_AATAAA_0.2",4.19706623807218e-05,0,19.1378790466101,1,1.21607303821066e-05,5.97306462885823e-05,0.870674112385577,0.593503720841455,-0.277170391544122,"chr20",49036691,49036692,"+",0.732088916613516,2,"MIXED","distal pA"
"ARL4A","ENSG00000122644","PAS20096_AATAAA_0.3",1.00801806125681e-05,0.00107576113960192,11.7060702034187,1,0.000622965425221152,0.00207321098655231,0.224627113831679,0.0429636331950342,-0.181663480636645,"chr7",12690724,12690725,"+",0.133795373513356,3,"MIXED","distal pA"
"ASB1","ENSG00000065802","PAS7198_AATAAA_0.05",4.95739289996601e-39,0,178.506887592317,1,1.02667900295154e-40,9.48719843994086e-39,0.689955104931721,0.336360497954127,-0.353594606977594,"chr2",238452248,238452249,"+",0.513157801442924,2,"MIXED","distal pA"
"ATG4B","ENSG00000168397","PAS7248_APA_0.2",1.68676869506049e-08,0,35.1875845931877,1,2.99426395572867e-09,2.65367600321964e-08,0.324396687403413,0.0989327658474972,-0.225463921555916,"chr2",241673853,241673854,"+",0.211664726625455,2,"MIXED","distal pA"
"BIVM","ENSG00000134897","PAS35719_AATAAA_0.35",3.56433715873432e-09,0,38.3640939551597,1,5.87025942316479e-10,5.7954177966159e-09,0.904575553472355,0.575842233461747,-0.328733320010608,"chr13",102841530,102841531,"+",0.740208893467051,2,"MIXED","distal pA"
"CAST","ENSG00000153113","PAS15149_ATTAAA_0.25",5.5252087877258e-20,5.30885357397548e-22,96.7958260654641,1,7.68579590394083e-23,2.43782189987469e-21,0.441617975351322,0.158628382914463,-0.28298959243686,"chr5",96774678,96774679,"+",0.300123179132893,2,"MIXED","distal pA"
"CDC42SE2","ENSG00000158985","PAS15351_AATAAA_0.1",3.44976830637033e-07,0,28.9813647712292,1,7.30779321704655e-08,5.19186682631893e-07,0.886265229385626,0.551438198945702,-0.334827030439924,"chr5",131394664,131394665,"+",0.718851714165664,2,"MIXED","distal pA"
"CDIN1","ENSG00000186073","PAS38275_AATAAA_0.15",0.00372230150786731,0,9.93316036390297,1,0.0016232758646735,0.00484605357747994,0.964455135252529,0.790579660164783,-0.173875475087746,"chr15",36810245,36810246,"+",0.877517397708656,2,"MIXED","distal pA"
"CDK16","ENSG00000102225","PAS51923_ATTAAA_0.35",0.00164421356345622,0,11.5908445055547,1,0.000662773074490039,0.00219181779284052,0.577855762304125,0.430383492554584,-0.147472269749542,"chrX",47229992,47229993,"+",0.504119627429354,2,"MIXED","distal pA"
"CDV3","ENSG00000091527","PAS10174_AATAAA_0.2",1.67046621565996e-19,1.24646842736119e-17,75.5244479061439,1,3.60910384884857e-18,7.9913400078099e-17,0.381919690261178,0.202749698116064,-0.179169992145115,"chr3",133590259,133590260,"+",0.292334694188621,2,"MIXED","distal pA"
"CEP350","ENSG00000135837","PAS1918_AATAAA_0.2",2.94189060176175e-08,0,34.0305400068851,1,5.4253801038407e-09,4.57706595370273e-08,0.56926418955374,0.227239483178166,-0.342024706375574,"chr1",180114872,180114873,"+",0.398251836365953,2,"MIXED","distal pA"
"CEP43","ENSG00000213066","PAS18532_AATAAA_0.1",6.46114043580012e-07,0,27.6975909517084,1,1.41839236785908e-07,9.65161345650207e-07,0.491629979174563,0.122437905344251,-0.369192073830313,"chr6",167042407,167042408,"+",0.307033942259407,2,"MIXED","distal pA"
"CEP97","ENSG00000182504","PAS9913_AATAAA_0.15",0.000892550331506006,0,12.8354163424335,1,0.00034011977129578,0.00120357420217789,0.883991126391509,0.589672828562628,-0.294318297828882,"chr3",101770560,101770561,"+",0.736831977477069,2,"MIXED","distal pA"
"CLIC4","ENSG00000169504","PAS396_AATAAA_0.35",2.49910568041173e-63,1.68331909974266e-58,263.888890620412,1,2.4369945152093e-59,5.36177475798669e-57,0.860674827441394,0.469613416065717,-0.391061411375677,"chr1",24844316,24844317,"+",0.665144121753555,2,"MIXED","distal pA"
"CTNND1","ENSG00000198561","PAS29864_ATTAAA_0.1",0.000152505727986212,0,16.4655632803233,1,4.95418015765859e-05,0.000212805297765058,0.201561951068682,0.0797019494950121,-0.12186000157367,"chr11",57819178,57819179,"+",0.140631950281847,2,"MIXED","distal pA"
"CTTN","ENSG00000085733","PAS30218_AATAAA_0.1",6.77558111142539e-24,0,107.560900055048,1,3.35438039244137e-25,1.2203429558958e-23,0.910479301690049,0.632924664705615,-0.277554636984434,"chr11",70436573,70436574,"+",0.771701983197832,2,"MIXED","distal pA"
"DARS2","ENSG00000117593","PAS1863_AATAAA_0.45",0.000692475265549142,0,13.3570078248667,1,0.000257458752575901,0.000939609207334235,0.67395072153558,0.390485588367845,-0.283465133167735,"chr1",173858419,173858420,"+",0.532218154951713,2,"MIXED","distal pA"
"DAZAP1","ENSG00000071626","PAS46037_AATAAA_0.2",1.4170843016312e-13,0,59.1339148620555,1,1.47298506303677e-14,2.38516892041503e-13,0.619062123965695,0.405477312613563,-0.213584811352132,"chr19",1435680,1435681,"+",0.512269718289629,2,"MIXED","distal pA"
"DCAF11","ENSG00000100897","PAS36417_AATAAA_0.05",0.0203835955511674,0,6.53412622963583,1,0.0105824192629429,0.0252032497257134,0.191733544276334,0.0871083661875953,-0.104625178088738,"chr14",24125240,24125241,"+",0.139420955231965,2,"MIXED","distal pA"
"DENND3","ENSG00000105339","PAS23509_AATAAA_0.25",1.43321073401665e-22,1.37276310930153e-24,105.850936428087,1,7.94957098404199e-25,2.84726107002083e-23,0.52517126452204,0.0839910684135337,-0.441180196108507,"chr8",141195798,141195799,"+",0.304581166467787,2,"MIXED","distal pA"
"DHDDS","ENSG00000117682","PAS437_APA_0.3",0.00420941866442856,0,9.68302426847765,1,0.00185978260519132,0.00546732697572786,0.685022745397484,0.375013738581309,-0.310009006816174,"chr1",26471292,26471293,"+",0.530018241989397,2,"MIXED","distal pA"
"DUSP22","ENSG00000112679","PAS17247_AATAAA_0.2",0.000686871453386202,0,13.3742374444751,1,0.000255104328742844,0.00093199818152466,0.844630837875688,0.606899117259666,-0.237731720616023,"chr6",351352,351353,"+",0.725764977567677,2,"MIXED","distal pA"
"DYNC1I2","ENSG00000077380","PAS6540_AATAAA_0.3",6.4290585739626e-10,7.13392213873143e-05,16.8101374044111,1,4.1312022483857e-05,0.000180639098942821,0.425193471957212,0.216852642467147,-0.208340829490066,"chr2",171748408,171748409,"+",0.32102305721218,3,"MIXED","distal pA"
"EPN2","ENSG00000072134","PAS42419_APA_0.05",0.000255152362565462,0,15.418124487976,1,8.6157957536939e-05,0.000351555916814693,0.9215747299067,0.766052203800587,-0.155522526106113,"chr17",19336713,19336714,"+",0.843813466853643,2,"MIXED","distal pA"
"EPS8L2","ENSG00000177106","PAS29371_ATTAAA_0.15",0.00651720896827832,0,8.80654700864488,1,0.00300151537296297,0.00834249139455796,0.672419753745256,0.559795008706305,-0.11262474503895,"chr11",727722,727723,"+",0.616107381225781,2,"MIXED","distal pA"
"FAM200B","ENSG00000237765","PAS12606_AATAAA_0.25",0.000230817575075567,0,15.6231251426066,1,7.73034008832963e-05,0.000319756024960719,0.357249852397414,0.0247934598316791,-0.332456392565735,"chr4",15690444,15690445,"+",0.191021656114546,2,"MIXED","distal pA"
"FAM50B","ENSG00000145945","PAS17284_AATAAA_0.2",0.00964386491688235,0,8.02386252239893,1,0.00461650101642475,0.0122584905342267,0.584403304737361,0.243918661504723,-0.340484643232638,"chr6",3851315,3851316,"+",0.414160983121042,2,"MIXED","distal pA"
"FOSL2","ENSG00000075426","PAS5383_AATAAA_0.2",6.76796933226372e-22,5.25079194891352e-08,32.8150608819124,1,1.01356509940895e-08,8.20141613713219e-08,0.286629702366898,0.107693168415675,-0.178936533951223,"chr2",28417309,28417310,"+",0.197161435391286,3,"MIXED","distal pA"
"GPC1","ENSG00000063660","PAS7209_AATAAA_0.2",0.0230276614225459,0,6.29686053260707,1,0.0120951996781522,0.0283626396107071,0.897233193358856,0.761711324261099,-0.135521869097757,"chr2",240468074,240468075,"+",0.829472258809977,2,"MIXED","distal pA"
"HADH","ENSG00000138796","PAS13130_APA_0.15",3.7193957236936e-16,0,71.2824143287412,1,3.09582839329132e-17,6.40466826259866e-16,0.370821667898895,0.058627349755136,-0.312194318143759,"chr4",108035168,108035169,"+",0.214724508827016,2,"MIXED","distal pA"
"HIP1R","ENSG00000130787","PAS33515_AATAAA_0.25",0.00156511089397379,0,11.6934677454797,1,0.000627198978053249,0.00208498931432159,0.741363528271908,0.563933414188969,-0.17743011408294,"chr12",122862959,122862960,"+",0.652648471230439,2,"MIXED","distal pA"
"KIAA1217","ENSG00000120549","PAS27054_AATAAA_0.05",0.00363848816591834,0.000931660881104501,11.9738690457299,1,0.000539518017144539,0.00181997060979325,0.449343342458507,0.169252059528198,-0.280091282930309,"chr10",24547672,24547673,"+",0.309297700993352,2,"MIXED","distal pA"
"KIF1B","ENSG00000054523","PAS168_AATAAA_0.25",3.22835298384026e-13,4.32859551751249e-07,26.5967442681304,1,2.50665807483564e-07,1.64355664973022e-06,0.727610686970922,0.438023063046061,-0.289587623924861,"chr1",10381598,10381599,"+",0.582816875008492,2,"MIXED","distal pA"
"KNL1","ENSG00000137812","PAS38334_ATTAAA_0.25",1.5971462439382e-06,0,25.8489669051626,1,3.69202248105636e-07,2.37141443975543e-06,0.905753249304174,0.444466602565971,-0.461286646738203,"chr15",40664338,40664339,"+",0.675109925935073,2,"MIXED","distal pA"
"MAPK8","ENSG00000107643","PAS27206_AATAAA_0.35",1.9991705485521e-07,5.72259117150391e-06,22.9566555197816,1,1.65695539245912e-06,9.49837001442343e-06,0.27307786966656,0.0903615187271738,-0.182716350939387,"chr10",48439356,48439357,"+",0.181719694196867,2,"MIXED","distal pA"
"MRPL42","ENSG00000198015","PAS33067_APA_0.15",4.28582744699762e-08,0.00597571870273951,9.81573882630255,1,0.0017302475454875,0.00513004518246036,0.382858319477996,0.278772466707471,-0.104085852770524,"chr12",93502654,93502655,"+",0.330815393092733,2,"MIXED","distal pA"
"MSH5-SAPCD1","ENSG00000255152","PAS17620_AATAAA_0.25",0.0200533798189687,0,6.56532265936585,1,0.0103984882729892,0.0248206381870053,0.548308608723402,0.384751576598446,-0.163557032124956,"chr6",31764844,31764845,"+",0.466530092660924,2,"MIXED","distal pA"
"NCOA1","ENSG00000084676","PAS5283_AATAAA_0.25",0.00161378213125909,0,11.6307731483458,1,0.000648695854734916,0.00215057958442494,0.539053643972251,0.273921343574243,-0.265132300398008,"chr2",24770524,24770525,"+",0.406487493773247,2,"MIXED","distal pA"
"NDFIP2","ENSG00000102471","PAS35633_AATAAA_0.15",1.85231673679261e-17,5.47790295562368e-09,36.4255458393291,1,1.58610681239755e-09,1.46958733466861e-08,0.52791080754292,0.210603833732512,-0.317306973810409,"chr13",79554022,79554023,"+",0.369257320637716,2,"MIXED","distal pA"
"NFYC","ENSG00000066136","PAS705_AATAAA_0.2",0.00364567438206689,0,9.97562218809003,1,0.0015862638435581,0.00474373314683038,0.523055612906473,0.354995419281091,-0.168060193625383,"chr1",40771600,40771601,"+",0.439025516093782,2,"MIXED","distal pA"
"NLK","ENSG00000087095","PAS42472_ATTAAA_0.35",0.00312393355689011,0,10.2897882872585,1,0.00133768436923243,0.0040957903781601,0.774842771138906,0.576605462052398,-0.198237309086508,"chr17",28196375,28196376,"+",0.675724116595652,2,"MIXED","distal pA"
"NOL12","ENSG00000273899","PAS50964_ATTAAA_0.1",0.0282713607683116,0,5.88017960253399,1,0.0153122596981822,0.0345504202631455,0.853448563337959,0.667983158668493,-0.185465404669467,"chr22",37693470,37693471,"+",0.760715861003226,2,"MIXED","distal pA"
"PANX2","ENSG00000073150","PAS51210_AATAAA_0.15",0.00724959377087044,0,8.59223491483954,1,0.00337599425897931,0.0092644340573574,0.486128383526654,0.250916148141779,-0.235212235384876,"chr22",50180289,50180290,"+",0.368522265834217,2,"MIXED","distal pA"
"PCGF3","ENSG00000185619","PAS12449_AATAAA_0.25",4.63058846637528e-10,2.03314778695726e-11,46.0085486830212,1,1.17738104585928e-11,1.42654533886848e-10,0.553571428571427,0.117021276595745,-0.436550151975681,"chr4",770086,770087,"+",0.335296352583586,2,"MIXED","distal pA"
"POU2F1","ENSG00000143190","PAS1798_ATTAAA_0.15",0.000396229829791421,6.19103841358979e-05,17.0792518824928,1,3.58518516416166e-05,0.000158919896259817,0.335055917731947,0.180689982328747,-0.1543659354032,"chr1",167427335,167427336,"+",0.257872950030347,2,"MIXED","distal pA"
"PPP6R2","ENSG00000100239","PAS51216_AATAAA_0.3",0.0104333591362485,0,7.86883154962197,1,0.00502941414773004,0.0131894072615635,0.359850225198913,0.186922562716864,-0.172927662482049,"chr22",50445086,50445087,"+",0.273386393957888,2,"MIXED","distal pA"
"PPP6R3","ENSG00000110075","PAS30173_AATAAA_0.2",1.94670952204947e-05,1.24120347304254e-06,24.5641338106448,1,7.18771873146529e-07,4.41451132297194e-06,0.783693869676602,0.570237380813098,-0.213456488863504,"chr11",68615330,68615331,"+",0.67696562524485,2,"MIXED","distal pA"
"PRRC1","ENSG00000164244","PAS15322_AATAAA_0.3",9.03656068657542e-10,0,41.1874028386319,1,1.3831106691882e-10,1.47926674271741e-09,0.655146511123302,0.366553320480192,-0.28859319064311,"chr5",127555079,127555080,"+",0.510849915801747,2,"MIXED","distal pA"
