"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type"
"ABCE1","ENSG00000164163","PAS13298_AATAAA_0.3",0.657622227696558,NA,0.4713835067937,1,0.492351378367554,0.695309303935349,0.144524551075748,0.17379467154893,0.0292701204731817,"chr4",145129520,145129521,"+",0.159159611312339,0,"TUTR"
"ABHD2","ENSG00000140526","PAS38967_AATAAA_0.05",0.53161638287701,NA,0.41945280152413,1,0.517210211999879,0.715189710497728,0.633829330313283,0.660857812178477,0.0270284818651942,"chr15",89202353,89202354,"+",0.64734357124588,0,"TUTR"
"AGFG1","ENSG00000173744","PAS7048_AATAAA_0.2",0.631262771471363,NA,1.1678289896131,1,0.279847774107852,0.496108594011577,0.320726447240888,0.25288412357583,-0.0678423236650576,"chr2",227561215,227561216,"+",0.286805285408359,0,"TUTR"
"AKAP9","ENSG00000127914","PAS20635_ATTAAA_0.3",0.245731992546708,NA,2.36072480320581,1,0.1244243669721,0.299716053273973,0.483726445644733,0.436434815820976,-0.0472916298237562,"chr7",91995799,91995800,"+",0.460080630732855,0,"TUTR"
"ALDH1B1","ENSG00000137124","PAS25005_AATAAA_0.25",0.0198737113796397,1,1.31096410975806,1,0.252220172222822,0.467121270909634,0.646298995796627,0.678416395564006,0.0321173997673786,"chr9",38398657,38398658,"+",0.662357695680316,0,"TUTR"
"ANKS1A","ENSG00000064999","PAS17697_AATAAA_0.2",0.691267284589067,NA,0.385792461887604,1,0.534519395934441,0.7283222715531,0.840224783120398,0.876992621938885,0.0367678388184877,"chr6",35091404,35091405,"+",0.858608702529641,0,"TUTR"
"APPL1","ENSG00000157500","PAS9709_AATAAA_0.35",0.141653016095735,NA,0.242172982120792,1,0.622641059005247,0.788132218580991,0.501276421110587,0.472424937109146,-0.0288514840014412,"chr3",57273451,57273452,"+",0.486850679109867,0,"TUTR"
"ARHGAP35","ENSG00000160007","PAS47015_AATAAA_0.45",0.207097329313469,NA,2.33679725552065,1,0.126349089222124,0.30267615217078,0.307106426012221,0.348503219049477,0.0413967930372551,"chr19",47005073,47005074,"+",0.327804822530849,0,"TUTR"
"ARHGEF12","ENSG00000196914","PAS30631_ATTAAA_0.3",0.551205645960715,NA,1.23520856830692,1,0.26639648171473,0.481675030795046,0.654755165034892,0.703535921899453,0.0487807568645604,"chr11",120489027,120489028,"+",0.679145543467173,0,"TUTR"
"ARHGEF5","ENSG00000050327","PAS21086_AATAAA_0.2",0.560112129902365,NA,0.763052954234013,1,0.382374793944347,0.606846835476701,0.79701789421382,0.855917078616424,0.0588991844026046,"chr7",144380630,144380631,"+",0.826467486415122,0,"TUTR"
