"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type","condition"
"ABCB8","ENSG00000197150","PAS21132_AATAAA_0.2",0.00455188653666996,0.0119552663310343,8.77934774559753,1,0.00304660118966507,0.0220222915447852,0.155607929232266,0.327617974564762,0.172010045332497,"chr7",151047779,151047780,"+",0.241612951898514,2,"TUTR","distal pA","PANC0403"
"ABI2","ENSG00000138443","PAS6853_AATAAA_0.2",1.52745845438442e-07,1.47223691719261e-08,34.7484611480709,1,3.75175141999515e-09,1.72129323740052e-07,0.5876538485289,0.871703539713127,0.284049691184227,"chr2",203432167,203432168,"+",0.729678694121013,2,"TUTR","distal pA","PANC0403"
"ACP1","ENSG00000143727","PAS5154_AATAAA_0.15",6.92124223315633e-12,0,54.9848867595301,1,1.21460204779843e-13,1.19305585018313e-11,0.631965350342848,0.835662292242111,0.203696941899264,"chr2",278279,278280,"+",0.733813821292479,2,"TUTR","distal pA","PANC0403"
"ACSL5","ENSG00000197142","PAS27843_AATAAA_0.1",2.57813789904154e-10,0,47.5994302587005,1,5.22836759326612e-12,3.93749646411781e-10,0.668929610127876,0.892494044532654,0.223564434404778,"chr10",112428374,112428375,"+",0.780711827330265,2,"TUTR","distal pA","PANC0403"
"ACVR2B","ENSG00000114739","PAS9431_AATAAA_0.2",0.0395439797552516,0,6.77752773098132,1,0.00923126635586396,0.0509239632289262,0.239326274778941,0.440590541643632,0.201264266864691,"chr3",38493139,38493140,"+",0.339958408211286,2,"TUTR","distal pA","PANC0403"
"AKAP12","ENSG00000131016","PAS18440_AATAAA_0.25",0.00850939677038489,0,10.2617835831052,1,0.00135814312912766,0.0116533219260819,0.457407793233934,0.590404337796675,0.132996544562741,"chr6",151358532,151358533,"+",0.523906065515304,2,"TUTR","distal pA","PANC0403"
"AKAP13","ENSG00000170776","PAS38954_AATAAA_0.05",0.0330144069722801,0,7.18272568929808,1,0.00736087973015223,0.0431409592964277,0.78796557826326,0.946394933997113,0.158429355733854,"chr15",85749354,85749355,"+",0.867180256130186,2,"TUTR","distal pA","PANC0403"
"AMOTL1","ENSG00000166025","PAS30416_AATAAA_0.25",0.00015120105179809,6.68779515281761e-05,19.8171719537131,1,8.52136794975424e-06,0.000169551093140341,0.505233342195803,0.705127636802227,0.199894294606424,"chr11",94876663,94876664,"+",0.605180489499015,2,"TUTR","distal pA","PANC0403"
"ANAPC16","ENSG00000166295","PAS27369_AATAAA_0.25",0.00982244755120368,0.00191299882582016,12.1628969860831,1,0.000487495998599583,0.00521101607470219,0.631611037551597,0.738926734901859,0.107315697350262,"chr10",72233825,72233826,"+",0.685268886226728,2,"TUTR","distal pA","PANC0403"
"ANXA4","ENSG00000196975","PAS5786_APA_0.25",0.000167951702703798,0,18.9278410886686,1,1.35756929581638e-05,0.00025745607483586,0.4518228609158,0.66106981157048,0.20924695065468,"chr2",69826360,69826361,"+",0.55644633624314,2,"TUTR","distal pA","PANC0403"
"AP3M2","ENSG00000070718","PAS22840_AATAAA_0.15",0.000123163968281261,0.000593421651870695,15.6649666447192,1,7.56118291513565e-05,0.00110374585818148,0.283087497939956,0.448818342517886,0.16573084457793,"chr8",42171181,42171182,"+",0.365952920228921,2,"TUTR","distal pA","PANC0403"
"AP5Z1","ENSG00000242802","PAS19983_AATAAA_0.15",2.33573028937689e-11,1.67377857052146e-06,25.5703903642279,1,4.26534687140289e-07,1.27969991191236e-05,0.103659080004577,0.288724926944508,0.18506584693993,"chr7",4794394,4794395,"+",0.196192003474543,3,"TUTR","distal pA","PANC0403"
"APOL6","ENSG00000221963","PAS50945_AATAAA_0.25",0.000610861200811896,0.000323209630879973,17.5863727806909,1,2.74548699204913e-05,0.000469935856805744,0.172502251966191,0.327405187773571,0.15490293580738,"chr22",35668405,35668406,"+",0.249953719869881,2,"TUTR","distal pA","PANC0403"
"ARIH2","ENSG00000177479","PAS9591_AATAAA_0.35",0.00283186134709945,0.00123638956827244,12.9785887642361,1,0.000315073359746925,0.00366570526454038,0.2955421157952,0.448850741690846,0.153308625895646,"chr3",48985535,48985536,"+",0.372196428743023,2,"TUTR","distal pA","PANC0403"
"ASL","ENSG00000126522","PAS20478_AATAAA_0.15",0.000596017591686476,0,16.1411797634364,1,5.87917147087874e-05,0.000893738120000747,0.272686747833184,0.419571609451979,0.146884861618796,"chr7",66093175,66093176,"+",0.346129178642582,2,"TUTR","distal pA","PANC0403"
"ATF6","ENSG00000118217","PAS1753_AATAAA_0.15",0.0105160175527737,0.00534408235991575,11.5406034590733,1,0.000680925343884782,0.00678942066184146,0.300089886020998,0.455437041805677,0.155347155784679,"chr1",161964068,161964069,"+",0.377763463913338,2,"TUTR","distal pA","PANC0403"
"ATP6V1C1","ENSG00000155097","PAS23260_AATAAA_0.3",0.00030099972970025,0.000886045350606169,16.2182233730655,1,5.64484877314399e-05,0.000869254624800985,0.318306967295751,0.454489740077579,0.136182772781828,"chr8",103073048,103073049,"+",0.386398353686665,2,"TUTR","distal pA","PANC0403"
"BNIP3L","ENSG00000104765","PAS22696_ATTAAA_0.3",0.00225004518729755,0,13.2028735145286,1,0.000279520216603809,0.00331545617111087,0.35157505718139,0.452528061189596,0.100953004008206,"chr8",26413119,26413120,"+",0.402051559185493,2,"TUTR","distal pA","PANC0403"
