"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type"
"ABCE1","ENSG00000164163","PAS13298_AATAAA_0.3",0.00439224301174543,0.000767880207585893,12.9600286932546,1,0.000318212303281126,0.00174765357535661,0.0834257061267434,0.149080932094762,0.0656552259680186,"chr4",145129520,145129521,"+",0.116253319110753,0,"TUTR"
"ABRAXAS2","ENSG00000165660","PAS27969_AATAAA_0.2",0.191000086284521,NA,3.07834581002135,1,0.0793411835267,0.187492673323606,0.785337158289769,0.845461832153797,0.0601246738640279,"chr10",124836666,124836667,"+",0.815399495221783,0,"TUTR"
"AGO4","ENSG00000134698","PAS615_AATAAA_0.35",0.927753809270881,NA,0.0236822631462417,1,0.877696133299802,0.935775027603866,0.476004738362336,0.45524138903515,-0.0207633493271857,"chr1",35857886,35857887,"+",0.465623063698743,0,"TUTR"
"ALG10","ENSG00000139133","PAS32465_AATAAA_0.35",0.67218955227138,NA,0.389404826844725,1,0.532612415979623,0.707908618691989,0.307877476587421,0.256859735698254,-0.0510177408891672,"chr12",34028298,34028299,"+",0.282368606142838,0,"TUTR"
"APEX2","ENSG00000169188","PAS52009_AATAAA_0.05",0.00850161773804107,0,8.9412056170022,1,0.00278808639466868,0.0116125946166794,0.0582044816916053,0.11223841572332,0.0540339340317143,"chrX",55009056,55009057,"+",0.0852214487074625,0,"TUTR"
"APOOL","ENSG00000155008","PAS52157_AATAAA_0.15",0.604087166086855,NA,1.26124910581257,1,0.261414784287048,0.445873790361206,0.496484393239557,0.442241884925214,-0.0542425083143426,"chrX",85093314,85093315,"+",0.469363139082386,0,"TUTR"
"ARHGAP35","ENSG00000160007","PAS47015_AATAAA_0.45",0.000327812670598126,0.694652022202031,1.12957372925302,1,0.287866281459109,0.475846902798223,0.462949090481412,0.435293984379404,-0.0276551061020082,"chr19",47005073,47005074,"+",0.449121537430408,0,"TUTR"
"ARHGEF12","ENSG00000196914","PAS30631_ATTAAA_0.3",0.878087826791087,NA,0.339185556422308,1,0.560299711822374,0.729398546266106,0.804858680170598,0.819592735230583,0.014734055059985,"chr11",120489027,120489028,"+",0.81222570770059,0,"TUTR"
"ASXL1","ENSG00000171456","PAS48945_AATAAA_0.15",5.76607459932177e-06,0.00816753974423618,11.1371358762408,1,0.000846164417469638,0.00409636901475992,0.391653683673638,0.466011537833393,0.0743578541597547,"chr20",32439317,32439318,"+",0.428832610753515,0,"TUTR"
"ATM","ENSG00000149311","PAS30484_AATAAA_0.4",0.524152331101773,NA,0.658111964257841,1,0.417227283208442,0.605986513757717,0.835850942394857,0.864624220207168,0.0287732778123111,"chr11",108369098,108369099,"+",0.850237581301013,0,"TUTR"
"ATP6V1A","ENSG00000114573","PAS10002_AATAAA_0.15",0.958207244660493,NA,0.294145121737529,1,0.587576401701852,0.748467741016025,0.515646841063113,0.543311858439271,0.0276650173761581,"chr3",113812053,113812054,"+",0.529479349751192,0,"TUTR"
"ATP8B2","ENSG00000143515","PAS1605_APA_0.25",0.992249212609149,NA,0.000459427664281975,1,0.982899241285581,0.993634295638568,0.831530551766583,0.830863682654481,-0.000666869112101565,"chr1",154351302,154351303,"+",0.831197117210532,0,"TUTR"
