"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ACAD8","ENSG00000151498","PAS30738_AATAAA_0.45",0.734938630192615,NA,0.261563239135285,1,0.609048217036464,0.772003611501483,0.841063288654283,0.867959898200397,0.0268966095461136,"chr11",134265849,134265850,"+",0.85451159342734,0,"iAPA","distal pA"
"ADAMTSL4","ENSG00000143382","PAS1526_ATTAAA_0.25",0.213198033955281,NA,2.68405912366325,1,0.101357076567381,0.253151232168577,0.907814600857311,0.846589751377557,-0.0612248494797542,"chr1",150560931,150560932,"+",0.877202176117434,0,"iAPA","distal pA"
"ATRN","ENSG00000088812","PAS48732_AATAAA_0.25",0.915032176883089,NA,0.0792819839771255,1,0.778272811827934,0.881705240413229,0.700079546242868,0.712236313016006,0.0121567667731382,"chr20",3651112,3651113,"+",0.706157929629437,0,"iAPA","distal pA"
"CCDC66","ENSG00000180376","PAS9701_ATTAAA_0.25",0.857581250457881,NA,0.0809643194095315,1,0.775994823784321,0.880893214513858,0.854247841785405,0.839968563388442,-0.0142792783969625,"chr3",56621757,56621758,"+",0.847108202586923,0,"iAPA","distal pA"
"CEP57","ENSG00000166037","PAS30437_ATTAAA_0.2",0.00299125533102914,0.0494972545982094,8.80756959039718,1,0.00299983361201269,0.0183714137744659,0.258314030607486,0.32618081450876,0.0678667839012737,"chr11",95832690,95832691,"+",0.292247422558123,0,"iAPA","distal pA"
"ENY2","ENSG00000120533","PAS23307_AATAAA_0.2",1.10274804538037e-12,0.0698634249762801,6.53363073397486,1,0.0105853674206485,0.0493553769301046,0.850425126050626,0.819376296021954,-0.0310488300286718,"chr8",109343668,109343669,"+",0.83490071103629,0,"iAPA","distal pA"
"GOLGA4","ENSG00000144674","PAS9405_AATAAA_0.3",0.797147177835107,NA,0.151709404318353,1,0.696907113557305,0.831506775912545,0.706501007883033,0.7233084192004,0.0168074113173668,"chr3",37366744,37366745,"+",0.714904713541716,0,"iAPA","distal pA"
"GPHN","ENSG00000171723","PAS36818_AATAAA_0.35",0.443791153141319,NA,1.16588400426099,1,0.280248583686357,0.4933969885555,0.911276927187037,0.866213106792728,-0.0450638203943086,"chr14",67181797,67181798,"+",0.888745016989882,0,"iAPA","distal pA"
"INTS10","ENSG00000104613","PAS22623_AATAAA_0.4",0.701163693483073,NA,0.332374250066096,1,0.564264376809417,0.740688488598024,0.895759869845875,0.869741711762371,-0.0260181580835039,"chr8",19852062,19852063,"+",0.882750790804123,0,"iAPA","distal pA"
"KATNIP","ENSG00000047578","PAS40418_AATAAA_0.3",0.598580859958097,NA,0.601963885026862,1,0.437829694518347,0.64439887008742,0.824188740251625,0.864187907841595,0.0399991675899702,"chr16",27780364,27780365,"+",0.84418832404661,0,"iAPA","distal pA"
"LRRC69","ENSG00000214954","PAS23122_AATAAA_0.1",0.49798443398309,NA,0.954581424075286,1,0.328555870434134,0.544353948215844,0.123128410036241,0.0747114978837758,-0.0484169121524654,"chr8",91219255,91219256,"+",0.0989199539600085,0,"iAPA","distal pA"
"NUCB2","ENSG00000070081","PAS29557_AATAAA_0.45",0.0103475221130587,1,0.303881314025602,1,0.581459354840203,0.752863627263379,0.595073185566742,0.57274168911335,-0.0223314964533922,"chr11",17331521,17331522,"+",0.583907437340046,0,"iAPA","distal pA"
"PACS1","ENSG00000175115","PAS30087_AATAAA_0.05",0.928783023810244,NA,0.0200063141501232,1,0.887519450743789,0.943404540451704,0.755195086010334,0.749605259581314,-0.00558982642902084,"chr11",66244743,66244744,"+",0.752400172795824,0,"iAPA","distal pA"
"PAPOLA","ENSG00000090060","PAS37098_AATAAA_0.25",0.0920140592018546,NA,6.44076480828517,1,0.0111530618260593,0.0513912381732492,0.760468007525507,0.807628358965047,0.0471603514395398,"chr14",96567108,96567109,"+",0.784048183245277,0,"iAPA","distal pA"
"RAD50","ENSG00000113522","PAS15368_APA_0.25",0.0010339634796845,0.615407720100057,4.91392564948183,1,0.0266410268441583,0.0994441946812525,0.248856223483336,0.186716480630152,-0.062139742853184,"chr5",132642473,132642474,"+",0.217786352056744,0,"iAPA","distal pA"
"RBM5","ENSG00000003756","PAS9624_APA_0.15",0.0520756684878068,NA,7.53105111511559,1,0.00606445147662352,0.0322116225570064,0.83426820840055,0.907243778496643,0.0729755700960933,"chr3",50118956,50118957,"+",0.870755993448597,0,"iAPA","distal pA"
"RPL27","ENSG00000131469","PAS42843_ATTAAA_0.35",0.590186813828173,NA,0.625785368320066,1,0.428905496167998,0.637123090008054,0.892893299099381,0.902076400357572,0.00918310125819022,"chr17",43002951,43002952,"+",0.897484849728476,0,"iAPA","distal pA"
"RPS3A","ENSG00000145425","PAS13321_AATAAA_0.15",0.410743325480578,NA,1.31470833000276,1,0.251543952730349,0.46183622832442,0.879341043933873,0.903441335739315,0.0241002918054417,"chr4",151104638,151104639,"+",0.891391189836594,0,"iAPA","distal pA"
"RSAD1","ENSG00000136444","PAS43052_AATAAA_0.05",0.310091669678536,NA,1.89004205364699,1,0.169197178501532,0.359406520151755,0.759919666935005,0.806034774297488,0.0461151073624825,"chr17",50485973,50485974,"+",0.782977220616247,0,"iAPA","distal pA"
"SLC4A1AP","ENSG00000163798","PAS5369_ATTAAA_0.4",0.755209029521261,NA,0.224050405711296,1,0.635970892466165,0.78965722606601,0.91584221826605,0.929649455114425,0.0138072368483755,"chr2",27694963,27694964,"+",0.922745836690237,0,"iAPA","distal pA"
"SREK1","ENSG00000153914","PAS14893_AATAAA_0.3",0.00964307812289512,1,0.0314679128860007,1,0.859200510176588,0.929353837812549,0.25468675239758,0.258639965042202,0.00395321264462117,"chr5",66180883,66180884,"+",0.256663358719891,0,"iAPA","distal pA"
"ZC3H15","ENSG00000065548","PAS6681_AATAAA_0.25",0.0181603034808165,0.0200895526935538,7.52414526067969,1,0.00608774324047085,0.0322667649787135,0.868726006868343,0.925425386842424,0.0566993799740816,"chr2",186509357,186509358,"+",0.897075696855384,0,"iAPA","distal pA"
"ZMPSTE24","ENSG00000084073","PAS694_ATTAAA_0.15",0.299607599048259,NA,2.83907824877133,1,0.0919969735183954,0.237370049290349,0.822095753078017,0.870428335100283,0.048332582022266,"chr1",40294178,40294179,"+",0.84626204408915,0,"iAPA","distal pA"
"ZNF75A","ENSG00000162086","PAS40166_AATAAA_0.2",0.596184385537227,NA,1.65981101323996,1,0.197628842401146,0.398923344775732,0.242341897928174,0.277367925947939,0.0350260280197642,"chr16",3318573,3318574,"+",0.259854911938056,0,"iAPA","distal pA"
"AKAP10","ENSG00000108599","PAS43956_APA_0.35",0.713766769332274,NA,0.304392672392964,1,0.581141624749395,0.75270077491282,0.916236553876394,0.887041042135413,-0.0291955117409813,"chr17",19904768,19904769,"-",0.901638798005903,0,"iAPA","distal pA"
"BCLAF1","ENSG00000029363","PAS19669_AATAAA_0.2",0.000513379060447999,0.0964468630877942,8.20600881351857,1,0.00417518887825949,0.0239794352088979,0.430330781511843,0.485275672000827,0.0549448904889835,"chr6",136258590,136258591,"-",0.457803226756335,0,"iAPA","distal pA"
"BSCL2","ENSG00000168000","PAS31295_AATAAA_0.2",0.50792133644098,NA,0.916370022926685,1,0.338429894286206,0.553290899716399,0.867846032970469,0.915129144473345,0.0472831115028762,"chr11",62690274,62690275,"-",0.891487588721907,0,"iAPA","distal pA"
