gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand
SEC22A,ENSG00000121542.12,PAS10074_AATAAA_0.3,8.368916643973779e-4,0,13.748227178010893,1,2.0901799649493768e-4,0.001199001709428224,0.84540934838351,0.6581529048334295,-0.18725644355008053,chr3,123272175,123272176,+
SEC22A,ENSG00000121542.12,PAS10075_APA_0.25,8.368916643973779e-4,0,13.748227178010893,1,2.0901799649493768e-4,0.001199001709428224,0.15459065161649,0.34184709516657047,0.18725644355008048,chr3,123274130,123274131,+
PLXNA1,ENSG00000114554.12,PAS10091_None_0.2,7.548711832087988e-16,0,71.166778880719,1,3.282691531289977e-17,1.296300426513542e-15,0.37335833578518923,0.1278444293775281,-0.24551390640766113,chr3,127035578,127035579,+
PLXNA1,ENSG00000114554.12,PAS10092_AATAAA_0.25,7.548711832087988e-16,0,71.16677888072354,1,3.2826915312824126e-17,1.296300426513542e-15,0.6266416642148108,0.8721555706224718,0.24551390640766102,chr3,127037384,127037385,+
ESPN,ENSG00000187017.18,PAS100_ATTAAA_0.1,4.1078539052016857e-10,1.6464781578647274e-8,33.45956362218067,1,7.27611111487331e-9,1.0578366955948177e-7,0.7674163424225545,0.34669780806760925,-0.4207185343549453,chr1,6460928,6460929,+
ESPN,ENSG00000187017.18,PAS98_AATAAA_0.25,4.1078539052016857e-10,1.1009834562662916e-11,47.74045920587582,1,4.865462639249273e-12,1.066745221289392e-10,0.11382320434310235,0.5716439278472911,0.4578207235041888,chr1,6456667,6456668,+
RAB7A,ENSG00000075785.14,PAS10116_AATAAA_0.2,4.060899487909535e-6,5.120603466328137e-6,23.690412877847848,1,1.13144773947466e-6,1.0746874043714462e-5,0.3901285072800216,0.4976854922475533,0.10755698496753174,chr3,128814795,128814796,+
HMCES,ENSG00000183624.14,PAS10127_AATAAA_0.3,1.1718982924464671e-19,0,88.97698550852238,1,3.9943252279272336e-21,2.1628363308037805e-19,0.8271117670627017,0.5397617350693215,-0.2873500319933803,chr3,129305260,129305261,+
HMCES,ENSG00000183624.14,PAS10128_AATAAA_0.2,1.1718982924464671e-19,0,88.97698550852238,1,3.9943252279272336e-21,2.1628363308037805e-19,0.17288823293729827,0.4602382649306785,0.2873500319933802,chr3,129306182,129306183,+
NUDT16,ENSG00000198585.12,PAS10154_AATAAA_0.4,0.0030584451196103133,5.443059814504912e-4,14.78845185879618,1,1.2026976436359532e-4,7.378782324367362e-4,0.13100455034035985,0.2971007982624253,0.16609624792206545,chr3,131388805,131388806,+
SRPRB,ENSG00000144867.13,PAS10178_APA_0.15,0.00477489693593311,0.0015437547093173304,12.829988793256234,1,3.4110779865033277e-4,0.0018513758609788988,0.2510142997075141,0.1490830273061281,-0.101931272401386,chr3,133819908,133819909,+
NCK1,ENSG00000158092.7,PAS10204_APA_0.3,0.02382401544153888,0,6.75606928121465,1,0.009342934165320439,0.03085175419109825,0.35122229393373855,0.15829822838528548,-0.19292406554845307,chr3,136948871,136948872,+
NCK1,ENSG00000158092.7,PAS10205_AATAAA_0.1,0.02382401544153888,0,6.756069281214536,1,0.009342934165321044,0.03085175419109825,0.6487777060662614,0.8417017716147145,0.1929240655484531,chr3,136949124,136949125,+
MRPS22,ENSG00000175110.14,PAS10234_APA_0.35,2.8065293819751563e-6,1.7718055711946376e-7,28.84768139574635,1,7.829957627061905e-8,9.542135062135546e-7,0.9428828327542106,0.7478295154353236,-0.19505331731888698,chr3,139357042,139357043,+
MRPS22,ENSG00000175110.14,PAS10236_AATAAA_0.45,2.8065293819751563e-6,3.2898776701914416e-5,18.797124302244356,1,1.4538617089034069e-5,1.1016048532900405e-4,0.029367126606651972,0.15216667220044555,0.12279954559379358,chr3,139358840,139358841,+
RNF7,ENSG00000114125.14,PAS10255_AATAAA_0.25,3.9239954286923297e-7,3.8415044929513374e-8,33.159929204251966,1,8.488182307637823e-9,1.220560561335131e-7,0.9294837588711363,0.8195321617025627,-0.10995159716857361,chr3,141745699,141745700,+
U2SURP,ENSG00000163714.18,PAS10279_AATAAA_0.35,9.544980250793404e-10,2.7272640495316702e-5,21.80821098294109,1,3.013079184986997e-6,2.6151771068238692e-5,0.4752292963106999,0.31778425496375856,-0.15744504134694132,chr3,143056835,143056836,+
TSC22D2,ENSG00000196428.13,PAS10310_ATTAAA_0.3,7.469596352591017e-7,0,28.37522616347428,1,9.993602955572311e-8,1.1885071069043776e-6,0.8759607226773835,0.6059732815602086,-0.2699874411171749,chr3,150460115,150460116,+
TSC22D2,ENSG00000196428.13,PAS10311_AATAAA_0.3,7.469596352591017e-7,0,28.37522616347428,1,9.993602955572311e-8,1.1885071069043776e-6,0.12403927732261644,0.3940267184397914,0.269987441117175,chr3,150466417,150466418,+
RAP2B,ENSG00000181467.5,PAS10335_APA_0.25,2.505879440643821e-5,0.0028146458898244265,13.421403644606471,1,2.4876948589398263e-4,0.0014022712148479817,0.7163865547896839,0.5999999235461884,-0.11638663124349558,chr3,153164728,153164729,+
GMPS,ENSG00000163655.16,PAS10358_AATAAA_0.45,3.264338165463837e-5,2.9274422867018702e-5,19.019794367648046,1,1.2936943778255474e-5,9.974844191486623e-5,0.5876143870040779,0.30754041888627304,-0.28007396811780483,chr3,155937728,155937729,+
GMPS,ENSG00000163655.16,PAS10362_ATTAAA_0.35,3.264338165463837e-5,4.678374921139116e-5,18.126113398136795,1,2.0674659788618697e-5,1.5148347600118107e-4,0.15921071866326164,0.4001193591973706,0.240908640534109,chr3,155944018,155944019,+
RSRC1,ENSG00000174891.14,PAS10379_AATAAA_0.45,0.0020178320861150532,0.002309899798950332,10.78947154646221,1,0.0010207901951874534,0.00476869145104727,0.2720637457255694,0.14508614668400782,-0.12697759904156158,chr3,158544531,158544532,+
RSRC1,ENSG00000174891.14,PAS10381_AATAAA_0.2,0.0020178320861150532,2.927617703786528e-4,14.650836825956958,1,1.2937718980886203e-4,7.883405491550226e-4,0.6009989352878983,0.7698689321544667,0.16886999686656845,chr3,158545727,158545728,+
GFM1,ENSG00000168827.15,PAS10387_AATAAA_0.45,4.793788660467432e-5,8.927582033193419e-5,18.21553060451606,1,1.9726371270209946e-5,1.454298490498459e-4,0.20774767409974018,0.059604286137515367,-0.14814338796222482,chr3,158691727,158691728,+
GFM1,ENSG00000168827.15,PAS10389_AATAAA_0.15,4.793788660467432e-5,0.002983921997930564,11.600539395163196,1,6.593269370549807e-4,0.0033116931009138963,0.2950308457169283,0.4683566688575296,0.1733258231406013,chr3,158692568,158692569,+
MYNN,ENSG00000085274.16,PAS10443_AATAAA_0.45,0.019352969606964678,0.028248121018879586,8.21212742275975,1,0.004161133595729177,0.015740514620520927,0.2209623388488813,0.37148168850982727,0.15051934966094596,chr3,169787546,169787547,+
USP13,ENSG00000058056.10,PAS10522_ATTAAA_0.2,0.01123504324281171,0.0055572672280513975,10.447835082052961,1,0.0012279328958358425,0.00557956158486121,0.2845372926000598,0.49656233651144727,0.2120250439113875,chr3,179789398,179789399,+
TTC14,ENSG00000163728.11,PAS10525_ATTAAA_0.2,1.0096357243728085e-4,1.0308176027823545e-5,21.015685586330278,1,4.555385919445626e-6,3.8269942036929673e-5,0.8212180142957045,0.4451959436228638,-0.3760220706728407,chr3,180610977,180610978,+
TTC14,ENSG00000163728.11,PAS10526_AATAAA_0.25,1.0096357243728085e-4,0.004246784608839909,9.666350287051387,1,0.0018767377233188706,0.008013131945891056,0.07551885907342913,0.2683475910274767,0.19282873195404754,chr3,180617822,180617823,+
TTC14,ENSG00000163728.11,PAS10527_AATAAA_0.45,1.0096357243728085e-4,0.013400600395909823,7.573888363240371,1,0.00592198912696818,0.021110931314216992,0.10326312663086634,0.2864564653496595,0.18319333871879317,chr3,180618325,180618326,+
SENP2,ENSG00000163904.13,PAS10606_AATAAA_0.35,5.872813297751323e-6,1.049014142652093e-4,16.591513344932196,1,4.6358000114067026e-5,3.158663544473728e-4,0.7518569062416981,0.4663790938447266,-0.2854778123969715,chr3,185631100,185631101,+
SENP2,ENSG00000163904.13,PAS10607_AATAAA_0.1,5.872813297751323e-6,3.3215404676843303e-7,27.63128457386165,1,1.4678541224477668e-7,1.6799819599992656e-6,0.13376531350269105,0.46947522994580404,0.335709916443113,chr3,185633549,185633550,+
OPA1,ENSG00000198836.11,PAS10661_AATAAA_0.45,1.7216534630591597e-4,0.005915920572008515,11.61679174027131,1,6.535904412561807e-4,0.003286343776910694,0.28213053917823794,0.13790360953898242,-0.1442269296392555,chr3,193694722,193694723,+
OPA1,ENSG00000198836.11,PAS10663_AATAAA_0.15,1.7216534630591597e-4,0.003927677000589254,12.380119200521676,1,4.3392944727371974e-4,0.002288937803977057,0.06127072634362132,0.17812646476094604,0.11685573841732472,chr3,193696626,193696627,+
PAK2,ENSG00000180370.10,PAS10723_ATTAAA_0.2,2.081712795253502e-6,0,26.230621233185957,1,3.0297994258048034e-7,3.3036600146423523e-6,0.4799942909908665,0.3297723279761663,-0.1502219630147002,chr3,196830693,196830694,+
