"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type","condition"
"ARL6IP5","ENSG00000144746","PAS9794_AATAAA_0.15",3.776532851857e-10,1.66148422579054e-05,21.6816629946115,1,3.21853230024567e-06,4.26789248569443e-05,0.379182035254655,0.21822687729658,-0.160955157958075,"chr3",69106065,69106066,"+",0.298704456275617,2,"MIXED","distal pA","HUB_N_DMSO_vs_T_DMSO"
"ASB1","ENSG00000065802","PAS7198_AATAAA_0.05",0.00731431698173804,0,9.67217869642172,1,0.00187079330344433,0.00961287094760902,0.551993891042982,0.761528803267985,0.209534912225003,"chr2",238452248,238452249,"+",0.656761347155484,2,"MIXED","distal pA","HUB_N_DMSO_vs_T_DMSO"
"ATP2A2","ENSG00000174437","PAS33247_AATAAA_0.2",7.00713022345651e-09,0,39.3604694612113,1,3.52358548379527e-10,1.22898390662072e-08,0.160271046148533,0.0399629496418759,-0.120308096506657,"chr12",110351089,110351090,"+",0.100116997895204,2,"MIXED","distal pA","HUB_N_DMSO_vs_T_DMSO"
"BCAP29","ENSG00000075790","PAS20857_AATAAA_0.25",6.1266710487938e-06,2.59568570677202e-05,20.8265097688418,1,5.02821402626123e-06,6.25672902078559e-05,0.302012896425827,0.0674157366545354,-0.234597159771292,"chr7",107620472,107620473,"+",0.184714316540181,2,"MIXED","distal pA","HUB_N_DMSO_vs_T_DMSO"
"BIVM","ENSG00000134897","PAS35719_AATAAA_0.35",0.00503012430311489,0,10.4916048886899,1,0.00119918163386252,0.00669777262604512,0.783329807780169,0.469657944535613,-0.313671863244555,"chr13",102841530,102841531,"+",0.626493876157891,2,"MIXED","distal pA","HUB_N_DMSO_vs_T_DMSO"
"C5orf24","ENSG00000181904","PAS15417_AATAAA_0.2",4.87856295276831e-08,0,35.2354531105493,1,2.92156227114285e-09,8.364970582304e-08,0.621291751553178,0.285119774374586,-0.336171977178592,"chr5",134859733,134859734,"+",0.453205762963882,2,"MIXED","distal pA","HUB_N_DMSO_vs_T_DMSO"
"CALR","ENSG00000179218","PAS46327_ATTAAA_0",4.09529067792956e-11,0,50.3134346242859,1,1.31049301693746e-12,7.73526903843598e-11,0.91216893806819,0.708084905068599,-0.204084032999591,"chr19",12944488,12944489,"+",0.810126921568394,2,"MIXED","distal pA","HUB_N_DMSO_vs_T_DMSO"
"CCAR2","ENSG00000158941","PAS22652_AATAAA_0.25",0.0229835389392292,0,7.16004162422297,1,0.00745454668680372,0.0293903316351557,0.609667126325773,0.366591318205991,-0.243075808119782,"chr8",22620467,22620468,"+",0.488129222265882,2,"MIXED","distal pA","HUB_N_DMSO_vs_T_DMSO"
"CEP43","ENSG00000213066","PAS18532_AATAAA_0.1",0.00439015966012807,0,10.789954381005,1,0.00102052397128006,0.00590262859770525,0.424517481289074,0.121081720130644,-0.30343576115843,"chr6",167042407,167042408,"+",0.272799600709859,2,"MIXED","distal pA","HUB_N_DMSO_vs_T_DMSO"
"CIRBP","ENSG00000099622","PAS46026_AATAAA_0.2",0.00133852259339477,0.000131615436131392,16.4108845055325,1,5.09915803983336e-05,0.000479896230895192,0.382284228488034,0.53369930707325,0.151415078585216,"chr19",1274806,1274807,"+",0.457991767780642,2,"MIXED","distal pA","HUB_N_DMSO_vs_T_DMSO"
"CLIC4","ENSG00000169504","PAS396_AATAAA_0.35",0.000459777407373574,0,15.7468508973758,1,7.24083734126611e-05,0.000646751798665536,0.909039200653121,0.720385285733504,-0.188653914919617,"chr1",24844316,24844317,"+",0.814712243193312,2,"MIXED","distal pA","HUB_N_DMSO_vs_T_DMSO"
"CTTN","ENSG00000085733","PAS30218_AATAAA_0.1",1.22413600421476e-18,0,87.1427492468197,1,1.00964485160595e-20,2.70256098650801e-18,0.959516522477187,0.679313449739613,-0.280203072737574,"chr11",70436573,70436574,"+",0.8194149861084,2,"MIXED","distal pA","HUB_N_DMSO_vs_T_DMSO"
"DCAF11","ENSG00000100897","PAS36417_AATAAA_0.05",0.000931689220251657,0,14.2118526711911,1,0.000163338430156119,0.00126857309790616,0.225890006715243,0.0908086822480217,-0.135081324467221,"chr14",24125240,24125241,"+",0.158349344481632,2,"MIXED","distal pA","HUB_N_DMSO_vs_T_DMSO"
"DDX27","ENSG00000124228","PAS49191_ATTAAA_0.45",0.00214669955849353,0,12.3614530769914,1,0.00043828943569013,0.00291601815305977,0.885248675326754,0.711546013116568,-0.173702662210186,"chr20",49244069,49244070,"+",0.798397344221661,2,"MIXED","distal pA","HUB_N_DMSO_vs_T_DMSO"
