"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type","condition"
"ABCC3","ENSG00000108846","PAS43063_None_0.1",8.66037566702192e-24,3.01216975050745e-25,110.3665600231,1,8.14474847012213e-26,4.95974458088087e-23,0.502234311146564,0.0629342869804276,-0.439300024166136,"chr17",50667924,50667925,"+",0.282584299063496,3,"ALE","distal pA","GP2D"
"ALG13","ENSG00000101901","PAS52279_AATAAA_0.3",0.0384844308534003,0.0138076461149386,8.40908031103822,1,0.00373351483765774,0.0237816303388251,0.390833146050504,0.689870662581403,0.299037516530898,"chrX",111760643,111760644,"+",0.540351904315953,2,"ALE","distal pA","GP2D"
"ARHGAP11A","ENSG00000198826","PAS38254_AATAAA_0.3",0.000569282620033803,0.0481164601798604,8.66005801848041,1,0.00325260939702675,0.0214474985632858,0.23390944484344,0.117728628055385,-0.116180816788055,"chr15",32637896,32637897,"+",0.175819036449412,2,"ALE","distal pA","GP2D"
"ARHGEF10","ENSG00000104728","PAS22505_AATAAA_0.2",0.00961246200289041,0,9.81311087681479,1,0.00173272165781204,0.0131399857225983,0.378884793857347,0.194522739015902,-0.184362054841445,"chr8",1958639,1958640,"+",0.286703766436625,2,"ALE","distal pA","GP2D"
"ASXL1","ENSG00000171456","PAS48945_AATAAA_0.15",1.92581822738068e-05,1.32847239799655e-05,21.4710447242683,1,3.59211944458279e-06,7.82619368793806e-05,0.287521825897913,0.588913857287926,0.301392031390013,"chr20",32439317,32439318,"+",0.43821784159292,2,"ALE","distal pA","GP2D"
"ATM","ENSG00000149311","PAS30484_AATAAA_0.4",0.033611197836898,0,6.99649843004957,1,0.00816693140422873,0.0433771357798124,0.557029155454797,0.918183526342377,0.36115437088758,"chr11",108369098,108369099,"+",0.737606340898587,2,"ALE","distal pA","GP2D"
"ATP11A","ENSG00000068650","PAS35766_AATAAA_0.2",1.9594209251266e-09,0.000175877240904529,17.8598808427341,1,2.37781401354478e-05,0.000397248242400026,0.474225874672097,0.180722317795404,-0.293503556876694,"chr13",112887165,112887166,"+",0.327474096233751,2,"ALE","distal pA","GP2D"
"BAIAP2","ENSG00000175866","PAS43519_AATAAA_0.15",2.32327257227046e-08,0,38.2050862621797,1,6.36861998977723e-10,3.6586520214857e-08,0.837484361898239,0.535550204856988,-0.301934157041251,"chr17",81116223,81116224,"+",0.686517283377613,2,"ALE","distal pA","GP2D"
"BPTF","ENSG00000171634","PAS43285_AATAAA_0.3",0.038215072036808,0.0289834078976284,7.0703576665976,1,0.00783696095126663,0.0420414479824036,0.677771547949012,0.502682067412019,-0.175089480536993,"chr17",67983151,67983152,"+",0.590226807680515,2,"ALE","distal pA","GP2D"
"BRD3OS","ENSG00000235106","PAS25687_AATAAA_0.25",0.00582910889479235,0,10.9915701539688,1,0.000915272361550729,0.00792823761829753,0.0591163660471099,0.35420753658572,0.29509117053861,"chr9",134030458,134030459,"+",0.206661951316415,2,"ALE","distal pA","GP2D"
