gene_id,feature_id,twostep_gene_padj,twostep_transcript_padj,gene_id.x,lr,df,pvalue,adj_pvalue,gene_id.y,DMSO_96hrs_1,DMSO_96hrs_2,DMSO_96hrs_3,ADMAi_96hrs_1,ADMAi_96hrs_2,ADMAi_96hrs_3,mean_diff,chr,start,end,V5,strand,V7,V8,V9
RPL37A_ENSG00000197756.10,PAS3480_AATAAA_0.2,3.70E-185,3.22E-174,RPL37A_ENSG00000197756.10,796.4215356,1,3.24E-175,4.19E-171,RPL37A_ENSG00000197756.10,0.992699666,0.992699666,0.992699666,0.960152378,0.960152378,0.960152378,-0.032547287,chr2,216501462,216501463,30185,+,ENSG00000197756.10,RPL37A,UTR3
NSD2_ENSG00000109685.19,PAS6285_AATAAA_0.2,5.04E-162,7.04E-158,NSD2_ENSG00000109685.19,722.2943444,1,4.24E-159,2.75E-155,NSD2_ENSG00000109685.19,0.003554223,0.003554223,0.003554223,0.551824627,0.551824627,0.551824627,0.548270404,chr4,1919478,1919479,90,+,ENSG00000109685.19,NSD2,UTR3
EEF1A1_ENSG00000156508.19,PAS9700_AATAAA_0.3,1.27E-132,1.07E-134,EEF1A1_ENSG00000156508.19,613.8636812,1,1.62E-135,6.97E-132,EEF1A1_ENSG00000156508.19,0.042137782,0.042137782,0.042137782,0.260442108,0.260442108,0.260442108,0.218304326,chr6,73515751,73515752,2355,-,ENSG00000156508.19,EEF1A1,UTR3
EEF1A1_ENSG00000156508.19,PAS9702_ATTAAA_0.05,1.27E-132,1.56E-131,EEF1A1_ENSG00000156508.19,599.3191751,1,2.35E-132,7.61E-129,EEF1A1_ENSG00000156508.19,0.948039337,0.948039337,0.948039337,0.722098851,0.722098851,0.722098851,-0.225940486,chr6,73517514,73517515,374,-,ENSG00000156508.19,EEF1A1,UTR3
RPL37A_ENSG00000197756.10,PAS3484_AATAAA_0.3,3.70E-185,3.02E-130,RPL37A_ENSG00000197756.10,594.2156701,1,3.03E-131,7.85E-128,RPL37A_ENSG00000197756.10,0.002059603,0.002059603,0.002059603,0.021194726,0.021194726,0.021194726,0.019135123,chr2,216529577,216529578,406,+,ENSG00000197756.10,RPL37A,UTR3
HSPA4_ENSG00000170606.16,PAS7718_ATTAAA_0.35,2.07E-88,1.06E-91,HSPA4_ENSG00000170606.16,414.868939,1,3.19E-92,6.89E-89,HSPA4_ENSG00000170606.16,0.861155343,0.861155343,0.861155343,0.559921606,0.559921606,0.559921606,-0.301233737,chr5,133104470,133104471,1156,+,ENSG00000170606.16,HSPA4,UTR3
HSPA4_ENSG00000170606.16,PAS7720_AATAAA_0.25,2.07E-88,5.37E-89,HSPA4_ENSG00000170606.16,402.441906,1,1.62E-89,2.99E-86,HSPA4_ENSG00000170606.16,0.128974013,0.128974013,0.128974013,0.421190646,0.421190646,0.421190646,0.292216634,chr5,133106446,133106447,954,+,ENSG00000170606.16,HSPA4,UTR3
CD59_ENSG00000085063.18,PAS15656_AATAAA_0.25,7.32E-134,3.59E-78,CD59_ENSG00000085063.18,355.9331918,1,2.16E-79,3.50E-76,CD59_ENSG00000085063.18,0.097785259,0.097785259,0.097785259,0.244336244,0.244336244,0.244336244,0.146550986,chr11,33705282,33705283,1932,-,ENSG00000085063.18,CD59,UTR3
UBA52_ENSG00000221983.8,PAS23438_AATAAA_0.15,1.21E-56,9.99E-60,UBA52_ENSG00000221983.8,268.0536872,1,3.01E-60,4.33E-57,UBA52_ENSG00000221983.8,0.980150322,0.980150322,0.980150322,0.87543067,0.87543067,0.87543067,-0.104719652,chr19,18575238,18575239,8816,+,ENSG00000221983.8,UBA52,UTR3
UBA52_ENSG00000221983.8,PAS23440_AATAAA_0.1,1.21E-56,1.76E-58,UBA52_ENSG00000221983.8,262.3375953,1,5.31E-59,6.87E-56,UBA52_ENSG00000221983.8,0.01962283,0.01962283,0.01962283,0.122415628,0.122415628,0.122415628,0.102792798,chr19,18577458,18577459,753,+,ENSG00000221983.8,UBA52,UTR3
RPL37_ENSG00000145592.14,PAS8151_AATAAA_0.25,8.03E-54,3.61E-57,RPL37_ENSG00000145592.14,258.5056321,1,3.63E-58,4.27E-55,RPL37_ENSG00000145592.14,0.984896007,0.984896007,0.984896007,0.941035777,0.941035777,0.941035777,-0.04386023,chr5,40832456,40832457,26452,-,ENSG00000145592.14,RPL37,UTR3
