"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type"
"FAM210B","ENSG00000124098","PAS49249_AATAAA_0.3",0.0056752045914584,0,13.911484503587,1,0.000191624024217857,0.0086497882708792,0.467366954973317,0.688241472263677,0.22087451729036,"chr20",56368659,56368660,"+",0.577804213618497,2,"TUTR"
"IL13RA1","ENSG00000131724","PAS52299_AATAAA_0.2",0.0113340441952238,0,12.2626174974039,1,0.000462122846779142,0.0161805445406048,0.795383119561553,0.569292514855779,-0.226090604705775,"chrX",118794531,118794532,"+",0.682337817208666,2,"TUTR"
"NIPSNAP3A","ENSG00000136783","PAS25304_AATAAA_0.05",0.00945642413189311,0,12.7319550206084,1,0.000359460590276045,0.0134980056435541,0.792797961897909,0.944348901125584,0.151550939227674,"chr9",104760117,104760118,"+",0.868573431511746,2,"TUTR"
"POLR2K","ENSG00000147669","PAS23228_AATAAA_0.05",3.32763028165572e-10,0,50.644447225247,1,1.10709228614817e-12,5.31199280261093e-10,0.552292078840729,0.76661615295965,0.214324074118921,"chr8",100154002,100154003,"+",0.659454115900189,2,"TUTR"
"SEC24A","ENSG00000113615","PAS15401_AATAAA_0.35",0.035026744424878,0,9.46096499031296,1,0.00209890623871549,0.048383150040141,0.661956931389648,0.826552554987322,0.164595623597674,"chr5",134727902,134727903,"+",0.744254743188485,2,"TUTR"
"TFDP1","ENSG00000198176","PAS35792_AATAAA_0.25",0.0107842251544701,0,12.4147137633024,1,0.000425964297883082,0.015328798552987,0.843601915246824,0.955327252680397,0.111725337433573,"chr13",113641466,113641467,"+",0.89946458396361,2,"TUTR"
"FAM210B","ENSG00000124098","PAS49248_APA_0.3",0.0056752045914584,0,13.911484503587,1,0.000191624024217857,0.0086497882708792,0.532633045026683,0.311758527736323,-0.22087451729036,"chr20",56366436,56366437,"+",0.422195786381503,2,"TUTR"
"IL13RA1","ENSG00000131724","PAS52298_ATTAAA_0",0.0113340441952238,0,12.2626174974039,1,0.000462122846779142,0.0161805445406048,0.204616880438446,0.430707485144221,0.226090604705775,"chrX",118792360,118792361,"+",0.317662182791334,2,"TUTR"
"NIPSNAP3A","ENSG00000136783","PAS25303_ATTAAA_0.25",0.00945642413189311,0,12.7319550206096,1,0.000359460590275826,0.0134980056435541,0.207202038102091,0.0556510988744165,-0.151550939227674,"chr9",104759579,104759580,"+",0.131426568488254,2,"TUTR"
"POLR2K","ENSG00000147669","PAS23227_AATAAA_0",3.32763028165572e-10,0,50.644447225247,1,1.10709228614817e-12,5.31199280261093e-10,0.447707921159271,0.23338384704035,-0.214324074118921,"chr8",100153612,100153613,"+",0.34054588409981,2,"TUTR"
