"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ATM","ENSG00000149311","PAS30484_AATAAA_0.4",0.4084803700966,NA,0.00966004254337349,1,0.92170557950341,0.960900018062991,0.827457678108273,0.821064772231544,-0.00639290587672858,"chr11",108369098,108369099,"+",0.824261225169909,0,"iAPA","distal pA"
"ATRN","ENSG00000088812","PAS48732_AATAAA_0.25",0.386958246136373,NA,0.00267104804515839,1,0.958781934128492,0.980716880796252,0.738970588235294,0.737209202643051,-0.00176138559224293,"chr20",3651112,3651113,"+",0.738089895439173,0,"iAPA","distal pA"
"C19orf53","ENSG00000104979","PAS46343_AATAAA_0.1",0.576330982852927,NA,0.649694567442566,1,0.420221900815193,0.617459858679302,0.77713193751309,0.758519350128795,-0.0186125873842948,"chr19",13778457,13778458,"+",0.767825643820943,0,"iAPA","distal pA"
"CCDC66","ENSG00000180376","PAS9701_ATTAAA_0.25",0.353949821840071,NA,1.541769178717,1,0.214354658459479,0.400641590602136,0.655805341902205,0.729749153424814,0.0739438115226091,"chr3",56621757,56621758,"+",0.692777247663509,0,"iAPA","distal pA"
"CCP110","ENSG00000103540","PAS40342_AATAAA_0.3",0.771957836191936,NA,0.198012507314502,1,0.656329898224317,0.799475247861239,0.68093029516827,0.644038146172783,-0.0368921489954871,"chr16",19553403,19553404,"+",0.662484220670526,0,"iAPA","distal pA"
"CDC16","ENSG00000130177","PAS35806_AATAAA_0.05",0.324739112350158,NA,1.69763461879211,1,0.192597608128421,0.370146230332834,0.84511278485672,0.885980911367967,0.0408681265112473,"chr13",114272674,114272675,"+",0.865546848112343,0,"iAPA","distal pA"
"CENATAC","ENSG00000186166","PAS30607_AATAAA_0.2",0.144647884363553,NA,3.36776348989952,1,0.0664839528317713,0.174646139444323,0.79167864068909,0.734842156102114,-0.0568364845869755,"chr11",119015743,119015744,"+",0.763260398395602,0,"iAPA","distal pA"
"DGKZ","ENSG00000149091","PAS29804_APA_0",0.322252847792517,NA,1.71347658691411,1,0.190534921734598,0.367580243093246,0.899527328163173,0.92923685802529,0.0297095298621175,"chr11",46380550,46380551,"+",0.914382093094231,0,"iAPA","distal pA"
"DKC1","ENSG00000130826","PAS52473_ATTAAA_0.25",0.0315948597796108,0,6.59878390308586,1,0.0102048444297509,0.0418105156207538,0.485051185606456,0.4123839661284,-0.0726672194780564,"chrX",154777680,154777681,"+",0.448717575867428,0,"iAPA","distal pA"
"EIF4A1","ENSG00000161960","PAS42251_AATAAA_0.05",0.71090649565395,NA,0.313999396545114,1,0.575236302745037,0.744533651358891,0.925125435435494,0.920683577094676,-0.00444185834081812,"chr17",7579005,7579006,"+",0.922904506265085,0,"iAPA","distal pA"
"ENSG00000273154","ENSG00000273154","PAS49371_AATAAA_0.1",0.180394221245085,NA,2.91605687218134,1,0.0877019382165356,0.213590496846657,0.509274055737379,0.572809105339036,0.0635350496016575,"chr20",63739102,63739103,"+",0.541041580538208,0,"iAPA","distal pA"
"FZD6","ENSG00000164930","PAS23270_None_0.25",0.497862485186428,NA,1.88678217597226,1,0.169565307169579,0.339400300712391,0.904922126106289,0.867889775720741,-0.0370323503855476,"chr8",103332811,103332812,"+",0.886405950913515,0,"iAPA","distal pA"
"HAUS1","ENSG00000152240","PAS45358_ATTAAA_0.05",0.656263626241501,NA,0.432214547120566,1,0.510904299681467,0.694167947259516,0.858317968943732,0.834438639126585,-0.023879329817147,"chr18",46128331,46128332,"+",0.846378304035158,0,"iAPA","distal pA"
"HSF1","ENSG00000185122","PAS23575_APA_0.15",0.276513967583369,NA,2.50321900665767,1,0.113613861314159,0.256127262810335,0.889879763982433,0.865112873451394,-0.0247668905310383,"chr8",144314715,144314716,"+",0.877496318716913,0,"iAPA","distal pA"
"KATNIP","ENSG00000047578","PAS40418_AATAAA_0.3",0.19232212000102,NA,2.77708875980579,1,0.0956218391033786,0.22748598206352,0.88654887806709,0.819518763404031,-0.0670301146630595,"chr16",27780364,27780365,"+",0.85303382073556,0,"iAPA","distal pA"
"L3MBTL2","ENSG00000100395","PAS51075_ATTAAA_0.15",0.1270352195221,NA,3.63268534616373,1,0.0566553334167723,0.15552724199003,0.954044712885964,0.883663622142927,-0.0703810907430367,"chr22",41231269,41231270,"+",0.918854167514445,0,"iAPA","distal pA"
"LCLAT1","ENSG00000172954","PAS5418_AATAAA_0.15",0.722859220831293,NA,0.288493099090147,1,0.591187809870934,0.75521217261638,0.894615145067214,0.870764723456276,-0.0238504216109385,"chr2",30644222,30644223,"+",0.882689934261745,0,"iAPA","distal pA"
"MSH3","ENSG00000113318","PAS15052_AATAAA_0.25",0.914416371436436,NA,0.0326328300354817,1,0.856645767035529,0.926524699116992,0.73182451458891,0.707032007879485,-0.0247925067094252,"chr5",80876813,80876814,"+",0.719428261234198,0,"iAPA","distal pA"
"NUCB2","ENSG00000070081","PAS29557_AATAAA_0.45",0.000424931219927337,0.750848497925361,2.23631535843015,1,0.134801865842488,0.289296259478933,0.422471777121473,0.37474948179336,-0.0477222953281126,"chr11",17331521,17331522,"+",0.398610629457416,0,"iAPA","distal pA"
"PAPOLA","ENSG00000090060","PAS37098_AATAAA_0.25",0.0476588040361973,0.149774527264497,7.10598645201753,1,0.00768269337450197,0.0332733109669426,0.722803545495426,0.776071454168323,0.0532679086728969,"chr14",96567108,96567109,"+",0.749437499831874,0,"iAPA","distal pA"
"PCNT","ENSG00000160299","PAS50372_AATAAA_0.15",0.872481208864509,NA,0.256862126001579,1,0.612284158538207,0.76938563671295,0.827716469559351,0.810187039451428,-0.0175294301079227,"chr21",46445764,46445765,"+",0.818951754505389,0,"iAPA","distal pA"
"PNN","ENSG00000100941","PAS36536_AATAAA_0.2",0.250771408474682,NA,6.43626348675025,1,0.0111813595704079,0.0448094150594878,0.374048118337631,0.308633845150399,-0.0654142731872321,"chr14",39182113,39182114,"+",0.341340981744015,0,"iAPA","distal pA"
"POLR3G","ENSG00000113356","PAS15111_ATTAAA_0.2",0.250771408474682,NA,0.540394638382168,1,0.462269221529264,0.654098171417123,0.401207034590201,0.371673675226712,-0.0295333593634892,"chr5",90514390,90514391,"+",0.386440354908457,0,"iAPA","distal pA"
"RBM5","ENSG00000003756","PAS9624_APA_0.15",0.0665719686863095,NA,6.40761055227267,1,0.0113632230042843,0.0453507911761898,0.855302561207273,0.790547370240157,-0.0647551909671157,"chr3",50118956,50118957,"+",0.822924965723715,0,"iAPA","distal pA"
"RPL19","ENSG00000108298","PAS42727_AATAAA_0",0.123865577772815,NA,3.68740083271405,1,0.0548249884432046,0.152311805641883,0.847577540484699,0.821046847328611,-0.026530693156088,"chr17",39204726,39204727,"+",0.834312193906655,0,"iAPA","distal pA"
"RPL27","ENSG00000131469","PAS42843_ATTAAA_0.35",0.255287769464174,NA,2.19327462866204,1,0.138614344116253,0.294806677837179,0.729416048461131,0.706877284271337,-0.0225387641897946,"chr17",43002951,43002952,"+",0.718146666366234,0,"iAPA","distal pA"
"RPS3A","ENSG00000145425","PAS13321_AATAAA_0.15",0.431647648512694,NA,1.15712021119907,1,0.282063584897267,0.479105191667813,0.296750212476795,0.273087344826953,-0.0236628676498413,"chr4",151104638,151104639,"+",0.284918778651874,0,"iAPA","distal pA"
