gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,sig_PAS_count,UTR_type,pA_type,condition
ABI2,ENSG00000138443,PAS6853_AATAAA_0.2,0.0038621503590538656,2.3719603030698263e-4,19.96896481260046,1,7.870937140418466e-6,0.0016497346212080222,0.7173200063247105,0.48263149438756847,-0.234688511937142,chr2,203432167,203432168,+,0.5999757503561395,2,TUTR,distal pA,METTL3i
ANKHD1,ENSG00000131503,PAS15518_AATAAA_0.2,0.004418499929666246,0,16.04392285683116,1,6.188994398732111e-5,0.008462950727814651,0.5438163462814286,0.7995802403700051,0.25576389408857647,chr5,140539848,140539849,+,0.6716982933257168,2,ALE,distal pA,METTL3i
B3GALT6,ENSG00000176022,PAS29_ATTAAA_0.25,2.922736229605056e-4,0.002341431149966005,15.6135381667782,1,7.76963146311881e-5,0.00972206415062884,0.6870665568362903,0.4045054615064117,-0.2825610953298786,chr1,1235037,1235038,+,0.545786009171351,2,TUTR,distal pA,METTL3i
BCL2L13,ENSG00000099968,PAS50680_AATAAA_0.2,2.532303245680576e-9,2.678237731420941e-7,34.41900393230753,1,4.4436327209668765e-9,2.511541213890479e-6,0.04498652336830178,0.16808593648228254,0.12309941311398076,chr22,17730616,17730617,+,0.10653622992529216,2,ALE,distal pA,METTL3i
BRI3BP,ENSG00000184992,PAS33597_AATAAA_0.2,9.324202711772641e-9,0.0031525924252955163,17.131930880757864,1,3.4871096250003206e-05,0.005326795567703192,0.4630855797543769,0.2813290233303142,-0.18175655642406277,chr12,125031181,125031182,+,0.37220730154234555,2,TUTR,distal pA,METTL3i
CHD3,ENSG00000170004,PAS42270_APA_0.05,0.041468742364874064,0,10.392284888723225,1,0.0012654293568070626,0.062193101953682765,0.3876686319301273,0.24267846936657,-0.1449901625635573,chr17,7912754,7912755,+,0.3151735506483486,2,TUTR,distal pA,METTL3i
CHMP1B,ENSG00000255112,PAS45196_ATTAAA_0.2,2.278184234239141e-4,5.363221493988199e-6,27.25873645008141,1,1.7796916413267496e-7,5.6936700887427095e-5,0.21764380822121243,0.4583354465649367,0.24069163834372423,chr18,11854442,11854443,+,0.3379896273930746,2,ALE,distal pA,METTL3i
CHPF2,ENSG00000033100,PAS21141_AATAAA_0.15,6.347899886030891e-5,0,25.955883935839665,1,3.493091483058519e-7,1.0576581997632188e-4,0.17009270110209895,0.4131875838230375,0.24309488272093852,chr7,151240970,151240971,+,0.2916401424625682,2,ALE,distal pA,METTL3i
CHURC1,ENSG00000258289,PAS36801_ATTAAA_0.3,0.013006738818516671,0.02473537870685789,13.242996714974652,1,2.7360015355815245e-4,0.02274100099868644,0.1574599989237136,0.2859206474168419,0.12846064849312833,chr14,64932652,64932653,+,0.22169032317027776,2,TUTR,distal pA,METTL3i
COL18A1,ENSG00000182871,PAS50352_AATAAA_0.2,0.0013147603525385265,0,19.119680458913532,1,1.2277235241313568e-5,0.0022627478342577487,0.7292980453890627,0.4655166357542139,-0.2637814096348488,chr21,45513718,45513719,+,0.5974073405716384,2,TUTR,distal pA,METTL3i
CTNNA1,ENSG00000044115,PAS15465_AATAAA_0.4,2.7174497809610348e-5,4.066874238101297e-6,27.793882780650165,1,1.3495213829950942e-7,4.587481441211453e-5,0.3949902068238205,0.5229811002183213,0.12799089339450082,chr5,138935030,138935031,+,0.4589856535210709,2,TUTR,distal pA,METTL3i
CTPS1,ENSG00000171793,PAS710_AATAAA_0.2,5.528530464454146e-7,1.6392129962478916e-8,38.512847657435486,1,5.43944282563499e-10,3.842966356311121e-7,0.52238074293386,0.8387928443099235,0.31641210137606346,chr1,41012561,41012562,+,0.6805867936218918,3,TUTR,distal pA,METTL3i
EIF2B5,ENSG00000145191,PAS10570_ATTAAA_0.1,0.002014272995246928,1.1052693170696232e-4,21.431147772686018,1,3.667643723475988e-6,8.776247679201224e-4,0.7012575347795482,0.4783082440771021,-0.22294929070244607,chr3,184145301,184145302,+,0.5897828894283251,2,ALE,distal pA,METTL3i
FOXK2,ENSG00000141568,PAS43587_AATAAA_0.4,1.6642606256340684e-12,4.091420981185929e-13,60.65858610579744,1,6.788333960780389e-15,1.046390823990839e-11,0.6372555357536799,0.8060102251240592,0.1687546893703793,chr17,82604599,82604600,+,0.7216328804388695,2,TUTR,distal pA,METTL3i
GAS8,ENSG00000141013,PAS41088_APA_0.2,0.039513467142513935,0,10.53268139842362,1,0.0011728192681953445,0.05971868922378456,0.4657953931234224,0.8953621926385353,0.4295667995151129,chr16,90044959,90044960,+,0.6805787928809789,2,TUTR,distal pA,METTL3i
GPRC5A,ENSG00000013588,PAS32220_AATAAA_0.25,0.02696214237833024,0,11.521716137140174,1,6.878785699323873e-4,0.042259670404976656,0.4194680785456207,0.30668784488979617,-0.11278023365582451,chr12,12917934,12917935,+,0.36307796171770845,2,TUTR,distal pA,METTL3i
HADHB,ENSG00000138029,PAS5315_AATAAA_0.25,0.005699209856202314,0,15.390394705427752,1,8.743160026181551e-5,0.010367064433851556,0.7341371754859201,0.8720082674048958,0.13787109191897573,chr2,26290463,26290464,+,0.8030727214454079,2,TUTR,distal pA,METTL3i
ICAM1,ENSG00000090339,PAS46239_AATAAA_0.1,4.932749949479419e-16,9.940127177267412e-12,54.38372769206035,1,1.649229038082554e-13,2.330360630810649e-10,0.6160408022105319,0.8128393979408605,0.1967985957303285,chr19,10286613,10286614,+,0.7144401000756961,2,TUTR,distal pA,METTL3i
LMNA,ENSG00000160789,PAS1668_APA_0.05,0.001711748167479934,0.03838167629167008,10.380359286371458,1,0.0012736290782128306,0.06241518685022184,0.285838339411696,0.1500671301108778,-0.1357712093008182,chr1,156140079,156140080,+,0.2179527347612869,2,ALE,distal pA,METTL3i
MFF,ENSG00000168958,PAS7042_AATAAA_0.3,0.0020447827034072506,2.4785115678394287e-4,19.88495366220741,1,8.22450895447801e-6,0.0016883178886083602,0.451171134620574,0.6024838220664654,0.1513126874458915,chr2,227357826,227357827,+,0.5268274783435197,2,TUTR,distal pA,METTL3i
MTHFD1L,ENSG00000120254,PAS18434_AATAAA_0.3,0.04244851984637576,0,10.29942179950649,1,0.0013307189813437789,0.06391974801038276,0.6140049747801779,0.9344231155758734,0.3204181407956955,chr6,151101884,151101885,+,0.7742140451780257,2,ALE,distal pA,METTL3i
NASP,ENSG00000132780,PAS800_AATAAA_0.15,0.023860214969112042,0,11.874907574285317,1,5.689529332304521e-4,0.0368668315681204,0.4724408596212378,0.3222694215938091,-0.15017143802742866,chr1,45618892,45618893,+,0.3973551406075234,2,ALE,distal pA,METTL3i
NCS1,ENSG00000107130,PAS25621_None_0.25,5.314187943547106e-4,0.007349916434189819,15.527863257088027,1,8.129805849612439e-5,0.00985399980055054,0.33489699761284014,0.11296232941216228,-0.22193466820067784,chr9,130233646,130233647,+,0.2239296635125012,2,TUTR,distal pA,METTL3i
NOL12,ENSG00000273899,PAS50964_ATTAAA_0.1,0.01679147223144812,0,12.827305124700615,1,3.41597400739815e-4,0.026448061766868963,0.9697293617536692,0.8519783302015101,-0.11775103155215905,chr22,37693470,37693471,+,0.9108538459775897,2,MIXED,distal pA,METTL3i
NPM1,ENSG00000181163,PAS15794_AATAAA_0.25,4.192672963507151e-6,2.815743965789552e-7,32.97325178663596,1,9.343555931167596e-9,4.95091669902743e-6,0.4292621561433768,0.30698634783749434,-0.12227580830588242,chr5,171410898,171410899,+,0.3681242519904356,2,ALE,distal pA,METTL3i
PPIF,ENSG00000108179,PAS27453_ATTAAA_0.35,9.270765521554864e-4,0,19.821419572966988,1,8.502452954569244e-6,0.0016883178886083602,0.26888969759262216,0.4095175957142459,0.14062789812162374,chr10,79355330,79355331,+,0.33920364665343405,2,TUTR,distal pA,METTL3i
PTGFRN,ENSG00000134247,PAS1404_ATTAAA_0.3,0.01435956591353365,0,13.214732404620008,1,2.777571529047696e-4,0.022751933742286345,0.5501237770328277,0.33926474551184893,-0.21085903152097876,chr1,116990349,116990350,+,0.4446942612723383,2,TUTR,distal pA,METTL3i
QPRT,ENSG00000103485,PAS40442_AATAAA_0.2,0.0016669701134373227,0,18.586133840915863,1,1.6239750109738353e-5,0.002809808192456362,0.4784199044213599,0.5897310250768725,0.11131112065551256,chr16,29698696,29698697,+,0.5340754647491162,2,TUTR,distal pA,METTL3i
RCL1,ENSG00000120158,PAS24788_ATTAAA_0.35,0.015722747933468822,0,12.981330839606471,1,3.146122648017773e-4,0.025044908741685145,0.9657297610603172,0.7321663688676492,-0.233563392192668,chr9,4861064,4861065,+,0.8489480649639831,2,TUTR,distal pA,METTL3i
RHNO1,ENSG00000171792,PAS32065_None_0.2,5.015868262190387e-7,0,36.867445241146925,1,1.2643964492515194e-9,8.103962672164672e-7,0.5860911758152132,0.33239652736683634,-0.25369464844837686,chr12,2889457,2889458,+,0.45924385159102477,2,ALE,distal pA,METTL3i
RIMKLA,ENSG00000177181,PAS724_APA_0.3,0.018057057662245093,0,12.616293054584505,1,3.823989199775099e-4,0.02819111342234199,0.38656305112202793,0.06979672705943174,-0.3167663240625962,chr1,42418279,42418280,+,0.22817988909072984,2,TUTR,distal pA,METTL3i
RNF114,ENSG00000124226,PAS49209_AATAAA_0.25,7.734943850198484e-8,0,40.81114284862269,1,1.6767428723124938e-10,1.236124006214376e-7,0.59691407319277,0.771152047070955,0.17423797387818496,chr20,49953882,49953883,+,0.6840330601318625,2,TUTR,distal pA,METTL3i
SAP30L,ENSG00000164576,PAS15697_AATAAA_0.05,0.0052180995615367775,0,15.66275521467469,1,7.570029378917786e-5,0.009578911802158956,0.46572075218932224,0.21573998437600672,-0.24998076781331552,chr5,154461051,154461052,+,0.34073036828266445,2,TUTR,distal pA,METTL3i
SCCPDH,ENSG00000143653,PAS2516_AATAAA_0.2,0.02506094910694696,0.003878899806194504,14.660515590538123,1,1.2871453417253733e-4,0.013493188631928225,0.2813836043280686,0.427783385140856,0.14639978081278737,chr1,246767830,246767831,+,0.35458349473446227,2,TUTR,distal pA,METTL3i
SLC16A3,ENSG00000141526,PAS43566_AATAAA_0.2,5.06168116061332e-106,0,495.6412215645396,1,8.440355445411574e-110,7.155733346619932e-106,0.05892896167527706,0.5240389411826878,0.46510997950741073,chr17,82261157,82261158,+,0.2914839514289824,2,ALE,distal pA,METTL3i
STX4,ENSG00000103496,PAS40508_ATTAAA_0.25,0.0015908489807786247,0,18.722269383377352,1,1.512062563021204e-5,0.0026706805019362013,0.9229643441193446,0.7840502268325856,-0.13891411728675895,chr16,31040162,31040163,+,0.8535072854759651,2,ALE,distal pA,METTL3i
TM9SF4,ENSG00000101337,PAS48927_AATAAA_0.15,0.017562732830908236,0,12.682965405525463,1,3.690018903942701e-4,0.027562978209362304,0.862222691796318,0.6830083804516699,-0.17921431134464816,chr20,32167255,32167256,+,0.7726155361239939,2,TUTR,distal pA,METTL3i
TMEM248,ENSG00000106609,PAS20501_AATAAA_0.05,0.01721328785184928,0,12.755996209136356,1,3.5486969417739824e-4,0.02710437177690074,0.6583515025149322,0.7780389084651927,0.1196874059502605,chr7,66958549,66958550,+,0.7181952054900624,2,TUTR,distal pA,METTL3i
