gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand
ATP6V1A,ENSG00000114573.12,PAS10001_APA_0.2,0.1708670025488885,NA,0.017116941466156277,1,0.8959084221450352,0.9273531953814005,0.09187118053817396,0.08902043071361794,-0.0028507498245560203,chr3,113811808,113811809,+
ATP6V1A,ENSG00000114573.12,PAS10002_AATAAA_0.15,0.1708670025488885,NA,0.30482668529111834,1,0.5808722259007233,0.6866925307641728,0.3725692122535664,0.3924013429798416,0.01983213072627521,chr3,113812053,113812054,+
ATP6V1A,ENSG00000114573.12,PAS9998_ATTAAA_0.2,0.1708670025488885,NA,5.236741239988078,1,0.02211466123147094,0.047657232482807635,0.0099561706402878,0.03300788929409369,0.02305171865380589,chr3,113809764,113809765,+
ATP6V1A,ENSG00000114573.12,PAS9999_APA_0.35,0.1708670025488885,NA,1.1341537863718258,1,0.28689105994031844,0.40026139726550114,0.5256034365679718,0.48557033701244673,-0.04003309955552509,chr3,113810425,113810426,+
QTRT2,ENSG00000151576.10,PAS10005_AATAAA_0.3,0.9890151230983814,NA,4.682480732753902e-4,1,0.982735891008217,0.9882627712023183,0.09992861964026034,0.10087394063762982,9.453209973694782e-4,chr3,114086044,114086045,+
QTRT2,ENSG00000151576.10,PAS10006_AATAAA_0.3,0.9890151230983814,NA,4.682480730480165e-4,1,0.9827358910124079,0.9882627712023183,0.9000713803597397,0.8991260593623703,-9.453209973693255e-4,chr3,114088343,114088344,+
SRSF11,ENSG00000116754.14,PAS1001_AATAAA_0.45,4.818149597315268e-7,1,0.0018166819354519248,1,0.9660024179607083,0.9756946271308673,0.07097949909752095,0.07105753978571926,7.804068819830534e-5,chr1,70228940,70228941,+
SRSF11,ENSG00000116754.14,PAS1002_AATAAA_0.1,4.818149597315268e-7,1,0.002842674613930285,1,0.9574795437036048,0.9700770378828789,0.0424192230233759,0.04209121131293287,-3.280117104430269e-4,chr1,70229185,70229186,+
SRSF11,ENSG00000116754.14,PAS1003_None_0.25,4.818149597315268e-7,1,2.116432043578243,1,0.14572568480158324,0.23222622637787366,0.42594121915706323,0.39761808093627055,-0.028323138220792687,chr1,70237533,70237534,+
SRSF11,ENSG00000116754.14,PAS1005_APA_0.35,4.818149597315268e-7,0.11436804882695882,6.135962739142997,1,0.013245940487414242,0.030554498435022268,0.18678109714821742,0.22668421228695015,0.039903115138732737,chr1,70250046,70250047,+
SRSF11,ENSG00000116754.14,PAS1006_ATTAAA_0.2,4.818149597315268e-7,0.23068248418559786,4.9089868103546905,1,0.026717308622047943,0.05583123998344739,0.020305298437089118,0.034542428102400526,0.014237129665311408,chr1,70251254,70251255,+
