"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ADAMTSL1","ENSG00000178031","PAS24853_APA_0.2",2.9417478747378e-05,0.00023652515872338,15.3214126767279,1,9.06827788347043e-05,0.00068687718333877,0.596712710449316,0.211169770681,-0.385542939768316,"chr9",18910946,18910947,"+",0.403941240565158,2,"ALE","distal pA"
"AEBP2","ENSG00000139154","PAS32287_APA_0.15",1.73717979856868e-23,1.08222892698065e-25,113.881871325027,1,1.38307381990713e-26,2.14261185933947e-24,0.0324256570783805,0.405839543845702,0.373413886767322,"chr12",19553268,19553269,"+",0.219132600462041,2,"ALE","distal pA"
"AGAP3","ENSG00000133612","PAS21139_AATAAA_0.05",0.0406123073690603,0,5.93411597158456,1,0.014850516232366,0.0503958254589591,0.925189678266262,0.785743682903968,-0.139445995362294,"chr7",151144433,151144434,"+",0.855466680585115,2,"ALE","distal pA"
"AKR1E2","ENSG00000165568","PAS26831_AATAAA_0.45",1.67152695627113e-05,0,22.4487392067886,1,2.15827114295333e-06,2.48544976842935e-05,0.984097429556036,0.82809469551357,-0.156002734042465,"chr10",4848056,4848057,"+",0.906096062534803,2,"ALE","distal pA"
"ANTXR1","ENSG00000169604","PAS5779_AATAAA_0.1",3.86616270810307e-19,0,87.4533537828372,1,8.62910742108945e-21,7.58720100477277e-19,0.993466579877956,0.52565403319214,-0.467812546685815,"chr2",69249167,69249168,"+",0.759560306535048,2,"ALE","distal pA"
"ARHGAP11A","ENSG00000198826","PAS38255_ATTAAA_0.4",1.78135726458851e-37,1.08231983568958e-28,127.585402009304,1,1.38318999999823e-29,2.57135020999671e-27,0.444758362890965,0.114342921183843,-0.330415441707122,"chr15",32639037,32639038,"+",0.279550642037404,2,"ALE","distal pA"
"ARHGAP44","ENSG00000006740","PAS42309_ATTAAA_0.1",0.00219455389076053,0,12.1263651756014,1,0.000497139241836866,0.00303404031440623,0.910242201784365,0.569611645085357,-0.340630556699008,"chr17",12991641,12991642,"+",0.739926923434861,2,"ALE","distal pA"
"ARHGEF7","ENSG00000102606","PAS35760_ATTAAA_0.2",0.00684288065879099,0.0167503137568142,7.42790630609352,1,0.00642200181164466,0.0258969660907753,0.856420536919698,0.730962481780713,-0.125458055138984,"chr13",111305730,111305731,"+",0.793691509350205,2,"ALE","distal pA"
"ATAT1","ENSG00000137343","PAS17578_AATAAA_0.4",0.0101193329578924,0,8.90404097150531,1,0.00284540275912333,0.0131255675662802,0.75465623023543,0.917812936027751,0.16315670579232,"chr6",30646818,30646819,"+",0.836234583131591,2,"ALE","distal pA"
"ATP11A","ENSG00000068650","PAS35766_AATAAA_0.2",2.15592556005294e-16,1.11342961984332e-09,38.9858689451232,1,4.26884364053405e-10,1.00452915541175e-08,0.586954563150988,0.0198597528190088,-0.567094810331979,"chr13",112887165,112887166,"+",0.303407157984998,3,"ALE","distal pA"
"ATP11B","ENSG00000058063","PAS10552_AATAAA_0.35",2.13367577049513e-05,0.00454577417023477,11.0825993755147,1,0.000871415615862694,0.0048710186465727,0.306627084736277,0.130913892629812,-0.175713192106465,"chr3",182921626,182921627,"+",0.218770488683045,2,"ALE","distal pA"
"ATP2C1","ENSG00000017260","PAS10145_AATAAA_0.4",6.33845168481935e-06,6.93452542491794e-08,33.0760803048361,1,8.86222898831815e-09,1.69345353634338e-07,0.244594915159733,0.47298336788782,0.228388452728087,"chr3",131016372,131016373,"+",0.358789141523776,2,"ALE","distal pA"
"ATXN7","ENSG00000163635","PAS9772_AATAAA_0.25",0.000126253410544504,0.00140284626664898,13.2753215257226,1,0.000268922761587487,0.00180015015254011,0.236713515122047,0.128626616594095,-0.108086898527952,"chr3",64003560,64003561,"+",0.182670065858071,2,"ALE","distal pA"
"BAIAP2","ENSG00000175866","PAS43519_AATAAA_0.15",1.53884839060341e-07,0,32.2560055204849,1,1.35138751031296e-08,2.47684586925389e-07,0.90796527560527,0.672378473670648,-0.235586801934622,"chr17",81116223,81116224,"+",0.790171874637959,2,"ALE","distal pA"
"BCCIP","ENSG00000107949","PAS27994_ATTAAA_0.4",2.63277119511155e-40,2.13065561649819e-34,152.872532836142,1,4.08442326149737e-35,1.00284150758236e-32,0.356364549779307,0.0374479046459179,-0.318916645133389,"chr10",125853520,125853521,"+",0.196906227212612,3,"ALE","distal pA"
"BICD1","ENSG00000151746","PAS32454_AATAAA_0.2",0.000706876590393989,0.00120323554911269,12.2658801419182,1,0.00046131559016878,0.00284507098334897,0.538100569355272,0.244710237849322,-0.29339033150595,"chr12",32383631,32383632,"+",0.391405403602297,2,"ALE","distal pA"
"BORCS7","ENSG00000166275","PAS27760_AATAAA_0.4",0.0278306182658517,0,6.75114548943799,1,0.00936875170057907,0.0351582051626525,0.553994185760043,0.195173881069843,-0.3588203046902,"chr10",102864205,102864206,"+",0.374584033414943,2,"ALE","distal pA"
"BUB3","ENSG00000154473","PAS27957_AATAAA_0.25",4.59138421283541e-06,0.0001278263402627,16.4860982548871,1,4.90080962458996e-05,0.000399560077840251,0.421002539085281,0.303123039622168,-0.117879499463113,"chr10",123165362,123165363,"+",0.362062789353725,2,"ALE","distal pA"
