gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,pA_type,condition,prox_to_dist_shift
AASDHPPT,ENSG00000149313.11,PAS30468_AATAAA_0.3,0.20497753191522938,NA,3.2370130835033706,1,0.07199177608047207,0.24604852696473886,0.48817570756945833,0.5750833873142511,0.0869076797447928,chr11,106098692,106098693,+,0.5316295474418548,distal pA,Tempus_KRAS_T_DMSO_vs_SA,0.1738153594895856
ABCB8,ENSG00000197150.13,PAS21131_None_0.25,0.02102640572532024,0.015111619954905026,8.680825636716008,1,0.0032157527264037892,0.026325961282083088,0.6970077368029018,0.5221183554357792,-0.17488938136712262,chr7,151045561,151045562,+,0.6095630461193405,distal pA,Tempus_KRAS_T_DMSO_vs_SA,-0.22833692478717718
ABCC1,ENSG00000103222.20,PAS40309_APA_0.2,0.12104180458312727,NA,4.471104243596528,1,0.03447270594527465,0.15165990265479146,0.7373387238869583,0.8547035291635984,0.11736480527664006,chr16,16143051,16143052,+,0.7960211265252783,distal pA,Tempus_KRAS_T_DMSO_vs_SA,0.23472961055327998
ABCC2,ENSG00000023839.12,PAS27677_APA_0.35,0.5875055416188887,NA,0.7985124181101355,1,0.3715385045197852,0.6363436208812134,0.8442538909113834,0.7762069972327593,-0.06804689367862404,chr10,99852571,99852572,+,0.8102304440720713,distal pA,Tempus_KRAS_T_DMSO_vs_SA,-0.13609378735724798
ABCC3,ENSG00000108846.16,PAS43065_AATAAA_0.3,0.33324959850327174,NA,0.13376506712484115,1,0.7145597895306605,0.8761101868145312,0.6053262973684801,0.617698085619084,0.012371788250603921,chr17,50691700,50691701,+,0.611512191493782,distal pA,Tempus_KRAS_T_DMSO_vs_SA,0.07104260951130281
ABCD3,ENSG00000117528.14,PAS1169_AATAAA_0.15,0.0020886820287702185,0.0034612576896667206,11.394659112662339,1,7.365556363610782e-4,0.008390463079649111,0.8076926555207514,0.8916711751382332,0.08397851961748182,chr1,94518661,94518662,+,0.8496819153294923,distal pA,Tempus_KRAS_T_DMSO_vs_SA,0.17794614915339785
ABCE1,ENSG00000164163.11,PAS13298_AATAAA_0.3,0.5345381011546281,NA,1.0210201085742483,1,0.3122771586945337,0.58433305142247,0.08398740669636506,0.11252781739249773,0.028540410696132668,chr4,145129520,145129521,+,0.0982576120444314,distal pA,Tempus_KRAS_T_DMSO_vs_SA,0.057080821392265335
ABCF3,ENSG00000161204.12,PAS10577_None_0.1,0.7666381972893084,NA,0.2843903669017891,1,0.5938379476202983,0.8094719023390867,0.03879221022442436,0.0468632470919913,0.008071036867566939,chr3,184194450,184194451,+,0.04282772865820783,distal pA,Tempus_KRAS_T_DMSO_vs_SA,0.016142073735133877
ABHD10,ENSG00000144827.9,PAS9981_AATAAA_0.2,0.7645748862475404,NA,0.28757154281265684,1,0.5917809619558891,0.8076842472059225,0.9012472371305923,0.9213761505126224,0.020128913382030156,chr3,111993366,111993367,+,0.9113116938216074,distal pA,Tempus_KRAS_T_DMSO_vs_SA,0.04025782676406027
ABHD13,ENSG00000139826.6,PAS35732_AATAAA_0.35,0.8860600260752796,NA,0.4899752690804462,1,0.48393833654913726,0.7282287439503887,0.5412704489319157,0.47740926891506713,-0.06386118001684854,chr13,108230907,108230908,+,0.5093398589234914,distal pA,Tempus_KRAS_T_DMSO_vs_SA,-0.11618758074304836
