gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,pA_type,condition,prox_to_dist_shift
AARD,ENSG00000205002.4,PAS23324_AATAAA_0.35,0.13738942582094074,NA,3.781902457425531,1,0.05180972184020907,0.16763644769702166,0.6425799159652997,0.807552886129553,0.16497297016425327,chr8,116943997,116943998,+,0.7250664010474264,distal pA,DMAi_24hrs,0.3299459403285065
AASDHPPT,ENSG00000149313.11,PAS30468_AATAAA_0.3,0.20857267855938066,NA,2.884364030627239,1,0.08944331635968725,0.247032188509295,0.5121882564857683,0.5863340834516308,0.07414582696586258,chr11,106098692,106098693,+,0.5492611699686996,distal pA,DMAi_24hrs,0.14829165393172516
ABCB8,ENSG00000197150.13,PAS21131_None_0.25,0.11201326882359623,NA,2.182209233118442,1,0.13961392570114253,0.3331962742613392,0.7078558723629881,0.5713510186723265,-0.13650485369066157,chr7,151045561,151045562,+,0.6396034455176574,distal pA,DMAi_24hrs,-0.10032668425728378
ABCC1,ENSG00000103222.20,PAS40309_APA_0.2,0.7463749786745969,NA,0.28263238674139757,1,0.5949810252116511,0.7829020921802716,0.888312373293845,0.9155374799098656,0.02722510661602051,chr16,16143051,16143052,+,0.9019249266018553,distal pA,DMAi_24hrs,0.054450213232041106
ABCD3,ENSG00000117528.14,PAS1169_AATAAA_0.15,9.904309437422651e-5,0,19.538370954770926,1,9.859912084696066e-6,1.5360176687543832e-4,0.8611935063772741,0.9665432194080276,0.10534971303075347,chr1,94518661,94518662,+,0.9138683628926508,distal pA,DMAi_24hrs,0.21069942606150693
ABCE1,ENSG00000164163.11,PAS13298_AATAAA_0.3,0.2435525779179809,NA,2.208508585812524,1,0.13725130417441658,0.32950863563442717,0.09481216387183633,0.12019823927198503,0.0253860754001487,chr4,145129520,145129521,+,0.10750520157191068,distal pA,DMAi_24hrs,0.032490772855763295
ABHD10,ENSG00000144827.9,PAS9981_AATAAA_0.2,0.015998667949586366,0.003685042333235185,10.756209347639015,1,0.0010393003218500429,0.00801775911430255,0.7614772678157028,0.8623113829476292,0.10083411513192642,chr3,111993366,111993367,+,0.811894325381666,distal pA,DMAi_24hrs,0.18091733323726197
ABHD13,ENSG00000139826.6,PAS35732_AATAAA_0.35,0.6949085406876003,NA,0.4391861643825905,1,0.5075155209008728,0.7239810181594136,0.5351697280870004,0.4824797455982837,-0.05268998248871665,chr13,108230907,108230908,+,0.5088247368426421,distal pA,DMAi_24hrs,-0.13036227695497427
ABHD17C,ENSG00000136379.12,PAS38908_AATAAA_0.15,0.9860704077804512,NA,0.0010285124687925418,1,0.974415884860956,0.9875722079761842,0.850701540579249,0.8521330962378252,0.0014315556585762224,chr15,80755618,80755619,+,0.8514173184085371,distal pA,DMAi_24hrs,0.0028631113171524725
ABHD18,ENSG00000164074.17,PAS13219_APA_0.15,0.7953194698217568,NA,0.18798583655836865,1,0.6645983018271461,0.8286759166477856,0.4365428886654221,0.3853709578149564,-0.05117193085046573,chr4,128039708,128039709,+,0.4109569232401893,distal pA,DMAi_24hrs,-0.10234386170093152
ABHD2,ENSG00000140526.18,PAS38967_AATAAA_0.05,0.08470277958350508,NA,7.049668364226818,1,0.007927992811151034,0.04190823566862077,0.5742574257425723,0.6601178328637629,0.08586040712119059,chr15,89202353,89202354,+,0.6171876293031676,distal pA,DMAi_24hrs,0.13763113458730336
ABHD5,ENSG00000011198.10,PAS9495_AATAAA_0.35,0.09300540305529036,NA,0.8014537706744704,1,0.37065907114333163,0.609172472474359,0.18071731065772934,0.14272767657213586,-0.03798963408559347,chr3,43719869,43719870,+,0.1617224936149326,distal pA,DMAi_24hrs,-0.020379217290340257
ABHD6,ENSG00000163686.15,PAS9737_AATAAA_0.25,0.9065729900213167,NA,0.04322502241171833,1,0.8353021434297163,0.9221106132429302,0.5523301337516797,0.5277875102361789,-0.02454262351550085,chr3,58294731,58294732,+,0.5400588219939293,distal pA,DMAi_24hrs,-0.049085247031001644
ABI2,ENSG00000138443.17,PAS6853_AATAAA_0.2,9.159258392504876e-8,0,34.245298183332125,1,4.858478489860636e-9,1.5847548814048615e-7,0.48111051565941776,0.7129456551423784,0.23183513948296064,chr2,203432167,203432168,+,0.597028085400898,distal pA,DMAi_24hrs,0.4636702789659212
ABITRAM,ENSG00000119328.12,PAS25342_AATAAA_0.2,0.03075914916940634,0,7.102324501531712,1,0.007698404909787914,0.040992063456295,0.015171332134520488,0.06411813539489863,0.04894680326037815,chr9,108941616,108941617,+,0.03964473376470956,distal pA,DMAi_24hrs,0.0978936065207563
